Space-Time Completion of Video,"Yonatan Wexler, Eli Shechtman, Michal Irani, ",2007,271,Spatio-temporal mean curvature based image sequence restoration,Fractional-order tensor regularisation for image inpainting,PatchMatch-Based Content Completion of Stereo Image Pairs,Depth-based image completion for view synthesis,Match Box: Indoor Image Matching via Box-Like Scene Estimation,Multi-View Inpainting for Image-Based Scene Editing and Rendering,Block based completion for video stabilization,Video logo removal using iterative subsequent matching,Novel self-portrait enhancement via multi-photo fusing,Mosaic Defect Detection in Digital Video,An epipolar geometry guided image inpainting method,Saliency-Aware Image Completion,Video inpainting of objects using modified patch based image inpainting algorithm,Static object removal from video scene using local similarity,Video completion method for static object removal based on GLCM,Video falsifying by motion interpolation and inpainting,Application and evaluation of spatiotemporal enhancement of live aerial video using temporally local mosaics,Summarizing visual data using bidirectional similarity,Regenerative morphing,HDR Deghosting: How to Deal with Saturation?,FrameBreak: Dramatic Image Extrapolation by Guided Shift-Maps,Texture representations for image and video synthesis,Layered Scene Decomposition via the Occlusion-CRF,Laplacian Patch-Based Image Synthesis,Multiview Image Completion with Space Structure Propagation,Automatic Fence Segmentation in Videos of Dynamic Scenes,Awesome Typography: Statistics-Based Text Effects Transfer,Joint Gap Detection and Inpainting of Line Drawings,Transformation-Grounded Image Generation Network for Novel 3D View Synthesis,A recognition algorithm for behaviors with high similarities based on Kinect
A generic architecture for on-chip packet-switched interconnections,"P. Guerrier, A. Greiner, ",2000,271,Synthesis of networks on chips for 3D systems on chips,Power-efficient tree-based multicast support for Networks-on-Chip,Pair balance-based test scheduling for SOCs,NoC Dynamically Reconfigurable as TAM,Proportionally fair buffer allocation in optical chip multiprocessors,Dynamic voltage scaling for fully asynchronous NoCs using FIFO threshold levels,Design and evaluation of Avalon compatible adapter and parameterizable NoC router for FPGAs,Administration- and communication-aware IP core mapping in scalable multiprocessor system-on-chips via evolutionary computing,Dynamically reconfigurable NoC for reconfigurable MPSoC,A Communication-Centric Embedded System Architecture (ACCESA),Area and power efficient network on chip router architecture,Research on reliable on-chip network using asynchronous logic,High Performance and Area-Efficient Circuit-Switched Network on Chip Design,A novel arbitration scheme for bandwidth and jitter guarantees in asynchronous NoCs,A low latency router supporting adaptivity for on-chip interconnects,Managing power consumption in networks on chips,Networks on chip: a new paradigm for systems on chip design,Automatic generation of fast timed simulation models for operating systems in SoC design,Trade offs in the design of a router with both guaranteed and best-effort services for networks on chip,Micro-network for SoC: implementation of a 32-port SPIN network,Network processing challenges and an experimental NPU platform [network processor unit],A mapping strategy for resource-efficient network processing on multiprocessor SoCs,An efficient on-chip network interface offering guaranteed services shared-memory abstraction and flexible network configuration,/spl times/pipesCompiler: a tool for instantiating application specific networks on chip,Guaranteed bandwidth using looped containers in temporally disjoint networks within the nostrum network on chip,Bandwidth-constrained mapping of cores onto NoC architectures,OCCN: a network-on-chip modeling and simulation framework,RASoC: a router soft-core for networks-on-chip,/spl times/pipes Lite: a synthesis oriented design library for networks on chips,Energy- and performance-driven NoC communication architecture synthesis using a decomposition approach
Tracking multiple humans in complex situations,"Tao Zhao, R. Nevatia, ",2004,270,People detection in surveillance: classification and evaluation,Pre-Attentive Face Detection for Foveated Wide-Field Surveillance,Scene modelling using an adaptive mixture of Gaussians in colour and space,Track matching over disjoint camera views based on an incremental major color spectrum histogram,A track-based human movement analysis and privacy protection system adaptive to environmental contexts,Shape recognition based on a video and multi-sensor system,Detecting and counting people in surveillance applications,A Multi-Class Tracker Using a Scalable Condensation Filter,A framework for track matching across disjoint cameras using robust shape and appearance features,View-invariant human feature extraction for video-surveillance applications,People tracking across two distant self-calibrated cameras,Commentary Paper 1 on Visual Players Detection and Tracking in Soccer Matches,Tracking People in Crowds by a Part Matching Approach,Dynamic Performance Measures for Object Tracking Systems,Intelligent Video for Protecting Crowded Sports Venues,Multi-Modal Object Tracking using Dynamic Performance Metrics,Robust Real Time Moving People Detection in Surveillance Scenarios,Performance Evaluation of a People Tracking System on PETS2009 Database,Fast Crowd Density Estimation in Surveillance Videos without Training,Counting People in the Crowd Using a Generic Head Detector,A Greedy Data Association Technique for Multiple Object Tracking,A model validation approach to robot motion segmentation in computer vision,An adaptive global motion estimation method based on improved SUSAN algorithm and SIFT algorithm,Target re-identification based on histogram comparison by optimized diffusion distance,A Fast and Robust People Counting Method in Video Surveillance,MCMC-based human tracking with stereo cameras under frequent interaction and occlusion,Multi-Object Tracking Based on Improved Mean-Shift Algorithm,Pedestrian detection in video using shape features and mixture of SVMs,Locally Assembled Binary feature with feed-forward cascade for pedestrian detection in intelligent vehicles,Data-Driven Probabilistic Occlusion Mask to Promote Visual Tracking
Anomaly detection in crowded scenes,"Vijay Mahadevan, Weixin Li, Viral Bhalodia, Nuno Vasconcelos, ",2010,265,Sparse Representation for Crowd Attributes Recognition,Encoding Motion Cues for Pedestrian Path Prediction in Dense Crowd Scenarios,Crowd Behavior Representation Using Motion Influence Matrix for Anomaly Detection,Crowd flow estimation using multiple visual features for scenes with changing crowd densities,Textures of optical flow for real-time anomaly detection in crowds,Activity Analysis in Complicated Scenes Using DFT Coefficients of Particle Trajectories,Unusual Scene Detection Using Distributed Behaviour Model and Sparse Representation,Abnormal event detection using local sparse representation,Pedestrian zone anomaly detection by non-parametric temporal modelling,Counting people by clustering person detector outputs,Modeling crowd motions for abnormal activity detection,An MRF based abnormal event detection approach using motion and appearance features,Multi-task learning with over-sampled time-series representation of a trajectory for traffic motion pattern recognition,An in-depth study of sparse codes on abnormality detection,Human violence recognition and detection in surveillance videos,Novel dataset for fine-grained abnormal behavior understanding in crowd,An Object-Aware Anomaly Detection and Localization in Surveillance Videos,Optical flow and spatio-temporal gradient based abnormal behavior detection,Detection of anomalies in surveillance scenarios using mixture models,Macroscopic analysis of crowd motion in video sequences,Anomaly detection in crowded scenes using genetic programming,Structured outlier models for robust dictionary learning,Feature Ranking in Dynamic Texture Clustering,Abnormal Event Detection Using Recurrent Neural Network,Optimal spatio-temporal path discovery for video event detection,Sparse reconstruction cost for abnormal event detection,Video anomaly detection based on local statistical aggregates,Online Dominant and Anomalous Behavior Detection in Videos,Measuring Crowd Collectiveness,L0 Regularized Stationary Time Estimation for Crowd Group Analysis
H.264/AVC baseline profile decoder complexity analysis,"M. Horowitz, A. Joch, F. Kossentini, A. Hallapuro, ",2003,265,A scalable complexity specification for video applications,Complexity modeling of H.264 entropy decoding,A Codeword Classification Mapping Based CAVLC Decoding Implement Algorithm,A high-performance area-aware DSP processor architecture for video codecs,A VLSI prototype for Hadamard transform with application to MPEG-4 part 10,Permutation-Based Low-Complexity Alternate Coding in Multi-View H.264/AVC,A Pattern-Search Method for H.264/AVC CAVLC Decoding,Scalable video coding for mobile broadcasting DVB systems,Linear model-based adaptive prediction for video decoding complexity,Real-Time Storyboard Generation for H.264/AVC Compressed Videos,Complexity Modeling of the Motion Compensation Process of the H.264/AVC Video Coding Standard,Design of Deblocking Filter in H.264/AVC,Unit testing optimized functions in H.264,Module and Distortion Analysis for Video Decoding on Mobile Devices,Video deblocking with fine-grained scalable complexity for embedded mobile computing,A Fast Intra-frame Prediction Algorithm based on Two-Dimension histogram for H.264/AVC,Linear modeling for MPEG-4 intra frame decoding complexity prediction based on statistical analysis,Design Space Exploration of Media Processors: A Parameterized Scheduler,An Efficient Technique for Error-Free Implementation of H.264 Using Algebraic Integer Encoding,Network-on-chip based architecture of H.264 video decoder,An efficient method for early detecting all-zero quantized DCT coeffcients for H.264/AVC,Approximated relative complexity modeling for DVFS over mobile video service,Mobile 3D Video Using MVC and N800 Internet Tablet,Functional Model Exploration for Multimedia Applications via Algebraic Operators,Reduced Complexity Deblocking Filter for H.264 Video Coding,Adaptive multithreaded H.264/AVC decoding,An Efficient Hardware Architecture for H.264 Adaptive Deblocking Filter,H.264/AVC In-Loop De-Blocking Filter Targeting a Dynamically Reconfigurable Instruction Cell Based Architecture,H.264 decoder optimization exploiting SIMD instructions,Dual Mode Architecture for Deblocking Filtering in H.264/AVC Video Coding
MPCA: Multilinear Principal Component Analysis of Tensor Objects,"Haiping Lu, Konstantinos N. Plataniotis, Anastasios N. Venetsanopoulos, ",2008,245,Human action recognition based on tensor shape descriptor,Multilinear Laplacian discriminant analysis for gait recognition,Multi-dimensional data representation using linear tensor coding,Multilinear Principal Component Analysis Network for Tensor Object Classification,Multi-Manifold Locality Graph Embedding Based on the Maximum Margin Criterion (MLGE/MMC) for Face Recognition,Are face recognition methods useful for classifying ships?,Gait recognition based on marker-less 3D motion capture,Application of support higher-order tensor machine in fault diagnosis of electric vehicle range-extender,Using multiple views for gait-based gender classification,Multilinear mean component analysis for gait recognition,2D-ONPP: Two Dimensional Extension of Orthogonal Neighborhood Preserving Projections for Face Recognition,Bimode Mode for Face Recognition,Dynamic tensor time series modeling and analysis,Palmprint recognition based on phase congruency and Two-Dimensional Principal Component Analysis,Distinguishing schizophrenic patients from healthy controls based on MRI data: A tensor linear discriminant approach,Support tucker machines,Neighborhood repulsed metric learning for kinship verification,Analytic Bilinear Appearance Subspace Construction for Modeling Image Irradiance under Natural Illumination and Non-Lambertian Reflectance,Multi-way Multi-level Kernel Modeling for Neuroimaging Classification,A case for the average-half-face in 2D and 3D for face recognition,Ethnicity classification based on gait using multi-view fusion,Is there a connection between face symmetry and face recognition?,Robust 2DPCA and Its Application,Face Detection Using Skin Color Recursive Clustering and Recognition Using Multilinear PCA,Compressive Tensor Sampling with Structured Sparsity,The overview of automatically supported gait analysis methods for medical diagnoses and rehabilitation,CASME database: A dataset of spontaneous micro-expressions collected from neutralized faces,Performance evaluation of image compression on PCA-based face recognition systems,A new method for face recognition with fewer features under illumination and expression variations,Performance evaluation of linear and multi-linear subspace learning techniques for object classification based on underwater acoustics
"Pedestrian Protection Systems: Issues, Survey, and Challenges","Tarak Gandhi, Mohan Manubhai Trivedi, ",2007,245,Pedestrian walking safety system based on smartphone built-in sensors,Partially occluded pedestrian classification using histogram of oriented gradients and local weighted linear kernel support vector machine,Detection of partially occluded pedestrians by an enhanced cascade detector,Estimation of street crossing intention from a pedestrian's posture on a sidewalk using multiple image frames,2D laser based road obstacle classification for road safety improvement,Dynamic representations for autonomous driving,A joint source channel adaptive communication system design for the fire environment,A study on energy absorption panel of bumper based on impact of pedestrian's lower leg,Prospects for Context Prediction Despite the Principle of Informational Self-Determination,Computationally efficient classification of human transport mode using micro-doppler signatures,Learning appearance in virtual scenarios for pedestrian detection,Pedestrian sensing using time-of-flight range camera,Non-Overlapping Multi-camera Detection and Tracking of Vehicles in Tunnel Surveillance,Pedestrian detection system based on stereo vision for mobile robot,PV-Alert: A fog-based architecture for safeguarding vulnerable road users,Real-time infrared pedestrian detection based on multi-block LBP,Towards a Private Fall Injury Warning Service for Smartphone-Distracted Pedestrian,Near range path navigation using LGMD visual neural networks,Study on pedestrian detection and tracking with monocular vision,Cellular-based vehicle to pedestrian (V2P) adaptive communication for collision avoidance,On experimenting with pedestrian classification using neural network,Real-time pedestrian detection using SVM and AdaBoost,A simple pedestrian detection using LBP-based patterns of oriented edges,An overriding controller for vehicle lateral control system,Multi-camera vehicle identification in tunnel surveillance system,Abnormal behavior detection based on spatial-temporal features,Assessment and Optimization of Pedestrian Head Impact Safety Performance for a SUV Car,Near range pedestrian collision detection using bio-inspired visual neural networks,Estimating Driver Awareness of Crossing Pedestrians While Turning Left Based on Vehicle Behavior Using Bayesian Approach,Pedestrian detection with a resolution-aware convolutional network
StereoScan: Dense 3d reconstruction in real-time,"Andreas Geiger, Julius Ziegler, Christoph Stiller, ",2011,245,Reconstructing Street-Scenes in Real-Time from a Driving Car,Robust multi-sensor fusion for micro aerial vehicle navigation in GPS-degraded/denied environments,Dense Scene Flow Based Coarse-to-Fine Rigid Moving Object Detection for Autonomous Vehicle,Martian Fetch: Finding and retrieving sample-tubes on the surface of mars,Convergence-enhanced dense RGB-D odometry with a rotational motion prior from a gyroscope,Automatic extrinsic calibration for an onboard camera,Real-time SLAM using an RGB-D camera for mobile robots,Real-time and robust odometry estimation using depth camera for indoor micro aerial vehicle,Semantic motion segmentation for urban dynamic scene understanding,Adaptive RGB-D Localization,Mesh Based Semantic Modelling for Indoor and Outdoor Scenes,Robust Scale Estimation in Real-Time Monocular SFM for Autonomous Driving,Visual Semantic Search: Retrieving Videos via Complex Textual Queries,Ground Plane Estimation Using a Hidden Markov Model,Using Self-Contradiction to Learn Confidence Measures in Stereo Vision,A Multi-view Stereo Benchmark with High-Resolution Images and Multi-camera Videos,Identifying First-Person Camera Wearers in Third-Person Videos,Visual Navigation Aid for the Blind in Dynamic Environments,Ground Truth Accuracy and Performance of the Matching Pipeline,Digital image stabilization with motion estimation based on binocular ranging and sensor,Monocular optical flow navigation using sparse SURF flow with multi-layer bucketing screener,Constrained Smoothness Cost in Markov Random Field Based Stereo Matching,Stereo odometry based on careful feature selection and tracking,Multimodal visual-inertial odometry for navigation in cold and low contrast environment,Robust feature matching for aerial visual odometry,Reducing the computational cost of underwater visual SLAM using dynamic adjustment of overlap detection,Fast localization and 3D mapping using an RGB-D sensor,3D map repair after moving objects removing,Visual odometry for RGB-D cameras for dynamic scenes,Efficient visual odometry estimation using stereo camera
A generic framework of user attention model and its application in video summarization,"Yu-Fei Ma, Xian-Sheng Hua, Lie Lu, Hong-Jiang Zhang, ",2005,245,Content-Driven Adaptation of On-Line Video,An audio-video summarization scheme based on audio and video analysis,Motion Analysis Based on Spatial-Temporal Visual Attention,Nonlocal Diffusion Tensor for Visual Saliency Detection,Image sharpness evaluation based on visual importance,Perceptual video compression based on DCT-Domain foveated JND model,Space-Time Video Montage,What Makes a Patch Distinct?,Large-Scale Video Summarization Using Web-Image Priors,Detecting intended human objects in human-captured videos,Semantic audiovisual analysis for video summarization,Towards Affective Level Video Applications: A Novel FPGA-Based Video Arousal Content Modeling System,Keyframe extraction in surveillance video using correlation,Automatically parsing and labelling video based on camera motion qualitative analysis,Visual-aural attention modeling for talk show video highlight detection,Video event detection and summarization using audio visual and text saliency,Spatial audio cues based surveillance audio attention model,Generating fluent tubes in video synopsis,Low complexity on-line video summarization with Gaussian mixture model based clustering,Robust Region-of-Interest Determination Based on User Attention Model Through Visual Rhythm Analysis,Spatiotemporal saliency detection in traffic surveillance,Camera Motion Detection for Conversation Scenes in Movies,Trends and opportunities in consumer video content navigation and analysis,Unsupervised Extraction of Video Highlights via Robust Recurrent Auto-Encoders,Video^M: Multi-video Synopsis,Dynamic Bayesian network based event detection for soccer highlight extraction,Predicting H.264 Packet Loss Visibility using a Generalized Linear Model,Movie summarization based on audiovisual saliency detection,A comparative study on attention-based rate adaptation for scalable video coding,Temporal salient graph for sports event detection
Progressive search space reduction for human pose estimation,"Vittorio Ferrari, Manuel Marin-Jimenez, Andrew Zisserman, ",2008,243,Space-Time Body Pose Estimation in Uncontrolled Environments,Synthesizing Training Images for Boosting Human 3D Pose Estimation,Human Pose Estimation by Exploiting Spatial and Temporal Constraints in Body-Part Configurations,Who are like me: Fast human pose retrieval in unconstrained environments,Occlusion-robust model learning for human pose estimation,Pose Estimation of Interacting People using Pictorial Structures,Learning Dense Optical-Flow Trajectory Patterns for Video Object Extraction,Action Recognition from Experience,Articulated pose estimation via multiple mixture parts model,Background modelling based on generative unet,Context based face anti-spoofing,Multiple human upper bodies detection via deep deformable part model,Side view pose estimation of human from images using prior knowledge,An Evolutionary Approach to Automatic Video Editing,Pose search: Retrieving people using their pose,Pictorial structures revisited: People detection and articulated pose estimation,Figure-ground segmentation improves handled object recognition in egocentric video,Efficient extraction of human motion volumes by tracking,Contour people: A parameterized model of 2D articulated human shape,Monocular 3D pose estimation and tracking by detection,Adaptive pose priors for pictorial structures,The chains model for detecting parts by their context,Modeling mutual context of object and human pose in human-object interaction activities,Learning effective human pose estimation from inaccurate annotation,Shape grammar parsing via Reinforcement Learning,Learning hierarchical poselets for human parsing,Learning people detection models from few training samples,Parsing human motion with stretchable models,Shape-based pedestrian parsing,Action recognition from a distributed representation of pose and appearance
"Navier-stokes, fluid dynamics, and image and video inpainting","M. Bertalmio, A. L. Bertozzi, G. Sapiro, ",2001,243
Unified Video Annotation via Multigraph Learning,"Meng Wang, Xian-Sheng Hua, Richang Hong, Jinhui Tang, Guo-Jun Qi, Yan Song, ",2009,243,Video Analysis and Trajectory Based Video Annotation System,Fuzzy hypergraph of concepts for semantic annotation of remotely sensed images,Web image re-ranking by utilizing text and visual features,Graph-guided sparse reconstruction for region tagging,Deceiving Google’s Cloud Video Intelligence API Built for Summarizing Videos,Improving News Video Annotation with Semantic Context,A Consistency-Based Multimodal Graph Embedding Method for Dimensionality Reduction,A Multi-modal Hashing Learning Framework for Automatic Image Annotation,Social image reranking with diversity representative and relevance,Multi-label visual classification with label exclusive context,Multimedia questions and answering using web data mining,Label propagation on data with multiple representations through multi-graph locality preserving projections,Crowd video retrieval via deep attribute-embedding graph ranking,Generating Diverse and Relevant Image searching results with DivRank,Image search reranking with Ranking Linear Discriminant Analysis,Joint adaptive loss and l2/l0-norm minimization for unsupervised feature selection,Automatic age recommendation system for children's video content,Semi-Supervised Manifold Learning Based Multigraph Fusion for High-Resolution Remote Sensing Image Classification,Multi-modal label propagation based on a higher order similarity matrix,Structured action classification with hypergraph regularization,Predicting Protein Function Using Multiple Kernels,Embedding Motion and Structure Features for Action Recognition,Efficient Search and Localization of Human Actions in Video Databases,CAMHID: Camera Motion Histogram Descriptor and Its Application to Cinematographic Shot Classification,Effective Multimodality Fusion Framework for Cross-Media Topic Detection,What Is Happening in the Video? —Annotate Video by Sentence,Scalable Mammogram Retrieval Using Composite Anchor Graph Hashing With Iterative Quantization,Positive and Negative Label Propagations,Bilevel Multiview Latent Space Learning,Spectral Segmentation via Midlevel Cues Integrating Geodesic and Intensity
Practical use of video imagery in nearshore oceanographic field studies,"K. T. Holland, R. A. Holman, T. C. Lippmann, J. Stanley, N. Plant, ",1997,242,Direct geo-referencing technique for rapid positioning of targets and environmental products using tactical grade airborne imaging data,Rapid environmental assessment of nearshore METOC fields using motion imaging techniques applied to surrogate UAV data,Key paradigms of emerging imaging sensor technologies,A simple system for laser-illuminated video imaging of sediment suspension and bed topography,Computer vision techniques for quantifying tracking and identifying bioluminescent plankton,Surfzone drifters: applications and observations,Marine Doppler Radar Surface Current Measurements in the Surf Zone,Automatic Estimation of Nearshore Wave Height from Video Timestacks,Estimation of wave propagation distance in swash zone with image analysis results of CCTV-coastal telemetry,IP camera-based LSPIV system for on-line monitoring of river flow,Finding essential features for tracking starfish in a video sequence,Neural Network Modelin of Nearshore Sandbar Behavior,A cross-wavelet study of alongshore nonuniform nearshore sandbar behavior,Quantitative visualization of geophysical flows using low-cost oblique digital time-lapse imaging,Quantifying Tidal Mud Flat Elevations From Fixed-Platform Long-Wave Infrared Imagery,Applying video sensor networks to nearshore environment monitoring,Creation of models for the measurement of marine species using along track video (ATV),Littoral environmental nowcasting system (LENS),Radar Inlet Observing System (RIOS): Continuous remote sensing of waves currents and bathymetry at tidal inlets,Shoreline Segmentation as a Proxy to Coastal Erosion Detection,New Concept for Flywheel Energy Storage System Using SMB and PMB,Video observations and model predictions of depth-induced wave dissipation,Objective Beach-State Classification From Optical Sensing of Cross-Shore Dissipation Profiles,Longshore Surface Currents Measured by Doppler Radar and Video PIV Techniques,Assessing the Suitability of Video Imaging for Studying the Dynamics of Nearshore Sandbars in Tideless Beaches,Assessment of Post-Storm Recovery of Beaches Using Video Imaging Techniques: A Case Study at Gold Coast Australia,Thermal Infrared Multipath Reflection from Breaking Waves Observed at Large Incidence Angles,Long-Term Automated Monitoring of Nearshore Wave Height From Digital Video,Accuracy of Nearshore Bathymetry Inverted From ${X}$ -Band Radar and Optical Video Data,Wavelet-Based Optical Flow Estimation of Instant Surface Currents From Shore-Based and UAV Videos
Video Compression - From Concepts to the H.264/AVC Standard,"G. J. Sullivan, T. Wiegand, ",2005,242,Improved lossless intra coding for H.264/MPEG-4 AVC,Rate Distortion Analysis of Motion Side Estimation in Wyner–Ziv Video Coding,Content-Aware Distortion-Fair Video Streaming in Congested Networks,On Energy Efficient Encryption for Video Streaming in Wireless Sensor Networks,No-Reference Transmission Distortion Modelling for H.264/AVC-Coded Video,AppAdapt: Opportunistic Application Adaptation in Presence of Hardware Variation,A Frame-Parallel 2 Gpixel/s Video Decoder Chip for UHDTV and 3-DTV/FTV Applications,On the Efficient Channel State Information Compression and Feedback for Downlink MIMO-OFDM Systems,DeepCoder: A deep neural network based video compression,New Hardware Architecture Design for Intra Prediction in H.264/AVC High Profile,Proportional fair resource allocation algorithm for video transmission in OFDMA relay system,Motion Compensation and Reconstruction of H.264/AVC Video Bitstreams using the GPU,Hybrid Transform Coding for Channel State Information in MIMO-OFDM Systems,Video Compression and Its Role in the History of Television,Broadcasting Video over the Cellular Network and the Internet,Recent advances in video compression: What’s next?,Feature Point Video Synthesis for tagged vehicular traffic,Evaluation of compression algorithms for automotive stereo matching,Research on GPRS interface based on DM6446 for H.264 standard stream media files,OLIC: OnLine Information Compression for scalable hosting infrastructure monitoring,Advances in Wireless Video Delivery,Advances in Efficient Resource Allocation for Packet-Based Real-Time Video Transmission,Quality-Optimized and Secure End-to-End Authentication for Media Delivery,Overview of the Stereo and Multiview Video Coding Extensions of the H.264/MPEG-4 AVC Standard,Proceedings of the IEEE Through 100 Years: 2000-2009 [Scanning Our Past],A Limited Resources-Based Approach to Coding for Wireless Video Sensor Networks,Image Compression Using Sparse Representations and the Iteration-Tuned and Aligned Dictionary,Segmentation-Based Video Compression Using Texture and Motion Models,A real time high definition architecture for the Variable-Length Reference Frame Decoder,Efficient Level and Zero Coding Methods for H.264/AVC Lossless Intra Coding
Array architectures for block matching algorithms,"T. Komarek, P. Pirsch, ",1989,241,An efficient object tracking technique using block-matching algorithm,VLSI architecture for an Underwater Robot Vision System,Real Time FPGA-based Architecture for Video Applications,Low power 2-D array VLSI architecture for block matching motion estimation using computation suspension,A comparative analysis for low power motion estimation VLSI architectures,Parameterizable hardware architectures for automatic synthesis of motion estimation processors,FPGA implementation of high speed parallel architecture for block motion estimation,An Efficient Data Reuse Motion Estimation Engine,Hybrid architecture of full-search block-matching motion estimation circuit for MPEG-4 encoder,A parallel processing architecture for FSS block-matching motion estimation,A Parallel Hardware Implementation for Motion Estimation for H.264/AVC Standard,VLSI architecture for motion vector quantization,A 4-way pipelined processing architecture for three-step search block-matching motion estimation,An efficient hardware implementation for motion estimation of AVC standard,Algorithmic and architectural co-design for integer motion estimation of AVS,A Real-Time Full Architecture for AVS Motion Estimation,An all binary sub-pixel motion estimation approach and its hardware architecture,Adaptive search range motion estimation using neighboring motion vector differences,Analysis and architecture design of variable block-size motion estimation for H.264/AVC,VLSI architecture design of MPEG-4 shape coding,Algorithmic and architectural co-design of a motion-estimation engine for low-power video devices,Efficient and configurable full-search block-matching processors,Global elimination algorithm and architecture design for fast block matching motion estimation,A Configurable Motion Estimation Architecture for Block-Matching Algorithms,A Dynamic Quality-Adjustable H.264 Video Encoder for Power-Aware Video Applications,A Hardware-Efficient Multi-Resolution Block Matching Algorithm and its VLSI Architecture for High Definition MPEG-Like Video Encoders,Low Power Motion Estimation Based on Probabilistic Computing,FPGA-Based Hardware Implementation of Real-Time Optical Flow Calculation,An architecture with low memory-bandwidth and less hardware cost for 3SBM algorithm,A FPGA-based Architecture for Block Matching Motion Estimation Algorithm
Patching: a multicast technique for true video-on-demand services,"Kien A. Hua, Ying Cai, Simon Sheu, ",1998,239,Exploiting client bandwidth for more efficient video broadcast,An adaptive hybrid technique for video multicast,A multi-multicast sharing technique for large-scale video information systems,Batched patch caching for streaming media,Threshold-based multicast for continuous media delivery,Extended exponential broadcasting: a new broadcasting scheme for video-on-demand systems,Performance analysis of the interactivity for multicast true VoD service,Minimizing bandwidth requirements for on-demand data delivery,Operation and cost optimization of a distributed servers architecture for on-demand video services,A stream tapping protocol with partial preloading,Providing scalable on-demand interactive video service by means of multicasting and client buffering,KOM player-a platform for experimental VoD research,A proxy server management scheme for continuous media objects based on object partitioning,A 5-competitive on-line scheduler for merging video streams,Data broadcasting and seamless channel transition for highly demanded videos,A dynamic heuristic broadcasting protocol for video-on-demand,A better dynamic broadcasting protocol for video-on-demand,Distributed servers architecture for networked video services,Video-on-demand broadcasting protocols: a comprehensive study,Multicast with cache (Mcache): an adaptive zero-delay video-on-demand service,Multicast with cache (Mcache): an adaptive zero-delay video-on-demand service,Reducing network traffic using two-layered cache servers for continuous media data on the Internet,LC-RTP (loss collection RTP): reliability for video caching in the Internet,An efficient implementation of interactive video-on-demand,A universal distribution protocol for video-on-demand,Design and implementation of a caching system for streaming media over the Internet,VoDCast: Efficient SDN-based multicast for video on demand,Resource Management in Cloud Networking Using Economic Analysis and Pricing Models: A Survey,Supplying instantaneous video-on-demand services using controlled multicast,Tiling in Interactive Panoramic Video: Approaches and Evaluation
Shot-boundary detection: unraveled and resolved?,"A. Hanjalic, ",2002,239,Semantic description of a video using representative frames,A Novel Video Shot Segmentation Based on Textural Features,Video shot boundary detection using dual-tree complex wavelet transform,An effective video shot boundary detection method based on supervised learning,Improving the video shot boundary detection using the HSV color space and image subsampling,A robust video synchronization method based on hierarchical shot detection,Lip segmentation with the presence of beards,Fusion in sensor networks: convergence study,Mean shift based video segment representation and applications to replay detection,Video shot boundary detection using independent component analysis,Temporal Video Segmentation by Graph Partitioning,Billiards wizard: A tutoring system for broadcasting nine-ball billiards videos,Gaussian semi-Markov model based on real video multimedia traffic,Novel shot boundary detection method based on support vector machine,Trends and opportunities in consumer video content navigation and analysis,Weakly Supervised Summarization of Web Videos,A novel video shot detection technique using color anglogram and latent semantic indexing,Experience of Animate Similarity Concepts in Multimedia Database,Video shot boundary detection: A review,A novel framework of shot boundary detection for uncompressed videos,Video shot detection by motion estimation and compensation,A New Method for Shot Boundary Detection,Video Shot Detection Using Hidden Markov Models with Complementary Features,Video Abrupt Transition Detection Based on K-L Transform,Research on Video Segmentation via Active Learning,Efficient Shot Boundary Detection Based on Scale Invariant Features,A Bag-of-Feature Model for Video Semantic Annotation,Object Level Frame Comparison for Video Shot Detection,Users' response to affective film content: A narrative perspective,Formula 1 onboard camera shot detector using motion activity areas
Comparison and combination of ear and face images in appearance-based biometrics,"Kyong Chang, K. W. Bowyer, S. Sarkar, B. Victor, ",2003,238,Employing fusion of learned and handcrafted features for unconstrained ear recognition,A Dense Phase Descriptor for Human Ear Recognition,SIFT-based ear recognition by fusion of detected keypoints from color similarity slice regions,Contour Matching for 3D Ear Recognition,Recent advances in ear biometrics,Identity recognition based on the external shape of the human ear,The preliminary investigation of ear recognition using hybrid technique,Framework and estimation of ear biometrics detection for digital forensic applications,Face Recognition by Multi-Frame Fusion of Rotating Heads in Videos,On Model-Based Analysis of Ear Biometrics,Ear Recognition based on 2D Images,A novel ray analogy for enrolment of ear biometrics,Towards understanding the symmetry of human ears: A biometric perspective,Efficient human recognition system using ear and profile face,Evaluation of fusion at different levels for face recognition,Ear biometrics using jet space similarity,Coding Gabor Features for Multi-Modal Biometrics,Analysis of local descriptors features and its robustness applied to ear recognition,Fusion in multimodal biometric using iris and ear,Image Feature Extraction Methods for Ear Biometrics--A Survey,Multimodal Cryptosystem Based on Fuzzy Commitment,A review on 2D ear recognition,Ear Biometrics Using 2D and 3D Images,Empirical Evaluation of Advanced Ear Biometrics,Shape Model-Based 3D Ear Detection from Side Face Range Images,Are External Face Features Useful for Automatic Face Classification?,3D morphable model construction for robust ear and face recognition,Multi-Sensory Face Biometric Fusion (for Personal Identification),Multi-Sensory Face Biometric Fusion (for Personal Identification),HERO: Human Ear Recognition against Occlusions
