An ontology approach to object-based image retrieval,"V. Mezaris, I. Kompatsiaris, M. G. Strintzis, ",2003,31,An Ontology-based Approach to Retrieve Digitized Art Images,Hair style retrieval by semantic mapping on informative patches,Content Based Retrieval of X-ray Images Using Fusion of Spectral Texture and Shape Descriptors,Visual Taxonomy for Professional Image Retrieval and Automated Annotation of Images,Ontology-Based Approach for Online Arabic Character Recognition,A New Approach for Interactive Image Retrieval Based on Fuzzy Feedback and Support Vector Machine,Overview of content-based image retrieval with high-level semantics,High Level Semantic Retrieval of Thangka Image Based on C-K Relation Net,Complementary semantic model for content-based image retrieval,A knowledge-based approach to domain-specific compressed video analysis,The approach of using fractal dimension and linguistic descriptors in CBIR,Semantic Strategic Satellite Image Retrieval,Semantic-Based Image Retrieval Using Fuzzy Domain Ontology,Domain ontology based efficient image retrieval,A Practical Image Retrieval Framework for Tourism Industry,Efficient content based image retrieval based on Semantic Object Detection,Wrapper-Based Feature Subset Selection for Rapid Image Information Mining,Visual ontology query language,How to compare search engines in CBIR?,Real-time compressed-domain spatiotemporal segmentation and ontologies for video indexing and retrieval,Remote Sensing Image Retrieval by Scene Semantic Matching,Fine-Grained Image Search,Integrating a Priori Probabilistic Knowledge into Classification for Image Description,Texture image evaluation and searching by statistical size-intensity features
Spoken language understanding,"Renato De Mori, Frederic Bechet, Dilek Hakkani-Tur, Michael McTear, Giuseppe Riccardi, Gokhan Tur, ",2008,31,Robust understanding of spoken Chinese through character-based tagging and prior knowledge exploitation,On-line adaptation of semantic models for spoken language understanding,A universal model for flexible item selection in conversational dialogs,A Similarity-Based Approach to Recognizing Voice-Based Task Goals in Self-Adaptive Systems,Fast speech keyword recognition based on improved filler model,A hybrid computational model for spoken language understanding,Exploiting query click logs for utterance domain detection in spoken language understanding,Improved Viterbi Algorithm-Based HMM2 for Chinese Words Segmentation,Robust character based tagging with domain lexical features for Chinese spoken language understanding,Spoken language understanding using finite state tagger and long-range dependency parsing,Utilizing multiple speech recognizers to improve spoken language understanding performance,An effective and robust approach to Mandarin spoken language understanding in specific domain,Speech-Centric Information Processing: An Optimization-Oriented Approach,Semantic understanding by combining extended CFG parser with HMM model,Combining multiple translation systems for Spoken Language Understanding portability,Deriving local relational surface forms from dependency-based entity embeddings for unsupervised spoken language understanding,Comparing Stochastic Approaches to Spoken Language Understanding in Multiple Languages,Discriminative Reranking for Spoken Language Understanding,Personalized speech recognition for Internet of Things
Enriching Visual Knowledge Bases via Object Discovery and Segmentation,"Xinlei Chen, Abhinav Shrivastava, Abhinav Gupta, ",2014,30,Learning Everything about Anything: Webly-Supervised Visual Concept Learning,Data-driven 3D Voxel Patterns for object category recognition,POD: Discovering Primary Objects in Videos Based on Evolutionary Refinement of Object Recurrence Background and Primary Object Models,Active Image Segmentation Propagation,Joint Recovery of Dense Correspondence and Cosegmentation in Two Images,Object Co-segmentation via Graph Optimized-Flexible Manifold Ranking,Webly Supervised Semantic Segmentation,Learning Category-Specific 3D Shape Models from Weakly Labeled 2D Images,iCaRL: Incremental Classifier and Representation Learning,Combining Bottom-Up Top-Down and Smoothness Cues for Weakly Supervised Image Segmentation,Segment-Phrase Table for Semantic Segmentation Visual Entailment and Paraphrasing,Towards Computational Baby Learning: A Weakly-Supervised Approach for Object Detection,Relaxed Multiple-Instance SVM with Application to Object Discovery,Weakly Supervised Graph Based Semantic Segmentation by Learning Communities of Image-Parts,Webly Supervised Learning of Convolutional Networks,Constrained Convolutional Neural Networks for Weakly Supervised Segmentation,A Self-Paced Multiple-Instance Learning Framework for Co-Saliency Detection,Unsupervised Learning from Video to Detect Foreground Objects in Single Images,Joint object discovery and segmentation with image-wise reconstruction error,Cross-validated smooth multi-instance learning,Robust Object Co-Segmentation Using Background Prior,Understanding Blooming Human Groups in Social Networks,Subcategory-Aware Convolutional Neural Networks for Object Proposals and Detection,Automatic Image Segmentation Based on Maximal Similarity Based Region Merging,Sense discovery via co-clustering on images and text,Co-saliency detection via looking deep and wide,FlowWeb: Joint image set alignment by weaving consistent pixel-wise correspondences
Matrix Completion for Weakly-Supervised Multi-Label Image Classification,"Ricardo Cabral, Fernando De la Torre, Jo&atilde;o Paulo Costeira, Alexandre Bernardino, ",2015,30,Density-based region search with arbitrary shape for object localisation,Robust multi-label semi-supervised classification,Matrix completion for resolving label ambiguity,Self-Adaptive Matrix Completion for Heart Rate Estimation from Face Videos under Realistic Conditions,Recognizing Emotions from Abstract Paintings Using Non-Linear Matrix Completion,Deep Multi-Task Learning for Joint Prediction of Heterogeneous Face Attributes,Are They Going to Cross? A Benchmark Dataset and Baseline for Pedestrian Crosswalk Behavior,NoiseSense: A Crowd Sensing System for Urban Noise Mapping Service,Multi-label learning with globAl densiTy fusiOn Mapping features,Weighted Low-Rank Representation-Based Dimension Reduction for Hyperspectral Image Classification,Computer-Aided Endoscopic Diagnosis Without Human-Specific Labeling,A Novel Riemannian Metric Based on Riemannian Structure and Scaling Information for Fixed Low-Rank Matrix Completion,Local Rademacher Complexity for Multi-Label Learning,Computationally Efficient Truncated Nuclear Norm Minimization for High Dynamic Range Imaging,Robust and Discriminative Labeling for Multi-Label Active Learning Based on Maximum Correntropy Criterion,Multi-Label Classification by Semi-Supervised Singular Value Decomposition,ML-FOREST: A Multi-Label Tree Ensemble Method for Multi-Label Classification,Hide and seek: Uncovering facial occlusion with variable-threshold robust PCA,Fast Low-Rank Bayesian Matrix Completion With Hierarchical Gaussian Prior Models,Ranking-Preserving Low-Rank Factorization for Image Annotation With Missing Labels,Semi-supervised low-rank mapping learning for multi-label classification,Overlapping Community Detection Using Non-Negative Matrix Factorization With Orthogonal and Sparseness Constraints,Learning from Ambiguously Labeled Face Images
What Are You Talking About? Text-to-Image Coreference,"Chen Kong, Dahua Lin, Mohit Bansal, Raquel Urtasun, Sanja Fidler, ",2014,30,Visual Semantic Search: Retrieving Videos via Complex Textual Queries,Neural Module Networks,Learning Structured Inference Neural Networks with Label Relations,Natural Language Object Retrieval,MovieQA: Understanding Stories in Movies through Question-Answering,Visual7W: Grounded Question Answering in Images,Situation Recognition: Visual Semantic Role Labeling for Image Understanding,Unsupervised Visual-Linguistic Reference Resolution in Instructional Videos,Visual Dialog,Generating Descriptions with Grounded and Co-referenced People,Aligning Books and Movies: Towards Story-Like Visual Explanations by Watching Movies and Reading Books,VQA: Visual Question Answering,Flickr30k Entities: Collecting Region-to-Phrase Correspondences for Richer Image-to-Sentence Models,Unsupervised Semantic Parsing of Video Collections,Ask Your Neurons: A Neural-Based Approach to Answering Questions about Images,Learning to generalize 3D spatial relationships,What no robot has seen before — Probabilistic interpretation of natural-language object descriptions,Multimedia Hashing and Networking,Saying What You're Looking For: Linguistics Meets Video Search,Deep Visual-Semantic Alignments for Generating Image Descriptions,Retrieval of Sentence Sequences for an Image Stream via Coherence Recurrent Convolutional Networks,Phrase Localization and Visual Relationship Detection with Comprehensive Image-Language Cues,Deep multimodal semantic embeddings for speech and images,Aligning 3D models to RGB-D images of cluttered scenes,Deep visual-semantic alignments for generating image descriptions
Region Enhanced Scale-Invariant Saliency Detection,"Feng Liu, Michael Gleicher, ",2006,30,Learning to Detect A Salient Object,Warp propagation for video resizing,Leveraging stereopsis for saliency analysis,Non-local Deep Features for Salient Object Detection,Perceptual based stereoscopic content analysis using salient information dense disparity maps and modified random walk framework,A stereoscopic content analysis system with visual discomfort-aware,Segmentation-enhanced saliency detection model based on distance transform and center bias,From quaternion to octonion: Feature-based image saliency detection,Saliency detection based on Boosting learning,Nonparametric saliency detection using kernel density estimation,Saliency detection: A self-ordinal resemblance approach,Fast Salient Object Detection Based on Segments,Saliency detection based on adaptive DoG and distance transform,The Combination of SSE and Tensor Voting for Salient Points Detection in Natural Images,Salient object detection in video streams,Salient object segmentation based on graph cut,Information Theory-Based Target Detection for High-Resolution SAR Image,Registration of Images With Outliers Using Joint Saliency Map,Reliable object recognition using SIFT features,Focusness guided salient object detection,Analysis of saliency object detection algorithms for search and rescue operations,Spatiotemporal Saliency Detection and Its Applications in Static and Dynamic Scenes,Unsupervised Salient Object Segmentation Based on Kernel Density Estimation and Two-Phase Graph Cut,Esaliency (Extended Saliency): Meaningful Attention Using Stochastic Image Modeling,Learning to Detect a Salient Object,Computational versus Psychophysical Bottom-Up Image Saliency: A Comparative Evaluation Study,Salient Object Detection via Structured Matrix Decomposition,Stereoscopic Thumbnail Creation via Efficient Stereo Saliency Detection,Contrast and distribution based saliency detection in infrared images,Video structuring: From pixels to visual entities
Multiband Image Segmentation and Object Recognition for Understanding Road Scenes,"Yousun Kang, Koichiro Yamaguchi, Takashi Naito, Yoshiki Ninomiya, ",2011,28,Hierarchical Segment Learning Method for Road Objects Extraction and Classification,Class-Semantic Textons with Superpixel Neighborhoods for Natural Roadside Vegetation Classification,Wavelet based fuzzy clustering technique for the extraction of road objects,Road Type Estimation and Hierarchical Real-Time Vanishing Point Detection,Roadside vegetation classification using color intensity and moments,Spatially Constrained Location Prior for scene parsing,Aggregating pixel-level prediction and cluster-level texton occurrence within superpixel voting for roadside vegetation classification,Spatial ray features for real-time ego-lane extraction,A new performance measure and evaluation benchmark for road detection algorithms,A feature-based region growing-merging approach to color image segmentation,A new image segmentation algorithm based on modified seeded region growing and particle swarm optimization,Road segmentation via iterative deep analysis,Road detection based on the color space and cluster connecting,RvGIST: A Holistic Road Feature for Real-Time Road-Scene Understanding,Clustering based neural network approach for classification of road images,Severely noisy image segmentation via wavelet shrinkage using PSO and Fuzzy C-Means,A New Shape Feature for Vehicle Classification in Thermal Video Sequences,Monocular Road Terrain Detection by Combining Visual and Spatial Information,Vehicle Color Recognition on Urban Road by Feature Context,Cross-Domain Traffic Scene Understanding: A Dense Correspondence-Based Transfer Learning Approach,Generic Proposal Evaluator: A Lazy Learning Strategy Toward Blind Proposal Quality Assessment,A heuristic solution for noisy image segmentation using Particle Swarm Optimization and Fuzzy clustering,Patch-Based Semantic Labeling of Road Scene Using Colorized Mobile LiDAR Point Clouds
A Framework for the Recognition of High-Level Surgical Tasks From Video Images for Cataract Surgeries,"F. Lalys, L. Riffaud, D. Bouget, P. Jannin, ",2012,28,Real-time multilevel sequencing of cataract surgery videos,Automated and Objective Assessment of Surgical Training: Detection of Procedural Steps on Videotaped Performances,Normalizing videos of anterior eye segment surgeries,Automated surgical step recognition in normalized cataract surgery videos,Smart data augmentation for surgical tool detection on the surgical tray,Machine learning and coresets for automated real-time video segmentation of laparoscopic and robot-assisted surgery,Perforation risk detector using demonstration-based learning for teleoperated robotic surgery,Classification of patient's reaction in language assessment during awake craniotomy,A Chance-Constrained Programming Approach to Preoperative Planning of Robotic Cardiac Surgery Under Task-Level Uncertainty,Dynamic-Time-Warping-Based Measurement Data Alignment Model for Condition-Based Railroad Track Maintenance,Real-Time Segmentation and Recognition of Surgical Tasks in Cataract Surgery Videos,Real-Time Task Recognition in Cataract Surgery Videos Using Adaptive Spatiotemporal Polynomials,EndoNet: A Deep Architecture for Recognition Tasks on Laparoscopic Videos,SV-RCNet: Workflow Recognition From Surgical Videos Using Recurrent Convolutional Network,Tool Detection and Operative Skill Assessment in Surgical Videos Using Region-Based Convolutional Neural Networks
Instance-Aware Semantic Segmentation via Multi-task Network Cascades,"Jifeng Dai, Kaiming He, Jian Sun, ",2016,28,CNN-Based Object Segmentation in Urban LIDAR with Missing Points,G-CNN: Object Detection via Grid Convolutional Neural Network,Segmentation Mask Refinement Using Image Transformations,CNN-Based cascaded multi-task learning of high-level prior and density estimation for crowd counting,Background subtraction using encoder-decoder structured convolutional neural network,Pixelwise Instance Segmentation with a Dynamically Instantiated Network,Joint Graph Decomposition &amp; Node Labeling: Problem Algorithms Applications,FastMask: Segment Multi-scale Object Candidates in One Shot,Deep Watershed Transform for Instance Segmentation,Fully Convolutional Instance-Aware Semantic Segmentation,Scene Parsing through ADE20K Dataset,UberNet: Training a Universal Convolutional Neural Network for Low- Mid- and High-Level Vision Using Diverse Datasets and Limited Memory,Multi-scale FCN with Cascaded Instance Aware Segmentation for Arbitrary Oriented Word Spotting in the Wild,Boundary-Aware Instance Segmentation,Neural Scene De-rendering,Online Video Object Segmentation via Convolutional Trident Network,Semantic Instance Segmentation for Autonomous Driving,Mask R-CNN,SGN: Sequential Grouping Networks for Instance Segmentation,Deep Free-Form Deformation Network for Object-Mask Registration,Personalized Cinemagraphs Using Semantic Understanding and Collaborative Learning,Bots for Software-Assisted Analysis of Image-Based Transcriptomics,Feature Learning with Rank-Based Candidate Selection for Product Search,Adversarial Networks for Spatial Context-Aware Spectral Image Reconstruction from RGB,Semantic image segmentation using region-based object detector,Depth-aware object instance segmentation,Comparison of objective functions in CNN-based prostate magnetic resonance image segmentation,Edge-aware integration model for semantic labeling of rare classes,6-DoF object pose from semantic keypoints,Improved semantic segmentation for robotic applications with hierarchical conditional random fields
A hierarchical conditional random field model for labeling and segmenting images of street scenes,"Qixing Huang, Mei Han, Bo Wu, Sergey Ioffe, ",2011,28,Night-Time Road Boundary Detection with Infrared Channel Features Classifier,Nonparametric Scene Parsing with Adaptive Feature Relevance and Semantic Context,Context Driven Scene Parsing with Attention to Rare Classes,Hierarchically Gated Deep Networks for Semantic Segmentation,Unrolling Loopy Top-Down Semantic Feedback in Convolutional Deep Networks,Combining watersheds and conditional random fields for image classification,Learning a hierarchical spatio-temporal model for human activity recognition,Characterizing Layouts of Outdoor Scenes Using Spatial Topic Processes,Automatic generation of question answer pairs from noisy case logs,Robust road detection from a single image using road shape prior,Acquiring semantics induced topology in urban environments,Improved semantic segmentation for robotic applications with hierarchical conditional random fields,Patterning motor neurons in the Drosophila ventral nerve cord using latent state Conditional Random Fields,Multiclass Labeling of Very High-Resolution Remote Sensing Imagery by Enforcing Nonlocal Shared Constraints in Multilevel Conditional Random Fields Model,Scene Parsing From an MAP Perspective,Adaptive Hybrid Conditional Random Field Model for SAR Image Segmentation,Joint Segmentation of Images and Scanned Point Cloud in Large-Scale Street Scenes With Low-Annotation Cost,Learning Feature Hierarchies: A Layer-Wise Tag-Embedded Approach,A Hierarchical Spatio-Temporal Model for Human Activity Recognition,Mixtures of Conditional Random Fields for Improved Structured Output Prediction,Stacked Sequential Scale-SpaceTaylor Context,Tree-Structured Models for Efficient Multi-Cue Scene Labeling,Real-time hierarchical fusion system for semantic segmentation in offroad scenes
Active learning for semantic segmentation with expected change,"Alexander Vezhnevets, Joachim M. Buhmann, Vittorio Ferrari, ",2012,28,Quantitative analysis on mobility behaviors of fluorescent marker proteins using the graph model,Probabilistic Graphlet Cut: Exploiting Spatial Structure Cue for Weakly Supervised Image Segmentation,Active Frame Location and Detector Selection for Automated and Manual Video Annotation,Hierarchical Subquery Evaluation for Active Learning on a Graph,Active Image Segmentation Propagation,Non-uniform Subset Selection for Active Learning in Structured Data,Collaborative Active Learning of a Kernel Machine Ensemble for Recognition,Predicting Sufficient Annotation Strength for Interactive Foreground Segmentation,Active MAP Inference in CRFs for Efficient Semantic Segmentation,Weakly Supervised Graph Based Semantic Segmentation by Learning Communities of Image-Parts,Active Transfer Learning with Zero-Shot Priors: Reusing Past Datasets for Future Tasks,Multi-class Multi-annotator Active Learning with Robust Gaussian Process for Visual Recognition,Introducing Geometry in Active Learning for Image Segmentation,Putting the Scientist in the Loop -- Accelerating Scientific Progress with Interactive Machine Learning,Active online confidence boosting for efficient object classification,Stream-based Active Learning for efficient and adaptive classification of 3D objects,Weakly Supervised Human Fixations Prediction,Active Learning-Based Optimized Training Library Generation for Object-Oriented Image Classification,A Probabilistic Associative Model for Segmenting Weakly Supervised Images,From Logo to Object Segmentation,Fashion Parsing With Weak Color-Category Labels,Representative Discovery of Structure Cues for Weakly-Supervised Image Segmentation,PixNet: A Localized Feature Representation for Classification and Visual Search,Video Object Segmentation via Global Consistency Aware Query Strategy,Collaborative Active Visual Recognition from Crowds: A Distributed Ensemble Approach,Simultaneous semantic segmentation of a set of partially labeled images,Incremental Activity Modeling and Recognition in Streaming Videos,Semantic Labeling of Mobile LiDAR Point Clouds via Active Learning and Higher Order MRF
A generative model for 3D urban scene understanding from movable platforms,"Andreas Geiger, Martin Lauer, Raquel Urtasun, ",2011,28,Efficient structured prediction for 3D indoor scene understanding,Joint 2D-3D temporally consistent semantic segmentation of street scenes,Image Understanding from Experts' Eyes by Modeling Perceptual Skill of Diagnostic Reasoning Processes,Two-Class Weather Classification,Estimating the 3D Layout of Indoor Scenes and Its Clutter from Depth Sensors,Understanding High-Level Semantics by Modeling Traffic Patterns,Fast stereo matching with fuzzy correlation,Depth Structure Association for RGB-D Multi-target Tracking,On combining visual SLAM and dense scene flow to increase the robustness of localization and mapping in dynamic environments,Lighting invariant urban street classification,Integrating metric and semantic maps for vision-only automated parking,An online probabilistic road intersection detector,Off-road path and obstacle detection using monocular camera,Direct superpixel labeling for mobile robot navigation using learned general optical flow templates,Efficient scene understanding for intelligent vehicles using a part-based road representation,A new performance measure and evaluation benchmark for road detection algorithms,A real-time dense stereo matching method for critical environment sensing in autonomous driving,A Framework for Outdoor Urban Environment Estimation,StereoScan: Dense 3d reconstruction in real-time,Motion-without-structure: Real-time multipose optimization for accurate visual odometry,Scene understanding from a moving camera for object detection and free space estimation,A new concept for a cooperative fusion platform,Vision based localization stereo rig calibration and rectification,Team AnnieWAY's Entry to the 2011 Grand Cooperative Driving Challenge,Monocular Visual Scene Understanding: Understanding Multi-Object Traffic Scenes,3D Traffic Scene Understanding From Movable Platforms,Obstacle detection for self-driving cars using only monocular cameras and wheel odometry
Hierarchical Part Matching for Fine-Grained Visual Categorization,"Lingxi Xie, Qi Tian, Richang Hong, Shuicheng Yan, Bo Zhang, ",2013,28,Orientational Pyramid Matching for Recognizing Indoor Scenes,Picking Deep Filter Responses for Fine-Grained Image Recognition,Fine-Grained Image Classification via Combining Vision and Language,RIDE: Reversal Invariant Descriptor Enhancement,Template-Based Multiple Codebooks Generation for Fine-Grained Shopping Classification and Retrieval,Feature normalization for part-based image classification,Fine-grained visual categorization with fine-tuned segmentation,Fine-Grained Visual Categorization with 2D-Warping,Local depth patterns for fine-grained activity recognition in depth videos,Orientational Spatial Part Modeling for Fine-Grained Visual Categorization,Learning to Classify Fine-Grained Categories with Privileged Visual-Semantic Misalignment,Simple Techniques Make Sense: Feature Pooling and Normalization for Image Classification,Spatial Pooling of Heterogeneous Features for Image Classification,Detecting Densely Distributed Graph Patterns for Fine-Grained Image Categorization,Coarse-to-Fine Description for Fine-Grained Visual Categorization,AutoBD: Automated Bi-Level Description for Scalable Fine-Grained Visual Categorization,Object-Part Attention Model for Fine-Grained Image Classification,Fine-Grained Image Search,Task-Driven Progressive Part Localization for Fine-Grained Object Recognition,PBC: Polygon-Based Classifier for Fine-Grained Categorization,Picking Neural Activations for Fine-Grained Recognition,Fused One-vs-All Features With Semantic Alignments for Fine-Grained Visual Categorization,Deep LAC: Deep localization alignment and classification for fine-grained recognition
Language-free layout analysis,"D. J. Ittner, H. S. Baird, ",1993,27,Image patches analysis for text block identification,A fast algorithm for bottom-up document layout analysis,Document representation and its application to page decomposition,An optimization methodology for document structure extraction on Latin character documents,Handling artifacts in digitally reproduced documents,Document image understanding: geometric and logical layout,Digital mountain: from granite archive to global access,A retargetable table reader,Enhancing degraded document images via bitmap clustering and averaging,Fast identification of stop words for font learning and keyword spotting,A statistically based highly accurate text-line segmentation method,Page decomposition and signature finding via shape classification and geometric layout,Segmenting document images using diagonal white runs and vertical edges,Consensus-based table form recognition,Rule-based middle-level character detection for simplifying Thai document layout analysis,Constructing area Voronoi diagram in document images,Distinguishing mathematics notation from English text using computational geometry,Understanding the page logical structure,The layout recognition and reconstruction of Chinese documents based on Gabor filter,OCR with no shape training,On-line system setup in a cellar of a flotation plant,Fast Seamless Skew and Orientation Detection in Document Images,Statistical-based approach to word segmentation,Determination of the script and language content of document images,A family of European page readers
Multiple view semantic segmentation for street view images,"Jianxiong Xiao, Long Quan, ",2009,27,GrabCutSFM: How 3D information improves unsupervised object segmentation,Road Segmentation in Street View Images Using Texture Information,Comprehensive Automated 3D Urban Environment Modelling Using Terrestrial Laser Scanning Point Cloud,Self-localization on texture statistics,Semantic segmentation with heterogeneous sensor coverages,A fast modular scene understanding system using context-aware object detection,Automated super-voxel based features classification of urban environments by integrating 3D point cloud and image content,A bag of words approach for semantic segmentation of monitored scenes,Design flow of motion based single camera 3D mapping,Fast hybrid relocation in large scale metric-topologic-semantic map,Beat the MTurkers: Automatic Image Labeling from Weak 3D Supervision,Semantic Parsing of Street Scene Images Using 3D LiDAR Point Cloud,SUN3D: A Database of Big Spaces Reconstructed Using SfM and Object Labels,Efficient temporal consistency for streaming video scene analysis,Nonparametric Scene Parsing with Adaptive Feature Relevance and Semantic Context,Sparse Point Cloud Densification by Combining Multiple Segmentation Methods,Online Building Segmentation from Ground-Based LiDAR Data in Urban Scenes,Dynamic visual understanding of the local environment for an indoor navigating robot,Recognizing scene viewpoint using panoramic place representation,Acquiring semantics induced topology in urban environments,Real-time indoor scene understanding using Bayesian filtering with motion cues,Structure-sensitive superpixels via geodesic distance,Partial similarity based nonparametric scene parsing in certain environment
PoseShop: Human Image Database Construction and Personalized Content Synthesis,"Tao Chen, Ping Tan, Li-Qian Ma, Ming-Ming Cheng, Ariel Shamir, Shi-Min Hu, ",2013,27,BING: Binarized Normed Gradients for Objectness Estimation at 300fps,Efficient Salient Region Detection with Soft Image Abstraction,Generating Image Sequences of Augmented Road Scenarios,Non-parametric human segmentation using support vector machine,Upper Body Human Detection and Segmentation in Low Contrast Video,Efficient Edge-Aware Combined Color Quantization and Dithering,Sketch-Based Image Retrieval by Salient Contour Reinforcement,Global Contrast Based Salient Region Detection,Pose-Inspired Shape Synthesis and Functional Hybrid,Autonomous Driving Simulation for Unmanned Vehicles,Structure-Measure: A New Way to Evaluate Foreground Maps,Content-Aware Video2Comics With Manga-Style Layout
Constrained Convolutional Neural Networks for Weakly Supervised Segmentation,"Deepak Pathak, Philipp Kr&auml;henb&uuml;hl, Trevor Darrell, ",2015,27,On the interplay of network structure and gradient convergence in deep learning,Learning Transferrable Knowledge for Semantic Segmentation with Deep Convolutional Neural Network,The Cityscapes Dataset for Semantic Urban Scene Understanding,Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing,Simple Does It: Weakly Supervised Instance and Semantic Segmentation,Webly Supervised Semantic Segmentation,Weakly Supervised Semantic Segmentation Using Web-Crawled Videos,Learning Random-Walk Label Propagation for Weakly-Supervised Semantic Segmentation,Learning to Detect Salient Objects with Image-Level Supervision,Mining Object Parts from CNNs via Active Question-Answering,FC^4: Fully Convolutional Color Constancy with Confidence-Weighted Pooling,Exploiting Saliency for Object Segmentation from Image Level Labels,Weakly Supervised Cascaded Convolutional Networks,Weakly Supervised Affordance Detection,Learning Object Interactions and Descriptions for Semantic Image Segmentation,Weakly-Supervised Visual Grounding of Phrases with Linguistic Structures,SPFTN: A Self-Paced Fine-Tuning Network for Segmenting Objects in Weakly Labelled Videos,WILDCAT: Weakly Supervised Learning of Deep ConvNets for Image Classification Pointwise Localization and Segmentation,Object Region Mining with Adversarial Erasing: A Simple Classification to Semantic Segmentation Approach,Combining Bottom-Up Top-Down and Smoothness Cues for Weakly Supervised Image Segmentation,Semantic Component Analysis,Deep Dual Learning for Semantic Image Segmentation,Two-Phase Learning for Weakly Supervised Object Localization,Weakly Supervised Summarization of Web Videos,Distantly Supervised Road Segmentation,STNet: Selective Tuning of Convolutional Networks for Object Localization,Improving the discrimination between foreground and background for semantic segmentation,Weakly supervised food image segmentation using class activation maps,Transferring CNNS to multi-instance multi-label classification on small datasets,Weakly-supervised segmentation by combining CNN feature maps and object saliency maps
"Describing the scene as a whole: Joint object detection, scene classification and semantic segmentation","Jian Yao, Sanja Fidler, Raquel Urtasun, ",2012,27,Semantic object segmentation via detection in weakly labeled video,Multi-class Object Recognition and Segmentation Based on Multi-feature Fusion Modeling,Scene Parsing with Object Instances and Occlusion Ordering,What Are You Talking About? Text-to-Image Coreference,Tell Me What You See and I Will Show You Where It Is,Beat the MTurkers: Automatic Image Labeling from Weak 3D Supervision,Looking Beyond the Visible Scene,Active Frame Location and Detector Selection for Automated and Manual Video Annotation,Scene Labeling Using Beam Search under Mutex Constraints,The Role of Context for Object Detection and Semantic Segmentation in the Wild,An Exemplar-Based CRF for Multi-instance Object Segmentation,Pixelwise object class segmentation based on synthetic data using an optimized training strategy,Weakly Supervised Semantic Segmentation with a Multiscale Model,Joint Object Segmentation and Depth Upsampling,Large-scale semantic co-labeling of image sets,Convex Optimization for Scene Understanding,Multi-instance Object Segmentation with Exemplars,Augmented Multiple Instance Regression for Inferring Object Contours in Bounding Boxes,Holistic Scene Understanding for 3D Object Detection with RGBD Cameras,Object co-detection via low-rank and sparse representation dictionary learning,Object or background: Whose call is it in complicated scene classification?,Analyzing Semantic Segmentation Using Hybrid Human-Machine CRFs,A Sentence Is Worth a Thousand Pixels,Learning for Structured Prediction Using Approximate Subgradient Descent with Working Sets,Bottom-Up Segmentation for Top-Down Detection,A Higher-Order CRF Model for Road Network Extraction
3D Scene Understanding by Voxel-CRF,"Byung-Soo Kim, Pushmeet Kohli, Silvio Savarese, ",2013,26,Piecewise Planar Decomposition of 3D Point Clouds Obtained from Multiple Static RGB-D Cameras,Multi-Label Semantic 3D Reconstruction Using Voxel Blocks,Superpixel based RGB-D image segmentation using Markov random field,Discrete optimization of ray potentials for semantic 3D reconstruction,Three-Dimensional Object Detection and Layout Prediction Using Clouds of Oriented Gradients,Layered Scene Decomposition via the Occlusion-CRF,Structured Prediction of Unobserved Voxels from a Single Depth Image,ScanNet: Richly-Annotated 3D Reconstructions of Indoor Scenes,Semantic Scene Completion from a Single Depth Image,Visual-Inertial-Semantic Scene Representation for 3D Object Detection,RGBD Datasets: Past Present and Future,On the Role of Representations for Reasoning in Large-Scale Urban Scenes,Semantic Segmentation of RGB-D Images Using 3D and Local Neighbouring Features,Semantically-Aware Aerial Reconstruction from Multi-modal Data,Probabilistic Structure from Motion with Objects (PSfMO),A Rao-Blackwellized MCMC algorithm for recovering piecewise planar 3D models from multiple view RGBD images,An overview of recent progress in volumetric semantic 3D reconstruction,Multi scale CRF based RGB-D image segmentation using inter frames potentials,3DinSAR: Object 3D localization for indoor RFID applications,Dense Semantic 3D Reconstruction,Directionally Convolutional Networks for 3D Shape Segmentation,Put things in correct location: Describing the scene with contextual cues,OctNetFusion: Learning Depth Fusion from Data
Weakly-Supervised Dual Clustering for Image Semantic Segmentation,"Yang Liu, Jing Liu, Zechao Li, Jinhui Tang, Hanqing Lu, ",2013,26,Multiple Structured-Instance Learning for Semantic Segmentation with Uncertain Training Data,Deep Interactive Object Selection,Weakly Supervised Graph Based Semantic Segmentation by Learning Communities of Image-Parts,Semantic Component Analysis,Dictionary learning based superpixels clustering for weakly-supervised semantic segmentation,Weakly supervised semantic segmentation with superpixel embedding,Graph-boosted convolutional neural networks for semantic segmentation,Weakly Supervised Semantic Segmentation with a Multiscale Model,Nonnegative Matrix Cofactorization for Weakly Supervised Image Parsing,Graph spectral motion segmentation based on motion vanishing point analysis,Hierarchical image segmentation using semantic edge constraint,Weakly Supervised Multilabel Clustering and its Applications in Computer Vision,Large-Scale Sparse Learning From Noisy Tags for Semantic Segmentation,Weakly Supervised Part Proposal Segmentation From Multiple Images,PixNet: A Localized Feature Representation for Classification and Visual Search,Learning from Weak and Noisy Labels for Semantic Segmentation,Weakly-Supervised Image Annotation and Segmentation with Objects and Attributes,Image Piece Learning for Weakly Supervised Semantic Segmentation,Retrieval of Images with Objects of Specific Size Location and Spatial Configuration,Simultaneous semantic segmentation of a set of partially labeled images,Saliency Guided Dictionary Learning for Weakly-Supervised Image Parsing,ECLIPSE: Ensembles of Centroids Leveraging Iteratively Processed Spatial Eclipse Clustering
