Small sample size effects in statistical pattern recognition: recommendations for practitioners,"S. J. Raudys, A. K. Jain, ",1991,565,Single-sweep analysis of event-related potentials by wavelet networks-methodological basis and clinical application,The relative value of labeled and unlabeled samples in pattern recognition with an unknown mixing parameter,Thresholding method for dimensionality reduction in recognition systems,Off-line handwritten word recognition using a hidden Markov model type stochastic network,On the behavior of artificial neural network classifiers in high-dimensional spaces,Feature selection: evaluation application and small sample performance,A handwritten character recognition system using directional element feature and asymmetric Mahalanobis distance,Statistical pattern recognition: a review,A noise-adaptive discriminant function and its application to blurred machine-printed Kanji recognition,First-order tree-type dependence between variables and classification performance,Complexity measures of supervised classification problems,Unsupervised learning of finite mixture models,Considerations about sample-size sensitivity of a family of edited nearest-neighbor rules,Comments on Constraints on belief functions imposed by fuzzy random variables: some technical remarks on Romer/Kandel,Neural networks for classification: a survey,Growing subspace pattern recognition methods and their neural-network models,k-nearest neighbors directed noise injection in multilayer perceptron training,Class-specific feature sets in classification,On testing trained vector quantizer codebooks,Automated recognition of partial discharges,Sparse bilinear preserving projections,Real-time discrimination of battlefield ordnance using remote sensing data,An approach to image classification in ultrasound,Single sample face recognition via lower-upper decomposition,A model-based sampling and sample synthesis method for auto identification in computer vision,A robust feature selection method for noncontact biometrics based on Laser Doppler Vibrometry,Two-dimensional Exponential Discriminant Analysis and its Application to Face Recognition,SSLPE: A Semi-Supervised Local Preserving Embedding Algorithm,Analysis of Doppler Ultrasound Blood Flow Signals of Wrist Radial Artery for Discriminating Healthy People from 3 Kinds of Patients,Boosting chromatic information for face recognition
A Consistent Metric for Performance Evaluation of Multi-Object Filters,"Dominic Schuhmacher, Ba-Tuong Vo, Ba-Ngu Vo, ",2008,557,Improved multi-target multi-Bernoulli filter with modelling of spurious targets,CS versus MAP and MMOSPA for multi-target radar AOAs,Aspects of MMOSPA estimation,Optimal decomposed particle filtering of two closely spaced Gaussian targets,Distributed fusion with PHD filter for multi-target tracking in asynchronous radar system,Simplified Multitarget Tracking Using the PHD Filter for Microscopic Video Data,Metrics for Evaluating Feature-Based Mapping Performance,The Cardinality Balanced Multi-Target Multi-Bernoulli Filter and Its Implementations,Bayesian Multi-Object Filtering With Amplitude Feature Likelihood for Unknown Object SNR,Error Bounds for Joint Detection and Estimation of a Single Object With Random Finite Set Observation,Joint Detection and Estimation of Multiple Objects From Image Observations,The Multiple Model CPHD Tracker,Sensor fusion for vehicle tracking with camera and radar sensor,Adaptive noise variance identification for probability hypothesis density-based multi-target filter by variational bayesian approximations
Fast Gradient-Based Algorithms for Constrained Total Variation Image Denoising and Deblurring Problems,"Amir Beck, Marc Teboulle, ",2009,549,Fast iterative contourlet thresholding for compressed sensing MRI,Fast Weighted Total Variation Regularization Algorithm for Blur Identification and Image Restoration,No-Reference Quality Assessment of Deblurred Images Based on Natural Scene Statistics,Locally Linear Embedding-Based Motion Estimation From Truncated Projections for Computed Tomography,Iteratively Reweighted Blind Deconvolution With Adaptive Regularization Parameter Estimation,Automatic Contrast-Limited Adaptive Histogram Equalization With Dual Gamma Correction,Sparse Signal Reconstruction via Orthogonal Least Squares,Power-iterative strategy for ℓp−ℓ2 optimization for compressive sensing: Towards global solution,Neural spike train denoising by point process re-weighted iterative smoothing,Projected Nesterov's proximal-gradient signal recovery from compressive poisson measurements,Compressive imaging by generalized total variation minimization,Learning multiple granger graphical models via group fused lasso,High frequency compensated face hallucination with total variation constraint,A fast iterative reconstruction method based on the selective total variation for sparse angular CT,Sparsity-driven distributed array imaging,Extended target localization with total-variation denoising in through-the-wall-imaging,Proximal-Gradient methods for poisson image reconstruction with BM3D-Based regularization,A spatially-variant morphological regularization method for inverse problems in image processing,Fine granularity spatially adaptive regularization for TVL1 based image deblurring,Monotonicity and restart in fast gradient methods,Sparsity-promoting iterative learning control for resource-constrained control systems,Swift single image super resolution using deep convolution neural network,Choice of Regularization Parameter in Constrained Total Variational Image Restoration Model,Fast robust image restoration using a new neural fusion method?,A new fast active contour method for noise image segmentation,A sparse representation based approach for super-resolution reconstruction over geometric dictionaries and consistency of gradients,Multi-Scale Saliency-Guided Compressive Sensing Approach to Efficient Robotic Laser Range Measurements,ℓ0TV: A new method for image restoration in the presence of impulse noise,Natural Image Matting with Total Variation Regularisation,Image Segmentation Using Dictionary Learning and Compressed Random Features
Constrained restoration and the recovery of discontinuities,"D. Geman, G. Reynolds, ",1992,543,A Bayesian approach to introducing anatomo-functional priors in the EEG/MEG inverse problem,Statistical imaging and complexity regularization,Discontinuity preserving regularization of inverse visual problems,Validation of new Gibbs priors for Bayesian tomographic reconstruction using numerical studies and physically acquired data,An algorithm for detecting roads and obstacles in radar images,Bayesian image restoration: an application to edge-preserving surface recovery,An extension of Geman and Reynolds' approach to constrained restoration and the recovery of discontinuities,Prior learning and Gibbs reaction-diffusion,Bayesian estimation for homogeneous and inhomogeneous Gaussian random fields,Morphologically constrained GRFs: applications to texture synthesis and analysis,A Markov pixon information approach for low-level image description,A variational model for image classification and restoration,Dense estimation of fluid flows,Bayesian contextual classification based on modified M-estimates and Markov random fields,Deformable template models for emission tomography,Bayesian reconstruction of functional images using anatomical information as priors,Bayesian image reconstruction in SPECT using higher order mechanical models as priors,Spatio-temporal fMRI analysis using Markov random fields,Edge-preserving tomographic reconstruction with nonlocal regularization,Error concealment in MPEG video streams over ATM networks,Bayesian 2-D deconvolution: a model for diffuse ultrasound scattering,The Viterbi optimal runlength-constrained approximation nonlinear filter,Weak continuity with structural constraints,A Bayesian approach to edge detection in noisy images,A generalized Gaussian image model for edge-preserving MAP estimation,A class of robust entropic functionals for image restoration,Nonlinear image recovery with half-quadratic regularization,Stochastic modeling and estimation of multispectral image data,A fast and accurate Fourier algorithm for iterative parallel-beam tomography,Deterministic edge-preserving regularization in computed imaging
Analysis and design of optimum-amplitude nine-switch direct AC-AC converters,"A. Alesina, M. G. B. Venturini, ",1989,534,Modulation strategies based on mathematical construction method for matrix converter under unbalanced input voltages,Improved double line voltage synthesis of matrix converter for input current enhancement under unbalanced power supply,Switching strategy for six switches forced commutated cycloconverter with several advantages,Two simple overmodulation algorithms for space vector modulated three-phase to three-phase matrix converter,3-Phase 4-wire matrix converter-based voltage sag/swell generator to test low-voltage ride through in wind energy conversion systems,Three-phase bidirectional dc/ac converter using a six-leg inverter connected to a direct ac/ac converter,A New Three-Level Indirect Matrix Converter with Reduced Number of Switches,Pulse-Width-Modulation of Neutral-Point-Clamped Sparse Matrix Converter,Space vector modulated three-phase to three-phase matrix converter with input power factor correction,Direct-linked-type frequency changer based on DC-clamped bilateral switching circuit topology,New protection issues of a matrix converter: design considerations for adjustable-speed drives,Digital-signal-processor-based control of three-phase space vector modulated converters,Reduction of the input current harmonic content in matrix converters under input/output unbalance,Switching technique for current-controlled AC-to-AC converters,A novel control method for forced commutated cycloconverters using instantaneous values of input line-to-line voltages,The use of matrix converters in direct torque control of induction machines,Matrix converters: a technology review,Comparison of two current modulation strategies for matrix converters under unbalanced input voltage conditions,Passive protection strategy for a drive system with a matrix converter and an induction machine,A direct control method for matrix converters,Matrix converter modulation strategies: a new general approach based on space-vector representation of the switch state,Continuously motor-synchronized ride-through capability for matrix-converter adjustable-speed drives,Matrix converter commutation strategies with and without explicit input voltage sign measurement,Implementation of a controlled rectifier using AC-AC matrix converter theory,A guide to the application-oriented selection of AC/AC converter topologies,High-performance direct-frequency converters controlled by predictive-current loop,A general approach for the analysis of the input power quality in matrix converters,Unity input displacement factor correction principle for direct AC to AC matrix converters based on modulation strategy,Control design of matrix converter system,A simple and novel modulation technique used to obtain output voltage having a frequency multiple of input voltage frequency
Control and stabilization of nonholonomic dynamic systems,"A. M. Bloch, M. Reyhanoglu, N. H. McClamroch, ",1992,521,A survey of underactuated mechanical systems,Posture regulation for unicycle-like robots with prescribed performance guarantees,Time-varying control for exponential stabilisation of the Brockett integrator,Distributed optimal integrated tracking control for separate kinematic and dynamic uncertain non-holonomic mobile mechanical multi-agent systems,Nonlinear H_infinity Control Via Quasi-LPV Representation and Game Theory for Wheeled Mobile Robots,Reduced order model and robust control architecture for mechanical systems with nonholonomic Pfaffian constraints,Global exponential tracking control of a mobile robot system via a PE condition,Kinematically redundant robots with flexible components,Developments in nonholonomic control problems,Sliding Mode Motion Control of Nonholonomic Mobile Robots,Structural properties and classification of kinematic and dynamic models of wheeled mobile robots,Radial basis function network architecture for nonholonomic motion planning and control of free-flying manipulators,Dynamic control of 3-D rolling contacts in two-arm manipulation,Nonholonomic behavior in redundant robots under kinematic control,Steering a class of redundant mechanisms through end-effector generalized forces,Unified formulation of robotic systems with holonomic and nonholonomic constraints,Computing reduced equations for robotic systems with constraints and symmetries,Cooperation control of multiple manipulators with passive joints,Almost smooth time-invariant control of planar space multibody systems,Tracking control of uncertain dynamic nonholonomic system and its application to wheeled mobile robots,Control of a nonholonomic mobile robot using neural networks,Neural-network control of mobile manipulators,Neural network architecture for trajectory generation and control of automated car parking,Tracking control of unicycle-modeled mobile robots using a saturation feedback controller,Adaptive tracking control for nonholonomic Caplygin systems,Coordinating locomotion and manipulation of a mobile manipulator,Control problems in super-articulated mechanical systems,Control of chained systems application to path following and time-varying point-stabilization of mobile robots,Hybrid feedback laws for a class of cascade nonlinear control systems,Exponential stabilization of driftless nonlinear control systems using homogeneous feedback
The capacity of the quantum channel with general signal states,"A. S. Holevo, ",1998,506,On lossless quantum data compression with a classical helper,Quantum feedback channels,Distilling common randomness from bipartite quantum states,The private classical capacity and quantum capacity of a quantum channel,On feedback and the classical capacity of a noisy quantum channel,Concavity of the auxiliary function appearing in quantum reliability function,On the Distributed Compression of Quantum Information,Classical Capacity of Classical-Quantum Arbitrarily Varying Channels,An Information-Spectrum Approach to Classical and Quantum Hypothesis Testing for Simple Hypotheses,Making Good Codes for Classical-Quantum Channel Coding via Quantum Hypothesis Testing,Ergodic Classical-Quantum Channels: Structure and Coding Theorems,Communicating Over Adversarial Quantum Channels Using Quantum List Codes,Channel Simulation With Quantum Side Information,Capacity theorems for quantum multiple-access channels: classical-quantum and quantum-quantum capacity regions,Entanglement-Assisted Capacity of Quantum Multiple-Access Channels,A Resource Framework for Quantum Shannon Theory,Classical Capacities of Compound and Averaged Quantum Channels,Time Reversal and Exchange Symmetries of Unitary Gate Capacities,The Quantum Capacity of Channels With Arbitrarily Correlated Noise,Entanglement-Assisted Communication of Classical and Quantum Information,Trading classical communication quantum communication and entanglement in quantum Shannon theory,On the Quantum Rényi Relative Entropies and Related Capacity Formulas,Noisy Channel Coding via Privacy Amplification and Information Reconciliation,Quantum Broadcast Channels,Superactivation of the Asymptotic Zero-Error Classical Capacity of a Quantum Channel,Classical Communication Over a Quantum Interference Channel,Weak Decoupling Duality and Quantum Identification,Quantum Rate Distortion Reverse Shannon Theorems and Source-Channel Separation,Polar Codes for Classical-Quantum Channels,One-Shot Entanglement-Assisted Quantum and Classical Communication
Retinal vessel segmentation using the 2-D Gabor wavelet and supervised classification,"J. V. B. Soares, J. J. G. Leandro, R. M. Cesar, H. F. Jelinek, M. J. Cree, ",2006,503,Ocular surface vasculature recognition using curvelet transform,Retinal vessel segmentation by improved matched filtering: evaluation on a new high-resolution fundus image database,Retinal vessel segmentation using neural network,Robust retinal blood vessel segmentation using line detectors with multiple masks,Impact of ICA-Based Image Enhancement Technique on Retinal Blood Vessels Segmentation,Retinal vessel segmentation using histogram matching,Road extraction in remote sensing images based on Nonsubsampled Contourlet Transform,Size-Invariant Fully Convolutional Neural Network for vessel segmentation of digital retinal images,Retinal vessels segmentation using supervised classifiers decisions fusion,Automated segmentation of blood vessels for detection of proliferative diabetic retinopathy,A Local Adaptive Segmentation of Vascular Network from Abnormal Retinal Images,An automated blood vessel extraction algorithm in fundus images,Robust retinal vessel segmentation via clustering-based patch mapping functions,Extracting retinal vascular networks using deep learning architecture,Feature point validation for improved retina recognition,Edge enhancement for retinal vasculature caliber evaluation in prediction of cardiovascular disease,Does fractal properties of retinal vasculature vary with cardiac cycle?,Retinal vascular feature analysis using color fundus imaging,An Improved Retinal Vessel Segmentation Method Based on Supervised Learning,Graph-based minimal path tracking in the skeleton of the retinal vascular network,Temporal data mining of order entry histories for characterization of medical practice,Local entropy thresholding based fast retinal vessels segmentation by modifying matched filter,Detection of Blood Vessels in the Retina Using Gabor Filters,Automatic detection of basal cell carcinoma using vascular-extracted features from dermoscopy images,Blood vessels extraction from retinal images using combined 2D Gabor wavelet transform with local entropy thresholding and alternative sequential filter,A Fast Approach to Retinal Vessel Segmentation,Automatic Detection of Blood Vessel in Retinal Images,Personal identification system based on vascular pattern of human retina,Gabor wavelet based vessel segmentation in retinal images,Filter bank: A directional approach for retinal vessel segmentation
A general result on the stabilization of linear systems using bounded controls,"H. J. Sussmann, E. D. Sontag, Y. Yang, ",1994,491,Linear system control via saturating dynamic actuators global output-reference tracking,Anti-windup controller design for singularly perturbed systems subject to actuator saturation,Global stabilisation of complicated feedforward non-linear systems by constructing state-dependent saturation levels,Parameterisation of a special class of saturated controllers and application to mechanical systems,Stabilisation of discrete-time systems with finite-level uniform and logarithmic quantisers,Output feedback robust stabilization of uncertain linear systems with saturating controls: an LMI approach,Semiglobal stabilization of continuous-time systems with bounded inputs,Synthesis of controllers for continuous-time delay systems with saturating controls via LMIs,Slow peaking and low-gain designs for global stabilization of nonlinear systems,On simultaneous global external and global internal stabilization of critically unstable linear systems with saturating actuators,Local stabilization of discrete-time linear systems with saturating controls: an LMI-based approach,On the output regulation for linear systems in the presence of input saturation,Stabilization of exponentially unstable linear systems with saturating actuators,An LQR/LQG theory for systems with saturating actuators,An antiwindup approach to enlarging domain of attraction for linear systems subject to actuator saturation,Control of linear systems with saturating actuators,Adaptive tracking designs for input-constrained linear systems using backstepping,Semi-global output regulation for linear systems subject to input saturation-a low-and-high gain design,Global stabilization and restricted tracking for linear systems subject to input and measurement saturation-a chain of integrators case,Control of linear unstable systems with constraints,Admissible polyhedra for discrete-time linear systems with saturating controls,Stabilization and regulation of linear systems with saturated and rate-limited actuators,Semi-global stabilization of linear systems with position and rate limited actuators,Achieving maximum regions of attraction for unstable linear systems with control constraints,Control of constrained nonlinear systems via reference management,Local stabilization of discrete-time linear systems with saturating controls: an LMI-based approach,Optimal control of nonlinear continuous-time systems: design of bounded controllers via generalized nonquadratic functionals,Global stabilization of nonlinear systems with marginally unstable free dynamics by small controls,Global predictive stabilization of input-saturated linear systems,Piecewise-linear robust control of systems with input constraints
A geometric approach to nonlinear fault detection and isolation,"C. De Persis, A. Isidori, ",2001,491,Diagnosability Analysis Considering Causal Interpretations for Differential Constraints,Additive Change Detection in Nonlinear Systems With Unknown Change Parameters,Actuators and sensors fault detection for robot manipulators via second order sliding mode observers,Fault detection for nonlinear non-affine systems via sliding-mode output-feedback and HOSM differentiator,A mixed-integer formulation for fault detection and diagnosis: modelling and an illustrative example,Application of parameter intervals based fault isolation and identification approach in fault tolerant control system for nonlinear dynamic systems,Nonlinear dynamic system sensor fault isolation using parameter interval based method,Simultaneous stabilization for a class of uncertain systems via sliding-mode-based output feedback controller,A Semantic Centric Fault Diagnostic Model Compiling Approach Based Artificial Immune System,A set based probabilistic approach to threshold design for optimal fault detection,Unknown input reconstruction: A comparison of system inversion and sliding mode observer based techniques,Robust adaptive simultaneous state and fault estimation for nonlinear systems: Application to an aerodynamical system,Logic-dynamic approach to the robust fault diagnosis in nonlinear systems,Energetic approach for actuator fault accommodation: Application to bilateral teleoperation,Satellite attitude active FTC based on Geometric Approach and RBF Neural Network,Reconfigurable fault-tolerant control using GIMC structure,Invariant subspaces for LPV systems and their applications,Residual generation for fault diagnosis in linear time-varying systems,Sensor bias fault isolation in a class of nonlinear systems,On the approximation of fault directions for mutual detectability: an invariant zero approach,Fault Accommodation for Nonlinear Dynamic Systems,Fault Detection Schemes for Continuous-Time Stochastic Dynamical Systems,Fault Detection and Isolation of Distributed Time-Delay Systems,A Geometric Approach to Fault Detection and Isolation of Continuous-Time Markovian Jump Linear Systems,Fault Detection and Isolation of Linear Impulsive Systems,Robust Inversion Based Fault Estimation for Discrete-Time LPV Systems,Fault Tolerant Control of Multi-Hop Control Networks,Reduced-Order Quadratic Kalman-Like Filtering of Non-Gaussian Systems,A Distributed Fault Detection Filtering Approach for a Class of Interconnected Continuous-Time Nonlinear Systems,Fault Detection and Isolation in Inertial Measurement Units Based on Bounding Sets
Emergent Behavior in Flocks,"Felipe Cucker, Steve Smale, ",2007,490,Coordinated attitude motion control of multiple rigid bodies on manifold SO(3),Leader-following consensus of non-linear multi-agent systems with jointly connected topology,Pinning consensus for multi-agent systems with non-linear dynamics and time-varying delay under directed switching topology,Containment control for multi-agent systems via impulsive algorithms without velocity measurements,Robustness of Cucker–Smale flocking model,Flocking motion of multi-agent system by dynamic pinning control,Distributed parameter methods for moving sensor networks in unison,Learning theory with consensus in reproducing kernel Hilbert spaces,Decentralised minimal-time dynamic consensus,Bayesian hybrid estimation of LTI networked systems using finite set statistics,A decentralized convergent nearest neighbor spatial consensus control protocol,Control of multiscale model for social dynamics,Gradient flows for organizing multi-agent system,Control of the 1D continuous version of the Cucker-Smale model*,Models and Algorithms for Detection and Tracking of Coordinated Groups,Cucker-smale flocking under asynchronous update dynamics,Synthesis of Cucker-Smale type flocking via Mean Field stochastic control theory: Nash equilibria,Distributed flocking control of mobile robots by bounded feedback,Robust cooperative tracking protocol design for networked higher order nonlinear systems via adaptive second order sliding mode,Theorems about ergodicity and class-ergodicity of chains with applications in known consensus models,Robust adaptive flocking control of nonlinear multi-agent systems,Consensus-based rendezvous,Consensus tracking algorithms with estimation for multi-agent system,Decentralized Control of Connectivity for Multi-Agent Systems,Convergence of a class of multi-agent systems in probabilistic framework,Stability of a second order consensus algorithm with time delay,Geometric ergodicity of the distributional consensus problem in vehicle network control,Cooperative control with adaptive graph Laplacians for spacecraft formation flying,Opinion dynamics for agents with opinion-dependent connections,Stabilizability of a group of single integrators and its application to decentralized formation problem
Graph visualization and navigation in information visualization: A survey,"I. Herman, G. Melancon, M. S. Marshall, ",2000,488,Visual knowledge exploration and discovery from different points of view,A multi-level middle-out cross-zooming approach for large graph analytics,Visual analysis of graphs with multiple connected components,Orion: A system for modeling transformation and visualization of multidimensional heterogeneous networks,Visual social network analytics for relationship discovery in the enterprise,Exploring agent-based simulations using temporal graphs,Analyzing high-dimensional multivaríate network links with integrated anomaly detection highlighting and exploration,3D viewing of model sensitivity properties in MIMO controllers,The Dominance Tree in Visualizing Software Dependencies,Requirements of Software Visualization Tools: A Literature Survey,Onion Graphs for Focus+Context Views of UML Class Diagrams,Task-specific source code dependency investigation,3D Hierarchical Edge bundles to visualize relations in a software city metaphor,A visual analysis and design tool for planning software reengineerings,The value of visualization,Relo: Helping Users Manage Context during Interactive Exploratory Visualization of Large Codebases,Down to Earth - How to Visualize Traffic on High-dimensional Torus Networks,VIPACT: A Visualization Interface for Analyzing Calling Context Trees,Augmenting creative design thinking using networks of concepts,An ecosystem of tools and methods for archeological research,IMLours: Indoor mapping and localization using time-stamped WLAN received signal strength,On scheduling of real-time sensing tasks in mobile crowd sensing,Hierarchical Graph Models and Information Visualizaion,Discovering Research Communities by Clustering Bibliographical Data,Backbone Discovery in Social Networks,Trust Network Visualization Based on Force-Directed Layout,An open visualization toolkit for reverse architecting,Experience with FADE for the visualization and abstraction of software views,On evaluating the layout of UML class diagrams for program comprehension,SimPHO: An ontology for simulation modeling of population health
High-Resolution Radar via Compressed Sensing,"Matthew A. Herman, Thomas Strohmer, ",2009,474,Omni-gradient-based total variation minimisation for sparse reconstruction of omni-directional image,Fast two-dimensional sparse Bayesian learning with application to pulse Doppler multiple-input–multiple-output radars,Exploitation of antenna directivity for compressed indoor radar imaging with ghost suppression,Robust STAP algorithm based on knowledge-aided SR for airborne radar,Robust smoothed ℓ<sub>0</sub>-norm based approach for MIMO radar target estimation,Fast 2D super resolution ISAR imaging method under low signal-to-noise ratio,Cauchy diversity measures: a novel methodology for enhancing sparsity in compressed sensing,Coprime Interpolation and Compressive Sensing for Future Heterogeneous Network Towards 5G,Compressed sensing for MIMO radar - algorithms and performance,Some theoretical results for compressed MIMO radar,Compressive sensing for synthetic aperture radar in fast-time and slow-time domains,Compressive recovery of 2-D off-grid frequencies,Gridless methods for underdetermined source estimation,Efficient linear time-varying system identification using chirp waveforms,An adaptive greedy pursuit algorithm for pulse-Doppler radar,Comparison of l1-Minimization and Iteratively Reweighted least Squares-l p-Minimization for Image Reconstruction from Compressive Sensing,Learning sparse doubly-selective channels,Performance analysis of support recovery with joint sparsity constraints,Tomography of well localized ionospheric irregularities (LII) based on P-band spaceborne SAR,Compressed sensing through a pipe,Improved compressive sensing with antenna directivity for TWRI,MIMO ground penetrating radar imaging using total variation minimization,Compressive Sensing in ISAR spectrogram data transmission,2-Dimensional high-quality reconstruction of compressive measurements of phased array weather radar,Fast high-quality three-dimensional reconstruction from compressive observation of phased array weather radar,Structure based Bayesian sparse reconstruction using non-Gaussian prior,Minimum complexity pursuit,Compressive sensing off the grid,Golay complementary waveforms for sparse delay-Doppler radar imaging,Resource-efficient parametric recovery of linear time-varying systems
"Peak-to-mean power control in OFDM, Golay complementary sequences, and Reed-Muller codes","J. A. Davis, J. Jedwab, ",1999,466,Analysis of the ambiguity function for phase-coded waveforms,Row-correlation function: A new approach to complementary code matrices,Spectrum suppression and BER improvement in nonlinear OFDM systems using complementary sequences with error correction,Chaotic Interleaving scheme for PAPR reduction in Cognitive Radio Systems,Filter bank representation of complementary sequence pairs,In-Band Coding for Power Reduction in Multiple-Subcarrier Modulated Wireless Optical Systems,Using the union algorithm of SLM and PTS to reduce PAPR in OFDM system,Using the union algorithm of SLM and PTS to reduce PAPR in OFDM system,CF technique with CPM mappers in OFDM systems for reduction of PAPR,Low peak to average power ratio Turbo Block QPSK coded OFDM,Greatest common divisor matrix based phase sequence for PAPR reduction in OFDM system with low computational overhead,Novel time domain 3B/4B precoding for efficient PAPR reduction in OFDM communication systems,Identify more non-golay complementary sequences for OFDM with low PMEPR using multi-dimensional root pairs,An artificial bee colony-based SLM scheme for PAPR reduction in OFDM systems,PAPR Reduction for OFDM Scheme by New Partial Transmit Sequence Technique in Wireless Communication Systems,Enhanced concert in OFDM arrangement by PAPR declination method,Design of orthogonal subsets for M-ary spread spectrum communications with OFDM modulation,General QAM Golay complementary sequences based on binary signals as their inputs,Improvement of code rate in OFDM communication systems encoded by QAM complementary sequences,Performance comparison of two spread-spectrum-based wireless video transmission schemes,A peak to average power ratio reduction scheme in ACO-OFDM system employing constant amplitude zero auto correlation and clipping,Peak-to-Average Power Ratio Reduction of an OFDM Signal Using Signal Scrambling,A modified SLM scheme for PAPR reduction,A novel complementary sequence and PMEPR reduction in OFDM,Improved PMEPR bound on near-complementary sequences constructed by Yu and Gong,Low-complexity selected mapping scheme using cyclic-shifted inverse fast Fourier transform for peak-to-average power ratio reduction in orthogonal frequency division multiplexing systems,A Low-Complexity SLM PAPR Reduction Scheme for Interleaved OFDMA Uplink,Near-Complementary Sequences of Various Lengths and Low PMEPR for Multicarrier Communications,A Theoretical Treatment of PA Power Optimization in Clipped MIMO-OFDM Systems,Novel PMEPR Control Approach for 64- and 256-QAM Coded OFDM Systems
Sparse geometric image representations with bandelets,"E. Le Pennec, S. Mallat, ",2005,458,Image Prediction Based on Neighbor-Embedding Methods,3-D Discrete Shearlet Transform and Video Processing,Rotated Orthogonal Transform (ROT) for Motion-Compensation Residual Coding,Analysis Operator Learning and its Application to Image Reconstruction,Automatic Inpainting Scheme for Video Text Detection and Removal,Nonlocal Hierarchical Dictionary Learning Using Wavelets for Image Denoising,Translation Invariant Directional Framelet Transform Combined With Gabor Filters for Image Denoising,Quadtree Structured Image Approximation for Denoising and Interpolation,Approximation and Compression With Sparse Orthonormal Transforms,Nonlinear and Nonseparable Bidimensional Multiscale Representation Based on Cell-Average Representation,Fast Bayesian JPEG Decompression and Denoising With Tight Frame Priors,Noise Covariance Properties in Dual-Tree Wavelet Decompositions,Video Completion Using Bandlet Transform,Incremental Refinement of Computation for the Discrete Wavelet Transform,A Geometrical Study of Matching Pursuit Parametrization,Double Sparsity: Learning Sparse Dictionaries for Sparse Signal Approximation,Best Basis Compressed Sensing,A Hierarchical Bayesian Model for Frame Representation,Simultaneous Codeword Optimization (SimCO) for Dictionary Update and Learning,Image Denoising Based on Second Generation Bandelets and Multi-level Thresholding,An Improved Image Compression Algorithm Using Binary Space Partition Scheme and Geometric Wavelets,Spatial Sparsity-Induced Prediction (SIP) for Images and Video: A Simple Way to Reject Structured Interference,1-D Transforms for the Motion Compensation Residual,Graph Regularized Sparse Coding for Image Representation,Smoothlets—Multiscale Functions for Adaptive Representation of Images,Parallel Proximal Algorithm for Image Restoration Using Hybrid Regularization,Critically Sampled Wavelets With Composite Dilations,Rate-Distortion Analysis of Directional Wavelets,Combining Local Filtering and Multiscale Analysis for Edge Ridge and Curvilinear Objects Detection,Directional Lapped Transforms for Image Coding
Second-order sliding-mode observer for mechanical systems,"J. Davila, L. Fridman, A. Levant, ",2005,457,Dynamic compensator-based second-order sliding mode controller design for mechanical systems,Discrete-time non-linear state observer based on a super twisting-like algorithm,Utility of high-order sliding mode differentiators for dynamical left inversion problems,Data-driven super-twisting observer design for systems of dimension more than one,Extended state observer-based sliding mode control for PWM-based DC–DC buck power converter systems with mismatched disturbances,Disturbance attenuation for systems with second-order sliding modes via linear compensators,Super-twisting observer for second-order systems with time-varying coefficient,Observer-based controller design with disturbance feedforward framework for formation control of satellites,Distributed finite-time attitude dynamic tracking control for multiple rigid spacecraft,Second-order sliding mode observers for fault reconstruction in power networks,Parameter identification of non-linear system using traditional and high order sliding modes,Fault Reconstruction in a Leader/Follower Spacecraft System Using Higher Order Sliding Mode Observers,State Estimation and Input Reconstruction in Nonlinear Systems via Higher Order Sliding Mode Observer,Sliding-Mode State Observers for a Class of Nonlinear Continuous-Time Systems,Robust Fault Detection and Diagnosis for a Multiple Satellite Formation Flying System Using Second Order Sliding Mode and Wavelet Networks,Vehicle Parameter Estimation and Stability Enhancement using the Principles of Sliding Mode,Sliding mode adaptive state observation for time-delay uncertain nonlinear systems,On sliding mode and adaptive observers design for multicell converter,An observer based distributed controller for formation flying of satellites,Output feedback adaptive twisting control: A Lyapunov design,Block linearization control of a quadrotor via sliding mode,Evolving control for preserving connectivity among agents of network with non-cooperative moving agents,Lean and steering motorcycle dynamics reconstruction: An unknown-input HOSMO approach,On connectivity preservation in mobile wireless multi-agent/node mesh networks,High order sliding mode observer and optimum integral backstepping control for sensorless IPMSM drive,UAV circumnavigating an unknown target using range measurement and estimated range rate,Toward on-line robot vibratory modes estimation,Distributed attitude coordinated tracking control for multi-group spacecrafts based on input normalized adaptive neural network,Dominating neighbourhood observers for fault reconstruction,Load alteration fault detection and reconstruction in power networks modelled in semi-explicit differential algebraic equation form
