The Laplacian Pyramid as a Compact Image Code,"P. Burt, E. Adelson, ",1983,2639,A Research of Multiresolution Image Sequence Coding System Based on Wavelet Transform,Practical Quality Assessment for Digitized Film Content,Channel-Compatible 6-MHz HDTV Distribution Systems,Practical Quality Assessment for Digitized Film Content,Multi-focus image fusion based on multi-scale focus measures and generalized random walk,Full-focused image fusion in the presence of noise,Band level fusion using quaternion representation for extended multi-spectral face recognition,Fractional order method of image keypoints detection,Channel-Compatible 6-MHz HDTV Distribution Systems,Digital Television Broadcasting: Nondisruptive Improvement over Time,The Binomial QMF-Wavelet Transform for Multiresolution Signal Decomposition,Framing pyramids,Multiresolution direction filterbanks: theory design and applications,Block-based frequency scalable technique for efficient hierarchical coding,A Higher Density Discrete Wavelet Transform,Computation of the Para-Pseudoinverse for Oversampled Filter Banks: Forward and Backward Greville Formulas,Orthogonal and Biorthogonal FIR Hexagonal Filter Banks With Sixfold Symmetry,Overcomplete Discrete Wavelet Transforms With Rational Dilation Factors,On Bounds of Shift Variance in Two-Channel Multirate Filter Banks,Effortless Critical Representation of Laplacian Pyramid,Multiscale Local Polynomial Smoothing in a Lifted Pyramid for Non-Equispaced Data,Multi-D Wavelet Filter Bank Design Using Quillen-Suslin Theorem for Laurent Polynomials,Oversampled Graph Laplacian Matrix for Graph Filter Banks,A Multiscale Pyramid Transform for Graph Signals,Computational intelligence aspects for defect classification in aeronautic composites by using ultrasonic pulses,Fast multiresolution image operations in the wavelet domain,Efficient example-based painting and synthesis of 2D directional texture,Mixed Media Painting and Portraiture,Interactive Histology of Large-Scale Biomedical Image Stacks,A User-Assisted Approach to Visualizing Multidimensional Images
ANFIS: adaptive-network-based fuzzy inference system,"J. -S. R. Jang, ",1993,2385,Employing locality in the evolutionary generation of fuzzy rule bases,Multiobjective optimization method based on a genetic algorithm for switched reluctance motor design,Artificial intelligence and advanced mathematical tools for power quality applications: a survey,Evolution-based design of neural fuzzy networks using self-adapting genetic parameters,DENFIS: dynamic evolving neural-fuzzy inference system and its application for time-series prediction,A TSK-type recurrent fuzzy network for dynamic systems processing by neural network and genetic algorithms,A recurrent fuzzy-neural model for dynamic system identification,A rule-based fuzzy logic approach for the voltage collapse risk classification,Real-time estimation of multiple series capacitor quantity for transient stability energy margin improvement,Robust fuzzy tree model dealing with unstructured bounded data uncertainties,New membership functions for effective design and implementation of fuzzy systems,Tuning certainty factor and local weight of fuzzy production rules by using fuzzy neural network,The hierarchical expert tuning of PID controllers using tools of soft computing,A multi-step approach for modeling MIMO systems from input-output data,Neuro-fuzzy systems for computer-aided myocardial viability assessment,Adaptive fuzzy coup de fouet based VRLA battery capacity estimation,Intelligent performance management of networks for advanced manufacturing systems,Simulation of robot path planning by 3-dimensional (3D) visualization using neuro fuzzy systems (NFS),Fuzzy logic application to out-of-step protection of generators,A systematic method for fuzzy modeling from numerical data,Parameter optimization for Takagi-Sugeno fuzzy models-lessons learnt,Evolving fuzzy neural networks for supervised/unsupervised online knowledge-based learning,An intelligent control for a crawling unmanned vehicle,Detection and classification of partial discharge using a feature decomposition-based modular neural network,NeuroFAST: on-line neuro-fuzzy ART-based structure and parameter learning TSK model,A systematic neuro-fuzzy modeling framework with application to material property prediction,An approach to neuro-fuzzy filtering for communications and control,Sensorless rotor position estimation algorithm for switched reluctance motors using fuzzy logic,Fuzzy inference system for the characterization of SRM drives under normal and fault conditions,A fuzzy neural approach to localizing holes in conducting plates
Orthogonal least squares learning algorithm for radial basis function networks,"S. Chen, C. F. N. Cowan, P. M. Grant, ",1991,1907,Use of shapley value for selecting centres in RBF neural regressors,Three-phase AC/DC power-flow for balanced/unbalanced microgrids including wind/solar droop-controlled and electronically-coupled distributed energy resources using radial basis function neural networks,Fuzzy unscented transform for uncertainty quantification of correlated wind/PV microgrids: possibilistic–probabilistic power flow based on RBFNNs,Eye interference reduction in electroencephalogram recordings using a radial basic function,Prediction of NSCLC recurrence from microarray data with GEP,Linear and nonlinear ARMA model parameter estimation using an artificial neural network,Neural predictive controller for insulin delivery using the subcutaneous route,Three machine learning techniques for automatic determination of rules to control locomotion,Modeling the relationship between concurrent epicardial action potentials and bipolar electrograms,An orthogonal least squares-based fuzzy filter for real-time analysis of lung sounds,Nonlinear inverse dynamic models of gas sensing systems based on chemical sensor arrays for quantitative measurements,Neural networks for large- and small-signal modeling of MESFET/HEMT transistors,Soft fault detection and isolation in analog circuits: some results and a comparison between a fuzzy approach and radial basis function networks,Neural-network-based inverse-scattering technique for online microwave medical imaging,Optimal design of a coil arrangement for the identification of hidden ferrous objects,Environment-adaptation mobile radio propagation prediction using radial basis function neural networks,Multighost cancellation technique for HDTV systems using a derivation of the OLS learning algorithm,The K1-map reduction for pattern classifications,Radial basis function networks regression weights and the expectation-maximization algorithm,An adaptive fuzzy neural network for MIMO system model approximation in high-dimensional spaces,Simplifying fuzzy rule-based models using orthogonal transformation methods,Fuzzy function approximators with ellipsoidal regions,Dynamic fuzzy neural networks-a novel approach to function approximation,Development of a neural network based algorithm for radar snowfall estimation,Detection of rain/no rain condition on the ground based on radar observations,Retrieval of sea water optically active parameters from hyperspectral data by means of generalized radial basis function neural networks,Adaptive color image processing and recognition for varying backgrounds and illumination conditions,Computer-aided detection of breast cancer nuclei,Applying a robust heteroscedastic probabilistic neural network to analog fault detection and classification,Channel equalization using adaptive complex radial basis function networks
Networks for approximation and learning,"T. Poggio, F. Girosi, ",1990,1671,Neural-Network-Based Contact Force Observers for Haptic Applications,Control of a Speech Robot via an Optimum Neural-Network-Based Internal Model With Constraints,GPU-Accelerated Parallel Hierarchical Extreme Learning Machine on Flink for Big Data,Approximation capabilities of hierarchical hybrid systems,Nonlinear dynamic system identification using Chebyshev functional link artificial neural networks,Reducing SVM classification time using multiple mirror classifiers,Combination of hyperbolic functions for multimodal biometrics data fusion,Robust adaptive neural network control of uncertain nonholonomic systems with strong nonlinear drifts,Framelet Kernels With Applications to Support Vector Regression and Regularization Networks,Multiview Face Recognition: From TensorFace to V-TensorFace and K-TensorFace,Fusion of soft computing and hard computing in industrial applications: an overview,Knowledge bounded least squares method for the identification of fuzzy systems,Generalized sampling: a variational approach .I. Theory,Statistical analysis for multiplicatively modulated nonlinear autoregressive model and its applications to electrophysiological signal analysis in humans,Estimation and Model Selection for an IDE-Based Spatio-Temporal Model,Nonlinear System Identification: An Effective Framework Based on the Karhunen–LoÈve Transform,Adaptive Interpolation Based on PÓlya Frequency Functions,Online Implementation of Local Linear Neuro-fuzzy Technique on Partially Simulated Reaction Process,Joint object recognition and pose estimation using a nonlinear view-invariant latent generative model,Application of normalized RBF neural network to real-time VEP signal detection in noise,Non-parametric generation techniques of example-based human facial sketch,An Algorithm of Wavelet Network Learning from Noisy Data,Data Fusion Algorithm based on Functional Link Artificial Neural Networks,Using support vector machine to predict consumers’ repurchase behavior,Nonlinear time series forecasting with dynamic RBF neural networks,Fault feature extraction of rotating machinery based on wavelet transform and Self-organizing map network,Learning and recognition of 3D objects from appearance,Object recognition using steerable filters at multiple scales,Adaptive wavelet neural network for prediction of hourly NO/sub X/ and NO/sub 2/ concentrations,Local Minimax Learning of Functions With Best Finite Sample Estimation Error Bounds: Applications to Ridge and Lasso Regression Boosting Tree Learning Kernel Machines and Inverse Problems
An introduction to kernel-based learning algorithms,"K. -R. Muller, S. Mika, G. Ratsch, K. Tsuda, B. Scholkopf, ",2001,1655,Online learning in L<sup>2</sup> space with multiple Gaussian kernels,Bank Customer Churn Prediction Based on Support Vector Machine: Taking a Commercial Bank's VIP Customer Churn as the Example,Fault Detection in Distributed Climate Sensor Networks Using Dynamic Bayesian Networks,Fuzzy clustering in high-dimensional approximated feature space,Supervised Gabor-Based Kernel Locality Preserving Projections for Face Recognition,When brain and behavior disagree: Tackling systematic label noise in EEG data with machine learning,Interactive Semi-Supervised Learning for Microarray Analysis,Graph Embedding and Extensions: A General Framework for Dimensionality Reduction,A Framework for Image Segmentation Using Shape Models and Kernel Space Shape Priors,MultiK-MHKS: A Novel Multiple Kernel Learning Algorithm,Kernel Entropy Component Analysis,L₂ Kernel Classification,Maximal Linear Embedding for Dimensionality Reduction,Tensor Sparse Coding for Positive Definite Matrices,Real-Time Lexicon-Free Scene Text Localization and Recognition,Artificial neural network and support vector Machine approach for locating faults in radial distribution systems,A Classification-Based Fault Detection and Isolation Scheme for the Ion Implanter,Reducing SVM classification time using multiple mirror classifiers,Robust image segmentation using FCM with spatial constraints based on new kernel-induced distance measure,M-estimator and D-optimality model construction using orthogonal forward regression,Rank-One Projections With Adaptive Margins for Face Recognition,Discriminant Locally Linear Embedding With High-Order Tensor Data,A Volume-Based Heat-Diffusion Classifier,Subject Recognition Based on Ground Reaction Force Measurements of Gait Signals,Framelet Kernels With Applications to Support Vector Regression and Regularization Networks,Support vector machines for quality monitoring in a plastic injection molding process,Classification methods and inductive learning rules: what we may learn from theory,Kernel Ridge Regression with Lagged-Dependent Variable: Applications to Prediction of Internal Bond Strength in a Medium Density Fiberboard Process,An improved training algorithm for nonlinear kernel discriminants,Nonlinear Regularized Wiener Filtering With Kernels: Application in Denoising MEG Data Corrupted by ECG
A general regression neural network,"D. F. Specht, ",1991,1620,Image alignment by parameter hypersurface learning,Blood leakage detection during dialysis therapy based on fog computing with array photocell sensors and heteroassociative memory model,Speaker identification using multimodal neural networks and wavelet analysis,Assessment of inflow and outflow stenoses using big spectral data and radial-based colour relation analysis on in vitro arteriovenous graft biophysical experimental model,Escherichia coli bacteria detection by using graphene-based biosensor,Comparative analysis of soft computing techniques for predicting software effort based use case points,Optimal flow adjustment of veno-venoarterial extracorporeal membrane oxygenation with an adaptive prediction model: cannula sizes screening and pump speeds estimation,Predictable capability control scheme for oxygen-exchange blood flow regulation in an extracorporeal membrane oxygenation system,A neural network approach for identification and fault diagnosis on dynamic systems,ADC neural modeling,Error compensation of A/D converters using neural networks,A self-organizing network for computing a posteriori conditional class probability,Fast neural learning and control of discrete-time nonlinear systems,Multivariate classification through adaptive Delaunay-based C/spl deg/ spline approximation,Mutual information theory for adaptive mixture models,Fuzzy function approximation with ellipsoidal rules,Neural network models for a resource allocation problem,Discrete vector quantization for arbitrary distance function estimation,The Chebyshev-polynomials-based unified model neural networks for function approximation,Intelligent modeling observation and control for nonlinear systems,Robot juggling: implementation of memory-based learning,Autonomous control reconfiguration,A CAD system for the automatic detection of clustered microcalcifications in digitized mammogram films,Fuzzy logic systems for engineering: a tutorial,Global stability of generalized additive fuzzy systems,A log-linearized Gaussian mixture network and its application to EEG pattern classification,Dynamic resource allocation via video content and short-term traffic statistics,Probabilistic design of layered neural networks based on their unified framework,Modular neural networks for MAP classification of time series and the partition algorithm,Unconstrained handwritten numeral recognition based on radial basis competitive and cooperative networks with spatio-temporal feature representation
Neural network-based face detection,"H. A. Rowley, S. Baluja, T. Kanade, ",1998,1546,Banknote portrait detection using convolutional neural network,A colour face image database for benchmarking of automatic face detection algorithms,Image reduction for object recognition,Robust detection and tracking of human faces with an active camera,Face detection and pose alignment using colour shape and texture information,CFBOX/sup TM/: superimposing 3D human face on motion picture,On-line Conservative Learning for Person Detection,Multi-Pose Face Detection with Asymmetric Haar Features,Object detection based on HOG features: Faces and dual-eyes augmented reality,A fast eye location algorithm based on geometric complexity,Efficient and Robust Face Detection from Color Images,Ridgelet and BP neural network based face detection method,Human face detection in color images using skin color and template matching models for multimedia on the Web,Neural network modelling of EDFA,A characterization of visual feature recognition,Actualization of face detection in FPGA using neural network,A fuzzy transform approach to face recognition using new classifiers,Face and eye detection in images using skin color segmentation and circular hough transform,SWU-OFDB: A database for occluded face detection research,A Morphological Neural Network-Based System for Face Detection and Recognition,A New Face Detection Method with GA-BP Neural Network,Multimedia event-based video indexing using time intervals,Recognition of facial expressions and measurement of levels of interest from video,Major Cast Detection in Video Using Both Speaker and Face Information,Discriminant Subspace Analysis: An Adaptive Approach for Image Classification,Robust Multi-Speaker Tracking via Dictionary Learning and Identity Modeling,Noise Robust Face Hallucination via Locality-Constrained Representation,SRLSP: A Face Image Super-Resolution Algorithm Using Smooth Regression With Local Structure Prior,Minimization of Number of Neurons in Voronoi Diagram-Based Artificial Neural Networks,Millimeter-wave active imaging using neural networks for signal processing
Rich Feature Hierarchies for Accurate Object Detection and Semantic Segmentation,"Ross Girshick, Jeff Donahue, Trevor Darrell, Jitendra Malik, ",2014,1531,HS-Nets: Estimating Human Body Shape from Silhouettes with Convolutional Neural Networks,Automatic 3D Car Model Alignment for Mixed Image-Based Rendering,Multiview RGB-D Dataset for Object Instance Detection,Joint Semantic Segmentation and Depth Estimation with Deep Convolutional Networks,Fast Single Shot Detection and Pose Estimation,Object Recognition Using Deep Convolutional Features Transformed by a Recursive Network Structure,Multimodal Gesture Recognition Using 3-D Convolution and Convolutional LSTM,Depth Map Reconstruction for Underwater Kinect Camera Using Inpainting and Local Image Mode Filtering,Tree-Wise Discriminative Subtree Selection for Texture Image Labeling,Stacked Sparse Autoencoder-Based Deep Network for Fault Diagnosis of Rotating Machinery,An Improved Faster R-CNN for Same Object Retrieval,Personalized Image Annotation Using Deep Architecture,An Ensemble Deep Learning Method for Vehicle Type Classification on Visual Traffic Surveillance Sensors,G-CNN: Object Detection via Grid Convolutional Neural Network,Development of Home Intelligent Fall Detection IoT System Based on Feedback Optical Flow Convolutional Neural Network,Cascaded Regional Spatio-Temporal Feature-Routing Networks for Video Object Detection,Dataset Optimization for Real-Time Pedestrian Detection,Analyzing Tongue Images Using a Conceptual Alignment Deep Autoencoder,Fast Fourier Transform Networks for Object Tracking Based on Correlation Filter,Detection of Human Falls on Furniture Using Scene Analysis Based on Deep Learning and Activity Characteristics,Fast and Lightweight Object Detection Network: Detection and Recognition on Resource Constrained Devices,Perceived emotion from images through deep neural networks,Enhanced Camera Capturing Using Object-Detection-Based Autofocus on Smartphones,Enhancing RGB CNNs with depth,Multi-attribute learning for pedestrian attribute recognition in surveillance scenarios,1000fps human segmentation with deep convolutional neural networks,How to initialize the CNN for small datasets: Extracting discriminative filters from pre-trained model,Facial smile detection based on deep learning features,Hierarchical motion evolution for action recognition,Very deep convolutional neural network based image classification using small training sample size
A Fast Learning Algorithm for Deep Belief Nets,"Geoffrey E. Hinton, Simon Osindero, Yee-Whye Teh, ",2006,1503,Fault Diagnosis Based on Improved Deep Belief Network,A Dynamic Data-Driven Fine-Tuning Approach for Stacked Auto-Encoder Neural Network,SpO2 based sleep apnea detection using deep learning,Insider Threat Detection Based on Deep Belief Network Feature Representation,Hybridization of PMF and LSTM for Recommendation of Intelligent Resource,Towards Playing a 3D First-Person Shooter Game Using a Classification Deep Neural Network Architecture,Speaker-Independent Silent Speech Recognition From Flesh-Point Articulatory Movements Using an LSTM Neural Network,Unreliable memory operation on a convolutional neural network processor,A Comparative Study on Handwriting Digit Recognition Using Neural Networks,Learning Feature Representations from Change Dependency Graphs for Defect Prediction,Nonlinear system modeling using convolutional neural networks,Graphic Constellations and DBN Based Automatic Modulation Classification,Speech Quality Assessment Over Lossy Transmission Channels Using Deep Belief Networks,Deep learning for financial time series forecasting in A-Trader system,Variational Autoencoded Regression: High Dimensional Regression of Visual Data on Complex Manifold,A hybrid growing ENFN-based neuro-fuzzy system and its rapid deep learning,Tree Classification in Complex Forest Point Clouds Based on Deep Learning,A Comparative Analysis of Deep Learning Techniques for Sub-Tropical Crop Types Recognition from Multitemporal Optical/SAR Image Sequences,A Robust Restricted Boltzmann Machine for Binary Image Denoising,Intelligent Bearing Fault Diagnosis Method Combining Compressed Data Acquisition and Deep Learning,A 2D Deep Boltzmann Machine for Robust and Fast Vehicle Classification,Fine-Tuning Infinity Restricted Boltzmann Machines,Real-Time Brazilian License Plate Detection and Recognition Using Deep Convolutional Neural Networks,Polarimetrie SAR image classification based on deep belief network and superpixel segmentation,Convolutional neural network based solar photovoltaic panel detection in satellite photos,CCLearner: A Deep Learning-Based Clone Detection Approach,Broad learning system: Feature extraction based on K-means clustering algorithm,Extraction of easily interpretable representation using five-layered autoencoder,Classification of anger emotion using Japanese vowel,A multimodal biometrie system for personal identification based on deep learning approaches
Neural network ensembles,"L. K. Hansen, P. Salamon, ",1990,1437,Robust classification model for PMU-based on-line power system DSA with missing data,Ensembles of radial basis function networks for spectroscopic detection of cervical precancer,Combining multiple neural networks by fuzzy integral for robust classification,On combining classifiers,Optimal linear combination of neural networks for improving classification performance,A handwritten numeral character classification using tolerant rough set,Olfactory classification via interpoint distance analysis,Use of fuzzy-logic-inspired features to improve bacterial recognition through classifier fusion,A visual neural classifier,Robust classification of multispectral data using multiple neural networks and fuzzy integral,From conventional control to autonomous intelligent methods,Speciation as automatic categorical modularization,Evolutionary ensembles with negative correlation learning,A neural network approach to classification of sidescan sonar imagery from a midocean ridge area,Neural networks for classification: a survey,Effectiveness of artificial neural networks for first swing stability determination of practical systems,Sensor registration using neural networks,Multiple network fusion using fuzzy logic,Improving model accuracy using optimal linear combinations of trained neural networks,A review of Bayesian neural networks with an application to near infrared spectroscopy,The pandemonium system of reflective agents,Recognition and pose estimation of unoccluded three-dimensional objects from a two-dimensional perspective view by banks of neural networks,Combinations of weak classifiers,Neural-network classifiers for recognizing totally unconstrained handwritten numerals,Parallel consensual neural networks,Multiobjective genetic algorithm partitioning for hierarchical learning of high-dimensional pattern spaces: a learning-follows-decomposition strategy,Classification of seismic signals by integrating ensembles of neural networks,Critic-driven ensemble classification,Forecasting time series with genetic fuzzy predictor ensemble,An Augmented Reality Question Answering System Based on Ensemble Neural Networks
Gaussian networks for direct adaptive control,"R. M. Sanner, J. -J. E. Slotine, ",1992,1400,Helicopter nonlinear dynamic inversion flight control model design,Robust adaptive controller using universal approximators for nonlinear systems under input constraint,Robust nonlinear adaptive flight control for consistent handling qualities,A Subject-Adaptive Controller for Wrist Robotic Rehabilitation
"Fuzzy basis functions, universal approximation, and orthogonal least-squares learning","L. -X. Wang, J. M. Mendel, ",1992,1384,Adaptive fuzzy sliding mode control for large erection mechanism,Performance comparison of fused soft control/hard observer type controller with hard control/hard observer type controller for switched reluctance motors,Knowledge bounded least squares method for the identification of fuzzy systems,Channel estimation for OFDM systems using adaptive radial basis function networks,Assessment of cloud service provider quality metrics,An adaptive fuzzy logic enhancer for rejection of narrowband interference in DS-spread spectrum,Independent joint adaptive fuzzy control of robot manipulator,Constructive sufficient conditions for fuzzy logic controllers to approximate C/sup 1/ functions,Indirect adaptive fuzzy control of discrete-time nonlinear systems,Comparison and analysis of sufficient conditions for fuzzy systems as universal approximators,Approximation of C/sup 1/ functions and their derivative functions by SISO linear T-S fuzzy systems,Induction motor drives with direct torque control based on adaptive fuzzy control,A model reference adaptive control algorithm for fuzzy dynamic systems,T-S fuzzy system based on multi-resolution analysis and its function approximation,Adaptive Fuzzy Output Tracking Control of Nonlinear Systems via Backstepping,Controller Design for a Class of Nonlinear Systems Based on Fuzzy Hyperbolic Model,Kernel Method for Building Fuzzy Classifiers,Detection Algorithm and Application Based on Work Status Evaluator,Nonlinear system modeling and fault detection method using set membership estimation and T-S fuzzy model,Adaptive Fault-Tolerant Control of Rigid Body Using RBF Neural Networks,Granular Web Shopping Experts,Adaptive least trimmed squares fuzzy neural network,Fuzzy modeling method based on Rectangular Pyramid Fuzzy System,Learning Error Feedback Design of Direct Adaptive Fuzzy Control Systems,Decentralized Fault-Tolerant Control for Satellite Attitude Synchronization,Adaptive Fuzzy Control of a Class of Nonlinear Systems by Fuzzy Approximation Approach,Improved Structure Optimization for Fuzzy-Neural Networks,Fuzzy Logic System-Based Adaptive Fault-Tolerant Control for Near-Space Vehicle Attitude Dynamics With Actuator Faults,Distributive Equations of Fuzzy Implications Based on Continuous Triangular Conorms Given as Ordinal Sums,An Improved Estimation Method for Unmodeled Dynamics Based on ANFIS and Its Application to Controller Design
Cellular neural networks: applications,"L. O. Chua, L. Yang, ",1988,1364,A CNN-based passive optical range finder for real-time robotic applications,On edge and line linking with connectionist models,A cellular neural network for packet selection in a fast packet switching fabric with input buffers,Stability of a class of nonreciprocal cellular neural networks,A chaotic attractor with cellular neural networks,A CNN chip for connected component detection,On a class of nonsymmetrical neural networks with application to ADC,Cellular neural networks: theory,Stability of cellular neural networks with opposite-sign templates,Comments with reply on Chaos from third-order phase-locked loops with a slowly varying parameter by Y.-H. Chu et al,An analytic method for designing simple cellular neural networks,On the analysis of neural networks with asymmetric connection weights or noninvertible transfer functions,Cellular neural network for automated detection of geological lineaments on Radarsat images,Smart-pixel cellular neural networks in analog current-mode CMOS technology,Aspects of systems and circuits for nanoelectronics,Brain-implantable biomimetic electronics as the next era in neural prosthetics,An 0.5-/spl mu/m CMOS analog random access memory chip for TeraOPS speed multimedia video processing,Optimal solutions for cellular neural networks by paralleled hardware annealing,Color image processing in a cellular neural-network environment,A neural-network method for the nonlinear servomechanism problem,Global stability for cellular neural networks with time delay,Basic dynamics from a pulse-coupled network of autonomous integrate-and-fire chaotic circuits,A cellular neural network for clustering-based adaptive quantization in subband video compression,A CDMA communication detector with robust near-far resistance using paralleled array processors,Stability and dynamics of delay-type general and cellular neural networks,The CNN paradigm,On stability of cellular neural networks with delay,Bifurcation and chaos in cellular neural networks,Autowaves for image processing on a two-dimensional CNN array of excitable nonlinear circuits: flat and wrinkled labyrinths,The use of CNN models in the subcortical visual pathway
The Contract Net Protocol: High-Level Communication and Control in a Distributed Problem Solver,"R. G. Smith, ",1980,1357,Causal maps: theory implementation and practical applications in multiagent environments,Formalizing an engineering approach to cooperating knowledge-based systems,On agent-mediated electronic commerce,Distributed and reactive query planning in R-MAGIC: an agent-based multimedia retrieval system,DESP: a distributed economics-based subcontracting protocol for computation distribution in power-aware mobile ad hoc networks,Multiple Traveling Robot Problem: A Solution Based on Dynamic Task Selection and Robust Execution,Cloning Resource Exchange and RelationAdaptation: An Integrative Self-Organisation Mechanism in a Distributed Agent Network,An agent-based approach to reconfiguration of real-time distributed control systems,An architecture for scheduling and control in flexible manufacturing systems using distributed objects,Price-based approach for activity coordination in a supply network,Multi-robot coalition formation,IQ-ASyMTRe: Forming Executable Coalitions for Tightly Coupled Multirobot Tasks,Robust Execution of Service Workflows Using Redundancy and Advance Reservations,Agent-Based Cloud Computing,Automating Cloud Services Life Cycle through Semantic Technologies,Engineering mobile agent applications via context-dependent coordination,Frameworks for Cooperation in Distributed Problem Solving,An Optimization-Based Distributed Planning Algorithm: A Blackboard-Based Collaborative Framework,Holonic Ontology and Interaction Protocol for Manufacturing Network Organization,A Survey of Self-Organization Mechanisms in Multiagent Systems,Intelligent agent based framework for manufacturing systems control,A genetic approach for adaptive multiagent control in heterarchical manufacturing systems,Network-based distributed planning using coevolutionary agents: architecture and evaluation,What planner for ambient intelligence applications?,Agent-based modeling of supply chains for distributed scheduling,Dynamically Integrated Manufacturing Systems (DIMS)—A Multiagent Approach,Due-Date Management Through Iterative Bidding,The Rich Get Richer: Preferential Attachment in the Task Allocation of Cooperative Networked Multiagent Systems With Resource Caching,Agent-Based Interaction Protocols and Topologies for Manufacturing Task Allocation,A New Approach for the Validation of Conceptual Holonic Constructions
Deep Neural Networks for Acoustic Modeling in Speech Recognition: The Shared Views of Four Research Groups,"Geoffrey Hinton, Li Deng, Dong Yu, George E. Dahl, Abdel-rahman Mohamed, Navdeep Jaitly, Andrew Senior, Vincent Vanhoucke, Patrick Nguyen, Tara N. Sainath, Brian Kingsbury, ",2012,1334,Radar HRRP recognition based on discriminant deep autoencoders with small training data size,Speech reconstruction using a deep partially supervised neural network,Speaker verification with short utterances: a review of challenges trends and opportunities,Two-layer discriminative model for human activity recognition,Assessment of PD severity in gas-insulated switchgear with an SSAE,Artificial bandwidth extension using deep neural network-based spectral envelope estimation and enhanced excitation estimation,FPGA-based Acceleration of Deep Neural Networks Using High Level Method,Large-Scale Deep Belief Nets With MapReduce,Big Data Deep Learning: Challenges and Perspectives,Learning Deep Features for DNA Methylation Data Analysis,Hand Gesture Recognition Using Micro-Doppler Signatures With Convolutional Neural Network,Smartphone-Assisted Pronunciation Learning Technique for Ambient Intelligence,Phoneme Classification Using the Auditory Neurogram,Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning,DNN Filter Bank Cepstral Coefficients for Spoofing Detection,Enhanced Efficiency 3D Convolution Based on Optimal FPGA Accelerator,Input Layer Regularization of Multilayer Feedforward Neural Networks,Bearing Fault Diagnosis Using Fully-Connected Winner-Take-All Autoencoder,3-D BLE Indoor Localization Based on Denoising Autoencoder,3D Convolutional Neural Networks for Cross Audio-Visual Matching Recognition,Who Used My Smart Object? A Flexible Approach for the Recognition of Users,Hybrid Deep Neural Network--Hidden Markov Model (DNN-HMM) Based Speech Emotion Recognition,Sparse Autoencoder-Based Feature Transfer Learning for Speech Emotion Recognition,Recognition of emotional speech with convolutional neural networks by means of spectral estimates,Deep neural networks for anger detection from real life speech data,Evaluating Multi-Modal Speech Visualization Application for Deaf and Hard of Hearing People,On the interplay of network structure and gradient convergence in deep learning,A case study of speech recognition in Spanish: From conventional to deep approach,Deep neural networks for syllable based acoustic modeling in Chinese speech recognition,Context-dependent deep neural networks for commercial Mandarin speech recognition applications
Extreme Learning Machine for Regression and Multiclass Classification,"Guang-Bin Huang, Hongming Zhou, Xiaojian Ding, Rui Zhang, ",2012,1333,Fuzzy extreme learning machine for classification,Facial age estimation based on advanced ordinal ranking,SAR image segmentation based on analysing similarity with clutter spatial patterns,Automated detection of heart ailments from 12-lead ECG using complex wavelet sub-band bi-spectrum features,Neural class-specific regression for face verification,Indirect measurement and extreme learning machine based modelling for flux linkage of doubly salient electromagnetic machine,Wavelet-based extreme learning machine for distribution grid fault location,Chinese vehicle license plate recognition using kernel-based extreme learning machine with deep convolutional features,Selective harmonic eliminated V/f speed control of single-phase induction motor,Multiclass power quality events classification using variational mode decomposition with fast reduced kernel extreme learning machine-based feature selection,Efficient human motion capture data annotation via multi-view spatiotemporal feature fusion,High-Performance Extreme Learning Machines: A Complete Toolbox for Big Data Applications,Regularized Weighted Circular Complex-Valued Extreme Learning Machine for Imbalanced Learning,An Efficient and Effective Automatic Recognition System for Online Recognition of Foreign Fibers in Cotton,Healthcare Big Data Voice Pathology Assessment Framework,Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning,A Jacobian Matrix-Based Learning Machine and Its Applications in Medical Diagnosis,Predicting of Job Failure in Compute Cloud Based on Online Extreme Learning Machine: A Comparative Study,A New Hybrid Intelligent Framework for Predicting Parkinson’s Disease,Incremental and Decremental Extreme Learning Machine Based on Generalized Inverse,Data-Driven Inter-Turn Short Circuit Fault Detection in Induction Machines,Experimental Study on Extreme Learning Machine Applications for Speech Enhancement,Multi-Traffic Scene Perception Based on Supervised Learning,Pedestrian Dead-Reckoning Indoor Localization Based on OS-ELM,Representative Skyline Queries With Total and Partial Order Domains Using US-ELM,Action recognition using completed local binary patterns and multiple-class boosting classifier,Hyperspectral image classification using Gradient Local Auto-Correlations,Power system transient stability assessment based on online sequential extreme learning machine,Relative entropy normalized Gaussian supervector for speech emotion recognition using kernel extreme learning machine,Online sequential-extreme learning machine based detector on training-learning-detection framework
