Further developments in LP-based optimal power flow,"O. Alsac, J. Bright, M. Prais, B. Stott, ",1990,272,Optimal power flow based on successive linear approximation of power flow equations,Optimal active OPF with FACTS devices by an innovative load-equivalent approach,Real-time implementation of optimal reactive power flow,The implementation of an energy brokerage system using linear programming,Optimal power flow emulation of interchange brokerage systems using linear programming,Features of a hybrid expert system for security enhancement,Network constrained security control using an interior point algorithm,Sensitivity-based reactive power control for voltage profile improvement,Implementation of the import optimizer function for Florida Power and Light,Reactive power optimization using fuzzy load representation,A direct nonlinear predictor-corrector primal-dual interior point algorithm for optimal power flows,Application of fuzzy sets to optimal reactive power planning with security constraints,Active-reactive coupling in optimal reactive dispatch: a solution via Karush-Kuhn-Tucker optimality conditions,Application of decomposition techniques to VAr planning: methodological and computational aspects,A simple two stage optimization algorithm for constrained power economic dispatch,A load flow and fuzzy linear programming based external network modeling approach,Static security in power system operation with fuzzy real load conditions,AI approach to optimal VAr control with fuzzy reactive loads,Effect of EMF on minimum cost power transmission,A hybrid tool to assist the operator in reactive power/voltage control and optimization,Linear programming based optimal power flow using second order sensitivities,Short-term generation scheduling with transmission and environmental constraints using an augmented Lagrangian relaxation,Optimization method for reactive power planning by using a modified simple genetic algorithm,OPF for reactive pricing studies on the NGC system,Fuzzy constraint enforcement and control action curtailment in an optimal power flow,A hybrid decoupled approach to optimal power flow,Application of interior point methods to power flow unsolvability,A methodology for probabilistic simultaneous transfer capability analysis,Critical cases in the optimal power flow,Remote cranking of steam electric stations
Incorporating PV Inverter Control Schemes for Planning Active Distribution Networks,"Sultan S. AlKaabi, Vinod Khadkikar, H. H. Zeineldin, ",2015,10,Stochastic assessment of distributed generation hosting capacity and energy efficiency in active distribution networks,Constraint models of voltage fluctuation limit on OLTC/SVR caused by DG power fluctuation and generator disconnection to assess their impacts on DG penetration limit,Evaluation of technical and financial benefits of battery-based energy storage systems in distribution networks,Methods and strategies for overvoltage prevention in low voltage distribution systems with PV,Adaptive planning approach for customer DG installations in smart distribution networks,Optimal scheduling of active distribution network based on demand respond theory,Internet information applied in the energy internet planning: A review and outlook,Impacts of large-scale photovoltaic generation penetration on power system spinning reserve allocation,Adaptive Power Management Strategy for Effective Volt–Ampere Utilization of a Photovoltaic Generation Unit in Standalone Microgrids,Distributed Generation Hosting Capacity Evaluation for Distribution Systems Considering the Robust Optimal Operation of OLTC and SVC,Thermal and Reliability Assessment for Wind Energy Systems With DSTATCOM Functionality in Resilient Microgrids,Identification of Critical Switches for Integrating Renewable Distributed Generation by Dynamic Network Reconfiguration
Sensor Scheduling using a 0-1 Mixed Integer Programming Framework,"A. S. Chhetri, D. Morrell, A. Papandreou-Suppappola, ",2006,10,Feasibility analysis on optimal sensor selection in cyber-physical systems,Energy Efficient Policies for Distributed Target Tracking in Multihop Sensor Networks,Cooperative distributed target tracking algorithm in mobile wireless sensor networks,Dual phase consensus algorithm for distributed sensor management,Efficient Sensor Management Policies for Distributed Target Tracking in Multihop Sensor Networks,Sensor Self-Organization for Mobile Multi-Target Tracking in Decentralized Wireless Sensor Networks,Distributed Sensor Allocation for Multi-Target Tracking in Wireless Sensor Networks
Thermal-aware steiner routing for 3D stacked ICs,"Mohit Pathak, Sung Kyu Lim, ",2007,10,Co-design of signal power and thermal distribution networks for 3D ICs,Routing optimization of multi-modal interconnects in 3D ICs,A scanisland based design enabling prebond testability in die-stacked microprocessors,Thermal-aware mapping of streaming applications on 3D Multi-Processor Systems,Co-design of reliable signal and power interconnects in 3D stacked ICs,Co-Optimization of signal power and thermal distribution networks for 3D ICs,A thermal and congestion driven global router for 3D integrated circuits,A fuzzified approach towards global routing in VLSI layout design,Co-Optimization and Analysis of Signal Power and Thermal Interconnects in 3-D ICs,Design of application-specific 3D Networks-on-Chip architectures
Hybrid Control of a Supermarket Refrigeration Systems,"Daniel Sarabia, Flavio Capraro, Lars F. S. Larsen, Cesar de Prada, ",2007,10,Hybrid model predictive control of multi-compressor vapor compression systems,Hybrid Nonlinear Model-Predictive Control of a Supermarket Refrigeration System,Control of delay dominant systems with costs related to switching,Dwell-time approach to stability analysis for hybrid control systems: Application to an industrial refrigeration process,Energy-Optimal Control of an Automotive Air Conditioning System for Ancillary Load Reduction,L-Band SBQP-based MPC for supermarket refrigeration systems,Dwell-time approach to input-output stability properties for discrete-time linear hybrid systems,Control of systems with costs related to switching: applications to air-condition systems
Survey of reactive power planning methods,"Wenjuan Zhang, L. M. Tolbert, ",2005,10,Reactive Power Planning - sequential approach,Impact of reactive-power optimization on voltages in a power system,Improvement of power flow convergence using switched shunt jacobian,Market oriented reactive power expansion planning using locational marginal price,A Resilient Real-Time System Design for a Secure and Reconfigurable Power Grid,Reactive planning considering Offshore Wind Power generation,Proposed Shunt Rounding Technique for Large-Scale Security Constrained Loss Minimization,Application of metaheuristic methods to reactive power planning: a comparative study for GA PSO and EPSO,A PSO Approach for VAR Planning Considering the Slow and Fast VAR Devices Prices,A Resilient Real-Time Agent-Based System for a Reconfigurable Power Grid
Automatic Checking of Conformance to Requirement Boilerplates via Text Chunking: An Industrial Case Study,"Chetan Arora, Mehrdad Sabetzadeh, Lionel Briand, Frank Zimmer, Raul Gnaga, ",2013,9,Addressing the challenges of requirements ambiguity: A review of empirical literature,A proposal for quality assessment model for software requirements specification in Indonesian language for e-Government,Semantically Enhanced Software Traceability Using Deep Learning Techniques,A simplified systematic literature review: Improving Software Requirements Specification quality with boilerplates,Requirement boilerplates: Transition from manually-enforced to automatically-verifiable natural language patterns,Change impact analysis for Natural Language requirements: An NLP approach,Combining Xtext and OSLC for Integrated Model-Based Requirements Engineering,Automated Checking of Conformance to Requirements Templates Using Natural Language Processing
Enhancing the determination of aspect categories and their polarities in Arabic reviews using lexicon-based approaches,"Islam Obaidat, Rami Mohawesh, Mahmoud Al-Ayyoub, Mohammad AL-Smadi, Yaser Jararweh, ",2015,9,Emotion analysis of Arabic articles and its impact on identifying the author's gender,Building a standard dataset for Arabie sentiment analysis: Identifying potential annotation pitfalls,Evaluating SentiStrength for Arabic Sentiment Analysis,An enhanced framework for aspect-based sentiment analysis of Hotels' reviews: Arabic reviews case study,Using Aspect-Based Sentiment Analysis to Evaluate Arabic News Affect on Readers,A review of recent aspect extraction techniques for opinion mining systems
Arabic collocations extraction using Gate,"Soraya Zaidi, M-T. Laskri, Ahmed Abdelali, ",2010,9,OntoEDS: Protecting Energy Delivery Systems by Collaboratively Analyzing Security Requirements,Towards Ontology Construction from Arabic Texts-A Proposed Framework,Identifying concept from English translated Quran,Extracting N-gram terms collocation from tagged Arabic corpus,A Rule-Based Annotation System to Extract Tajweed Rules from Quran,Decision making approach using ontologies: Application on sacred texts,Challenges in Information Retrieval from Unstructured Arabic Data
Social Media Analytics for Smart Health,"Ahmed Abbasi, Donald Adjeroh, Mark Dredze, Michael J. Paul, Fatemeh Mariam Zahedi, Huimin Zhao, Nitin Walia, Hemant Jain, Patrick Sanvanson, Reza Shaker, Marco D. Huesch, Richard Beal, Wanhong Zheng, Marie Abate, Arun Ross, ",2014,9,METEOR: An Enterprise Health Informatics Environment to Support Evidence-Based Medicine,Online Behavioral Advertising (OBA) with privacy protection
CAPTCHA for Blind People,"Mohammad Shirali-Shahreza, Sajad Shirali-Shahreza, ",2007,9,Spoken captcha: A captcha system for blind users,CAPTCHA systems for disabled people,Dynamic CAPTCHA,Bibliography of works done on CAPTCHA,A Study of Human Bio-detection Function under Text-Based CAPTCHA System
Textual risk mining for maritime situational awareness,"Amir H. Razavi, Diana Inkpen, Rafael Falcon, Rami Abielmona, ",2014,9,Risk management with hard-soft data fusion in maritime domain awareness,Soft-data-driven resource management for concurrent maritime security operations,Fuzzy/human risk analysis for maritime situational awareness and decision support,Context-driven dynamic Risk Management for maritime domain awareness,Maritime Traffic Probabilistic Forecasting Based on Vessels’ Waterway Patterns and Motion Behaviors
Towards supporting on-demand virtual remodularization using program graphs,"David Shepherd, Lori Pollock, K. Vijay-Shanker, ",2006,9
Phrase-based text representation for managing the Web documents,"R. Sharma, S. Raman, ",2003,9,Feature Selection and Term Weighting,Pattern document weight discovery for text classification mining,Relevance Feature Discovery for Text Mining,Effective Pattern Discovery for Text Mining,Clustering of short commercial documents for the web,Deploying Approaches for Pattern Refinement in Text Mining,An approach to online text generation for e-learning purposes
A Fast LP Approach for Enhanced Utilization of Variable Impedance Based FACTS Devices,"Mostafa Sahraei-Ardakani, Kory W. Hedman, ",2016,9,Resiliency oriented integration of DSRs in transmission networks,Control of an SSSC for oscillation damping of power systems with wind turbine generators,Optimal investment on series FACTS device considering contingencies,Impacts of communication limits on convergence of distributed DCOPF with flexible transmission,The link between power flow control technologies: Topology control and FACTS,A flow direction enforcing approach for economic dispatch with adjustable line impedance,Day-Ahead Corrective Adjustment of FACTS Reactance: A Linear Programming Approach,Transfer Capability Improvement Through Market-Based Operation of Series FACTS Devices,Computationally Efficient Adjustment of FACTS Set Points in DC Optimal Power Flow With Shift Factor Structure,Corrective Control With Transient Assistive Measures: Value Assessment for Great Britain Transmission System,Real-Time Contingency Analysis With Corrective Transmission Switching,A Five-Level MILP Model for Flexible Transmission Network Planning Under Uncertainty: A Min–Max Regret Approach,The Interdependence Between Transmission Switching and Variable-Impedance Series FACTS Devices
"Full spectrum opinion mining: integrating domain, syntactic and lexical knowledge","Daniel J. Olsher, ",2012,9,Novel methods for energy-based cultural modeling and simulation: Why eight is great in Chinese culture,COGVIEW &amp; INTELNET: Nuanced energy-based knowledge representation and integrated cognitive-conceptual framework for realistic culture values and concept-affected systems simulation,Cognitive-cultural simulationof local and host government perceptions in international emergencies,Cognitive/AI peacekeeping decision support models,Learning the Roles of Directional Expressions and Domain Concepts in Financial News Analysis,HAPPINESS/SUFFERING factors recognition based on point-wise mutual information,New Avenues in Opinion Mining and Sentiment Analysis,An interpretation of sentiment analysis for enrichment of Business Intelligence
Investigations on features for log-linear acoustic models in continuous speech recognition,"S. Wiesler, M. Nu&szlig;baum-Thom, G. Heigold, R. Schl&uuml;ter, H. Ney, ",2009,9,Discriminative HMMS log-linear models and CRFS: What is the difference?,A convergence analysis of log-linear training and its application to speech recognition,Subspace pursuit method for kernel-log-linear models,Kernelized log linear models for continuous speech recognition,A critical evaluation of stochastic algorithms for convex optimization,Integrating Gaussian mixtures into deep neural networks: Softmax layer with hidden variables,Image recognition based on discriminative models using features generated from separable lattice HMMS,Structural Classification Methods Based on Weighted Finite-State Transducers for Automatic Speech Recognition,Structured Discriminative Models For Speech Recognition: An Overview
Effect of Nonlinear Phase Noise on the Performance of $M$-Ary PSK Signals in Optical Fiber Links,"Nimal Ekanayake, H. M. Vijitha R. Herath, ",2013,9,Nonlinear decision boundary created by a machine learning-based classifier to mitigate nonlinear phase noise,Design of APSK Constellations for Coherent Optical Channels with Nonlinear Phase Noise,Optimum Detection of Two-Dimensional Carrier Modulations With Linear Phase Noise Using Received Amplitude and Phase Information and Performance Analysis,Nonparameter Nonlinear Phase Noise Mitigation by Using M-ary Support Vector Machine for Coherent Optical Systems,Nonlinearity Mitigation Using a Machine Learning Detector Based on  $k$ -Nearest Neighbors,Performance of QAM signals in optical fiber links in the presence of nonlinear phase noise,K-Nearest Neighbor Detector for Enhancing Performance of Optical Phase Conjugation System in the Presence of Nonlinear Phase Noise
Receding-Horizon Nonlinear Kalman (RNK) Filter for State Estimation,"Raghunathan Rengaswamy, Shankar Narasimhan, Vidyashankar Kuppuraj, ",2013,8,Data driven approach for performance assessment of linear and nonlinear Kalman filters,Receding horizon estimation for linear discrete-time systems with multi-channel observation delays,Constrained multi-rate state estimator incorporating delayed measurements,Utilizing Out-of-Sequence Measurement for Ambiguous Update in Particle Filtering,Ubiquitous Monitoring for Industrial Cyber-Physical Systems Over Relay- Assisted Wireless Sensor Networks
Class Diagram Extraction from Textual Requirements Using Natural Language Processing (NLP) Techniques,"Mohd Ibrahim, Rodina Ahmad, ",2010,8,From natural language requirements to UML class diagrams,An efficient automated design to generate UML diagram from Natural Language Specifications,Validation of Non-functional Requirements in Cloud Based Systems (Short Paper),Semantic-based extraction approach for generating source code summary towards program comprehension,Semantic information extraction for software requirements using semantic role labeling,Automated generation of activity and sequence diagrams from natural language requirements,ZDLC for the Early Stages of the Software Development Life Cycle
Enhancing Twitter Data Analysis with Simple Semantic Filtering: Example in Tracking Influenza-Like Illnesses,"Son Doan, Lucila Ohno-Machado, Nigel Collier, ",2012,8,Identification and Validation of Real-Time Health Events through Social Media,Semantic Filtering in Social Media for Trend Modeling,Information Cascades in Feed-Based Networks of Users with Limited Attention,Selecting the best open source tools for collecting and visualzing social media content
Shape of the story: story visualization techniques,"X. Zeng, Q. H. Mehdi, N. E. Gough, ",2003,8,Manipulation guide using contact constraints for construction of 3D composite objects,Automatic 3D scene generation based on Maya,3D object layout by voice commands based on contact constraints,Vishit: A Visualizer for Hindi Text,A new framework for automatic 3D scene construction from text description,Virtual Space Construction Based on Contact Constraints Using Robot Vision Technology for 3D Graphics Applications,A Review of Scene Visualization Based on Language Descriptions
A Unified Pseudospectral Computational Framework for Optimal Control of Road Vehicles,"Shaobing Xu, Shengbo Eben Li, Kun Deng, Sisi Li, Bo Cheng, ",2015,8,Design and Comparison of Fuel-Saving Speed Planning Algorithms for Automated Vehicles,A Gain-Scheduling Driver Assistance Trajectory-Following Algorithm Considering Different Driver Steering Characteristics,Instantaneous Feedback Control for a Fuel-Prioritized Vehicle Cruising System on Highways With a Varying Slope,Performance Enhanced Predictive Control for Adaptive Cruise Control System Considering Road Elevation Information,Integral Sliding Mode-Based Composite Nonlinear Feedback Control for Path Following of Four-Wheel Independently Actuated Autonomous Vehicles,Vehicle-to-Infrastructure Communication Based Eco-Driving Operation at Multiple Signalized Intersections,Eco-Departure of Connected Vehicles With V2X Communication at Signalized Intersections,Fuel-Optimal Cruising Strategy for Road Vehicles With Step-Gear Mechanical Transmission
A Verb-Centric Approach for Relationship Extraction in Biomedical Text,"Abhishek Sharma, Rajesh Swaminathan, Hui Yang, ",2010,8,Relation extraction from Traditional Chinese Medicine journal publication,Mining the web and medline medical records to discover new facts on diabetes,ISN: Inferring disease-related genes using seed gene and network analysis
Early-AIM: an approach for identifying aspects in requirements,"A. Sampaio, A. Rashid, P. Rayson, ",2005,8,Discovering Early Aspects through Goals Interactions,3CI: A Tool for Crosscutting Concern Identification,Automating the discovery of stable domain abstractions for reusable aspects,A Review on Approaches for Identifying Crosscutting Concerns,Non-functional Requirements to Architectural Concerns: ML and NLP at Crossroads,Automated separation of crosscutting concerns: Earlier Automated identification and modularization of cross-cutting features at analysis phase,Developing tool for crosscutting concern identification using NLP,GEA: A Goal-Driven Approach toDiscovering Early Aspects
Multi-Criterion Active Learning in Conditional Random Fields,"Christopher T. Symons, Nagiza F. Samatova, Ramya Krishnamurthy, Byung H. Park, Tarik Umar, David Buttler, Terence Critchlow, David Hysom, ",2006,8,Context Aware Active Learning of Activity Recognition Models,Learning Hierarchically Decomposable Concepts with Active Over-Labeling,Active learning for the prediction of prosodic phrase boundaries in Chinese speech synthesis systems using conditional random fields,Active Learning for Speech Emotion Recognition Using Conditional Random Fields,Anomaly detection in GPS data based on visual analytics,Towards a SVM-struct Based Active Learning Algorithm for Least Cost Semantic Annotation,Learning with noisy supervision for Spoken Language Understanding
A comprehensive characterization of NLP techniques for identifying equivalent requirements,"Davide Falessi, Giovanni Cantone, Gerardo Canfora, ",2010,8,Information retrieval based feature analysis for product line adoption in 4GL systems,Semi-Automatic Checklist Quality Assessment of Natural Language Requirements for Space Applications,Software Language Identification with Natural Language Classifiers,IR in Software Traceability: From a Bird's Eye View,The regulatory world and the machine: Harmonizing legal requirements and the systems they affect,Automated Analysis of Textual Use-Cases: Does NLP Components and Pipelines Matter?,Reconciling multi-jurisdictional legal requirements: A case study in requirements water marking,In Vivo Evaluation of Large-Scale IR-Based Traceability Recovery
Managing information extraction: state of the art and research directions,"AnHai Doan, Raghu Ramakrishnan, Shivakumar Vaithyanathan, ",2006,8
"A Nonlinear Hybrid Life Support System: Dynamic Modeling, Control Design, and Safety Verification","Sonja Glavaski, Dharmashankar Subramanian, Kartik Ariyur, Ranjana Ghosh, Nitin Lamba, Antonis Papachristodoulou, ",2007,8,Barrier functionals for output functional estimation of PDEs,Robust Stability Analysis of Nonlinear Hybrid Systems,Application of a Transition Graph-Based Predictive Algorithm to a Solar Air Conditioning Plant,Design of Nonlinear Systems in the Frequency Domain: An Output Frequency Response Function-Based Approach
Sequence modeling with mixtures of conditional maximum entropy distributions,"D. Pavlov, ",2003,8,Probabilistic user behavior models,Font retrieval on a large scale: An experimental study,Count Data Clustering Using Unsupervised Localized Feature Selection and Outliers Rejection,A Web recommendation system based on maximum entropy,Collaborative filtering with maximum entropy,Anomaly Detection for Discrete Sequences: A Survey,Construction of wireless ad hoc network for Lifelog based physical and informational support system
Analysis of Weak Signals for Detecting Lone Wolf Terrorists,"Joel Brynielsson, Andreas Horndahl, Fredrik Johansson, Lisa Kaati, Christian M&aring;rtenson, Pontus Svenson, ",2012,8,Combining Entity Matching Techniques for Detecting Extremist Behavior on Discussion Boards,A Machine Learning Approach towards Detecting Extreme Adopters in Digital Communities,A Tool for Visualizing and Analyzing Users on Discussion Boards,Time Profiles for Identifying Users in Online Environments,Spatio-temporal Signal Recovery from Political Tweets in Indonesia,A New Taxonomy of Cyber Violent Extremism (Cyber-VE) Attack,Detecting multiple aliases in social media
Discriminative Reranking for Spoken Language Understanding,"Marco Dinarelli, Alessandro Moschitti, Giuseppe Riccardi, ",2012,8,The Technology Behind Personal Digital Assistants: An overview of the system architecture and key components,An overview of end-to-end language understanding and dialog management for personal digital assistants,Statistical Framework with Knowledge Base Integration for Robust Speech Understanding of the Tunisian Dialect,Discriminative Re-ranking of Diverse Segmentations
Optimal Routing and Energy Allocation for Lifetime Maximization of Wireless Sensor Networks With Nonideal Batteries,"Christos G. Cassandras, Tao Wang, Sepideh Pourazarm, ",2014,8,Lifetime maximization of wireless sensor networks with a mobile source node,A Survey of Network Lifetime Maximization Techniques in Wireless Sensor Networks,Joint Optimization of Energy Efficiency and Data Compression in TDMA-Based Medium Access Control for the IoT,Node Positioning and Lifetime Optimization for Wireless Body Area Networks,Energy-Based Lifetime Maximization and Security of Wireless-Sensor Networks With General Nonideal Battery Models,Optimal Routing for Lifetime Maximization of Wireless-Sensor Networks With a Mobile Source Node,An Online Algorithm for Data Collection by Multiple Sinks in Wireless-Sensor Networks,Cross-Layer Network Lifetime Maximization in Interference-Limited WSNs,Maximization of Total Throughput and Device Lifetime With Non-Linear Battery Properties,Energy Efficient Sensor Activation for Water Distribution Networks Based on Compressive Sensing
Entity Disambiguation with Freebase,"Zhicheng Zheng, Xiance Si, Fangtao Li, Edward Y. Chang, Xiaoyan Zhu, ",2012,7,Semantic model for fast tagging of word lattices,Knowledge Graph Embedding: A Survey of Approaches and Applications
Cross-Layer Optimization for Data Rate Utility Problem in UWB-based Ad Hoc Networks,"Yi Shi, Y. Thomas Hou, Hanif Sherali, ",2008,7,Energy Efficiency Optimization for Mobile Ad Hoc Networks,Users First: Service-Oriented Spectrum Auction With a Two-Tier Framework Support,Study on Energy Conservation for Cellular Systems: A Global Optimization Approach,Real-Time Estimation of Sensor Node's Position Using Particle Swarm Optimization With Log-Barrier Constraint,Link Energy Minimization in IR-UWB Based Wireless Networks,Review of the Cross-Layer Design in Wireless Ad Hoc and Sensor Networks,On throughput enhancement of multi-hop wireless networks using interference alignment,Cross-layer optimization for wireless sensor network with multi-packet reception
"Fassieh&macr;, a Semi-Automatic Visual Interactive Tool for Morphological, PoS-Tags, Phonetic, and Semantic Annotation of Arabic Text Corpora","Mohamed Attia, Mohsen A. A. Rashwan, Mohamed A. S. A. A. Al-Badrashiny, ",2009,7,MATAr: Morphology-based Tagger for Arabic,Stochastic Arabic hybrid diacritizer,A Review and Future Perspectives of Arabic Question Answering Systems
A Parametric Nonconvex Decomposition Algorithm for Real-Time and Distributed NMPC,"Jean-Hubert Hours, Colin N. Jones, ",2016,7,A parametric augmented Lagrangian algorithm for real-tim economic NMPC,Tracking Moving Agents via Inexact Online Gradient Descent Algorithm,A Class of Prediction-Correction Methods for Time-Varying Convex Optimization,Prediction-Correction Algorithms for Time-Varying Constrained Optimization,Distributed model predictive control via Proximal Jacobian ADMM for building control applications
A Natural Language-Based Interface for Querying a Video Database,"Onur Kucuktunc, Ugur Gudukbay, Ozgur Ulusoy, ",2007,7,A Temporal UID Matrix Strategy for Indexing Video Databases,Integration of Structural and Semantic Models for Multimedia Metadata Management,Isolating significant phrases in common natural language queries to databases
Using genetic algorithms for the construction of a space mission automaton,"Christian M. Chilan, Bruce A. Conway, ",2009,7
Multi-vehicle path coordination in support of communication,"Pramod Abichandani, Hande Y. Benson, Moshe Kam, ",2009,7,Motion planning of multiple mobile robots with formation requirement,Mathematical programming for Multi-Vehicle Motion Planning problems,Motion planning of multirobot formation,Decentralized multi-vehicle path coordination under communication constraints,Coordinated Motion Planning for Multiple Mobile Robots Along Designed Paths With Formation Requirement,Applied robotics for installation and base operations for industrial hygiene,Coordinated motion planning of multiple mobile robots in formation
Rule-based extraction of experimental evidence in the biomedical domain: the KDD Cup 2002 (task 1),"Yizhar Regev, Michal Finkelstein-Landau, Ronen Feldman, Maya Gorodetsky, Xin Zheng, Samuel Levy, Rosane Charlab, Charles Lawrence, Ross A. Lippert, Qing Zhang, Hagit Shatkay, ",2002,7
Advanced genetic algorithm to solve MINLP problems over GPU,"Asim Munawar, Mohamed Wahib, Masaharu Munetomo, Kiyoshi Akama, ",2011,7,Parallelizing a genetic operator for GPUs,Distributed quadratic programming solver for kernel SVM using genetic algorithm,A scalable array for Cellular Genetic Algorithms: TSP as case study
Optimal fault current limiter sizing for distribution systems with DG,"H. H. Zeineldin, W. Xiao, ",2011,7,A new approach for optimal allocation of multiple SFCLs in a power system with distributed generation,Effects of fault current limiter on the safety and stability of power grid and its application: A research review,A novel hybrid method for planning and allocation of DGs in medium voltage networks considering voltage regulation and relay coordination,Bibliography of FACTS 2011: Part I IEEE Working Group report,Optimal Allocation of HTS-FCL for Power System Security and Stability Enhancement
Structured nonconvex optimization of large-scale energy systems using PIPS-NLP,"Naiyuan Chiang, Cosmin G. Petra, Victor M. Zavala, ",2014,7,Efficient dynamic compressor optimization in natural gas transmission systems,Nonlinear programming strategies on high-performance computers,Advanced optimization methods for power systems,An Augmented Lagrangian Filter Method for Real-Time Embedded Optimization,GPU-Accelerated Stochastic Predictive Control of Drinking Water Networks,A graph-based computational framework for simulation and optimisation of coupled infrastructure networks
Lexical and Discourse Analysis of Online Chat Dialog,"Eric N. Forsythand, Craig H. Martell, ",2007,7,Modeling Influence in Online Multi-party Discourse,Text Classification Methodologies Applied to Micro-Text in Military Chat,Military Textual Analysis and Chat Research,Utilizing document classification for grooming attack recognition,Optimizing Features for Dialogue Act Classification,Affect and Social Processes in Online Communication--Experiments with an Affective Dialog System
Social Network Data Mining Using Natural Language Processing and Density Based Clustering,"David Khanaferov, Christopher Luc, Taehyung Wang, ",2014,7,Radio-browsing for developmental monitoring in Uganda,A big data based dynamic bandwidth allocation strategy with secrecy constraints,Investigation of localized sentiment for a given product by analyzing tweets,An extraction of medical information based on human handwritings,A dynamic bandwidth allocation algorithm in mobile networks with big data of users and networks,An Agile Confidential Transmission Strategy Combining Big Data Driven Cluster and OBF
"Conditional Random Fields in Speech, Audio, and Language Processing","Eric Fosler-Lussier, Yanzhang He, Preethi Jyothi, Rohit Prabhavalkar, ",2013,7,Learning to separate vocals from polyphonic mixtures via ensemble methods and structured output prediction,End-to-End Neural Segmental Models for Speech Recognition,Iterative joint extraction of entities relationships and coreferences from text sources,Supervised Single-Microphone Multi-Talker Speech Separation with Conditional Random Fields,Sleep Hunter: Towards Fine Grained Sleep Stage Tracking with Smartphones,Neural Network Based Pitch Tracking in Very Noisy Speech
Mining Concepts from Wikipedia for Ontology Construction,"Gaoying Cui, Qin Lu, Wenjie Li, Yirong Chen, ",2009,7,Exploiting Arabic Wikipedia for automatic ontology generation: A proposed approach,Exploiting online human knowledge in Requirements Engineering,A clinic ontology construction method in distributed hospital information systems,Business process driven ontology discovery method from distributed data environment
Scaling Conditional Random Field with Application to Chinese Word Segmentation,"Hai Zhao, Chunyu Kit, ",2007,7,CCRFs: Cascaded conditional random fields for Chinese POS tagging,A hybrid method for word segmentation with English-Vietnamese bilingual text,Chinese Named Entity Recognition with Inducted Context Patterns,The Application of CRFs in Part-of-Speech Tagging,Identification of Complex Named-Entities in Chinese Queries Using WWW,Scaling Conditional Random Field with Application to Chinese Word Segmentation
A comparative study on the effectiveness of part-of-speech tagging techniques on bug reports,"Yuan Tian, David Lo, ",2015,7,Towards an obesity-cancer knowledge base: Biomedical entity identification and relation detection,Part of Speech Tagging Java Method Names,Choosing an NLP Library for Analyzing Software Documentation: A Systematic Literature Review and a Series of Experiments,POS tagging-probability weighted method for matching the Internet recipe ingredients with food composition data
Natural language processing of lyrics,"Jose P. G. Mahedero, &Aacute;lvaro Mart&Iacute;nez, Pedro Cano, Markus Koppenberger, Fabien Gouyon, ",2005,7,Sentiments mining and classification of music lyrics using SentiWordNet,Automated generation of song lyrics using CFGs,A Semantics-Driven Approach to Lyrics Segmentation,Language identification for singing,Multimodal structure segmentation and analysis of music using audio and textual information,Multimodal Music Mood Classification Using Audio and Lyrics,LyricAlly: Automatic Synchronization of Textual Lyrics to Acoustic Music Signals,Building ensembles of audio and lyrics features to improve musical genre classification
A robust linear receiver for multi-access space-time block-coded MIMO systems based on probability-constrained optimization,"Yue Rong, S. A. Vorobyov, A. B. Gershman, ",2004,5,Robust Constrained-Optimization-Based Linear Receiver for High-Rate MIMO-OFDM Against Channel Estimation Errors,Robust linear receivers for multiaccess space-time block-coded MIMO systems: a probabilistically constrained approach,Robust adaptive beamforming using probability-constrained optimization,Robust linear receiver design for multi-access space-time block coded MIMO systems using stochastic optimization,A robust linear receiver for uplink multi-user MIMO systems based on probability-constrained optimization and second-order cone programming
Extracting situational awareness from microblogs during disaster events,"Anirban Sen, Koustav Rudra, Saptarshi Ghosh, ",2015,5,Big Data Analytics for Emergency Communication Networks: A Survey,How social media can contribute during disaster events? Case study of Chennai floods 2015,Optimizing Situational Awareness in Disaster Response Networks
Sentiment Analysis of Turkish Political News,"Mesut Kaya, G&uuml;ven Fidan, Ismail H. Toroslu, ",2012,5,Developing Turkish sentiment lexicon for sentiment analysis using online news media,Classifying sentiments in Nepali subjective texts,SentiWordNet for New Language: Automatic Translation Approach,A hierarchical approach for sentiment analysis and categorization of Turkish written customer relationship management data
Approach to develop ship design evaluation rule-base,"R. R. Soman, M. Andrus, M. Bosworth, I. Leonard, M. Steurer, ",2015,5,Approach to Scalable Model Development for Navy Shipboard Compatible Modular Multilevel Converters,Size and Weight Computation of MVDC Power Equipment in Architectures Developed Using the Smart Ship Systems Design Environment,Power converter metamodeling approach for the smart ship design environment,Set-based design for naval shipboard power systems using pertinent metrics from product development tools,Investigation of product development tools to aid naval shipboard power systems design
Improving method of robust transmission network expansion planning considering intermittent renewable energy generation and loads,"Rongrit Chatthaworn, Surachai Chaitusaney, ",2015,5,Microgrid generation planning considering renewable energy target,Flexible transmission expansion and reactive power planning with wind energy considering N-1 security,Coordinated TCSC Allocation and Network Reinforcements Planning With Wind Power,N-K Constrained Composite Generation and Transmission Expansion Planning With Interval Load,MILP Approach for Bilevel Transmission and Reactive Power Planning Considering Wind Curtailment,Network expansion planning with microgrid aggregators under uncertainty
