Distortion invariant object recognition in the dynamic link architecture,"M. Lades, J. C. Vorbruggen, J. Buhmann, J. Lange, C. von der Malsburg, R. P. Wurtz, W. Konen, ",1993,874,Periocular biometrics: constraining the elastic graph matching algorithm to biologically plausible distortions,Texture features for browsing and retrieval of image data,Face recognition system using local autocorrelations and multiscale integration,Local grayvalue invariants for image retrieval,Automatic interpretation and coding of face images using flexible models,An algorithm for the learning of weights in discrimination functions using a priori constraints,Object recognition robust under translations deformations and changes in background,Face recognition by elastic bunch graph matching,A volumetric/iconic frequency domain representation for objects with application for pose invariant face recognition,An analytic-to-holistic approach for face recognition based on a single frontal view,Graph matching with a dual-step EM algorithm,How should we represent faces for automatic recognition?,Classifying facial actions,Automatic classification of single facial images,Using support vector machines to enhance the performance of elastic graph matching for frontal face authentication,A system for person-independent hand posture recognition against complex backgrounds,Shape matching and object recognition using shape contexts,Multimodal decision-level fusion for person authentication,An elastic contour matching model for tropical cyclone pattern recognition,Human and machine recognition of faces: a survey,Face recognition: eigenface elastic matching and neural nets,Gradient-based learning applied to document recognition,Frontal face authentication using discriminating grids with morphological feature vectors,Pattern recognition: neural networks in perspective,Neural-network speech processing for toys and consumer electronics,Neural information processing in real-world face-recognition applications,A Lagrangian relaxation network for graph matching,Face recognition: a convolutional neural-network approach,Face recognition/detection by probabilistic decision-based neural network,Evaluation of convolutional neural networks for visual recognition
Camera calibration with distortion models and accuracy evaluation,"J. Weng, P. Cohen, M. Herniou, ",1992,800,Background suppression of small target image based on fast local reverse entropy operator,Shape-from-shading using sensor and physical object characteristics applied to human teeth surface reconstruction,GA-based camera calibration for vision-assisted robotic assembly system,A high-precision camera operation parameter measurement system and its application to image motion inferring,Measuring the distance and orientation of a planar surface using nonstructured lighting-3-D measurement system for indoor mobile robots,Calibration requirements and procedures for a monitor-based augmented reality system,Analysis of head pose accuracy in augmented reality,Some aspects of zoom lens camera calibration,Transitory image sequences asymptotic properties and estimation of motion and structure,Correcting the geometry and color of digital images,Geometric camera calibration using circular control points,Nonmetric calibration of wide-angle lenses and polycameras,A flexible new technique for camera calibration,Calibration of an active binocular head,Camera calibration with genetic algorithms,Multiple-sensor integration for rapid and high-precision coordinate metrology,Dynamic registration correction in video-based augmented reality systems,Comparison of Radial and Tangential Geometries for Cylindrical Panorama,A new method for distortion correction of electronic endoscope images,A new approach for nonlinear distortion correction in endoscopic images based on least squares estimation,Design and evaluation of a system for microscope-assisted guided interventions (MAGI),Combined evolution strategies for dynamic calibration of video-based measurement systems,Practical use of video imagery in nearshore oceanographic field studies,Motion and structure estimation from stereo image sequences,Simultaneous calibration of a robot and a hand-mounted camera,Motion of an uncalibrated stereo rig: self-calibration and metric reconstruction,Camera calibration with a near-parallel (ill-conditioned) calibration board configuration,Active self-calibration of robotic eyes and hand-eye relationships with model identification,Comments on On the kinematics of robot heads,Automatic camera calibration for a multiple-sensor integrated coordinate measurement system
A survey of mobile phone sensing,"Nicholas D. Lane, Emiliano Miluzzo, Hong Lu, Daniel Peebles, Tanzeem Choudhury, Andrew T. Campbell, ",2010,785,Reputation-aware incentive mechanism for participatory sensing,Diagnosis of transportation modes on mobile phone using logistic regression classification,Mobile Multimedia Recommendation in Smart Communities: A Survey,A Survey on Internet of Things From Industrial Market Perspective,Mobile Cloud Computing Model and Big Data Analysis for Healthcare Applications,Bootstrap Based Uncertainty Propagation for Data Quality Estimation in Crowdsensing Systems,When Mobile Crowd Sensing Meets Traditional Industry,Mobile Health in the Developing World: Review of Literature and Lessons From a Case Study,Mobile Cyber Physical Systems: Current Challenges and Future Networking Applications,Edge Computing Architecture for Mobile Crowdsensing,Predicting students' happiness from physiology phone mobility and behavioral data,A perceptive based application along with high frequency direction finder during quagmire in our provincial,Remote monitoring of power frequency electrical signals employing GSM network,Mobile Crowdsensing Services for Tinnitus Assessment and Patient Feedback,PSense: Reducing Energy Consumption in Public Sensing Systems,SmartMind: Activity Tracking and Monitoring for Patients with Alzheimer's Disease,On Data Fusion for Orientation Sensing in WBASNs Using Smart Phones,Privacy Preservation for Participatory Sensing Applications,Tracking Indoor Activities of Patients with Mild Cognitive Impairment Using Motion Sensors,A case study of applying data mining to sensor data for contextual requirements analysis,Efficient data collection for participatory sensing using smartphones,User Guided Automation for Testing Mobile Apps,Sound sensing using smartphones as a crowdsourcing approach,Hand Dynamics for Behavioral User Authentication,Data sensing and analysis: Challenges for wearables,Daily Mood Assessment Based on Mobile Phone Sensing,Enhanced user data privacy with pay-by-data model,The digital transformation and smart data analytics: An overview of enabling developments and application areas,Mobile Crowd Sensing for Internet of Things: A Credible Crowdsourcing Model in Mobile-Sense Service,PAMS: A new position-aware multi-sensor dataset for human activity recognition using smartphones
KinectFusion: Real-time dense surface mapping and tracking,"Richard A. Newcombe, Shahram Izadi, Otmar Hilliges, David Molyneaux, David Kim, Andrew J. Davison, Pushmeet Kohi, Jamie Shotton, Steve Hodges, Andrew Fitzgibbon, ",2011,745,Rapid Skin: Estimating the 3D Human Pose and Shape in Real-Time,Sparse Modeling of Shape from Structured Light,Modeling Kinect Sensor Noise for Improved 3D Reconstruction and Tracking,Camera pose estimation for mixed and diminished reality in FTV,Encountered haptic Augmented Reality interface for remote examination,Full-body tracking using a sensor array system and laser-based sweeps,Stereo+Kinect for High Resolution Stereo Correspondences,Real-Time 3D Reconstruction in Dynamic Scenes Using Point-Based Fusion,Calibration of Non-overlapping Cameras Using an External SLAM System,Kinect Deform: Enhanced 3D Reconstruction of Non-rigidly Deforming Objects,aTGV-SF: Dense Variational Scene Flow through Projective Warping and Higher Order Regularization,3D Tracking of Multiple Objects with Identical Appearance Using RGB-D Input,Influence of Colour and Feature Geometry on Multi-modal 3D Point Clouds Data Registration,Towards Illumination-Invariant 3D Reconstruction Using ToF RGB-D Cameras,3D Face Hallucination from a Single Depth Frame,4D Capture Using Visibility Information of Multiple Projector Camera System,A TV Prior for High-Quality Local Multi-view Stereo Reconstruction,A Multi-view Structured-Light System for Highly Accurate 3D Modeling,Efficient Large-Scale Point Cloud Registration Using Loop Closures,3D Modeling on the Go: Interactive 3D Reconstruction of Large-Scale Scenes on Mobile Devices,Automatic Indoor 3D Surface Reconstruction with Segmented Building and Object Elements,Super-resolution Keyframe Fusion for 3D Modeling with High-Quality Textures,A New Flying Range Sensor: Aerial Scan in Omni-Directions,Estimating Surface Normals with Depth Image Gradients for Fast and Accurate Registration,Robust Feature-Preserving Denoising of 3D Point Clouds,SceneNN: A Scene Meshes Dataset with aNNotations,Point Cloud Noise and Outlier Removal for Image-Based 3D Reconstruction,3D Data Acquisition and Registration Using Two Opposing Kinects,Radiometric Scene Decomposition: Scene Reflectance Illumination and Geometry from RGB-D Images,HDRFusion: HDR SLAM Using a Low-Cost Auto-Exposure RGB-D Sensor
Flexible camera calibration by viewing a plane from unknown orientations,"Zhengyou Zhang, ",1999,679,Temporal-spatial coherence based abnormal behavior detection,An Image-Based 3D Acquisition of Ice Accretions on Power Transmission Lines,Building and Applying of 2.5D Range Image Based on Data Fusion,An optimization-based approach for fusing image-based trajectory generation with position-based visual servo control,Uncalibrated Visual Servo Control of Robot Manipulators with Uncertain Kinematics,Radial Distortion Self-Calibration,Improving Person Re-identification via Pose-Aware Multi-shot Matching,Single Image Camera Calibration with Lenticular Arrays for Augmented Reality,A Practical Method for Fully Automatic Intrinsic Camera Calibration Using Directionally Encoded Light,A Dataset for Benchmarking Image-Based Localization,Calibration of a Multicamera Network,Geometric video projector auto-calibration,Robust real-time 3D modeling of static scenes using solely a Time-of-Flight sensor,A real-time system for 3D recovery of dynamic scene with multiple RGBD imagers,Ground Truth Evaluation for Event-Based Silicon Retina Stereo Data,Slot Cars: 3D Modelling for Improved Visual Traffic Analytics,Planar surface area calculation using camera and orientation sensor,A survey on three-dimensional modeling based on line structured light scanner,Extrinsic calibration of the 2D laser rangefinder and binocular cameras system base on virtual points,A novel Kinect-based system for 3D moving object interception with a 5-DOF robotic arm,Binocular stereo vision calibration experiment based on essential matrix,A feature matching algorithm applied to welding trajectory revising,Large-Object Range Data Acquisition Fusion and Segmentation,On the Estimation of Extrinsic and Intrinsic Parameters of Optical Microscope Calibration,A new time-independent image path tracker to guide robots using visual servoing,Use of an Automatic Under-Vehicle Inspection System as a Tool to Streamline Vehicle Screening at Ports of Entry and Security Checkpoints,Super resolution for fundoscopy based on 3D image registration,Mobile computing and industrial augmented reality for real-time data access,Camera auto-calibration with virtual patterns,Validation of stereo matching for robot navigation
An efficient solution to the five-point relative pose problem,"D. Nister, ",2004,666,A novel global image description approach for long term vehicle localization,Environment recognition for navigation of autonomous wheelchair from a video image,Direct methods for 3D reconstruction and visual SLAM,Autonomous Navigation of Vehicles from a Visual Memory Using a Generic Camera Model,Experimental Evaluation of Autonomous Driving Based on Visual Memory and Image-Based Visual Servoing,A Simple and Parallel Algorithm for Real-Time Robot Localization by Fusing Monocular Vision and Odometry/AHRS Sensors,A System for Video-Based Navigation for Endoscopic Endonasal Skull Base Surgery,Enhanced 3-D Modeling for Landmark Image Classification,Mobile Landmark Search with 3D Models,6-DOF Image Localization From Massive Geo-Tagged Reference Images,Two-View 3D Reconstruction for Food Volume Estimation,Alignment of continuous video onto 3D point clouds,Silhouette Coherence for Camera Calibration under Circular Motion,Balanced Exploration and Exploitation Model Search for Efficient Epipolar Geometry Estimation,A Generalized Kernel Consensus-Based Robust Estimator,Estimating Relative Camera Motion from the Antipodal-Epipolar Constraint,Silhouette Segmentation in Multiple Views,Two Efficient Solutions for Visual Odometry Using Directional Correspondence,Polynomial Eigenvalue Solutions to Minimal Problems in Computer Vision,A Minimal Solution to Radial Distortion Autocalibration,SfM with MRFs: Discrete-Continuous Optimization for Large-Scale Structure from Motion,USAC: A Universal Framework for Random Sample Consensus,An Efficient Hidden Variable Approach to Minimal-Case Camera Motion Estimation,Generalized Weiszfeld Algorithms for Lq Optimization,High Accuracy Monocular SFM and Scale Correction for Autonomous Driving,Homography Based Egomotion Estimation with a Common Direction,Automatic Camera Calibration Using Multiple Sets of Pairwise Correspondences,Fast and Incremental Method for Loop-Closure Detection Using Bags of Visual Words,sRD-SIFT: Keypoint Detection and Matching in Images With Radial Distortion,Distributed Data Association in Robotic Networks With Cameras and Limited Communications
CMOS image sensors: electronic camera-on-a-chip,"E. R. Fossum, ",1997,641,Wide dynamic range linear-logarithmic CMOS image sensor using photogate and cascode MOSFET,Analysis and reduction of signal readout circuitry temporal noise in CMOS image sensors for low-light levels,Performance of the floating gate/body tied NMOSFET photodetector on SOI substrate,Sensitivity of CMOS based imagers and scaling perspectives,Nonoptical characterization techniques for uncooled microbolometer infrared sensors,A high gain n-well/gate tied PMOSFET image sensor fabricated from a standard CMOS process,CMOS APS MTF modeling,Design and characterization of ionizing radiation-tolerant CMOS APS image sensors up to 30 Mrd (Si) total dose,Design of real-time image enhancement preprocessor for CMOS image sensor,Fabrication and evaluation of aluminum nano-wire grid polarizer array in two different structure types,A 256/spl times/256 CMOS imaging array with wide dynamic range pixels and column-parallel digital output,A single-chip CMOS APS camera with direct frame difference output,A high-dynamic-range CMOS image sensor for automotive applications,A 256/spl times/256 CMOS differential passive pixel imager with FPN reduction techniques,A low-power low-noise ultrawide-dynamic-range CMOS imager with pixel-parallel A/D conversion,A 10000 frames/s CMOS digital pixel sensor,Digital camera system on a chip,Capacity and energy cost of information in biological and silicon photoreceptors,Monolithically integrated low-power phototransceivers for optoelectronic parallel sensing and processing applications,A novel photodetector using MOS tunneling structures,Nonsilicide source/drain pixel for 0.25-μm CMOS image sensor,A low voltage hybrid bulk/SOI CMOS active pixel image sensor,Monolithically integrated low-power phototransceiver incorporating microcavity LEDs and multiquantum-well phototransistors,Low-power phototransceiver arrays with vertically integrated resonant-cavity LEDs and heterostructure phototransistors,Analysis of 1/f noise in switched MOSFET circuits,A CMOS video sensor for High Dynamic Range (HDR) imaging,Design of radiation tolerant CMOS APS system-on-a-chip image sensors,On the observability properties of systems with rolling shutter,Enhancement of wafer test/package yields by oxide-capping of microlens in CMOS image sensor,Tunable injection current compensation architecture for high fill-factor self-buffered active pixel sensor
Action recognition by dense trajectories,"Heng Wang, Alexander Kl&auml;ser, Cordelia Schmid, Cheng-Lin Liu, ",2011,618,Sparse Representation for Crowd Attributes Recognition,Internal Transfer Learning for Improving Performance in Human Action Recognition for Small Datasets,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Human Action Recognition Using Adaptive Local Motion Descriptor in Spark,Retargeted Multi-View Feature Learning With Separate and Shared Subspace Uncovering,Spatio-Temporal Interest Points Chain (STIPC) for activity recognition,Spatio-temporal context kernel for activity recognition,Human Action Recognition: A Dense Trajectory and Similarity Constrained Latent Support Vector Machine Approach,Action recognition by single stream convolutional neural networks: An approach using combined motion and static information,Generating unsupervised models for online long-term daily living activity recognition,Hierarchical motion evolution for action recognition,Trajectory-based human activity recognition from videos,Contextual Statistics of Space-Time Ordered Features for Human Action Recognition,Conditional Bayesian networks for action detection,Computation strategies for volume local binary patterns applied to action recognition,Representing visual appearance by video Brownian covariance descriptor for human action recognition,A hybrid framework for online recognition of activities of daily living in real-world settings,Modeling spatial layout of features for real world scenario RGB-D action recognition,A flexible ensemble-SVM for computer vision tasks,Novel dataset for fine-grained abnormal behavior understanding in crowd,TREAT: Terse Rapid Edge-Anchored Tracklets,Action localization in video using a graph-based feature representation,Depth-based action recognition using multiscale sub-actions depth motion maps and local auto-correlation of space-time gradients,Detecting Rare Actions and Events from Surveillance Big Data with Bag of Dynamic Trajectories,An Object-Aware Anomaly Detection and Localization in Surveillance Videos,Examining the applicability of virtual reality technique for video retrieval,Retina enhanced SIFT descriptors for video indexing,Online multimodal matrix factorization for human action video indexing,Fusion of learned multi-modal representations and dense trajectories for emotional analysis in videos,Human interaction recognition through deep learning network
A vision-based formation control framework,"A. K. Das, R. Fierro, V. Kumar, J. P. Ostrowski, J. Spletzer, C. J. Taylor, ",2002,613,IQ-ASyMTRe: Forming Executable Coalitions for Tightly Coupled Multirobot Tasks,Model Predictive Formation Control Using Branch-and-Bound Compatible With Collision Avoidance Problems,Epipolar Visual Servoing for Multirobot Distributed Consensus,Control of a Group of Mobile Robots Based on Formation Abstraction and Decentralized Locational Optimization,Cooperative Visibility Maintenance for Leader–Follower Formations in Obstacle Environments,Formation Control of Mobile Robots Using Multiple Aerial Cameras,Vision-Based Distributed Formation Control Without an External Positioning System,A Flexible Architecture for Navigation Control of a Mobile Robot,Nonlinear Model Predictive Formation Flight,Multirobot systems: a classification focused on coordination,Swarm Formation Control Utilizing Elliptical Surfaces and Limiting Functions,Neural Network Output Feedback Control of Robot Formations,Adaptive Formation Control of Electrically Driven Nonholonomic Mobile Robots With Limited Information,Visual Control for Multirobot Organized Rendezvous,Simultaneous perturbation stochastic algorithm parameters effect towards multi agent robot broadcast controller,Cooperative Control for Formations of Mobile Robots under the Nonholonomic Constraints,A synchronization control strategy for multiple robot systems using shape regulation technology,Model and application of swarm-robot systems based on distance-optimization correspondence,Formation control for multiple robots in uncertain environments,Multi-agent formation control based on artificial force with exponential form,Varying gain MPC for consensus tracking with application to formation control of omnidirectional mobile robots,Time-varying formation tracking control for multi-UAV systems with nonsingular fast terminal sliding mode,Leader-follower formation control with mismatched compasses,Distributed formation control for swarm robots using mobile agents,Formation behavior of multi-robot for exploration and monitoring,Constrained Model Predictive Control: Applications to Multi-Vehicle Formation and an Autonomous Blimp,Model predictive based multi-vehicle formation control with collision avoidance and localization uncertainty,Leader-follower formation control without information of heading angle,A cyber-physical model for platoon system,Matching Based Formation Control and Analysis of Large-Scale Multi-agent Systems
Efficient region tracking with parametric models of geometry and illumination,"G. D. Hager, P. N. Belhumeur, ",1998,608,Estimation of Strain Elastography from Ultrasound Radio-Frequency Data by Utilizing Analytic Gradient of the Similarity Metric,Efficient Online Subspace Learning With an Indefinite Kernel for Visual Tracking and Recognition,Hyperplane approximation for template matching,Outlier modeling in image matching,Rank 1 weighted factorization for 3D structure recovery: algorithms and performance analysis,Robust online appearance models for visual tracking,The template update problem,Fast occluded object tracking by a robust appearance filter,Stable real-time 3D tracking using online and offline information,Sparse Bayesian learning for efficient visual tracking,Integrating Motion Illumination and Structure in Video Sequences with Applications in Illumination-Invariant Tracking,Shape-and-Behavior Encoded Tracking of Bee Dances,Dependent Multiple Cue Integration for Robust Tracking,Mutual Information for Lucas-Kanade Tracking (MILK): An Inverse Compositional Formulation,Learning Local Objective Functions for Robust Face Model Fitting,Class-Based Feature Matching Across Unrestricted Transformations,Parametric Image Alignment Using Enhanced Correlation Coefficient Maximization,Discriminative Face Alignment,Direct Estimation of Nonrigid Registrations with Image-Based Self-Occlusion Reasoning,Differential Earth Mover's Distance with Its Applications to Visual Tracking,Inverse Compositional Estimation of 3D Pose And Lighting in Dynamic Scenes,Robust Object Tracking with Online Multiple Instance Learning,Tracking and Reconstruction in a Combined Optimization Approach,Robust Visual Tracking and Vehicle Classification via Sparse Representation,Fourier Lucas-Kanade Algorithm,Multilayer Adaptive Linear Predictors for Real-Time Tracking,A Geometric Particle Filter for Template-Based Visual Tracking,Shape Tracking with Occlusions via Coarse-to-Fine Region-Based Sobolev Descent,Structuring Lecture Videos by Automatic Projection Screen Localization and Analysis,Object Tracking Benchmark
Real-time simultaneous localisation and mapping with a single camera,"A. J. Davison, ",2003,584,Real-Time RGB-D Camera Relocalization via Randomized Ferns for Keyframe Encoding,Global Localization from Monocular SLAM on a Mobile Phone,Pose Estimation for Augmented Reality: A Hands-On Survey,StructSLAM: Visual SLAM With Building Structure Lines,IMU and cable encoder data fusion for in-pipe mobile robot localization,Robust three-dimensional scene recovery from monocular image pairs,Overview of methods for visual-aided pedestrian navigation,A visual-inertial approach for camera egomotion estimation and simultaneous recovery of scene structure,Image-space Correction of AR Registration Errors Using Graphics Hardware,Indoor Marker-based Localization Using Coded Seamless Pattern for Interior Decoration,GroundCam: A Tracking Modality for Mobile Mixed Reality,Envisor: Online Environment Map Construction for Mixed Reality,Real-time panoramic mapping and tracking on mobile phones,A Self-Navigation Method with Monocular Plane Discovery,Adaptive real-time visual simultaneous localization and mapping,SLAM combining ToF and high-resolution cameras,CoRBS: Comprehensive RGB-D benchmark for SLAM using Kinect v2,Monocular vision simultaneous localization and mapping using SURF,Monocular SLAM using vertical straight lines with inverse-depth representation,A new algorithm for estimating 3D structure and robot motion using visual tracking and IMU/compass,Dynamic scenes reconstruction based on foreground and background splitting,Real-Time Stereo Visual SLAM in Large-Scale Environments based on SIFT Fingerprints,Efficient 7D aerial pose estimation,Metric velocity and landmark distance estimation utilizing monocular camera images and IMU data,Polyp shape estimation from endoscopy video using EKF monocular SLAM with SFS model prior,Direct methods for 3D reconstruction and visual SLAM,A study of virtual visual servoing sensitivity in the context of image/GIS registration for urban environments,Indoor SLAM based on composite sensor mixing laser scans and omnidirectional images,Fully autonomous trajectory estimation with long-range passive RFID,Corrections of sensing error in video-based traffic surveillance
2&frac12;D visual servoing,"E. Malis, F. Chaumette, S. Boudet, ",1999,558,Probabilistic Integration of 2D and 3D Cues for Visual Servoing,Improvement to the Minimization of Hybrid Error Functions for Pose Alignment,Smooth Transition from Motion to Force Control in Robotic Manipulation Using Vision,Using spherical moments for visual servoing from a special target with unique projection center cameras,A novel Position-Based Visual Servoing approach for robust global stability with feature points kept within the Field-of-View,Kernel-based sliding mode control for visual servoing system,A neuro-fuzzy approach for robot system safety,A new partitioned approach to image-based visual servo control,Robust 2.5D visual servoing for robot manipulators,2.5D visual servoing with a fixed camera,Visual servo control of an unmanned ground vehicle via a moving airborne monocular camera,Visual servoing to an arbitrary pose with respect to an object given a single known length,Localization through fusion of discrete and continuous epipolar geometry with wheel and IMU odometry,Path-following control for mobile robots localized via sensor-fused visual homography,On-line motion-feedforward pose recognition invariant for dynamic hand-eye motion,Real-time vision-based microassembly of 3D MEMS,Neural network-based image moments for visual servoing of planar objects,Hybrid predictive control for constrained visual servoing,A new method for uncalibrated visual servoing,Depth estimation of objects with known geometric model for IBVS using an eye-in-hand camera,Robust visual servoing with spheres projected in cameras obeying the unified model,Image-based dynamic visual feedback control via passivity approach,Passivity-based visual motion observer: From theory to distributed algorithms,A visual servoing path-planning strategy for cameras obeying the unified model,Real-time power line extraction from Unmanned Aerial System video images,An adapted visual servo algorithm for substation equipment inspection robot,Empirical validation of a new visual servoing strategy,A survey of vision based autonomous aerial refueling for Unmanned Aerial Vehicles,Spherical image based visual servoing via nonlinear model predictive control,Multiple cameras-multiple target points visual servoing in large scale 3D manufacturing systems
Extraction of high-resolution frames from video sequences,"R. R. Schultz, R. L. Stevenson, ",1996,516,Texture and edge preserving multiframe super-resolution,Single-frame image super-resolution inspired by perceptual criteria,Generalized PDE Framework for Image Super Resolution,Super-Resolution of Video Sequences Using Local Motion Estimates,Markov Chain Monte Carlo Super-resolution Image Reconstruction With Artifacts Suppression,Performance and comparative exploration of reconstructed quality for an iterative SRR algorithm based on robust norm functions under several noise surrounding,Multi-modal face image super-resolutions in tensor space,Character extraction of license plates from video,Limits on super-resolution and how to break them,Robust super-resolution,On the fundamental limits of reconstruction-based super-resolution algorithms,Super-resolution from multiple views using learnt image models,Practical super-resolution from dynamic video sequences,Jitter camera: high resolution video from a low resolution detector,High-zoom video hallucination by exploiting spatio-temporal regularities,Theoretical analysis on reconstruction-based super-resolution for an arbitrary PSF,Bayesian super-resolution of text in video with a text-specific bimodal prior,Multi-Resolution Patch Tensor for Facial Expression Hallucination,Continuous Super-Resolution for Recovery of 1-D Image Features: Algorithm and Performance Modeling,Resolving Objects at Higher Resolution from a Single Motion-blurred Image,Robust Bayesian Estimation and Normalized Convolution for Super-resolution Image Reconstruction,Image super-resolution using gradient profile prior,A Bayesian approach to adaptive video super resolution,Super-Resolution of Speed Signs in Video Sequences,A robust iterative multiframe SRR using stochastic regularization technique based on hampel estimation,An alternative SR spatial enhancement based on adaptive meridian filter and GOM registration for severe noisy blurred videos,A fast super-resolution reconstruction algorithm for pure translational motion and common space-invariant blur,Increasing of the MR imaging spatial resolution by data estimation in k-space,A Super-resolution Reconstruction via Local and Contextual Information Driven Partial Differential Equations,MPEG-1 super-resolution decoding for the analysis of video still images
Image indexing using color correlograms,"Jing Huang, S. R. Kumar, M. Mitra, Wei-Jing Zhu, R. Zabih, ",1997,512,Event video retrieval using global and local descriptors in visual domain,Spatial pyramids for boosting global features in content based image retrieval,Enhanced linear block algorithm with improved similarity measure,Application of visual saliency and feature extraction algorithm applied in large-scale image classification,A Statistical Image Retrieval Method Using Color Invariant,Improved image retrieval using color-invariant moments,WAGBIR: Wavelet and Gabor Based Image Retrieval Technique for the Spatial-Color and Texture Feature Extraction Using BPN in Multimedia Database,A Survey on Recent Image Indexing and Retrieval Techniques for Low-Level Feature Extraction in CBIR Systems,CIREC : Cluster Correlogram Image Retrieval and Categorization using MPEG-7 Descriptors,A statistical image retrieval method using color invariant,Color image retrieval based on the hypergraph and the fusion of two descriptors,The Application of DWT and SVD in Image Retrieval,Color Spatial Feature Extraction for Image Indexing - A Case Study on the Cell B. E. Processor,PCA-based adaptive particle filter for tracking,Gastritis cold or heat image research based on LBP,Image Retrieval Based on Color Saliency Histogram,An easy dominant color extraction and edge valley histogram for image retrieval,Content based image retrieval using Dither Block Truncation coding with similarity comparison algorithm,Authentication of Smartphone Users Using Behavioral Biometrics,Coherence vector based on wavelet coefficients for image retrieval,Pixel domain and compressed domain image retrieval features,An introduction to content-based image retrieval,Using LIRe to Implement Image Retrieval System Based on Multi-feature Descriptor,MSRA-MM 2.0: A Large-Scale Web Multimedia Dataset,Gaussian Mixture Model Based Approach to Color Image Retrieval,Real-Time Estimation Method of the Number of Pedestrians in Video Sequences,An efficient color descriptor based on global and local color features for image retrieval,Improving CBIR accuracy using convolutional neural network for feature extraction,Image Retrieval Using Features in Spatial and Frequency Domains Based on Block-Division,An Unified Approach for Multimedia Document Representation and Document Similarity
Action Recognition with Improved Trajectories,"Heng Wang, Cordelia Schmid, ",2013,508,Internal Transfer Learning for Improving Performance in Human Action Recognition for Small Datasets,Gaze-Assisted Multi-Stream Deep Neural Network for Action Recognition,Multi-Temporal Depth Motion Maps-Based Local Binary Patterns for 3-D Human Action Recognition,Action Recognition in Video Sequences using Deep Bi-Directional LSTM With CNN Features,Gaze-Informed Egocentric Action Recognition for Memory Aid Systems,NNIME: The NTHU-NTUA Chinese interactive multimodal emotion corpus,Video-level violence rating with rank prediction,Generating unsupervised models for online long-term daily living activity recognition,Hierarchical motion evolution for action recognition,Mid-level parts mined by feature selection for action recognition,Trajectory-based human activity recognition from videos,Human violence recognition and detection in surveillance videos,Action recognition from extremely low-resolution thermal image sequence,Action recognition based on a mixture of RGB and depth based skeleton,Can a Smile Reveal Your Gender?,Categorizing Big Video Data on the Web: Challenges and Opportunities,Action prediction based on dense trajectory and dynamic image,Human action recognition based on locality constrained linear coding and two-dimensional spatial-temporal templates,Deep learning based human action recognition: A survey,Bags of Trajectory Words for video indexing,VSD2014: A dataset for violent scenes detection in hollywood movies and web videos,Histograms of Motion Gradients for real-time video classification,Moving objects tracking from most probable regions and eliminating camera motion,Long-term Residual Recurrent Network for human interaction recognition in videos,Human action recognition in videos based on dense trajectory selection,Efficient Action Localization with Approximately Normalized Fisher Vectors,Efficient Feature Extraction Encoding and Classification for Action Recognition,3D Pose from Motion for Cross-View Action Recognition via Non-linear Circulant Temporal Encoding,A Cause and Effect Analysis of Motion Trajectories for Modeling Actions,ActivityNet: A large-scale video benchmark for human activity understanding
A four-step camera calibration procedure with implicit image correction,"J. Heikkila, O. Silven, ",1997,506,Height estimation via stereo vision system for unmanned helicopter autonomous landing,Hybrid control for vision based Cart-Inverted Pendulum system,Stabilization of a 2-DOF inverted pendulum by a low cost visual feedback,Adaptive camera calibration with measurable position of fixed features,Laser based rangefinder for underwater applications,LED-based initialization and navigation,Distributed camera network localization,A Handheld Texel Camera for Acquiring Near-Instantaneous 3D Images,Target Geolocation from a Small Unmanned Aircraft System,On-the-ground experiments of autonomous spacecraft proximity-navigation using computer vision and jet actuators,Development of an automatic optical measurement system for automotive part surface inspection,Real-time applicable visual quality control in industrial line production,Analysis of an experimental setup for direct visual servoing,3D scene modeling using sensor fusion with laser range finder and image sensor,Quality enhancement for feature matching on car black box videos,Development of a vision system and a strategy simulator for middle size soccer robot,An automatic self-calibration approach for wide baseline stereo cameras using sea surface images,Adaptive calibration of an underwater robot vision system based on hemispherical optics,A multi-camera conical imaging system for robust 3D motion estimation positioning and mapping from UAVs,Fast 3-D fingertip reconstruction using a single two-view structured light acquisition,Two-view contactless fingerprint acquisition systems: A case study for clay artworks,An augmented reality platform for CABG surgery,Predictive Observer based Lyapunov antiswing control for overhead visual crane,An Improved Method of Location of the Circular Target,Variable structure PID controller for cooperative eye-in-hand/eye-to-hand visual servoing,Indoor localization based on LEDs,Recognition of corners of planar checkboard calibration pattern image,Recognition of corners of planar checkboard calibration pattern image,Comparation of calibration methods for bubbly flow video image,An initialization method for monocular visual localization of miniature aerial robots
