Creating the CIPRES Science Gateway for inference of large phylogenetic trees,"Mark A. Miller, Wayne Pfeiffer, Terri Schwartz, ",2010,1035,Authoring a Science Gateway Cookbook,A Web-Based Platform for Publication and Distributed Execution of Computing Applications,SoTree: An Automated Phylogeny Assembly Tool for Ecologists from Big Tree,Science Gateways Incubator: Software Sustainability Meets Community Needs
Random Pattern Testability,"Jacob Savir, Gary S. Ditlow, Paul H. Bardell, ",1984,98,Improved techniques for estimating signal probabilities,Parallel signature analysis design with bounds on aliasing,Analysis of detection probability and some applications,Random pattern testability of memory control logic,Distributed generation of weighted random patterns,On a new class of codes for identifying vertices in graphs,TRIM: testability range by ignoring the memory,Dynamic testability measures for ATPG,An analysis of the probabilistic behavior of linear feedback signature registers,Estimation of activity for static and domino CMOS circuits considering signal correlations and simultaneous switching,Multiple distributions for biased random test patterns,Probabilistic modeling of dependencies during switching activity analysis,Random pattern testability of memory address logic,TAIR: testability analysis by implication reasoning,The reliability of approximate testability measures,On methods to match a test pattern generator to a circuit-under-test,Probability based partial triple modular redundancy technique for reconfigurable architectures,Testability measure and analysis,Analysis and improvement of testability measure approximation algorithms,BIST using pseudorandom test vectors and signature analysis,An Approach to the Testing of Microprocessors,PROTEST: A Tool for Probabilistic Testability Analysis,Trace-driven steady-state probability estimation in FSMs with application to power estimation,A Framework for System Reliability Analysis Considering Both System Error Tolerance and Component Test Quality,On test time reduction using pattern overlapping broadcasting and on-chip decompression,Testability measures combining probablistic and sampling techniques,Estimate of signal probability in combinational logic networks,Influence of IC synthesis on the random pattern testability of parametric bridging faults,Deterministic Logic BIST for Transition Fault Testing,The design of random-testable sequential circuits
Inverse scattering of two-dimensional dielectric objects buried in a lossy earth using the distorted Born iterative method,"Tie Jun Cui, Weng Cho Chew, A. A. Aydiner, Siyuan Chen, ",2001,97
High-dimensional signature compression for large-scale image classification,"Jorge Sanchez, Florent Perronnin, ",2011,96,Low-bit representation of linear classifier weights for mobile large-scale image classification,Simple tag-based subclass representations for visually-varied image classes,Sparse kernel approximations for efficient classification and detection,Power mean SVM for large scale visual classification,Meta-class features for large-scale object categorization on a budget,Large-scale image classification with trace-norm regularization,Hedging your bets: Optimizing accuracy-specificity trade-offs in large scale visual recognition,Towards good practice in large-scale learning for image classification,Label-Embedding for Attribute-Based Classification,Probabilistic Label Trees for Efficient Large Scale Image Classification,Blessing of Dimensionality: High-Dimensional Feature and Its Efficient Compression for Face Verification,Learning Locally-Adaptive Decision Functions for Person Verification,Learning Binary Codes for High-Dimensional Data Using Bilinear Projections,Compact Representation for Image Classification: To Choose or to Compress?,Additive Quantization for Extreme Vector Compression,Product Sparse Coding,Efficient Action Localization with Approximately Normalized Fisher Vectors,Three Guidelines of Online Learning for Large-Scale Visual Recognition,Transformation Pursuit for Image Classification,Incremental Learning of NCM Forests for Large-Scale Image Classification,VLAD3: Encoding Dynamics of Deep Features for Action Recognition,Region Ranking SVM for Image Classification,Fried Binary Embedding for High-Dimensional Visual Features,Decoupling Sparse Coding with Fusion of Fisher Vectors and Scalable SVMs for Large-Scale Visual Recognition,Scalable image annotation using a product compressive sampling approach,Multiple feature fusion based image classification using a non-biased multi-scale kernel machine,Building high-level features using large scale unsupervised learning,Hybrid multi-layer deep CNN/aggregator feature for image classification,Collaborative Active Learning of a Kernel Machine Ensemble for Recognition,Detecting Avocados to Zucchinis: What Have We Done and Where Are We Going?
An efficient multicast protocol for content-based publish-subscribe systems,"G. Banavar, T. Chandra, B. Mukherjee, J. Nagarajarao, R. E. Strom, D. C. Sturman, ",1999,96,A Content-Based Adaptive Event Routing Algorithm,Design of a Location-Based Publish/Subscribe Service Using a Graph-Based Computing Model,Class-Chord: Efficient Messages to Classes of Nodes in Chord,Dynamic real-time IP-based publish-subscribe group collaboration using multicast label filters,A Hypercubic Event-dissemination Overlay Using Structure-aware Addressing for Distributed XML-based Pub/sub System,A role-based distributed publish/subscribe system in IoT,Hybrid Content-Based Routing Using Network and Application Layer Filtering,Coordination middleware supporting rapid deployment of ad hoc mobile systems,On introducing location awareness in publish-subscribe middleware,Towards Building Efficient Content-Based Publish/Subscribe Systems over Structured P2P Overlays,Real-time location recommendation system for field data collection,Routing and forwarding with flexible addressing,Deploying the NaradaBrokering Substrate in Aiding Efficient Web and Grid Service Interactions,Real-Time Public Group Collaboration using IP Multicast Label Filters,Concept for hierarchical and distributed processing of area based triggers,Reliable Event Dissemination in Dynamic Distributed Systems,The CoQUOS Approach to Continuous Queries in Unstructured Overlays,Ferry: A P2P-Based Architecture for Content-Based Publish/Subscribe Services,Scalable Distribution of XML Content with XNet,Design and evaluation of a support service for mobile wireless publish/subscribe applications,A New Model for Secure Dissemination of XML Content,A Hypercubic Overlay Using Bloom-Filter Based Addressing for a Non-dedicated Distributed Tag-Based Pub/Sub System,iQueue: a pervasive data composition framework,Channelization problem in large scale data dissemination,The JEDI event-based infrastructure and its application to the development of the OPSS WFMS,Efficient filtering in publish-subscribe systems using binary decision diagrams,Issues in analyzing the behavior of event dispatching systems,Performance enhancement of Web-based push transmitter with channel scheduling,Information flow based event distribution middleware,Towards efficient publish-subscribe middleware in the IoT with IPv6 multicast
Process variation in embedded memories: failure analysis and variation aware architecture,"A. Agarwal, B. C. Paul, S. Mukhopadhyay, K. Roy, ",2005,96,Fault tolerant circuits for highly reliable systems,Block remap with turnoff: A variation-tolerant cache design technique,Circuit design challenges in embedded memory and resistive RAM (RRAM) for mobile SoC and 3D-IC,Endurance-aware circuit designs of nonvolatile logic and nonvolatile sram using resistive memory (memristor) device,Compiler-Directed Variable Latency Aware SPM Management to CopeWith Timing Problems,Utilization of SECDED for Soft Error and Variation-Induced Defect Tolerance in Caches,Working with Process Variation Aware Caches,Process Variation Aware Issue Queue Design,ReliNoC: A reliable network for priority-based on-chip communication,Reducing performance impact of process variation for data caches,Crosshairs SRAM — An adaptive memory for mitigating parametric failures,Archipelago: A polymorphic cache design for enabling robust near-threshold operation,Analyzing the Optimal Voltage/Frequency Pair in Fault-Tolerant Caches,Variability analysis and FinFET-based design of XOR and XNOR circuit,Distributed voting for fault-tolerant nanoscale systems,Reliable Cache Memory Design for Sensor Networks,Cell Ratio Bounds for Reliable SRAM Operation,DEC ECC design to improve memory reliability in Sub-100nm technologies,Impact of intrinsic parameter fluctuation on the fault tolerance of L1 data cache,A Framework for Modeling Impact of Intrinsic Parameter Fluctuations at Architectural-Level,Reliability Analysis and Distributed Voting for NMR Nanoscale Systems,An analytical model for the calculation of the Expected Miss Ratio in faulty caches,Trading off Cache Capacity for Reliability to Enable Low Voltage Operation,Minerva: Enabling Low-Power Highly-Accurate Deep Neural Network Accelerators,Variable-energy write STT-RAM architecture with bit-wise write-completion monitoring,Modeling and Characterizing Power Variability in Multicore Architectures,Variation Analysis of CAM Cells,Variation Impact on SER of Combinational Circuits,Exploiting static and dynamic locality of timing errors in robust L1 cache design,A case for standard-cell based RAMs in highly-ported superscalar processor structures
Software strategies for portable computer energy management,"J. R. Lorch, A. J. Smith, ",1998,96,Performance analysis of a downlink MAC protocol with power-saving support,Policy optimization for dynamic power management,Adaptive radio for multimedia wireless links,A survey of design techniques for system-level dynamic power management,A survey of adaptive applications in mobile computing,A genetic algorithm for energy efficient device scheduling in real-time systems,Energy-Aware Duplication Strategies for Scheduling Precedence-Constrained Parallel Tasks on Clusters,A low-cost memory architecture with NAND XIP for mobile embedded systems,Automatic data migration for reducing energy consumption in multi-bank memory systems,Quantitative comparison of power management algorithms,Software architectural transformations: a new approach to low energy embedded software,An evolutionary power management algorithm for SoC based EHW systems,Current trends in low-power embedded computing,An Energy Efficient Low Cost Hybrid Storage System Based on Utility,Distribution equipment monitoring system based on the internet of things,Adaptive hard disk power management on personal computers,Balancing energy saving and QoS in the mobile Internet: an application-independent approach,Software controlled power management,Dynamic I/O power management for hard real-time systems,Li-ion battery SOC estimation using particle filter based on an equivalent circuit model,Improving memory energy using access pattern classification,Online Task-Scheduling for Fault-Tolerant Low-Energy Real-Time Systems,Fully power-aware and location-aware protocols for wireless multi-hop ad hoc networks,Optimal and robust framework for enhancing network lifetime using power efficient aodv in mobile ad hoc network,Embedded operating system energy analysis and macro-modeling,Cost-efficient memory architecture design of NAND flash memory embedded systems,Power-aware on-demand routing protocol for MANET,Dynamic I/O power management in real-time systems with multiple-state I/O devices,Dynamic I/O power management in real-time systems with multiple-state I/O devices,Towards an Efficient Context-Aware System: Problems and Suggestions to Reduce Energy Consumption in Mobile Devices
Accelerating Compute-Intensive Applications with GPUs and FPGAs,"Shuai Che, Jie Li, Jeremy W. Sheaffer, Kevin Skadron, John Lach, ",2008,95,Stability of FPGA Based Emulator for Half-Bridge Inverters Operated in Stand-Alone and Grid-Connected Modes,A Survey to Predict the Trend of AI-able Server Evolution in the Cloud,Is there a tradeoff between programmability and performance?,Real-time hardware design for improving laser detection and ranging accuracy,High performance linear equation solver using NVIDIA GPUs,Reconfigurable computing middleware for application portability and productivity,Combining GPU and FPGA technology for efficient exhaustive interaction analysis in GWAS,STD-TLB: A STT-RAM-based dynamically-configurable translation lookaside buffer for GPU architectures,Evaluating High Performance Computing (HPC) requirements of devices on the Smart Grid for increased cybersecurity,FPGA implementation of the coupled filtering method,pvFPGA: Accessing an FPGA-based hardware accelerator in a paravirtualized environment,Acceleration of image reconstruction in 3D ultrasound computer tomography: An evaluation of CPU GPU and FPGA computing,Optimizing memory bandwidth in OpenVX graph execution on embedded many-core accelerators,Hardware accelerator for 3D method of moments based parasitic extraction,On-the-fly energy minimization for multi-mode real-time systems on heterogeneous platforms,Address-based data processing over N-ary trees,Implementation of address-based data sorting on different FPGA platforms,RIFFA: A Reusable Integration Framework for FPGA Accelerators,Energy Efficiency of Full Pipelining: A Case Study for Matrix Multiplication,FPGA Accelerated Computing Platform for MATLAB and C/C++,Implementation in FPGA of Address-Based Data Sorting,RIFFA 2.0: A reusable integration framework for FPGA accelerators,A hardware accelerated approach for imaging flow cytometry,Hardware acceleration of feature detection and description algorithms on low-power embedded platforms,FPGA vs. GPU for sparse matrix vector multiply,Broadcast with mask on a massively parallel processing on a chip,Security challenges and opportunities in adaptive and reconfigurable hardware,Trigeneous Platforms for Energy Efficient Computing of HPC Applications,Data processing in FPGA-based systems,Fast frequent itemsets generation and Support calculation with FPGAs
Statistical design centering and tolerancing using parametric sampling,"K. Singhal, J. Pinel, ",1981,95,Worst case efficiency of Latin hypercube sampling Monte Carlo (LHSMC) yield estimator of electrical circuits,Yield enhancement by means of evolutionary computation techniques,Centering and Tolerancing the Components of Microwave Amplifiers,The influence of pseudo-random numbers on yield analysis and optimization of microwave circuits,Sensitivity and tolerance analysis for oscillator circuits simulated by Van der Pol models,Sensitivity analysis of analog circuits based on a modified nodal approach,A survey of optimization techniques for integrated-circuit design,Low-cost test of embedded RF/analog/mixed-signal circuits in SOPs,An Extrapolated Yield Approximation Technique for Use in Yield Maximization,An Efficient Method of Sampling for Statistical Circuit Design,Problems of Yield Gradient Estimation for Truncated Probability Density Functions,Algorithms and Software Tools for IC Yield Optimization Based on Fundamental Fabrication Parameters,Models for a New Profit-Based Methodology for Statistical Design of Integrated Circuits,A New Approach to Hierarchical and Statistical Timing Simulations,Statistical Static Timing Analysis Considering Process Variation Model Uncertainty,Why Quasi-Monte Carlo is Better Than Monte Carlo or Latin Hypercube Sampling for Statistical Circuit Analysis,Stochastic optimization in system design,Design centering by yield prediction,A statistical method for building macromodels of circuits in tolerance design,Statistical analysis and diagnosis methodology for RF circuits in LCP substrates,The Ellipsoidal Technique for Design Centering of Microwave Circuits Exploiting Space-Mapping Interpolating Surrogates,An Extreme-Value Event Approach for Frequency-Domain Performance Reliability,Study on MMIC Filter Composed of Microstrip Transmission Line,Yield optimization using a GaAs process simulator coupled to a physical device model,Integrated physics-oriented statistical modeling simulation and optimization (MESFETs),A sensitivity figure for yield improvement (manufacturable microwave circuit design),Circuit optimization: the state of the art,FAST gradient based yield optimization of nonlinear circuits,Efficient quadratic approximation for statistical design,Yield optimization of analog ICs using two-step analytic modeling methods
Into the wild: Studying real user activity patterns to guide power optimizations for mobile architectures,"Alex Shye, Benjamin Scholbrock, Gokhan Memik, ",2009,95,Special session paper: data analytics enables energy- efficiency and robustness: from mobile to manycores datacenters and networks,Optimise web browsing on heterogeneous mobile platforms: A machine learning based approach,CoSmart: Coordinating Smartphone with Desktop Computer for Joint Energy Savings,Power saving model for mobile device and virtual base station in the 5G era,E-Android: A New Energy Profiling Tool for Smartphones,Enabling accurate and efficient modeling-based CPU power estimation for smartphones,A Survey of Challenging Issues and Approaches in Mobile Cloud Computing,Utilization-based power consumption profiling in smartphones,A RISC-V Processor SoC With Integrated Power Management at Submicrosecond Timescales in 28 nm FD-SOI,Energy-Aware Paired Sampling-Based Decision Model for Dynamic Mobile-to-Mobile Service Offloading,TIDE: A User-Centric Tool for Identifying Energy Hungry Applications on Smartphones,Debugging Energy-Efficiency Related Field Failures in Mobile Apps,Automated Re-factoring of Android Apps to Enhance Energy-Efficiency,GreenOracle: Estimating Software Energy Consumption with Energy Measurement Corpora,SEMI: Semi-Online Power Estimates for Smartphone Hardware Components,Redefining QoS and customizing the power management policy to satisfy individual mobile users,On the use of nonlinear methods for low-power CPU frequency prediction based on Android context variables,Energy efficient streaming for smartphones by video adaptation and backlight control,Revisiting 802.11 power consumption modeling in smartphones,Location aware decision engine to offload mobile computation to the cloud,The model is not enough: Understanding energy consumption in mobile devices,Trade-off between low power and energy efficiency in benchmarking,Mobile CPU's rise to power: Quantifying the impact of generational mobile CPU design trends on performance energy and user satisfaction,Experimental Evaluation of WiFi Active Power/Energy Consumption Models for Smartphones,Modeling and analysis of routing in IoT networks,Achieving energy-efficiency on MPSoCs: performance and power optimizations,GreenAdvisor: A tool for analyzing the impact of software evolution on energy consumption,Optimizing mobile display brightness by leveraging human visual perception,Big or Little: A Study of Mobile Interactive Applications on an Asymmetric Multi-core Platform,The Impact of Virtual Machines on Embedded Systems
Compressed Sensing for Energy-Efficient Wireless Telemonitoring of Noninvasive Fetal ECG Via Block Sparse Bayesian Learning,"Zhilin Zhang, Tzyy-Ping Jung, Scott Makeig, Bhaskar D. Rao, ",2013,95,A protocol architecture for energy efficient and pervasive eHealth systems,Compression via compressive sensing: A low-power framework for the telemonitoring of multi-channel physiological signals,Gaussian dictionary for Compressive Sensing of the ECG signal,An energy efficient protocol architecture for m-Health Systems,An efficient compression system for ECG signal using QRS periods and CAB technique based on 2D DWT and Huffman coding,A low power Dirac basis compressed sensing framework for EEG using a Meyer wavelet function dictionary,Smart e-Health Gateway: Bringing intelligence to Internet-of-Things based ubiquitous healthcare systems,Adaptive compressed sensing for acceleration data transmission in human motion capture,Healthcare monitoring system for fetal electrocardiogram using least mean square based adaptive noise canceling approach,Dual tree DWT analysis based electrocardiogram signal compression using zero coding technique,Compressive sensing of foot-gait signals by enhancing group block-sparse structure on the first-order difference,Efficient compressive sensing of ECG segments based on machine learning for QRS-based arrhythmia detection,Performance of compressive sensing for the reconstruction of different QRS pulses in ECG signals,Application of compressive sensing to portable ultrasound elastography,Cooperative compressed sensing schemes for telemonitoring of vital signals in WBANs,Bayesian compressive sensing using adaptive threshold for block sparse wideband signal recovery,Block based compressive sensing algorithm using Eigen vectors for image compression,Reconstruction of ECG signals for compressive sensing by promoting sparsity on the gradient,A weighted ℓ1 minimization algorithm for compressed sensing ECG,Compressive sensing of ECG signals based on mixed pseudonorm of the first- and second-order differences,Nested Sparse Bayesian Learning for block-sparse signals with intra-block correlation,On the efficient application of compressive sensing of physiological signals in medical diagnostics,Energy Efficient Compressed Sensing of Bio-Signals with Sparse Binary Matrix,Compressed sensing for reliable body area propagation with efficient signal reconstruction,Energy-Efficient ECG Compression on Wireless Biosensors via Minimal Coherence Sensing and Weighted $ell_1$ Minimization Reconstruction,Exploiting Prior Knowledge in Compressed Sensing Wireless ECG Systems,Adaptive Dictionary Reconstruction for Compressed Sensing of ECG Signals,Boosting the Battery Life of Wearables for Health Monitoring Through the Compression of Biosignals,Quantized Compressive Sensing for Low-Power Data Compression and Wireless Telemonitoring,A Compressibility-Based Clustering Algorithm for Hierarchical Compressive Data Gathering
Line (Block) Size Choice for CPU Cache Memories,"Alan Jay Smith, ",1987,95,Variable Block Size Architecture for Programs,Experimental analysis of cache memories for interconnect controllers,Evaluation of cache consistency algorithm performance,Sector cache design and performance,The selection of optimal cache lines for microprocessor-based controllers,Run-time spatial locality detection and optimization,Variable-way set associative cache design for embedded system applications,Small cache lookaside table for fast DRAM cache access,The impact of extrinsic cache performance on predictability of real-time systems,A program-driven simulation model of an MIMD multiprocessor,Sparse matrix computations: implications for cache designs,Cache Noise Prediction,Performance analysis of cache-based systems,FRISC-E: a 250-MIPS hybrid microprocessor,Evaluating design choices for shared bus multiprocessors in a throughput-oriented environment,Optimal partitioning of cache memory,Branch target buffer design and optimization,A model of workloads and its use in miss-rate prediction for fully associative caches,A quantitative evaluation of cache types for high-performance computer systems,False sharing and spatial locality in multiprocessor caches,Memory latency effects in decoupled architectures,Performance evaluation of a decoded instruction cache for variable instruction length computers,Evaluating associativity in CPU caches,Measuring cache and TLB performance and their effect on benchmark runtimes,Architecture technique trade-offs using mean memory delay time,CPU cache prefetching: Timing evaluation of hardware implementations,Accurate low-cost methods for performance evaluation of cache memory systems,Designing a modern memory hierarchy with hardware prefetching,A case for direct-mapped caches,A survey of cache coherence schemes for multiprocessors
A fast algorithm for computing distance spectrum of convolutional codes,"M. L. Cedervall, R. Johannesson, ",1989,95,BER analysis of Joint Network/Channel decoding in block Rayleigh fading channels,Reduced state computation of distance spectrum for certain optimal convolutional codes,Distance spectrum calculation method for double binary turbo codes,Packet-loss punctured (PaLoP) turbo codes for multimedia data transmission,Construction of trellis codes with a good distance profile,Bit-interleaved coded differential space-time modulation,On trellis codes with a delay processor and a signal mapper,Space-time code design for CPFSK modulation over frequency-nonselective fading channels,Optimum subpacket transmission for hybrid ARQ systems,Error Rate Analysis for Coded Multicarrier Systems Over Quasi-Static Fading Channels,Efficient Computation and Optimization of the Free Distance of Variable-Length Finite-State Joint Source-Channel Codes,Low-rate turbo-Hadamard codes,A BEAST for prowling in trees,Burst erasure correction codes with low decoding delay,Entanglement-Assisted Quantum Turbo Codes,An optimum power management scheme for wireless video service in CDMA systems,The performance of incremental redundancy schemes based on convolutional codes in the block-fading Gaussian collision channel,Transmit power optimization for video transmission over slowly-varying Rayleigh-fading channels in CDMA systems,Estimation-based retransmission mode selection for reinforced HARQ operation in MIMO systems,Channel Diversity in Random Wireless Networks,Asynchronous Convolutional-Coded Physical-Layer Network Coding,Rate 1/n convolutional codes with interleaving depth of n over a block fading Rician channel,Combined coding and spreading in CDMA systems using maximum free distance convolutional codes,On the design of low rate turbo codes,Performance Evaluation of Soft Decode-and-Forward in Fading Relay Channels,A performance analysis of coded frequency-hopped OFDMA [cellular system],Error Rate Analysis for Bit-Loaded Coded OFDM,Estimations of the transfer functions of noncatastrophic convolutional encoders,A distance spectrum interpretation of turbo codes,Bidirectional sequential decoding
Fast analysis of transient electromagnetic scattering phenomena using the multilevel plane wave time domain algorithm,"B. Shanker, A. A. Ergin, Mingyu Lu, E. Michielssen, ",2003,94,An efficient fast algorithm for accelerating the marching-on-in-time based time domain integral equation method,Analysis of transient scattering from conducting surfaces using a modified time domain integral equation method,The parallel plane wave time domain algorithm-accelerated marching on in time solvers for large-scale electromagnetic scattering problems,A local filtering scheme for FMM/PWTD algorithms,Apply two-level plane wave time domain method in implementing multi-region finite difference time domain method,A novel temporal basis function for time domain integral equation solvers,On uniform versus non-uniform sampling of far-field patterns in the plane wave time domain algorithm,A fast space-adaptive algorithm to evaluate transient wave fields due to low-frequency source constellations,Multilevel plane wave time domain-enhanced MOT solver for analyzing electromagnetic scattering from objects residing in lossy media,A Multilevel Cartesian Non-uniform Grid Time Domain (ML-CNGTD) Method,Towards Efficient and Stable Low Frequency Time Domain Integral Equation Solvers,Multilevel PWTD-Enhanced CFIE Solver for Analyzing EM Scattering from PEC Objects Residing in Lossy Media,Time domain integral equation methods for analyses of transient radiation and scattering problems,Study of late time stability for marching on-in-time solution of TDIE,Hybrid MPI/OpenMP parallelization of the explicit Volterra integral equation solver for multi-core computer architectures,Distributed Electromagnetic Computation Based on .NET Remoting,A parallel out-of-core algorithm for the time-domain adaptive integral method,Explicit solution of the Volterra integral equation for transient fields on inhomogeneous arbitrarily shaped dielectric bodies,DFT approach to arbitrary planar antenna arrays,Analysis of transient scattering from complex objects,Application of the equivalent dipole moment method for transient electromagnetic scattering,A Simplified Two-Dimensional PWTD Algorithm,Solution of time-domain MFIE and CFIE using adaptive MOO Method for transient scattering in the presence of an EMP,An Adaptive Marching-on-in-Order Method With FFT-Based Blocking Scheme,Graphics Processing Unit Implementation of Multilevel Plane-Wave Time-Domain Algorithm,An Efficient Solution for the Transient Electromagnetic Scattering From Discrete Body of Revolution,A Higher Order Nyström TD-VIE Method for Scattering From Magnetized Plasma Objects,Analysis of Low-Frequency Electromagnetic Transients by an Extended Time-Domain Adaptive Integral Method,Time domain adaptive integral method for surface integral equations,Integral equation based analysis of scattering from 3-D inhomogeneous anisotropic bodies
Cost-Optimal Scheduling in Hybrid IaaS Clouds for Deadline Constrained Workloads,"Ruben Van den Bossche, Kurt Vanmechelen, Jan Broeckhove, ",2010,93,A Multi-Objective Hybrid Cloud Resource Scheduling Method Based on Deadline and Cost Constraints,Evolutionary Optimal Virtual Machine Placement and Demand Forecaster for Cloud Computing,A two-sided market mechanism for trading big data computing commodities,Business Process Tasks-Assignment and Resource Allocation in Crowdsourcing Context,Admission Control for Elastic Cloud Services,Using Time Discretization to Schedule Scientific Workflows in Multiple Cloud Providers,A Predictive Method for Identifying Optimum Cloud Availability Zones,Data Centre Optimisation Enhanced by Software Defined Networking,Realizing the Potential of IoT Using Software-Defined Ecosystems,A simulation of priority based earliest deadline first scheduling for cloud computing system,Cost-Efficient Scheduling Heuristics for Deadline Constrained Workloads on Hybrid Clouds,Budget-Constrained Resource Provisioning for Scientific Applications in Clouds,Cost and efficiency-based scheduling on a general framework combining between cloud computing and local thick clients,A survey on virtual machine scheduling in cloud computing,A survey on Cloudware and scheduling algorithm for Multi-Cloud,Agent-Based Service Migration Framework in Hybrid Cloud,An effective approach of creation of virtual machine in cloud computing,Deadline and cost based workflow scheduling in hybrid cloud,HEFT based workflow scheduling algorithm for cost optimization within deadline in hybrid clouds,Cost minimization scheduling for deadline constrained applications on vehicular cloud infrastructure,Scheduling model of access requests in open storage architectures,Towards the Scheduling of Access Requests in Cloud Storage,An adaptive eye gaze tracker system in the integrated cloud computing and mobile device,An energy optimizing scheduler for mobile cloud computing environments,Scaling and Scheduling to Maximize Application Performance within Budget Constraints in Cloud Workflows,Consumer-and-Provider-Oriented Efficient IaaS Resource Allocation,Probabilistic provisioning and scheduling in uncertain Cloud environments,Workload Factoring and Resource Sharing via Joint Vertical and Horizontal Cloud Federation Networks,Dynamic Multiservice Load Balancing in Cloud-Based Multimedia System,Hybrid Cloud Placement Algorithm
"Generalized analytical technique for the synthesis of unequally spaced arrays with linear, planar, cylindrical or spherical geometry","B. P. Kumar, G. R. Branner, ",2005,92,Exploiting Rotational Symmetry for the Design of Ultra-Wideband Planar Phased Array Layouts,Fast Pencil Beam Pattern Synthesis of Large Unequally Spaced Antenna Arrays,Compressive Sensing Pattern Matching Techniques for Synthesizing Planar Sparse Arrays,Sparsening Conformal Arrays Through a Versatile $BCS$-Based Method,Multiobjective Design of Linear Antenna Arrays Using Bayesian Inference Framework,The Filter Diagonalization Method in Antenna Array Optimization for Pattern Synthesis,Synthesis of Pattern Reconfigurable Sparse Arrays With Multiple Measurement Vectors FOCUSS Method,Design of Superdirective Planar Arrays With Sparse Aperiodic Layouts for Processing Broadband Signals via 3-D Beamforming,Placement Design of Microphone Arrays in Near-Field Broadband Beamformers,Active cancellation of probing in phased array using modified improved LMS algorithm,Synthesis of planar sparse arrays by perturbed compressive sampling framework,Array antenna pattern synthesis using measured active element patterns and Gram — Schmidt Orthogonalization,Linear sparse arrays designed by dynamic constrained multi-objective evolutionary algorithm,Array optimization for MIMO radar by particle swarm algorithm,The optimization of sparse concentric ring array using differential evolution algorithm,Sidelobe Evaluation of Cardioid-Patterned Sensor Array,Composite right/left-handed substrate integrated waveguide leaky-wave sparse array antenna with low sidelobe level,An improved genetic algorithm for aperiodic array synthesis,Separation of variables in the synthesis problems of phased antenna arrays,The amplitude and power criterion in the synthesis problems for waveguide antennas,Optimization of Sparse Plane Arrays Using an Improved Genetic Algorithm,Aperture release model of thinned arrays,Antenna array design using generalized fitness functions,Antenna array geometry for mobile ad-hoc networks,Synthesis of sparse planar arrays with matrix pencil method,Realization of compact arrays with low side lobes using Biogeography Based Optimization,Sidelobe Reduction of Linear Nonuniformly Spaced Arrays,Non uniform element angular spacing of a hemi spherical antenna array for vector optimization employing natural computing techniques,Linear sparse array synthesis via convex optimization,Non-uniform 1D antenna array optimal configuration via extremum seeking control
Waveform relaxation analysis of RLCG transmission lines,"F. -Y. Chang, ",1990,91,A universal model for lossy and dispersive transmission lines for time domain CAD of circuits,Optimization and sensitivity analysis of multiconductor transmission line networks,Causal-convolution-a new method for the transient analysis of linear systems at microwave frequencies,Transient analysis of lossy coupled transmission lines in a lossy medium using the waveform relaxation method,Waveform relaxation analysis of nonuniform lossy transmission lines characterized with frequency-dependent parameters,Accurate transient simulation of transmission lines with the skin effect,Transient analysis of lossy transmission lines with arbitrary initial potential and current distributions,Transient simulation of nonuniform coupled lossy transmission lines characterized with frequency-dependent parameters. I. Waveform relaxation analysis,Computationally efficient simulation of a lossy transmission line with skin effect by using numerical inversion of Laplace transform,Transient simulation of lossy interconnects based on the recursive convolution formulation,Transient simulation of nonuniform coupled lossy transmission lines characterized with frequency-dependent parameters. II. Discrete-time analysis,Computational models of transmission lines with skin effects and dielectric loss,Transient analysis of diode switching circuits including charge storage effect,Transient simulation of lossy coupled transmission lines using iterative linear least square fitting and piecewise recursive convolution,Analysis of Chua's circuit with transmission line,Rational approximation of irrational functions by linear fractional transformations,Passive multipoint moment matching model order reduction algorithm on multiport distributed interconnect networks,Algebraic solution of time-domain nonuniform transmission-line equations by 2-D wavelet transform,Exact moment matching model of transmission lines and application to interconnect delay estimation,Moment models of general transmission lines with application to interconnect analysis and optimization,Transient simulation of frequency-dependent nonuniform coupled lossy transmission lines,Speed improvement in the transient analysis of transmission lines,Parallel EMI analysis of large coupled interconnects via transverse partitioning and waveform relaxation,Transmission line modeling and synthesis for multi-channel communication,Crosstalk noise analysis for distributed parameter high-speed interconnect lines based on the transfer function,Repeater Sizing and Insertion Length of Interconnect to Minimize the Overall Time Delay using a Truncated Fourier Series Approach,Transient simulation of lossy interconnect,Simulating lossy interconnect with high frequency nonidealities in linear time,Closed-form representations for triangle impulse responses associated with single and coupled lossy transmission lines,Efficient simulation of chip-to-chip interconnect system by combining waveform relaxation with reduced-order modeling methods
