Visualizing the non-visual: spatial analysis and interaction with information from text documents,"J. A. Wise, J. J. Thomas, K. Pennock, D. Lantrip, M. Pottier, A. Schur, V. Crow, ",1995,156,Interactive information visualization for exploratory intelligence data analysis,Comparing Tag Clouds Term Histograms and Term Lists for Enhancing Personalized Web Search,A Comparative User Study of Web Search Interfaces: HotMap Concept Highlighter and Google,Multifaceted visual analytics for healthcare applications,Content-based image visualization,Visualisation to assist non-speaking users of augmentative communication systems,Visualising human dialog,Visual analysis based on algorithmic classification,Semantically modified diffusion limited aggregation for visualizing large-scale networks,Task embedded visualisation: the design for an interactive IR results display for journalists,Visualization of biological patterns in event detection and tracking based on SRP algorithm,Visualizing the meaning of texts,Text Map Explorer: a Tool to Create and Explore Document Maps,The Visual Exploration ofWeb Search Results Using HotMap,Visual Mapping of Text Collections through a Fast High Precision Projection Technique,Visualizing Concept Associations Using Concept Density Maps,AlViz - A Tool for Visual Ontology Alignment,Visualization of Knowledge Structures,Interactive Tag Maps and Tag Clouds for the Multiscale Exploration of Large Spatio-temporal Datasets,InfoMaps : A Session Based Document Visualization and Analysis Tool,Toward Visual Analytics of Unlinked Documents by Textual Analysis and Network Visualization,CommunityBoard: social meeting system able to visualize the structure of discussions,Analysis experiences using information visualization,Visualizing live text streams using motion and temporal pooling,Newdle: Interactive Visual Exploration of Large Online News Collections,EZ-Gram sonar display tools: applying interactive data visualization and analysis to undersea environments,Visualizing dynamic data with maps,Text visualization techniques: Taxonomy visual survey and community insights,Maps of Computer Science,The Projection Explorer: A Flexible Tool for Projection-based Multidimensional Visualization
Unbiased MMSE-Based Noise Power Estimation With Low Complexity and Low Tracking Delay,"Timo Gerkmann, Richard C. Hendriks, ",2012,155,Improved single channel phase-aware speech enhancement technique for low signal-to-noise ratio signal,Acoustic vector sensor: reviews and future perspectives,Low-Distortion MMSE Speech Enhancement Estimator Based on Laplacian Prior,Applications of deep learning in supervised speech separation,A novel prewhitening subspace method for enhancing speech corrupted by colored noise,Robust speaker recognition based on improved GFCC,Phase estimation in speech enhancement — Unimportant important or impossible?,Active speech level estimation in noisy signals with quadrature noise suppression,Perception auditory factor for speaker recognition in noisy environment,Transient noise reduction using nonnegative matrix factorization,Tuning methodology for speech enhancement algorithms using a simulated conversational database and perceptual objective measures,Two-stage speech enhancement with manipulation of the cepstral excitation,Modulation-domain speech enhancement using a Kalman filter with a Bayesian update of speech and noise in the log-spectral domain,Coherence-aware stereophonic residual echo estimation,A phase-aware single channel speech enhancement technique using separate bayesian estimators for voiced and unvoiced regions with digital hearing aid application,Speech enhancement based on combination of wiener filter and subspace filter,An effective Kalman filtering method for enhancing speech in the presence of colored noise,Noise-robust reverberation time estimation using spectral decay distributions with reduced computational cost,Robust low-complexity multichannel equalization for dereverberation,Speech active level estimation in noisy conditions,On the relation between speech corruption models in the spectral and the cepstral domain,A practical self-adaptive voice activity detector for speaker verification with noisy telephone and microphone data,Dual microphone noise PSD estimation for mobile phones in hands-free position exploiting the coherence and speech presence probability,Incorporating multi-channel Wiener filter with single-channel speech enhancement algorithm,Online inter-frame correlation estimation methods for speech enhancement in frequency subbands,MMSE-optimal enhancement of complex speech coefficients with uncertain prior knowledge of the clean speech phase,Frequency-domain single-channel inverse filtering for speech dereverberation: Theory and practice,Signal-based late residual echo spectral variance estimation,Speech enhancement usinga modulation domain Kalman filter post-processor with a Gaussian Mixture noise model,Mask-based enhancement for very low quality speech
The Behavioral Approach to Open and Interconnected Systems,"Jan C. Willems, ",2007,155,Finite-time stability of interconnected impulsive switched systems,Mathematical relationships between representations of structure in linear interconnected dynamical systems,Zero-controllability and dead-beat control of discrete-time behaviors,A new object-oriented fault detection and isolation strategy based on bond-graph formalism,Distributed robustness analysis of heterogeneous networks via integral quadratic constraints,Control of nonholonomic robotic load,Constructing ρ/μ approximations from input/output snapshots for systems over finite alphabets,LMI conditions for robust stability against parametric uncertainty: A behavioral approach,On some features of the canonical controller of the behavioral approach,Control design for hybrid systems with TuLiP: The Temporal Logic Planning toolbox,Behavioral controllability and coprimeness for a class of infinite-dimensional systems,Conservation laws and open systems on higher-dimensional networks,Controller synthesis for L2 behaviors using rational kernel representations,A characterization of solution sets of LTI differential equations,Identification of clock synchronization errors: A behavioral approach,The behavior of resistive circuits,On connecting trajectories with maximum persistence of behavior,Interconnection of subsystems in closed-loop systems,The behavior of linear time invariant RLC circuits,Stokes-Dirac structures through reduction of infinite-dimensional Dirac structures,On the elimination of latent variables in ℒ2 behaviors,Representing structure in linear interconnected dynamical systems,Open stochastic systems,State space representation of SISO periodic behaviors,Constructing ρ/γ approximations for systems with No exogenous inputs,Switched behaviors with impulses - a unifying framework,Power and energy as systemic properties — Part I: Electrical circuits,Power and energy as systemic properties — Part II: Mechanical systems,An object-oriented design method for Fault Detection and Isolation,Graceful gait transitions for biomimetic locomotion - the worm
Using Social Media to Enhance Emergency Situation Awareness,"Jie Yin, Andrew Lampert, Mark Cameron, Bella Robinson, Robert Power, ",2012,154
Dynamic Configuration for Distributed Systems,"J. Kramer, J. Magee, ",1985,154,Key Research Issues for Reconfigurable Network-on-Chip,Towards Self-Adaptation in Real-Time Networked Systems: Efficient Solving of System Constraints for Automotive Embedded Systems,Timing constraints for runtime adaptation in real-time networked embedded systems,Dynamic reconfiguration for Java applications using AOP,Towards runtime adaptation in real-time networked embedded systems,A Multi-object Motion-tracking Method for Video Surveillance,Intelligent Framework for the Management of Distributed Architectures,An autonomous Energy Management platform for resilient operation of microgrids,Deployment and dynamic reconfiguration planning for distributed software systems,CHAOS-Kernel Support for Objects in the Real-Time Domain,Online Reconfigurable Control Software for IEDs,Context-Aware Migratory Services in Ad Hoc Networks,Software-Defined Service Networking: Performance Differentiation in Shared Multi-Tenant Cloud Applications,Toward Real-Time Distributed Intelligent Control: A Survey of Research Themes and Applications,Toward Self-Reconfiguration of Manufacturing Systems Using Automation Agents,Dynamic reconfiguration in HaRTES switched ethernet networks,Supporting Dynamic Software Architectures: From Architectural Description to Implementation,Object-oriented programming in the large using group concept,An Approach for Developing Adaptive Mobile Applications with Separation of Concerns,Error recovery in critical infrastructure systems,Dynamic Software Reconfiguration Using System-Level Management,Automatic control application recovery in distributed IEC 61499 based automation and control systems,Dynamic reconfiguration of distributed control applications with reconfiguration services based on IEC 61499,Modeling of Reconfiguration Control Applications based on the IEC 61499 Reference Model for Industrial Process Measurement and Control Systems,Transparent dynamic reconfiguration for CORBA,A procedure-based dynamic software update,Knowledge preserving development: a case study,The NETSHELL Programming Environment,Modelling dynamic distributed system structures in PARSE,Dependability in distributed applications-approaches and issues
Perfect hash functions made parallel-Lazy functional programming on a distributed multiprocessor,"I. Checkland, C. Runciman, ",1993,154,A soft-systems methodology approach for product and process innovation,Defining real world problems: a conceptual language,Wholes and parts-a systems approach,Representational effects on the solving of an unstructured decision problem,Requirements development in scenario-based design,Managing process inconsistency using viewpoints,Managing requirements inconsistency with development goal monitors,Intent specifications: an approach to building human-centered specifications,A composite object model of an urban water network based on multidisciplinary knowledge bases. I. Composite object modeling,A discrete event system model of business system-a systems theoretic foundation for information systems analysis. I,Adaptive learning of hypergame situations using a genetic algorithm,Clinical decision support systems methodology and telemedicine: their role in the management of chronic disease,Restoring legitimacy to the systems approach,Application of a Safety-Driven Design Methodology to an Outer Planet Exploration Mission,Reliability management in a nuclear power plant,System dynamics for knowledge-based decision making,Requirements engineering and strategic decision exploration: an area for interdisciplinary research,Project management capability levels: an empirical study,Software design tools evaluation in the context of a metaparadigm,Building information systems development methods: synthesising from a basis in both theory and practice,A Conceptual Model of Software Engineering Research Approaches,Method engineering-a framework for improved computer based medical systems design,The ORDIT approach to requirements identification,Action research: a research approach for cooperative work,Conceptual and computational insights from a holistic framework for infrastructure management,Analysis of virtual workspaces,Software versioning and evolution in digital ecosystems,Reliable requirements through the quality gateway,Model-Based Self-Managing Systems Engineering,The spring model for knowledge based systems analysis: a case study involving small and medium sized enterprises
Compiler transformations for high-performance computing,"David F. Bacon, Susan L. Graham, Oliver J. Sharp, ",1994,153,Address code and arithmetic optimizations for embedded systems,Optimization of energy consumed by real-time applications embedded into DSP systems,Highly reliable relational control programs for robust rapid transit systems,Hardware/compiler codevelopment for an embedded media processor,Loop fusion for memory space optimization,A cost framework for evaluating integrated restructuring optimizations,Time stamp algorithms for runtime parallelization of DOACROSS loops with dynamic dependences,Energy-efficient design of battery-powered embedded systems,Cache design and exploration for low power embedded systems,Exploiting wavefront parallelism on large-scale shared-memory multiprocessors,The dynamic trace memoization reuse technique,A new model of exploiting loop parallelization using knowledge-based techniques,Source code optimization and profiling of energy consumption in embedded systems,An investigation of feedback guided dynamic scheduling of nested loops,Memory design and exploration for low power embedded systems,Loop alignment for memory accesses optimization,Reducing cache conflicts by partitioning and privatizing shared arrays,The modulo interval: a simple and practical representation for program analysis,FACT: a framework for applying throughput and power optimizing transformations to control-flow-intensive behavioral descriptions,Bitslice Vectors: A Software Approach to Customizable Data Precision on Processors with SIMD Extensions,Parallelizing Soft-Synths with Soft Real-Time Requirements,A Highly Effective Global Surface Wave Numerical Simulation with Ultra-High Resolution,Massage-Passing Interface Cluster Bulid upon System Kernel Environment,Low-power memory mapping through reducing address bus activity,Evaluation of K-means data clustering algorithm on Intel Xeon Phi,Loop optimization in presence of STT-MRAM caches: A study of performance-energy tradeoffs,A task scheduling algorithm to package messages on distributed memory parallel machines,Enhance GCC loop optimizations in multicore context,Cascaded execution: Speeding up unparallelized execution on shared-memory multiprocessors,Towards automatic parallelization of sequential programs and efficient use of resources in HPC centers
A taxonomy and catalog of runtime software-fault monitoring tools,"N. Delgado, A. Q. Gates, S. Roach, ",2004,153
A Regression Approach to Music Emotion Recognition,"Yi-Hsuan Yang, Yu-Ching Lin, Ya-Fan Su, Homer H. Chen, ",2008,152,Music emotion recognition using PSO-based fuzzy hyper-rectangular composite neural networks,Music Genre and Emotion Recognition Using Gaussian Processes,Development of an Automatic Emotional Music Accompaniment System by Fuzzy Logic and Adaptive Partition Evolutionary Genetic Algorithm,The power of words: Enhancing music mood estimation with textual input of lyrics,Emo-soundscapes: A dataset for soundscape emotion recognition,Emotion recognition method based on normalization of prosodic features,Robust emotion recognition in live music using noise suppression and a hierarchical sparse representation classifier,Music emotion recognition using deep Gaussian process,Music thumbnailing via neural attention modeling of music emotion,Music sparse decomposition onto a MIDI dictionary of musical words and its application to music mood classification,Some issues of mood classification for Chinese popular music,Classification of vocal and non-vocal regions from audio songs using spectral features and pitch variations,BigEAR: Inferring the Ambient and Emotional Correlates from Smartphone-Based Acoustic Big Data,Music emotion understanding by computer based on BP neural network,A music recommendation system with consideration of personal emotion,Automatic Music Mood Detection through Musical Structure Analysis,Evaluation of Texture and Geometry for Dimensional Facial Expression Recognition,An unsupervised approach to the semantic description of the sound quality of violins,Emotional nodes among lines of lyrics,Emotion extraction and recognition from music,Music emotion ranking,A study of the effect of emotional state upon text-independent speaker identification,A regressive boosting approach to automatic audio tagging based on soft annotator fusion,On-line continuous-time music mood regression with deep recurrent neural networks,The AMG1608 dataset for music emotion recognition,A histogram density modeling approach to music emotion recognition,A deep bidirectional long short-term memory based multi-scale approach for music dynamic emotion prediction,Practical considerations on the use of preference learning for ranking emotional speech,Location and MOOD based playlist generation,Dimensional music emotion recognition by valence-arousal regression
A Systematic Approach to Multiphysics Extensions of Finite-Element-Based Micromagnetic Simulations: Nmag,"Thomas Fischbacher, Matteo Franchin, Giuliano Bordignon, Hans Fangohr, ",2007,150,Electric field driven domain wall transfer in hybrid structures,Logic-in-Memory: A Nano Magnet Logic Implementation,MagCAD: Tool for the Design of 3-D Magnetic Circuits,A new methodology for design and simulation of NML circuits,Asynchrony in Quantum-Dot Cellular Automata Nanocomputation: Elixir or Poison?,Domain Magnet Logic (DML): A new approach to magnetic circuits,Magnetic QCA Majority Voter feasibility analysis,Bulletpack: A Fast Flexible Packing Algorithm for Particulate Media,Understanding the Magnetization Reversal in Six-Fold Anisotropic Hexagonal Networks,Proposal for a Standard Micromagnetic Problem: Spin Wave Dispersion in a Magnonic Waveguide,Finite-Temperature Micromagnetism,An Iterative Solution for Spin-Wave Dispersion in a Magnonic Ring,Micromagnetic Study of Dipole-Field-Mediated Synchronization Between Domain Wall Spin Torque Nano-Oscillators,Micromagnetic and Plane Wave Analysis of an Antidot Magnonic Crystal with a Ring Defect,Electrode Design for Antiparallel Magnetization Alignment in Nanogap Devices,Fast Optimal Design of Micromagnetic Devices Using FastMag and Distributed Evolutionary Algorithm,Majority Voter Full Characterization for Nanomagnet Logic Circuits,Virtual Clocking for NanoMagnet Logic,Nanomagnetic Logic Microprocessor: Hierarchical Power Model,Domain Wall Interconnections for NML,Nmag Micromagnetic Simulation Tool — Software Engineering Lessons Learned,Electric Control of the Magnetic Domains in Artificial Magnetoelectric Composite Heterostructure
WSRec: A Collaborative Filtering Based Web Service Recommender System,"Zibin Zheng, Hao Ma, Michael R. Lyu, Irwin King, ",2009,150,A Survey of Collaborative Filtering-Based Recommender Systems for Mobile Internet Applications,A Novel QoS Prediction Approach for Cloud Services Using Bayesian Network Model,A Web Service Recommender System Using Vector Space Model and Latent Semantic Indexing,QoSDIST: A QoS Probability Distribution Estimation Tool for Web Service Compositions,Cloud Service Recommendation: State of the Art and Research Challenges,QoS Driven Web Services Evolution,QoS Assessment over Multiple Attributes,WSRank: A Collaborative Ranking Approach for Web Service Selection,Correlation-Based Top-k Recommendation for Web Services,DR2: Dynamic Request Routing for Tolerating Latency Variability in Online Cloud Applications,End-to-End QoS Prediction of Vertical Service Composition in the Cloud,Research on a Kind of High Efficiency Cloud Service Recommendation Algorithm,Trust-Aware and Location-Based Collaborative Filtering for Web Service QoS Prediction,TagRec: Leveraging Tagging Wisdom for Recommendation,Context-Based Web Service Reputation Measurement,Improving semantic web service discovery method based on QoS ontology,A Service Ranking Method Based on Collaborative Filtering,An Ensemble-Based Recommendation Engine for Scientific Data Transfers,Context-Based Service Recommendation System Using Probability Model in Mobile Devices,Aggregating user rating and service context for WSN service ranking,Feedback-based service selection in ad-hoc mobile cloud computing,QoS prediction method for data supply chain based on context,A kind of web service recommendation method based on improved hybrid collaborative filtering,Comparative study of recommender systems built using various methods of collaborative filtering algorithm,A real-time recommender system based on hybrid collaborative filtering,Bayesian Personalized Ranking for Optimized Personalized QoS Ranking,An Incremental Tensor Factorization Approach for Web Service Recommendation,User-based AutoenCoder for QoS prediction,Distributed QoS Evaluation for Real-World Web Services,HyperService: Linking and Exploring Services on the Web
Generalized multiple description coding with correlating transforms,"V. K. Goyal, J. Kovacevic, ",2001,150,Sequencing multiple descriptions,n-channel symmetric multiple-description lattice vector quantization,Filter Banks for Prediction-Compensated Multiple Description Coding,Multi Level Multiple Descriptions,Multiple Description Image Coding with Local Random Measurements,Multiple description coding using transforms and data fusion,Multiple description vector quantizer design based on redundant representation of central code,Multiple description coding for wireless channels with multiple antennas,Multiple description coding with multiple transmit and receive antennas for wireless channels: the case of digital modulation,A Novel Multiple Description Coding Frame Based on Reordered DCT Coefficients and SPIHT Algorithm,1-D and 2-D transforms from integers to integers,Oversampled filterbanks seen as channel codes: impulse noise correction,Multiple description coding of images using phase scrambling,A rate-distortion optimal hybrid scalable/multiple-description video codec,Multiple description image coding using natural scene statistics,Multiple description coding over correlated multipath erasure channels,A generalized optimal correlating transform for multiple description coding and its theoretical analysis,Analog joint source-channel Multiple Description coding scheme over AWGN parallel channels,SEAMLESS P2P-MDVC with well-balanced descriptions,Extreme unequal error protection and perfectly reliable encoding,From biomedical imaging to urban data mining: Theory of signal representations,n-channel entropy-constrained multiple-description lattice vector quantization,Multiple Description Quantization Via Gram–Schmidt Orthogonalization,$n$ -Channel Asymmetric Entropy-Constrained Multiple-Description Lattice Vector Quantization,Near Optimality of Composite Multiple Description Source Codes,Bit-Error Resilient Index Assignment for Multiple Description Scalar Quantizers,On Achievable Distortion Exponents for a Gaussian Source Transmitted Over Parallel Gaussian Channels With Correlated Fading and Asymmetric SNRs,Adaptive FEC-Based Packet Loss Resilience Scheme for Supporting Voice Communication over Ad hoc Wireless Networks,Multiple sender distributed video streaming,Low-Latency Video Streaming With Congestion Control in Mobile Ad-Hoc Networks
A language independent approach for detecting duplicated code,"S. Ducasse, M. Rieger, S. Demeyer, ",1999,150,Understanding the Effects of Code Clones on Modularity in Software Systems,A Tool to Suggest Similar Program Element Modifications,Identification of high-level concept clones in source code,Evaluating clone detection techniques from a refactoring perspective,Clone-Aware Configuration Management,A study of repetitiveness of code changes in software evolution,Evaluating the relation between changeability decay and the characteristics of clones and methods,Simultaneous Modification Support based on Code Clone Analysis,Efficient approach to detect logical equivalence in the paradigm of software plagiarism,Synthesis Algorithm of Homologous Detection Based on Analytic Hierarchy Process,Reasoning about Global Clones: Scalable Semantic Clone Detection,A Metrics-Based Data Mining Approach for Software Clone Detection,Detecting Java Code Clones with Multi-granularities Based on Bytecode,The vision of software clone management: Past present and future (Keynote paper),Identifying refactoring opportunities using logic meta programming,NICAD: Accurate Detection of Near-Miss Intentional Clones Using Flexible Pretty-Printing and Code Normalization,Scenario-Based Comparison of Clone Detection Techniques,A Technique for Just-in-Time Clone Detection in Large Scale Systems,Vivisection of a Non-Executable Domain-Specific Language - Understanding (the Usage of) the P3P Language,Gapped code clone detection with lightweight source code analysis,Rule-directed code clone synchronization,On the Uniqueness of Code Redundancies,Reengineering analysis of object-oriented systems via duplication analysis,Beyond templates: a study of clones in the STL and some general implications,Very-Large Scale Code Clone Analysis and Visualization of Open Source Programs Using Distributed CCFinder: D-CCFinder,Do code clones matter?,CloneDetective - A workbench for clone detection research,CBCD: Cloned buggy code detector,Data clone detection and visualization in spreadsheets,A taxonomy and an initial empirical study of bad smells in code
What you always wanted to know about Datalog (and never dared to ask),"S. Ceri, G. Gottlob, L. Tanca, ",1989,150,An allocation algorithm for distributing Datalog programs,Inductive database relations,The design implementation and performance evaluation of BERMUDA,Reasoning about equations and functional dependencies on complex objects,Transactions and updates in deductive databases,An Empirical Approach to Modeling Uncertainty in Intrusion Analysis,A security policy framework for eEnabled fleets and airports,A Datalog Source-to-Source Translator for Static Program Analysis: An Experience Report,READ -- A Resolution and Abduction Based Approach for Policy Comparison in Organizational Collaboration,A logic-based approach to network security risk assessment,Contextual proactivity for media sharing scenarios in proximity networks,Control system design in a database programming environment,Design and Semantics of a Decentralized Authorization Language,Specification and Analysis of Dynamic Authorisation Policies,Information Flow in Credential Systems,A unified framework for evaluating deductive databases with uncertainty,XAR: An Integrated Framework for Information Extraction,Policy Description Language for Dynamic Access Control Models,Processing deductions in an active fashion,Verification validation and integrity issues in expert and database systems: the database perspective,Machine learning methods for automatically processing historical documents: from paper acquisition to XML transformation,Confidentiality of event data in policy-based monitoring,Composing Patterns to Construct Secure Systems,FuzzyDES or how DES Met Bousi-Prolog,Detecting SOQL-injection vulnerabilities in SalesForce applications,Ontological queries: Rewriting and optimization,Integrated Software Architecture Management and Validation,Towards set-oriented recursive XML query in pattern-based logic views,Program querying with a SOUL: The BARISTA tool suite,On the Propagation Strength of SAT Encodings for Qualitative Temporal Reasoning
A Linguistic Approach to Decisionmaking with Fuzzy Sets,"Richard M. Tong, Piero P. Bonissone, ",1980,150,Comparison of experiments in statistical decision problems with fuzzy utilities,A new approach to handling fuzzy decision-making problems,Identifying the most effective reasoning calculi for a knowledge-based system,A methodology using fuzzy logic to optimize feedforward artificial neural network configurations,An approach to the comparison of fuzzy subsets with an alpha -cut dependent index,Aggregation operators for linguistic weighted information,An improvement of a comparison of experiments in statistical decision problems with fuzzy utilities,A model based on linguistic 2-tuples for dealing with multigranular hierarchical linguistic contexts in multi-expert decision-making,Fuzzy consensus models in GDSS,A neural network for fast inferencing on a fuzzy knowledge base,A Hybrid Fuzzy LMS Neural Network Model for Determining Weights of Criteria in MCDM,Perceptual computing based performance control mechanism for power efficiency in mobile embedded systems,A linguistic 2-tuple multicriteria decision making model dealing with hesitant linguistic information,A hybrid fuzzy/neural system used to extract heuristic knowledge from a fault detection problem,A new representational framework for fuzzy sets,Fuzzy sets based global evaluation in the metal cutting process planning,Fuzzy Sets Based Global Evaluation in the Metal Cutting Process Planning,A unified view of ranking techniques for fuzzy numbers,Aggregation of fuzzy opinions with an area between the centroid point and the original point under group decision making,Linguistic weighted power means: Comparison with the linguistic weighted average,MEDM in general multi-granular hierarchical linguistic contexts based on the 2-tuples linguistic model,Recognizing the most effective approximate reasoning calculi for a knowledge-based system,Multi-Expert Decision-Making with Linguistic Information: A Probabilistic-Based Model,Requirement-driven decision support systems,Multiple attributes group decision making under fuzzy environment,A New Fuzzy MADM Algorithm Based on Subjective and Objective Integrated Weights,A design methodology for an intelligent controller using fuzzy logic and artificial neural networks,Design of a fuzzy expert system development shell,Modeling and simulation of a parameterized fuzzy processor,Research on Supplier Selection Based on Fuzzy Sets Group Decision
Experiences with mixed integer linear programming based approaches on short-term hydro scheduling,"G. W. Chang, M. Aganagic, J. G. Waight, J. Medina, T. Burton, S. Reeves, M. Christoforidis, ",2001,150,MILP formulation for short-term scheduling of cascaded reservoirs with head effects,Coordinative Optimization Model Based on MILP for Hydrothermal Power System,Short-Term Hydrothermal Scheduling via Honey-Bee Mating Optimization Algorithm,Online strategy for boiler scheduling during the blast furnace blowing down,An Improved Self-Adaptive Particle Swarm Optimization Approach for Short-Term Scheduling of Hydro System,Economic Load Dispatch Using MRPSO with Generator Ramp Rate Limits Constraint,Hourly energy and reserve joint dispatch with a hydro-thermal technological based representation,The flexibility of hydroelectric reservoir and pumped storage generation — Application to Switzerland,Effective scheduling operation of coordinated and uncoordinated wind-hydro and pumped-storage in generation units with modified JAYA algorithm,Economic load dispatch with environmental emission using MRPSO,Online strategy for scheduling by-product gas supply,Online strategy for scheduling a hydroelectric station during flood season,Impact of Security on Power Systems Operation,Imperialistic competition based short-term economic emission dispatch of hydrothermal power system with cascaded reservoirs,Profit-Based Short-Term Hydro Scheduling considering Head-Dependent Power Generation,Optimization based methods for unit commitment: Lagrangian relaxation versus general mixed integer programming,A Necessary and Sufficient Condition for Obtaining Feasible Solution to Hydro Power Scheduling with Multiple Operating Zones,Risk-constrained strategic bidding of a hydro producer under price uncertainty,A simplified combined-cycle unit model for mixed integer linear programming-based unit commitment,Long-term scheduling of cascaded hydro energy system with distributed water usage allocation constraints,An accurate representation of water delay times for cascaded reservoirs in hydro scheduling problems,Quantifying the operational benefits of conventional and advanced pumped storage hydro on reliability and efficiency,Short term self scheduling of hydro power plants with intra-day regulation capacity. Case study of Los Molles and Sauzal in Chile,A mixed integer linear programming based hydro unit commitment,Building optimal generation bids of a hydro chain in the day-ahead electricity market under price uncertainty,Reducing the computational effort of stochastic multi-period DC optimal power flow with storage,Improving hydrogeneration representation in a production cost model used for long-term transmission studies in the Western Interconnection,Computation of competitive market equilibrium in hydrothermal power systems with cascaded reservoirs,Under-relaxed iterative procedure for feasible short-term scheduling of a hydro chain,Nonlinear approach for short-term scheduling of a head-sensitive hydro chain
Proofs of Networks of Processes,"J. Misra, K. M. Chandy, ",1981,150,Abstract specification of synchronous data types for VLSI and proving the correctness of systolic network implementations,Specification of real-time broadcast networks,A theory of interfaces and modules I/spl minus/composition theorem,Verifying general safety properties of Ada tasking programs,Static analysis of real-time distributed systems,The specification and verified decomposition of system requirements using CSP,Component based design of multitolerant systems,Temporal logic-based deadlock analysis for Ada,A review of specification and verification methods for parallel programs including the dataflow approach,Development of a class of distributed termination detection algorithms,Symbolic construction of GR(1) contracts for systems with full information,Formal Verification of Lock-Free Algorithms,Towards automatic verification of embedded control software,Distributed power allocation for vehicle management systems,Verifying networks of processes that synchronize via shared variables,A formal approach to the semantic specification of data flow diagrams,A presentation of regular languages in the assumption-commitment framework,Analysis of distributed systems with many identical processes,Prototyping Generators for on-line test vector generation based on PSL properties,On composing and proving the correctness of reactive behavior,Extending Contract theory with Safety Integrity Levels,Trace based verification of parallel programs with shared variables,A model and a proof system for parallel and distributed processes,Decomposing refinement proofs using assume-guarantee reasoning,Verification of timed circuits with failure directed abstractions,Fault-tolerant CSP,A proof technique for liveness properties of multifunction composite protocols,Automating formal modular verification of asynchronous real-time embedded systems,Assume-guarantee supervisor for concurrent systems,Composition and refinement for partial object specifications
Artificial neural-network based feeder reconfiguration for loss reduction in distribution systems,"H. Kim, Y. Ko, K. -H. Jung, ",1993,149,Look-ahead distribution power restoration analysis based on integrated operation of distribution automation and advanced metring infrastructure systems,Two-stage heuristic methodology for optimal reconfiguration and Volt/VAr control in the operation of electrical distribution systems,Distribution feeder reconfiguration for operation cost reduction,Minimum loss reconfiguration of unbalanced distribution networks,Estimation of polluted insulators flashover time using artificial neural networks,Distribution network reconfiguration considering the random character of wind power generation,Determination of Locations for Static Transfer Switches in Distribution Systems Using Genetic Algorithms and Goal Programming,Network Reconfiguration of Distribution System with Distributed Generation Using State Graph,A novel method of distribution power system reconfiguration using parallel cooperative meta-heuristics,Notice to IEEE Xplore subscribers,An artificial neural network for optimum topology in distribution expansion planning,A distributed service restoration method in active distribution network based on the contraction of frontiers,Soft Computing Techniques Applied to Distribution Network Reconfiguration: A Survey of the State-of-the-Art,Minimal loss reconfiguration based on simulated annealing meta-heuristic,Decision support system integrating fuzzy logic and expert system for optimization of smart grid functioning,An improved distribution system reconfiguration using hybrid GA with PSO,Mv networks reconfiguration for losses reduction,Estimation of polluted insulators flashover time using artificial neural networks,Automatic optimization algorithm of county power network based on load balancing and feasible set,An effective soft computing technique for network reconfiguration in distribution system,A modified artificial neural network based Distribution System reconfiguration for loss minimization,Optimal management of islanded microgrid using binary particle swarm optimization,Network reconfiguration and restoration in distribution systems through oppostion based differential evolution algorithm and PGSA,A refined plant growth simulation algorithm for distribution network reconfiguration,Distribution network reconfiguration based on ant colony system algorithm,An online distribution feeder optimal reconfiguration algorithm for resistive loss reduction using a multi-layer perceptron,Network reconfiguration for loss reduction using Plant Growth Simulation Algorithm,Optimization of network reconfiguration by using Particle swarm optimization,An ANN based network reconfiguration approach for voltage stability improvement of distribution network,Distribution feeder loss computation by artificial neural network
Detection of Duplicate Defect Reports Using Natural Language Processing,"Per Runeson, Magnus Alexandersson, Oskar Nyholm, ",2007,149,Classifying bug severity using dictionary based approach,Automatic Bug Assignment Using Information Extraction Methods,Detecting Duplicate Bug Report Using Character N-Gram-Based Features,Towards more accurate retrieval of duplicate bug reports,Automatic recommendation of API methods from feature requests,Predicting Delays in Software Projects Using Networked Classification (T),APIBot: Question answering bot for API documentation,Duplicate Bug Report Detection Using Clustering,Automated Dataset Construction from Web Resources with Tool Kayur,Mining Bug Repositories--A Quality Assessment,A Bug Rule Based Technique with Feedback for Classifying Bug Reports,Implicit Social Network Model for Predicting and Tracking the Location of Faults,Towards Training Set Reduction for Bug Triage,A Source Code Recommender System to Support Newcomers,An Improved Discriminative Model for Duplication Detection on Bug Reports with Cluster Weighting,Natural Language Processing Based Detection of Duplicate Defect Patterns,Determining Bug severity using machine learning techniques,Automated construction of a software-specific word similarity database,An Initial Study on the Bug Report Duplication Problem,Comparing Mining Algorithms for Predicting the Severity of a Reported Bug,Improved Duplicate Bug Report Identification,A Comparative Study of the Performance of IR Models on Duplicate Bug Detection,Finding Duplicates of Your Yet Unwritten Bug Report,Analyzing Networks of Issue Reports,Performance evaluation of information retrieval models in bug localization on the method level,Automated duplicate detection for bug tracking systems,Crash graphs: An aggregated view of multiple crashes to improve crash triage,Is It Really a Defect? An Empirical Study on Measuring and Improving the Process of Software Defect Reporting,Impact of Triage: A Study of Mozilla and Gnome,Automated Duplicate Bug Report Classification Using Subsequence Matching
