PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
P	SUN L; YI F; LI H; WANG H; WEN H								Social relationship inference method, involves obtaining co-occurrence movement intension of first and second users, and inferring social relationship between first and second users based on support vector machine classification model					CN107563402-A	CAS INFORMATION ENG INST																																		0						DIIDW:201804656J		
J	Eichhorn, Astrid; Lippoldt, Stefan; Skrinjar, Vedran								Nonminimal hints for asymptotic safety								PHYSICAL REVIEW D				97	2					026002	10.1103/PhysRevD.97.026002					JAN 8 2018	2018										3	0	0	0	0	3			2470-0010	2470-0029		WOS:000419476900019		
J	Dolan, S.R.								Higher-order geometrical optics for circularly-polarized electromagnetic waves [arXiv]								arXiv								19 pp.	19 pp.							7 Jan. 2018	2018										0	0	0	0	0	0						INSPEC:17725143		
J	Kang, Kyungkeun; Miura, Hideyuki; Tsai, Tai-Peng								Green tensor of the Stokes system and asymptotics of stationary Navier-Stokes flows in the half space								ADVANCES IN MATHEMATICS				323				326	366		10.1016/j.aim.2017.10.031					JAN 7 2018	2018										0	0	0	0	0	0			0001-8708	1090-2082		WOS:000417885800009		
P	LIU X; LI G; YANG Q								Multi-relation social network community classifying method involves obtaining decomposition results of tensors using tensor decomposition technique, and obtaining community dividing result using cluster analysis technique					CN107545509-A	UNIV XIDIAN; XIAN CETC XDU DALEIDA TECHNOLOGY COLLABO																																		0						DIIDW:201803699A		
J	Warnecke, J.; Rheinhardt, M.; Tuomisto, S.; Kaepylae, P. J.; Kaepylae, M. J.; Brandenburg, A.				Kapyla, Maarit/E-9126-2013	Kapyla, Maarit/0000-0002-9614-2200			Turbulent transport coefficients in spherical wedge dynamo simulations of solar-like stars								ASTRONOMY & ASTROPHYSICS				609						A51	10.1051/0004-6361/201628136					JAN 5 2018	2018										2	0	0	0	0	2			1432-0746			WOS:000419994200019		
J	Wang, Lin Feng								Gradient estimates on the weighted p-Laplace heat equation								JOURNAL OF DIFFERENTIAL EQUATIONS				264	1			506	524		10.1016/j.jde.2017.09.012					JAN 5 2018	2018										0	0	0	0	0	0			0022-0396	1090-2732		WOS:000413886600017		
J	Kozelkov, A. S.; Lashkin, S. V.; Efremov, V. R.; Volkov, K. N.; Tsibereva, Yu. A.; Tarasova, N. V.				Kozelkov, Andrey/P-8730-2017	Kozelkov, Andrey/0000-0003-3247-0835			An implicit algorithm of solving Navier-Stokes equations to simulate flows in anisotropic porous media								COMPUTERS & FLUIDS				160				164	174		10.1016/j.compfluid.2017.10.029					JAN 4 2018	2018										0	0	0	0	0	0			0045-7930	1879-0747		WOS:000418311100012		
J	Xiang, Xuezhi; Zhai, Mingliang; Zhang, Rongfang; Xu, Wangwang; El Saddik, Abdulmotaleb					/0000-0002-7690-8547			Scene Flow Estimation Based on 3D Local Rigidity Assumption and Depth Map Driven Anisotropic Smoothness								IEEE ACCESS				6				30012	30023		10.1109/ACCESS.2018.2841880					2018	2018										0	0	0	0	0	0			2169-3536			WOS:000435522600048		
J	Formalev, V. F.; Kolesnik, S. A.; Kuznetsova, E. L.								ANALYTICAL SOLUTION-BASED STUDY OF THE NONSTATIONARY THERMAL STATE OF ANISOTROPIC COMPOSITE MATERIALS								COMPOSITES-MECHANICS COMPUTATIONS APPLICATIONS				9	3			223	237		10.1615/CompMechComputApplIntJ.v9.i3.30					2018	2018										0	0	0	0	0	0			2152-2057	2152-2073		WOS:000435695900003		
J	Shafi, Kh. Muhammad; Bhat, Muzafar Rasool; Lone, Tariq Ahmad								Sentiment analysis of print media coverage using deep neural networking								JOURNAL OF STATISTICS & MANAGEMENT SYSTEMS				21	4			519	527		10.1080/09720510.2018.1471263					2018	2018										0	0	0	0	0	0			0972-0510	2169-0014		WOS:000435697400002		
J	Kermani, Elyas Lar; Roohi, Ehsan; Porte-Agel, Fernando								Evaluating the modulated gradient model in large eddy simulation of channel flow with OpenFOAM								JOURNAL OF TURBULENCE				19	7			600	620		10.1080/14685248.2018.1483078					2018	2018										0	0	0	0	0	0			1468-5248			WOS:000435698300004		
J	Alsing, Paul M.; Miller, Warner A.; Yau, Shing-Tung								A realization of Thurston's geometrization: discrete Ricci flow with surgery								ANNALS OF MATHEMATICAL SCIENCES AND APPLICATIONS				3	1	SI		31	45							2018	2018										0	0	0	0	0	0			2380-288X	2380-2898		WOS:000435089900003		
J	Xu, Feng; Rao, Qiu-Hua; Zhang, Jie; Ma, Wenbo								Compression-shear coupling rheological constitutive model of the deep-sea sediment								MARINE GEORESOURCES & GEOTECHNOLOGY				36	3			288	296		10.1080/1064119X.2017.1286530					2018	2018										0	0	0	0	0	0			1064-119X	1521-0618		WOS:000425785300005		
J	Gabbay, J.E.; Scott, W.R.								Modeling the broadband electromagnetic induction response of three-dimensional targets								Proceedings of the SPIE				10628				106280P (13 pp.)	106280P (13 pp.)		10.1117/12.2305425					2018	2018						Detection and Sensing of Mines, Explosive Objects, and Obscured Targets XXIIIDetection and Sensing of Mines, Explosive Objects, and Obscured Targets XXIII	16-18 April 201816-18 April 2018		Orlando, FL, USAOrlando, FL, USA	0	0	0	0	0	0			0277-786X			INSPEC:17824767		
J	Li, Xuejuan; Zhu, Liping; Yue, Hongyun								Multiscale Numerical Simulations of Branched Polymer Melt Viscoelastic Flow Based on Double-Equation XPP Model								ADVANCES IN MATHEMATICAL PHYSICS										5838290	10.1155/2018/5838290					2018	2018										0	0	0	0	0	0			1687-9120	1687-9139		WOS:000434815800001		
J	Eichhorn, Astrid; Koslowski, Tim								Flowing to the continuum limit in tensor models for quantum gravity								ANNALES DE L INSTITUT HENRI POINCARE D				5	2			173	210		10.4171/AIHPD/52					2018	2018										0	0	0	0	0	0			2308-5827	2308-5835		WOS:000434459700002		
J	Mazo, A.B.; Potashev, K.A.								Absolute Permeability Upscaling for Superelement Modeling of Petroleum Reservoir								Mathematical Models and Computer Simulations				10	1			26	35		10.1134/S207004821801009X					Jan. 2018	2018										0	0	0	0	0	0			2070-0482			INSPEC:17798831		
S	Garg, Dweepna; Kotecha, Ketan						Choudhary, RK; Mandal, JK; Bhattacharyya, D		Object Detection from Video Sequences Using Deep Learning: An Overview								ADVANCED COMPUTING AND COMMUNICATION TECHNOLOGIES		Advances in Intelligent Systems and Computing		562				137	148		10.1007/978-981-10-4603-2_14					2018	2018						10th International Conference on Advanced Computing and Communication Technologies (ICACCT)10th International Conference on Advanced Computing and Communication Technologies (ICACCT)	NOV 18-20, 2016NOV 18-20, 2016	Inst Elect & Telecommunicat Engineers; Indian Oil Corp Ltd; Panipat Refinery & PetrochemInst Elect & Telecommunicat Engineers; Indian Oil Corp Ltd; Panipat Refinery & Petrochem	Asia Pacific Inst Informat Technol, Panipat, INDIAAsia Pacific Inst Informat Technol, Panipat, INDIA	0	0	0	0	0	0			2194-5357	2194-5365	978-981-10-4603-2; 978-981-10-4602-5	WOS:000433981100014		
J	Izumi, Masaki								The Flow of Weights and the Cuntz-Pimsner Algebras								COMMUNICATIONS IN MATHEMATICAL PHYSICS				357	1	SI		203	229		10.1007/s00220-017-2948-0					JAN 2018	2018										0	0	0	0	0	0			0010-3616	1432-0916		WOS:000425285600008		
J	Bazdidi-Tehrani, Farzad; Moghaddam, Saied; Aghaamini, Masoud								On the Validity of Boussinesq Approximation in Variable Property Turbulent Mixed Convection Channel Flows								HEAT TRANSFER ENGINEERING				39	5			473	491		10.1080/01457632.2017.1312902					2018	2018										0	0	0	0	0	0			0145-7632	1521-0537		WOS:000429032900007		
J	Fauster, Ewald; Berg, David C.; May, David; Bloessl, Yannick; Schledjewski, Ralf					Schledjewski, Ralf/0000-0003-3121-6771			Robust evaluation of flow front data for in-plane permeability characterization by radial flow experiments								ADVANCED MANUFACTURING-POLYMER & COMPOSITES SCIENCE				4	1			24	40		10.1080/20550340.2018.1439688					2018	2018										0	0	0	0	0	0			2055-0340	2055-0359		WOS:000433377600003		
J	Mataix, Vicente; Flores, Fernando G.; Rossi, Riccardo; Onate, Eugenio								Triangular prismatic solid-shell element with generalised deformation description								EUROPEAN JOURNAL OF COMPUTATIONAL MECHANICS				27	1			1	32		10.1080/17797179.2017.1340013					2018	2018										0	0	0	0	0	0			1779-7179	1958-5829		WOS:000433299600001		
S	Pradeau, Adrien; Yoon, Jeong Whan; Thuillier, Sandrine; Lou, Yanshan; Zhang, Shunying						Fratini, L; DiLorenzo, R; Buffa, G; Ingarao, G		Rupture Model Based on Non-Associated Plasticity								PROCEEDINGS OF 21ST INTERNATIONAL ESAFORM CONFERENCE ON MATERIAL FORMING (ESAFORM 2018)		AIP Conference Proceedings		1960						UNSP 090011	10.1063/1.5034937					2018	2018						21st International ESAFORM Conference on Material Forming (ESAFORM)21st International ESAFORM Conference on Material Forming (ESAFORM)	APR 23-25, 2018APR 23-25, 2018	European Sci Assoc Mat FormingEuropean Sci Assoc Mat Forming	Univ Palermo, Palermo, ITALYUniv Palermo, Palermo, ITALY	0	0	0	0	0	0			0094-243X		978-0-7354-1663-5	WOS:000432776900136		
J	Wang, Yuan; Niu, Yu-long; Feng, Qiang								Study on the REV Size of Fractured Rock in the Non-Darcy Flow Based on the Dual-Porosity Model								GEOFLUIDS										UNSP 7535927	10.1155/2018/7535927					2018	2018										0	0	0	0	0	0			1468-8115	1468-8123		WOS:000431559600001		
J	Guo Yong; Xie Jianhua							郭勇; 谢建华	Research on the Flutter of Micro-Scale Cantilever PipesA Finite-Dimensional Analysis			微尺度悬臂管颤振的有限维研究				应用数学和力学	Applied Mathematics and Mechanics				39	2			199	214	1000-0887(2018)39:2<199:WCDXBG>2.0.TX;2-D						2018	2018										0	0	0	0	0	0			1000-0887			CSCD:6191933		
J	Kanaya, K.; Ejiri, S.; Iwami, R.; Kitazawa, M.; Suzuki, H.; Taniguchi, Y.; Umeda, T.								Equation of state in (2+1)-flavor QCD at physical point with improved Wilson fermion action using gradient flow								EPJ Web of Conferences				175				07023 (8 pp.)	07023 (8 pp.)		10.1051/epjconf/201817507023					2018	2018						35th International Symposium on Lattice Field Theory (Lattice 2017)35th International Symposium on Lattice Field Theory (Lattice 2017)	18-24 June 201718-24 June 2017		Granada, SpainGranada, Spain	0	0	0	0	0	0			2100-014X			INSPEC:17752004		
J	Taniguchi, Y.; Ejiri, S.; Kanaya, K.; Kitazawa, M.; Suzuki, A.; Suzuki, H.; Umeda, T.								Energy-momentum tensor correlation function in Nf = 2 + 1 full QCD at finite temperature								EPJ Web of Conferences				175				07013 (8 pp.)	07013 (8 pp.)		10.1051/epjconf/201817507013					2018	2018						35th International Symposium on Lattice Field Theory (Lattice 2017)35th International Symposium on Lattice Field Theory (Lattice 2017)	18-24 June 201718-24 June 2017		Granada, SpainGranada, Spain	0	0	0	0	0	0			2100-014X			INSPEC:17744675		
J	Farcas, Ionut-Gabriel; Uekermann, Benjamin; Neckel, Tobias; Bungartz, Hans-Joachim								NONINTRUSIVE UNCERTAINTY ANALYSIS OF FLUID-STRUCTURE INTERACTION WITH SPATIALLY ADAPTIVE SPARSE GRIDS AND POLYNOMIAL CHAOS EXPANSION								SIAM JOURNAL ON SCIENTIFIC COMPUTING				40	2			B457	B482		10.1137/16M1093975					2018	2018										0	0	0	0	0	0			1064-8275	1095-7197		WOS:000431100400031		
J	Heiter, Pascal; Lebiedz, Dirk								Towards Differential Geometric Characterization of Slow Invariant Manifolds in Extended Phase Space: Sectional Curvature and Flow Invariance								SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS				17	1			732	753		10.1137/16M1106353					2018	2018										0	0	0	0	0	0			1536-0040			WOS:000428996900021		
S	Bogdanov, Alexander; Degtyarev, Alexander; Khramushin, Vasily; Shichkina, Yulia				Degtyarev, Alexander/I-7001-2013	Degtyarev, Alexander/0000-0003-0967-2949	Adam, G; Busa, J; Hnatic, M; Podgainy, D		Interpolation Environment of Tensor Mathematics at the Corpuscular Stage of Computational Experiments in Hydromechanics								MATHEMATICAL MODELING AND COMPUTATIONAL PHYSICS 2017 (MMCP 2017)		EPJ Web of Conferences		173						UNSP 02004	10.1051/epjconf/201817302004					2018	2018						9th International Conference on Mathematical Modeling and Computational Physics (MMCP)9th International Conference on Mathematical Modeling and Computational Physics (MMCP)	JUL 03-07, 2017JUL 03-07, 2017	JINR, Lab Informat Technologies; Horia Hulubei Natl Inst R & D Phys & Nucl Engn; Inst Experimental Phys; SAS; Pavol Jozef Safarik UnivJINR, Lab Informat Technologies; Horia Hulubei Natl Inst R & D Phys & Nucl Engn; Inst Experimental Phys; SAS; Pavol Jozef Safarik Univ	Dubna, RUSSIADubna, RUSSIA	0	0	0	0	0	0			2100-014X		978-2-7598-9034-7	WOS:000431845300016		
J	Atkinson, C.; Sekimoto, A.; Jimenez, J.; Soria, J.				jimenez, javier/A-6691-2008	jimenez, javier/0000-0003-0755-843X; SEKIMOTO, Atsushi/0000-0001-9660-3997			Reynolds stress structures in a self-similar adverse pressure gradient turbulent boundary layer at the verge of separation.								Journal of Physics: Conference Series				1001				012001 (13 pp.)	012001 (13 pp.)		10.1088/1742-6596/1001/1/012001					2018	2018						Third Madrid Summer School on TurbulenceThird Madrid Summer School on Turbulence	29 May-30 June 201729 May-30 June 2017		Madrid, SpainMadrid, Spain	0	0	0	0	0	0			1742-6596			INSPEC:17721166		
J	Madlazim; Prastowo, T.; Supardiyono; Hardy, T.								Determination of source parameters of the 2017 Mount Agung volcanic earthquake from moment-tensor inversion method using local broadband seismic waveforms								Journal of Physics: Conference Series				997				012001 (7 pp.)	012001 (7 pp.)		10.1088/1742-6596/997/1/012001					2018	2018						Seminar Nasional Fisika (SNF) 2017Seminar Nasional Fisika (SNF) 2017	25 Nov. 201725 Nov. 2017		Surabaya, IndonesiaSurabaya, Indonesia	0	0	0	0	0	0			1742-6596			INSPEC:17717080		
J	Zhou, Hanming								THE LOCAL MAGNETIC RAY TRANSFORM OF TENSOR FIELDS								SIAM JOURNAL ON MATHEMATICAL ANALYSIS				50	2			1753	1778		10.1137/16M1093963					2018	2018										0	0	0	0	0	0			0036-1410	1095-7154		WOS:000431193200009		
J	Akl, Adib; Yaacoub, Charles; Donias, Marc; Da Costa, Jean-Pierre; Germain, Christian					Yaacoub, Charles/0000-0002-2747-4092			Synthesis of arbitrary-shaped textures constrained by the structure tensor field								SIGNAL IMAGE AND VIDEO PROCESSING				12	1	SI		41	49		10.1007/s11760-017-1128-1					JAN 2018	2018										0	0	0	0	0	0			1863-1703	1863-1711		WOS:000419611600007		
J	Wang, Yongliang; Ju, Yang; Yang, Yongming				Yongliang, Wang/B-7801-2018	Yongliang, Wang/0000-0001-7823-6345			Adaptive Finite Element-Discrete Element Analysis for Microseismic Modelling of Hydraulic Fracture Propagation of Perforation in Horizontal Well considering Pre-Existing Fractures								SHOCK AND VIBRATION										2748408	10.1155/2018/2748408					2018	2018										0	0	0	0	0	0			1070-9622	1875-9203		WOS:000431312600001		
B	Lemeshko, O.; Yevsieieva, O.; Yevdokymenko, M.								Tensor flow-based model of quality of experience routing								2018 14th International Conference on Advanced Trends in Radioelecrtronics, Telecommunications and Computer Engineering (TCSET). Proceedings								1005	8		10.1109/TCSET.2018.8336364					2018	2018						2018 14th International Conference on Advanced Trends in Radioelecrtronics, Telecommunications and Computer Engineering (TCSET)2018 14th International Conference on Advanced Trends in Radioelecrtronics, Telecommunications and Computer Engineering (TCSET)	20-24 Feb. 201820-24 Feb. 2018		Lviv-Slavske, UkraineLviv-Slavske, Ukraine	0	0	0	0	0	0					978-1-5386-2556-9	INSPEC:17699207		
J	Alexandrov, S.; Lyamina, E.								Singular solutions for the rigid plastic double slip and rotation model under plane strain								IOP Conference Series: Materials Science and Engineering				311				012014 (7 pp.)	012014 (7 pp.)		10.1088/1757-899X/311/1/012014					2018	2018						2017 International Conference on Sensors, Materials and Manufacturing (ICSMM 2017)2017 International Conference on Sensors, Materials and Manufacturing (ICSMM 2017)	24-26 Nov. 201724-26 Nov. 2017		Chiayi, TaiwanChiayi, Taiwan	0	0	0	0	0	0			1757-8981			INSPEC:17701012		
J	Chen, Y.J.; Yang, G.L.; Jiang, Y.X.; Liu, X.Y.								Monocular Visual Odometry Based on Trifocal Tensor Constraint								Journal of Physics: Conference Series				976				012002 (6 pp.)	012002 (6 pp.)		10.1088/1742-6596/976/1/012002					2018	2018						2018 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2018)2018 International Conference on Control Engineering and Artificial Intelligence (CCEAI 2018)	19-21 Jan. 201819-21 Jan. 2018		Boracay, PhilippinesBoracay, Philippines	0	0	0	0	0	0			1742-6596			INSPEC:17698261		
