Energy-efficient communication protocol for wireless microsensor networks,"W. R. Heinzelman, A. Chandrakasan, H. Balakrishnan, ",2000,4478,Improving actuator-sensor-actuator communication performance in WSANs using a multicast approach based on bloom filters,Energy efficient multi-target clustering algorithm for WSN-based distributed consensus filter,An energy-efficient LEACH algorithm for wireless sensor networks,Opportunities for transmission power control protocols in wireless sensor networks,Cluster management in the known area of deployment for wireless sensor network,A constrained shortest-path energy-aware routing algorithm for wireless sensor networks,Energy-aware wireless microsensor networks,Intelligent medium access for mobile ad hoc networks with busy tones and power control,Utility-based decision-making in wireless sensor networks,An architecture for building self-configurable systems,Energy-scalable algorithms and protocols for wireless microsensor networks,Dynamic voltage scaling techniques for distributed microsensor networks,E-LEACH: Improving the LEACH protocol for privacy preservation in secure data aggregation in Wireless Sensor Networks,Target Tracking via Crowdsourcing: A Mechanism Design Approach,Performance Evaluation of a Synchronization Protocol for Rechargeable Sensor Networks,TEECH-ME: Threshold Sensitive Energy Efficient Cluster Heads Based on Maximum Energy Routing Protocol for WSNs,MEET: Multi-hop Energy Efficient Protocol for Energy Hole Avoidance Using Variable Transmission Range in Wireless Sensor Networks,MASEHA: Multi-hop Communication Using Active and Sleep Nodes for Energy Hole Avoidance in Wireless Sensor Networks,REEC: Reliable Energy Efficient Critical Data Routing in Wireless Body Area Networks,Mobility Model for WBANs,SEARCH: A Stochastic Election Approach for Heterogeneous Wireless Sensor Networks,QoS based energy efficient key management in body sensor networks,Secured data integrity routing for Wireless Sensor Networks,A new LEACH-based routing protocol for energy optimization in wireless sensor network,Two stage fuzzy logic based clustering approach wireless sensor network LEACH protocol,Fault tolerant and mobility aware routing protocol for mobile wireless sensor network,Low-latency energy-balanced data collection in wireless sensor networks,A Flow-Weighted Scale-Free Topology for Wireless Sensor Networks,Large Scale Environmental Monitoring and Maintaining Sensing Coverage in Sensor Networks,Energy Efficient Clustering Scheme for Prolonging the Lifetime of Wireless Sensor Network With Isolated Nodes
Class E-A new class of high-efficiency tuned single-ended switching power amplifiers,"N. O. Sokal, A. D. Sokal, ",1975,1172,Driving-signal optimization for LDMOS-SOI class E power amplifier efficiency enhancement,Study of a polar sigma-delta transmitter associated to a high efficiency switched mode power amplifier for mobile WiMax,A 1-V 800-MHz CMOS class-E power amplifier with power control for wireless sensor network,Dual-band class-E RF PA design utilizing complex impedance transformers,Power transfer via magnetic resonant coupling for implantable mice telemetry device,High efficiency GaN Class E power amplifier at 5.8GHz with harmonic control network,A high-efficiency Class-E power amplifier with wide-range load in WPT systems,13.56 MHz 1.3 kW resonant converter with GaN FET for wireless power transfer,Design and analysis of dual-frequency power amplifier for wireless power and data transfer application,A Class-E<sup>2</sup> wireless power transfer system with different efficiency curves,An overview of radio frequency technologies and their influence on the power efficiency of wireless communication systems,Highly efficient wideband harmonic-tuned power amplifier using low-pass matching network,4.5-/4.9-GHz-band tunable high-efficiency GaN HEMT power amplifier,Wide-band high-efficiency GaN HEMT amplifier based on dual-band multi-harmonic treatments,A 0.9-GHz fully integrated 45% PAE class-Ε power amplifier fabricated using a 0.18-μm CMOS process for LoRa applications,Second Harmonic Treatment Technique for Bandwidth Enhancement of GaN HEMT Amplifier With Harmonic Reactive Terminations,Design of Multioctave High-Efficiency Power Amplifiers Using Stochastic Reduced Order Models,Class E Resonant Regulated DC/DC Power Converters: Analysis of Operations and Experimental Results at 1.5 MHz,Small-Signal Dynamic Analysis of Regulated Class E DC/DC Converters,High Voltage High Frequency Class-E Converter Suitable for Miniaturization,220-V Mains 500-kHz Class-E Converter Using a BIMOS,Design procedure for lossless voltage-clamped class E amplifier with a transformer and a diode,A digitally controlled DC/DC converter for an RF power amplifier,New Architectures for Radio-Frequency DC&amp;#8211;DC Power Conversion,Resistance Compression Networks for Radio-Frequency Power Conversion,Radio-Frequency Inverters With Transmission-Line Input Networks,Transistor Selection and Design of a VHF DC-DC Power Converter,A High-Frequency Resonant Inverter Topology With Low-Voltage Stress,Analysis of Class DE Amplifier With Nonlinear Shunt Capacitances at Any Grading Coefficient for High $displaystyle Q$ and 25 $displaystyle $ % Duty Ratio,A Very High Frequency DC–DC Converter Based on a Class ${bm Phi}_{bm 2}$ Resonant Inverter
A comparison of half-bridge resonant converter topologies,"R. L. Steigerwald, ",1988,1111,Analytical calculation of resonant inductance for zero voltage switching in phase-shifted full-bridge converters,High-efficiency parallel quasi-resonant current source inverter featuring SiC metal-oxide semiconductor field-effect transistors for induction heating systems with coupled inductors,Influence of isolation transformer leakage inductance on constant current output of Class D series-parallel LCC-type resonant converter for light-emitting diode lighting application,Double modulation control scheme for a DC/DC converter applied to a battery charger,Robust design optimisation for inductive power transfer systems from topology collection based on an evolutionary multi-objective algorithm,Compensation topology for flat spiral coil inductive power transfer systems,Duality approach to the study of switched-inductor power converters and its higher-order variations,LCL-resonant single-switch isolated DC–DC converter,Non-linear modelling and stability analysis of resonant DC–DC converters,Soft switching DC/DC converter with five resonant tanks for medium voltage applications,Analysis and implementation of wide zero-voltage switching dual full-bridge converters,LLC resonant converter for electric vehicle battery chargers,Analysis design and implementation of a residential inductive contactless energy transfer system with multiple mobile clamps,MHz zero-voltage-switched isolated resonant converter for wide-output-voltage application,Design and control of a wind energy conversion system based on a resonant dc/dc converter,Design of a Three-Phase Series Resonant Converter for Offshore DC Grids,A New Soft-Switching PWM High Frequency Half-Bridge Inverter Linked DC-DC Converter with Diode-Clamped Active Edge Resonant Snubbers,Performance of a series-parallel resonant DC/DC converter configured around an inductor-transformer utilizing transformer magnetics,Fixed-frequency PWM series-parallel resonant converter,A generalized approach for the steady-state analysis of resonant inverters,A three-phase series-parallel resonant converter-analysis design simulation and experimental results,New Class-E DC-DC converter topologies with constant switching frequency,A comparison of high-power DC-DC soft-switched converter topologies,An improved electronic transformer for low-power halogen cycle lamps,A review of soft-switched DC-AC converters,New continuous-input current charge pump power-factor-correction electronic ballast,Analysis and design of a series-parallel resonant converter with capacitive output filter,Synthesis of averaged circuit models for switched power converters,Efficient resonant power conversion,A new phase-controlled parallel resonant converter
Matrix converters: a technology review,"P. W. Wheeler, J. Rodriguez, J. C. Clare, L. Empringham, A. Weinstein, ",2002,1107,Integrated motor drives: state of the art and future trends,Preselection algorithm based on predictive control for direct matrix converter,Pre-sizing methodology of embedded static converters using a virtual prototyping tool based on an optimisation under constraints method: comparaison of two power-sharing topologies,Methods of source current reference generation for predictive control in a direct matrix converter,Modulation strategies based on mathematical construction method for matrix converter under unbalanced input voltages,Intelligent sensor fault-tolerant control for variable speed wind electrical systems,Active and reactive power regulation in grid connected wind energy systems with permanent magnet synchronous generator and matrix converter,Review of predictive control methods to improve the input current of an indirect matrix converter,Evaluation of current stresses in nine-switch energy conversion systems,3-Phase 4-wire matrix converter-based voltage sag/swell generator to test low-voltage ride through in wind energy conversion systems,Voltage compensator based on a direct matrix converter without energy storage,Modulation and control of ac/dc matrix converter for battery energy storage application,Active third-harmonic injection indirect matrix converter with dual three-phase outputs,Current source inverter-based photovoltaic system with enhanced active filtering functionalities,Pulse width modulation technique for a three-to-five phase matrix converter with reduced commutations,T-type direct AC/AC converter structure,Single-phase series active power filter with transformer-coupled matrix converter,Nine-switch ac/ac current source converter for microgrid application with model predictive control,Very high gain three-phase indirect matrix converter with two Z-source networks in its structure,Design and Performance of a 200 kHz All-SiC JFET Current Source Converter,An Enhanced Shunt Active Filter with Energy Storage for Microgrids,Four-quadrant operation of PMSM drive fed by a matrix converter,Comparison of matrix converter induction motor drive control methods,A simple and novel modulation technique used to obtain output voltage having a frequency multiple of input voltage frequency,Novel switching modulation method for 3 × 3 matrix converter utilizing neural network: Analysis modeling and simulation,Universal embedded controller for matrix converter,A novel AC-AC converter with minimum snubber requirement,Space vector model of a three-phase to five-phase AC/AC converter,Simulation model and soft commutation strategy for current-fed matrix converter,Development of three-phase to single-phase matrix converter for improvement of three-phase voltage unbalance in distribution system
A review of active filters for power quality improvement,"B. Singh, K. Al-Haddad, A. Chandra, ",1999,1079,A New grid synchronisation scheme for a three-phase PV system using self-tuning filtering approach,Types-1 and -2 fuzzy logic controllers-based shunt active filter I<sub>d</sub>-I<sub>q</sub> control strategy with different fuzzy membership functions for power quality improvement using RTDS hardware,Fixed and variable power angle control methods for unified power quality conditioner: operation control and impact assessment on shunt and series inverter kVA loadings,A novel heuristic optimisation algorithm for automated design of resonant compensators for shunt active filters,Harmonic power compensation capacity of shunt active power filter and its relationship with design parameters,Analysis design and digital implementation of a shunt active power filter with different schemes of reference current generation,Performance evaluation of three-phase neutral-point clamped bi-directional rectifier for supply and load perturbations,Proportional–integral/proportional–integral-derivative tuning procedure of a single-phase shunt active power filter using Bode diagram,Real-time control of shunt active power filter under distorted grid voltage and unbalanced load condition using self-tuning filter,Application of shunt active power filter for harmonic reduction and reactive power compensation in three-phase four-wire systems,Recursive integral proportional–integral control based on membership cloud for active power filter,Mitigation of power quality problems using distribution static synchronous compensator: a comprehensive review,Adaptive hysteresis and fuzzy logic controlled-based shunt active power filter resistant to shoot-through phenomenon,Flexible active compensation based on load conformity factors applied to non-sinusoidal and asymmetrical voltage conditions,Adaptive recursive inverse-based control algorithm for shunt active power filter,DC-link capacitor voltage control for single-phase shunt active power filter with step size error cancellation in self-charging algorithm,Three-level hysteresis current control strategy for three-phase four-switch shunt active filters,Hybrid one-cycle control technique for three-phase power factor control,Novel four-quadrant variable impedance and its application,Matrix pencil method-based reference current generation for shunt active power filters,Multi converter approach to active power filtering using current source converters,Modeling and analysis of custom power systems by PSCAD/EMTDC,A new hybrid filter to dampen resonances and compensate harmonic currents in industrial power systems with power factor correction equipment,Harmonic series compensators in power systems: their control via sliding mode,Robust control of shunt active filter based on the internal model principle,Anti-windup scheme for current control of Shunt Active Filters,Experimental validation of an adaptive control for a Voltage Source Converter,Advanced Active Power Filter to improve power quality,Modeling and control of three-phase four-leg split-capacitor shunt active power filter,Fuzzy based vector PI controller to mitigate the harmonics issue of a distribution system using three-phase hybrid power filter
The path of the smart grid,"Hassan Farhangi, ",2010,1038,Impact of operators’ performance in the reliability of cyber-physical power distribution systems,Operation window constrained strategic energy management of microgrid with electric vehicle and distributed resources,Game-theoretic dispatch control in microgrids considering network losses and renewable distributed energy resources integration,Adjustment of discrete load changes in feeder databases for improving medium-term demand forecasting,Cost-based droop scheme with lower generation costs for microgrids,Energy storage systems impact on the short-term frequency stability of distributed autonomous microgrids an analysis using aggregate models,Optimal operation of distributed generations in micro-grids under uncertainties in load and renewable power generation using heuristic algorithm,Design guidelines for MPC-based frequency regulation for islanded microgrids with storage voltage and ramping constraints,New challenges to wind energy voltage control. Survey of recent practice and literature review,Effective restoration strategies of interdependent power system and communication network,Grid of the future and the need for a decentralised control architecture: the web-of-cells concept,Challenges innovative architectures and control strategies for future networks: the Web-of-Cells fractal grids and other concepts,Demand response for chemical manufacturing using Economic MPC,Demand-Side Energy Management: FTTH-based mode for Smart homes,Distributed anytime optimization in power-generator networks for economic dispatch,Droop-controlled inverter-based microgrids are robust to clock drifts,ISS of multistable systems with delays: Application to droop-controlled inverter-based microgrids,Improving performance of droop-controlled microgrids through distributed PI-control,Resilience and Security: A Qualitative Survey of Urban Smart Grid Architectures,Learning How to Communicate in the Internet of Things: Finite Resources and Heterogeneity,Markov-Decision-Process-Assisted Consumer Scheduling in a Networked Smart Grid,Energy-Efficient Vector OFDM PLC Systems With Dynamic Peak-Based Threshold Estimation,A Modified Topology of Two-Switch Buck-Boost Converter,Optimizing Lifespan and Energy Consumption by Smart Meters in Green-Cloud-Based Smart Grids,Event-Driven Energy Trading System in Microgrids: Aperiodic Market Model Analysis With a Game Theoretic Approach,A Learning Automaton-Based Scheme for Scheduling Domestic Shiftable Loads in Smart Grids,Stability of FPGA Based Emulator for Half-Bridge Inverters Operated in Stand-Alone and Grid-Connected Modes,Energy trading in the smart grid: From end-user's perspective,Assessing the use of IP network management protocols in smart grids,Three-Dimensional Location-Based IPv6 Addressing for Wireless Sensor Networks in Smart Grid
Autonomous Demand-Side Management Based on Game-Theoretic Energy Consumption Scheduling for the Future Smart Grid,"Amir-Hamed Mohsenian-Rad, Vincent W. S. Wong, Juri Jatskevich, Robert Schober, Alberto Leon-Garcia, ",2010,1012,Demand side management with consumer clusters in cyber-physical smart distribution system considering price-based and reward-based scheduling programs,Game-theoretic demand-side management and closed-loop control for a class of networked smart grid,Non-technical loss and power blackout detection under advanced metering infrastructure using a cooperative game based inference mechanism,Optimal demand side management by distributed and secured energy commitment framework,Fair and efficient energy consumption scheduling algorithm using tabu search for future smart grids,Economics of customer's decisions in smart grid,Demand side management controlling with personalised pricing method,Assessment of the impact of demand-side management on distribution network voltage stability,Optimal dispatch strategy for the Agile Virtual Power Plant,A taxonomy for modeling flexibility and a computationally efficient algorithm for dispatch in Smart Grids,Demand management of electric vehicle loads,Decentralized control of aggregated loads for demand response,A new pricing scheme for controlling energy storage devices in smart grid,Impact of irrational consumers on rational consumers in a smart grid,Incentives for demand-response programs with nonlinear piece-wise continuous electricity cost functions,Real-Time Pricing with uncertain and heterogeneous consumer preferences,Optimal contract design for incentive-based demand response,Residence Energy Control System Based on Wireless Smart Socket and IoT,A Novel Cloud-Based Platform for Implementation of Oblivious Power Routing for Clusters of Microgrids,Game-Theoretical Energy Management for Energy Internet With Big Data-Based Renewable Power Forecasting,Peak Load Shifting in the Internet of Energy With Energy Trading Among End-Users,Impact of the Wireless Network’s PHY Security and Reliability on Demand-Side Management Cost in the Smart Grid,Multi-Layered Clustering for Power Consumption Profiling in Smart Grids,Energy Management Based on Demand-Side Pricing: A Supermodular Game Approach,Event-Driven Energy Trading System in Microgrids: Aperiodic Market Model Analysis With a Game Theoretic Approach,A Stackelberg-Game Approach for Disaster-Recovery Communications Utilizing Cooperative D2D,A Learning Automaton-Based Scheme for Scheduling Domestic Shiftable Loads in Smart Grids,Elastic Energy Distribution of Local Area Packetized Power Networks to Mitigate Distribution Level Load Fluctuation,Distributed demand side management among foresighted decision makers in power networks,Demand response program implementation in an energy district of domestic prosumers
The Impact of Charging Plug-In Hybrid Electric Vehicles on a Residential Distribution Grid,"Kristien Clement-Nyns, Edwin Haesen, Johan Driesen, ",2010,1004,Smart charging of electric vehicles – integration of energy and information,Multistage time-variant electric vehicle load modelling for capturing accurate electric vehicle behaviour and electric vehicle impact on electricity distribution grids,Optimisation model for power system restoration with support from electric vehicles employing battery swapping,Optimal WDG planning in active distribution networks based on possibilistic–probabilistic PEVs load modelling,Inductively coupled modular battery system for electric vehicles,Techno-economic evaluation of load frequency control systems for electric vehicle fleet integration,Comparison of EV smart charging strategies from multiple stakeholders' perception,DC STATCOM in multi-terminal DC distribution power system,Power Supply Company purchase’ portfolio optimisation considering electric vehicle charging load forecasting,Scheduling algorithms for PHEV charging in shared parking lots,Incentive-based coordinated charging control of plug-in electric vehicles at the distribution-transformer level,Optimizing demand response of plug-in hybrid electric vehicles using quadratic programming,Extended second price auctions for Plug-in Electric Vehicle (PEV) charging in smart distribution grids,An approximately truthful mechanism for electric vehicle charging via joint differential privacy,Stochastic distributed optimization of reactive power operations using conditional ensembles of V2G capacity,Charging Schemes for Plug-In Hybrid Electric Vehicles in Smart Grid: A Survey,Game-Theoretical Energy Management for Energy Internet With Big Data-Based Renewable Power Forecasting,Evaluating Policies for Parking Lots Handling Electric Vehicles,Reliability and economic assessment of renewable micro-grid with V2G electric vehicles coordination,Micro-grids and energy storage systems,Demand response program implementation in an energy district of domestic prosumers,Assessing the effect of bidding strategy of an Electric Vehicle Parking Operator (EVPO) in the day-ahead and real-time markets on the power system reliability,Differentially private distributed protocol for electric vehicle charging,A partial power processing of battery/ultra-Capacitor hybrid energy storage system for electric vehicles,A transformerless reduced switch counts three-phase APF-assisted smart EV charger,A Modeling Method for the Power Demand of Electric Vehicles Based on Monte Carlo Simulation,Demand Response for Optimisation of Power Systems Demand Due to EV Charging Load,Impact and cost evaluation of electric vehicle integration on medium voltage distribution networks,Voltage sensitivity based site selection for PHEV charging station in commercial distribution system,On-off based charging strategies for EVs connected to a Low Voltage distributon network
New trends in active filters for power conditioning,"H. Akagi, ",1996,982,A high-power active filtering system with fundamental magnetic flux compensation,Power Quality Problems Compensation With Universal Power Quality Conditioning System,Enhancement of Voltage Quality in Isolated Power Systems,A Novel Active Power Filter for High-Voltage Power Distribution Systems Application,Development of a Network-Wide Harmonic Control Scheme Using an Active Filter,Study on the Influence of Supply-Voltage Fluctuation on Shunt Active Power Filter,Optimal Harmonic Estimation Using A Particle Swarm Optimizer,A New Control Philosophy for a Unified Power Quality Conditioner (UPQC) to Coordinate Load-Reactive Power Demand Between Shunt and Series Inverters,Output Feedback Control of Single-Phase UPQC Based on a Novel Model,Multiconverter Unified Power-Quality Conditioning System: MC-UPQC,New Control Scheme for a Unified Power-Quality Compensator-Q With Minimum Active Power Injection,A Selective Harmonic Amplification Method for Reduction of kVA Rating of Current Source Converters in Shunt Active Power Filters,Analysis Design and Control of a Unified Power-Quality Conditioner Based on a Current-Source Topology,A Distributed Filtering Scheme to Mitigate Harmonics in Residential Distribution Systems,Adaptive Power System for Managing Large Dynamic Loads,Operation of static series compensator under distorted utility conditions,A novel time-domain current-detection algorithm for shunt active power filters,A Controlled Filtering Method for Estimating Harmonics of Off-Nominal Frequencies,Power Quality Conditioning in LV Distribution Networks: Results by Field Demonstration,Profits of power-quality improvement by residential distributed generation,A new control scheme for shunt hybrid power filter,The structural stability analysis of active power filter and its capability of suppressing EMI,Self-tuning output passive-filter for low power DC/AC inverters,Neural network and fuzzy logic controllers for three-phase three-level shunt active power filter,The design of a hybrid power filter based on variable structure control,A Novel Harmonics Detection Method Based on Wavelet Algorithm for Active Power Filter,A Power Line Conditioner Using Improved Adaptive Predictive Filter in Electric Power Distribution Systems,Fuzzy logic based auto-modulation of parameters PI control for active power filter,Selective compensation of power quality problems with a three-phase four-leg shunt active filter,Study on Repetitive Control of Current Loop in Active Power Filter
Planar negative refractive index media using periodically L-C loaded transmission lines,"G. V. Eleftheriades, A. K. Iyer, P. C. Kremer, ",2002,965,Wave propagation in two-dimensional left-handed non-linear transmission line metamaterials,Constitutive parameter analysis of left-handed dual-star split-ring resonator metamaterial for homogeneous infinite slab,Design of leaky-wave antenna with wide beam-scanning angle and low cross-polarisation using novel miniaturised composite right/left-handed transmission line,Compact metamaterial coplanar waveguide ferrite tunable resonator,A miniaturized ring resonator using a left-handed transmission line section,EBG and metamaterial devices and phenomena in planar and volumetric configurations,A compact and broadband NRI-TL metamaterial monopole antenna,Negative optical phenomena,Surrogate modeling techniques for frequency-selective surfaces and metamaterials design,Compact ultra-wideband metamaterial antenna,Development of LTCC-based super-compact multi-layered CRLH transmission lines and broadband applications,Electromagnetic coupling mechanism in vertical and horizontal SRR-loaded coplanar waveguide,Realization of arbitrary dual-band components using an improved CRLH transmission-line model,Free-space sub-diffraction imaging using a transmission-line superlens,Capacitively loaded loop antenna fed by wideband metamaterial balun,A tri-band compact metamaterial-loaded monopole antenna for WiFi and WiMAX applications,Investigation of 1-D meta-structured leaky wave antennas using transmission line theory considering radiation effects,Experimental study of a modified silicon-based CRLH cell for enhanced reconfigurability,Analysis of bandwidth for metamaterial-based zeroth-order resonant antennas,A metamaterial-based passive MMIC tunable phase shifter,Metamaterial-inspired loop antennas for wireless power transmission,Comapct and tunable metamaterial antenna for multi-band wireless communication applications,Subwavelength focusing using a negative-refractive-index transmission line lens,Recent results verifying free-space focusing using a fully printed metamaterial lens,Compression of biomédical signals on FPGA by DWT and run-length,Enabling electromagnetic applications of negative-refractive-index transmission-line metamaterials part I,Enabling electromagnetic applications of negative-refractive-index transmission-line metamaterials part II,Modeling of materials with negative refractive index using TLM 3D SCN node and inter-cell networks,A novel broadband antenna with Right/Left-Handed transmission line,Non-reciprocal CRLH transmission line on substrate YIG
IEEE Reliability Test System,"Probability Methods Subcommittee, ",1979,964,Comparative study between two market clearing schemes in wind dominant electricity markets,Coordinating generation and load pickup during load restoration with discrete load increments and reserve constraints,Assessing the effect of wind power peaking characteristics on the maximum penetration level of wind power,Flexible transmission expansion planning associated with large-scale wind farms integration considering demand response,Power system reliability evaluation using a state space classification technique and particle swarm optimisation search method,Value-based reserve market settlement,Identification of critical generating units for maintenance: a game theory approach,Optimal design of secondary distribution system considering electric vehicles high-power residential fast chargers,Impact-increment based decoupled reliability assessment approach for composite generation and transmission systems,Power flow modelling to UHVDC line and its hierarchical connection mode,Rigorous model for evaluating wind power capacity credit,Optimal sizing approach for islanded microgrids,Optimal control method for wind farm to support temporary primary frequency control with minimised wind energy cost,Robust generation maintenance scheduling considering wind power and forced outages,Two-stage algorithm for efficient transmission expansion planning with renewable energy resources,Cost–benefit analysis of pumped hydro storage using improved probabilistic production simulation method,A method for evaluating the frequency of deficiency-states of electric-power systems,Loadability in composite generation/transmission power-system reliability evaluation,Reliability evaluation in power-system transmission planning: practical considerations,The limit of sum of Markov Bernoulli variables in system reliability evaluation,A fast Monte Carlo method for evaluating reliability indexes,Generating peaking unit operating characteristics,A concise method for calculating expected unserved energy in generating system reliability analysis,Utilization of interrupted energy assessment rates in generation and transmission system planning,A generalized continuous distribution approach for generating capacity reliability evaluation and its applications,Power arrival evaluation of bulk system including network constraints based on linear programming approach,Export/import of spinning reserve in interconnected generation systems,Transmission loss evaluation based on probabilistic power flow,A security based approach to composite power system reliability evaluation,A hybrid model for quantifying different operating states of composite power systems
Defining control strategies for MicroGrids islanded operation,"J. A. P. Lopes, C. L. Moreira, A. G. Madureira, ",2006,960,Operation of battery energy storage system using extensional information model based on IEC 61850 for micro-grids,Seamless control scheme for distributed energy resources in microgrids,Real-time verification of new controller to improve small/large-signal stability and fault ride-through capability of multi-DER microgrids,General distributed secondary control for multi-microgrids with both PQ-controlled and droop-controlled distributed generators,Voltage and frequency control during microgrid islanding in a multi-area multi-microgrid system,Game-theoretic dispatch control in microgrids considering network losses and renewable distributed energy resources integration,Decentralised secondary voltage and frequency control scheme for islanded microgrid based on adaptive state estimator,Cost-based droop scheme with lower generation costs for microgrids,Load margin assessment of systems with distributed generation with the help of a neuro-fuzzy method,Voltage security in AC microgrids: a power flow-based approach considering droop-controlled inverters,Coordination of energy storage systems and DR resources for optimal scheduling of microgrids under uncertainties,Combining droop and direct current vector control for control of parallel inverters in microgrid,Design guidelines for MPC-based frequency regulation for islanded microgrids with storage voltage and ramping constraints,Distributed finite-time cooperative control of droop-controlled microgrids under switching topology,Microgrid multi-source coordination optimal control based on multi-scenarios analysis,Optimal configuration of energy storage system based on frequency hierarchical control in ship power system with solar photovoltaic plant,Data-driven approach for monitoring protection and control of distribution system assets using micro-PMU technology,An Adaptive Control System for a Dc Microgrid for Data Centers,Control of inverter-connected sources in autonomous microgrids,On the effect of DC source voltage on inverter-based frequency and voltage regulation in a military microgrid,Robust μ-synthesis control of a four-wire autonomous electronically-interfaced distributed generation unit for mitigation of harmonic voltage disturbance,On reactive power flow and voltage stability in microgrids,Droop-controlled inverter-based microgrids are robust to clock drifts,ISS of multistable systems with delays: Application to droop-controlled inverter-based microgrids,Improving performance of droop-controlled microgrids through distributed PI-control,State of the Art in Research on Microgrids: A Review,Distributed Coordination Load Shedding of Islanded Microgrids Based on Sub-Gradient Algorithm,Dynamic Modeling of Networks Microgrids and Renewable Sources in the dq0 Reference Frame: A Survey,Estimating the dynamic power requirements for controllable energy storage on PV microgrid,An intelligent battery management system based on fuzzy controller for home microgrid working in grid-connected and island mode
Efficient power control via pricing in wireless data networks,"C. U. Saraydar, N. B. Mandayam, D. J. Goodman, ",2002,894,Efficient swarm intelligent algorithm for power control game in cognitive radio networks,Spectrum sharing and power allocation in multi-input-multi-output multi-band underlay cognitive radio networks,Optimal pre-equalisation for wireless multi-carrier code division multiple access systems under quality of service requirements,Non-cooperative uplink interference protection framework for fair and energy efficient orthogonal frequency division multiple access networks,Efficient pre-equalisation strategies for the downlink of a multi-carrier code division multiple-access wireless network,Cooperation in wireless networks: a game-theoretic framework with reinforcement learning,Subcarrier and power allocation for multi-user OFDMA wireless networks under imperfect channel state information,Distributed power control with soft removal for uplink energy harvesting wireless network,Event-triggered feedback for power allocation in wireless networks,Game-theoretic beamforming techniques for multiuser multi-cell networks under mixed quality of service constraints,Hierarchical SIR and rate control on the forward link for CDMA data users under delay and error constraints,Pricing and power control in a multicell wireless data network,Optimal SIR-based power control in 3G wireless CDMA networks,New economic perspectives for resource allocation in wireless networks,A cross-layer power allocation scheme for CDMA wireless networks,Analysis of distributed power allocation in wireless networks under multiplicative noise and interference uncertainty,Energy Efficiency Optimization for Mobile Ad Hoc Networks,Discrete Transmit Power Devices in Dense Wireless Networks: Methodology and Case Study,Green Communication in Next Generation Cellular Networks: A Survey,Game-Theory-Based Distributed Power Splitting for Future Wireless Powered MTC Networks,Space division competitive access for infrastructured wireless mesh networks,Distributed transmit-power control in cognitive radio networks using a hybrid-adaptive game-theoretic technique,Impact of fading wireless channel on the performance of game theoretic power control algorithms for CDMA wireless data,Competition of wireless providers for atomic users: Equilibrium and social optimality,A power control game with smooth reduction of SINR objectives,A game theory-based distributed power control algorithm for femtocells,Revenue management for cognitive spectrum underlay networks: An interference elasticity perspective,Game-theoretic pricing and selection with fading channels,Automatic Modulation Classification for adaptive Power Control in cognitive satellite communications,An energy-efficient solution for packet-based transmissions with QoS constraints in the multibeam satellite downlink
A survey on 3GPP heterogeneous networks,"Aleksandar Damnjanovic, Juan Montojo, Yongbin Wei, Tingfang Ji, Tao Luo, Madhavan Vajapeyam, Taesang Yoo, Osok Song, Durga Malladi, ",2011,889,Dynamic frequency reuse based on guard regions in two-layer heterogeneous networks,Win–win relationship between macrocell and femtocells for spectrum sharing in LTE-A,CB-REFIM: a practical coordinated beamforming in multicell networks,User association with jointly maximising downlink sum rate and minimising uplink sum power for heterogeneous cellular networks,Load-aware user association with quality of service support in heterogeneous cellular networks,Improvements of femto-base station resource utilisation and ABS assignment convergence for dynamic ABS assignment,Joint energy-efficient resource allocation and interference alignment for HetNets,Adaptive transmission in heterogeneous networks,Pushing the Limits of LTE: A Survey on Research Enhancing the Standard,A Commercial Video-Caching System for Small-Cell Cellular Networks Using Game Theory,Energy Efficient Resource Allocation in D2D-Assisted Heterogeneous Networks with Relays,Optimum Biasing for Cell Load Balancing Under QoS and Interference Management in HetNets,Decoupled Downlink-Uplink Coverage Analysis with Interference Management for Enriched Heterogeneous Cellular Networks,Adaptive Resource Management Strategy in Practical Multi-Radio Heterogeneous Networks,Energy-Efficient Transceiver Design for Hybrid Sub-Array Architecture MIMO Systems,Secure Wireless Information and Power Transfer in Heterogeneous Networks,Energy Management in LTE Networks,Semi-Clustering of Victim-Cells Approach for Interference Management in Ultra-Dense Femtocell Networks,Resource Optimization in Multi-Tier HetNets Exploiting Multi-Slope Path Loss Model,Energy Efficiency Analysis of Heterogeneous Cellular Networks With Extra Cell Range Expansion,Analysis of Load Balancing and Interference Management in Heterogeneous Cellular Networks,Softwarization and Optimization for Sustainable Future Mobile Networks: A Survey,Joint Cell Activation and Selection for Green Communications in Ultra-Dense Heterogeneous Networks,Energy-Efficient Resource Allocation for mmWave Massive MIMO HetNets With Wireless Backhaul,Joint transceiver design and base station clustering for heterogeneous networks,Coverage and capacity in mmWave cellular systems,Simulated annealing user scheduling for coordinated heterogeneous MIMO networks,A unified analysis of CDF-based distributed scheduling in a heterogeneous multicell,Joint interference and user association optimization in cellular wireless networks,Leveraging interference for increasing throughput and reliability of commercial wireless femtocells
