Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
The iSLIP scheduling algorithm for input-queued switches,"N. McKeown, ",1999,688
Blobworld: image segmentation using expectation-maximization and its application to image querying,"C. Carson, S. Belongie, H. Greenspan, J. Malik, ",2002,688
Adaptive segmentation of MRI data,"W. M. Wells, W. E. L. Grimson, R. Kikinis, F. A. Jolesz, ",1996,688,The Isometric Log-Ratio Transform for Probabilistic Multi-Label Anatomical Shape Representation,Transfer Learning Improves Supervised Image Segmentation Across Imaging Protocols,A Model of Population and Subject (MOPS) Intensities With Application to Multiple Sclerosis Lesion Segmentation,A Generative Probabilistic Model and Discriminative Extensions for Brain Lesion Segmentation— With Application to Tumor and Stroke,Segmentation of dynamic PET images using cluster analysis,Hidden Markov measure field models for image segmentation,Data driven image models through continuous joint alignment,Robust Estimation of Unbalanced Mixture Models on Samples with Outliers,Robust image segmentation using FCM with spatial constraints based on new kernel-induced distance measure,A Fast and Robust Level Set Method for Image Segmentation Using Fuzzy Clustering and Lattice Boltzmann Method,Asymptotically Optimal Truncated Multivariate Gaussian Hypothesis Testing With Application to Consensus Algorithms,P3C-12 Combining Spectral and Intensity Data to Identify Regions of Cavitation in Ultrasound Images; Application to HIFU,Holographic video display of time-series volumetric medical data,Segmentation of breast MRI using effective Fuzzy C-Means method based on Support Vector Machine,An improved Kernel-based Fuzzy C-means Algorithm with spatial information for brain MR image segmentation,Automatic brain segmentation method based on supervoxels,Multimodal Data Fusion Using Source Separation: Application to Medical Imaging,Bilateral Filtering of fMRI Data,Discriminative Clustering and Feature Selection for Brain MRI Segmentation,A Novel Medical Image Segmentation Method using Dynamic Programming,Entropy minimization for automatic correction of intensity nonuniformity,Canonical Correlation Analysis for Data Fusion and Group Inferences,Medical Image Segmentation: Methods and Software,Method for evaluation of different MRI segmentation approaches,Virtual laryngoscopy: feasibility studies by CT and MRI,Segmentation of dynamic PET images using cluster analysis,Partial volume segmentation of medical images,Segmentation of brain MR images using hidden Markov random field model with weighting neighborhood system,A unifying framework for inhomogeneity correction and partial volume segmentation of brain MR images,Grey matter segmentation of 7T MR images
Detection of ECG characteristic points using wavelet transforms,"Cuiwei Li, Chongxun Zheng, Changfeng Tai, ",1995,688,Analytical Footprints: Compact Representation of Elementary Singularities in Wavelet Bases,A Peak Synchronization Measure for Multiple Signals,Tissue strain imaging using a wavelet transform-based peak search algorithm,Forearm Controller Based on BP Network and Sub-band Waves,Abnormal ECG signal detection based on compressed sampling in Wearable ECG sensor,Delineation of the complex QRS and the T-end using wavelet transform and surface indicator,Cardiac arrhythmia detection using dynamic time warping of ECG beats in e-healthcare systems,A Novel Beat Detection Method for Blood Pressure Signals Using Slope Sum Mean Shift Technology,ECG signal analysis by using Hidden Markov model,ECG arrhythmia classification using discrete wavelet transform and artificial neural network,Automated detection of cardiac health condition using linear techniques,A classification approach for myocardial infarction using voltage features extracted from four standard ECG leads,Efficient R-peak detection algorithm for real-time analysis of ECG in portable devices,A new approach for on-line ECG characterization,Multiscale products for the detection of an electrocardiogram R wave: MIT-BIH polysomnographic,Arrhythmia classification by Local Fractional Fourier Transform,An efficient abnormal beat detection scheme from ECG signals using neural network and ensemble classifiers,Heartbeat Recognition from ECG Signals Using Hidden Markov Model with Adaptive Features,QRS Complex detection using Empirical Mode Decomposition based windowing technique,Characterization of ECG signals using multiscale approach,QRS Detection Based on Multiscale Mathematical Morphology for Wearable ECG Devices in Body Area Networks,An Ultra Low Energy Biomedical Signal Processing System Operating at Near-Threshold,A 0.83-$mu {rm W}$ QRS Detection Processor Using Quadratic Spline Wavelet Transform for Wireless ECG Acquisition in 0.35- $mu{rm m}$ CMOS,Diastolic Timed Vibrator: Noninvasive Pre-Hospitalization Treatment of Acute Coronary Ischemia,A 300-mV 220-nW Event-Driven ADC With Real-Time QRS Detection for Wearable ECG Sensors,A 259.6 $mu{rm W}$ HRV-EEG Processor With Nonlinear Chaotic Analysis During Mental Tasks,A 410-nW Efficient QRS Processor for Mobile ECG Monitoring in 0.18-μm CMOS,Stimulus artifact cancellation in the serosal recordings of gastric myoelectric activity using wavelet transform,Improved alignment method for noisy high-resolution ECG and Holter records using multiscale cross-correlation,Automated processing of the single-lead electrocardiogram for the detection of obstructive sleep apnoea
A new algorithm in spectral analysis and band-limited extrapolation,"A. Papoulis, ",1975,687,Robust Reconstruction of MRSI Data Using a Sparse Spectral Model and High Resolution MRI Priors,Multi-Rate Acquisition for Dead Time Reduction in Magnetic Resonance Receivers: Application to Imaging With Zero Echo Time,An Efficient Scheme for Processing Arbitrary Lumped Multiport Devices in the Finite-Difference Time-Domain Method,3-D Object Reconstruction in Emission and Transmission Tomography with Limited Angular Input,Limited Angle 3-D Reconstructions from Continuous and Pinhole Projections,Three-Dimensional Image Reconstruction for a Positron Camera with Limited Angular Acceptance,An Iterative Reconstruction from Truncated Projection Data,Few-View Projection Reconstruction With an Iterative Reconstruction-Reprojection Algorithm and TV Constraint,Straight-Line-Trajectory-Based X-Ray Tomographic Imaging for Security Inspections: System Design Image Reconstruction and Preliminary Results,Computer Tracking of Moving Point Targets in Space,Restoration of Multichannel Microwave Radiometric Images,An efficient model-based multirate method for reconstruction of audio signals across long gaps,Spectrum restoration from multiscale auditory phase singularities by generalized projections,Signal extrapolation in the real Zak space,An Efficient Method for an Ill-Posed Problem — Band-Limited Extrapolation by Regularization,A Fast Convergence Algorithm for Band-Limited Extrapolation by Sampling,Some Aspects of Band-Limited Extrapolations,On the Eigenvalues of Matrices for the Reconstruction of Missing Uniform Samples,Extrapolation of Bandlimited Signals in Linear Canonical Transform Domain,Superoscillations With Optimum Energy Concentration,FFT Interpolation From Nonuniform Samples Lying in a Regular Grid,Estimation and compensation of clipping noise in OFDMA systems,Constrained Reconstruction of Object Acoustic Parameters from Noisy Ultrasound Scattering Data,High resolution acoustic impulse response in air with spectral extrapolation by linear prediction,Fourier iteration techniques in antenna measurement applications using limited data,Diagnosis techniques for planar antennas using iterative algorithms: Application to radial line slot antennas,An extrapolation procedure for band-limited signals,Detection of hidden periodicities by adaptive extrapolation,Comments on An extrapolation procedure for band-limited signals,Quantitative determination of periodicities from short time series
Solution of the multiuser downlink beamforming problem with individual SINR constraints,"M. Schubert, H. Boche, ",2004,686,Multi-user hybrid analogue/digital beamforming for relatively large-scale antenna systems,Robust precoding for joint transmission in multicell multiuser downlink systems,Efficient transceiver beamforming in multiple-input-multiple-output cognitive radio network,Interference-leakage based non-cooperative beamforming with low-dimensional approximation,Multiuser Admission Control and Beamforming Optimization Algorithms for MISO Heterogeneous Networks,Beamforming for Combating Inter-cluster and Intra-cluster Interference in Hybrid NOMA Systems,Coalitional Games for Downlink Multicell Beamforming,Performance Analysis for SDMA mmWave Systems: Using an Approximate Closed-Form Solution of Downlink Sum-Rate,Downlink Multi-User MIMO Precoding Design Via Signal-Over-Leakage Capacity,Trace balancing for multiuser MIMO downlink transmission,Iterative algorithm for finding optimal resource allocations in symbol-asynchronous CDMA channels with different SIR requirements,Downlink Sum-MSE Transceiver Optimization for Linear Multi-User MIMO Systems,Multiuser-MIMO Downlink TX-RX Design Based on SVD Channel Diagonalization and Multiuser Diversity,A Multi-user SC-FDE-MIMO System for Frequency-Selective Channels,Coordinated Beamforming for Multiuser MIMO Systems with Limited Feedforward,Transmit Beamforming and Detection Design for Uplink Multiuser MIMO Systems,Capacity Scaling of Multi-User MIMO with Limited Feedback in a Multi-Cell Environment,Efficient MSE Balancing for the Multi-User MIMO Downlink,Achievable Rate Region for Downlink Beamforming in the Presence of Interference,Space-Time Channel Shortening Based Spatial Multiplexing Schemes for Multiusers with Multipath Channels,A GMD-based precoding scheme for downlink multiuser multistream MIMO channels,Performance of different user selection algorithms for transmit power minimization,Optimal MISO pre-equalization for filter bank based multicarrier systems,On duality in the MISO interference channel,Joint power control and relay design in underlay cognitive networks with multiple transmitter-receiver pairs,Decentralized multi-cell beamforming coordination for multiuser MISO systems,Robust joint transceiver beamforming for cognitive radio network,Design of beamforming in the satellite downlink with static and mobile users,Chance constrained and ergodic robust QoS power minimization in the satellite downlink,Pragmatic multi-cell MIMO beamforming with decentralized coordination
Maximum likelihood localization of multiple sources by alternating projection,"I. Ziskind, M. Wax, ",1988,681,Robust carrier frequency offset and channel estimation for orthogonal frequency division multiple access downlink systems in the presence of severe adjacent-cell interference,Efficient carrier frequency offset estimation for orthogonal frequency-division multiple access uplink with an arbitrary number of subscriber stations,Blind carrier frequency offset estimation for interleaved orthogonal frequency division multiple access uplink with multi-antenna receiver: algorithms and performance analysis,Joint phase noise estimation and data detection in coded multi-input–multi-output systems,Iterative subspace alternating projection method for GNSS multipath DOA estimation,Low-angle target tracking using frequency-agile refined maximum likelihood algorithm,Efficient implementation of the ML estimator for high-resolution angle estimation in an unmanned ground vehicle,Oblique projection for direction-of-arrival estimation of hybrid completely polarised and partially polarised signals with arbitrary polarimetric array configuration,Radio-astronomical imaging in the presence of strong radio interference,High-resolution frequency-domain reflectometry by estimation of modulated superimposed complex sinusoids,Direction finding: a signal subspace approach,Adaptive multiuser detection and beamforming for interference suppression in CDMA mobile radio systems,Analysis of MUSIC-based delay estimators for direct-sequence code-division multiple-access systems,Exact and approximate maximum-likelihood parameter estimation for quasi-synchronous CDMA signals,Maximum-likelihood-based multipath channel estimation for code-division multiple-access systems,A DS-CDMA tracking mode receiver with joint channel/delay estimation and MMSE detection,MUSIC maximum likelihood and Cramer-Rao bound,Sensor array processing using gated signals,Detection of the number of coherent signals by the MDL principle,Array shape calibration using sources in unknown locations-a maximum likelihood approach,Multiple source location-the signal subspace approach,Maximum likelihood methods for direction-of-arrival estimation,Maximum-likelihood narrow-band direction finding and the EM algorithm,Performance study of conditional and unconditional direction-of-arrival estimation,Direction finding and smart antennas using software radio architectures,Position location using wireless communications on highways of the future,An iterative quadratic method for high resolution delay estimation with known waveform,Grouped-coordinate ascent algorithms for penalized-likelihood transmission image reconstruction,Object-based 3-D reconstruction of arterial trees from magnetic resonance angiograms,Comments on Capacity evaluation for DS-CDMA systems with multi-class on/off traffic
Particle swarm optimization to solving the economic dispatch considering the generator constraints,"Zwe-Lee Gaing, ",2003,680,Economic dispatch of wind integrated power systems with energy storage considering composite operating costs,Distributed solution of the Economic Dispatch Problem in smart grid power systems framework with delays,Economic dispatch in a microgrid through an iterated-based algorithm,An iterated-based optimization method for economic dispatch in power system,Differential evolution and Evolutionary Programming for solving non-convex economic dispatch problems,Optimisation of the Beer Distribution Game with complex customer demand patterns,Research of constraint handling techniques for Economic Load Dispatch of power system,Particle swarm optimization applied in power system measurement-based load modeling,A decomposition-based algorithm for dynamic economic dispatch problems,Harmony search and virus optimization algorithm for multi-objective combined economic energy dispatching problems,An efficient Particle Swarm Optimization for Economic Dispatch with valve-point effect,Solution of economic load dispatch by evolutionary optimization algorithms — A comparative study,Applications of computational intelligence to mechanical engineering,Application of PSO for HEMS and ED in Smart Grid,A new approach for dynamic economic dispatch using Improved Bacterial Foraging Algorithm,Integrated optimal power flow for distribution networks in local and urban scales,Hybrid Big Bang-Big Crunch Algorithm for solving non-convex Economic Load Dispatch problems,Solving the Economic Dispatch in Power System via a Modified Genetic Particle Swarm Optimization,Solving the Economic Dispatch in Power System by Genetic Particle Evolutionary Swarm Optimization,Non-convex constrained economic dispatch with valve point loading effect using a grey wolf optimizer algorithm,A distributed solution for economic dispatch problem in finite time,Distributed optimal active power control in microgrid with communication delays,Economic Dispatch resolution using Adaptive Acceleration Coefficients based PSO considering generator constraints,Solving the Economic Dispatch Problem with Q-Learning Quantum-Behaved Particle Swarm Optimization Method,Economic dispatch using simplified personal best oriented particle swarm optimizer,Reactive power optimization based on improved particle swarm optimization algorithm with boundary restriction,Emission-economic dispatch of thermal power generation units in the presence of hybrid electric vehicles and correlated wind power plants,Lightning flash algorithm for solving non-convex combined emission economic dispatch with generator constraints,Fast convergence evolutionary programming for economic dispatch problems,Invasive weed optimization algorithm for solving economic load dispatch
Online selection of discriminative tracking features,"R. T. Collins, Yanxi Liu, M. Leordeanu, ",2005,679,Locally discriminative stable model for visual tracking with clustering and principle component analysis,Multiple instance learning tracking method with local sparse representation,Improved appearance updating method in multiple instance learning tracking,Kernel sparse tracking with compressive sensing,Survey of single-target visual tracking methods based on online learning,Adaptive weighted real-time compressive tracking,Multi-scale mean shift tracking,Invariant foreground occupation ratio for scale adaptive mean shift tracking,Parallel algorithm implementation for multi-object tracking and surveillance,Online learning of mixture experts for real-time tracking,Multiscale spatially regularised correlation filters for visual tracking,Fuzzy match index for scale-invariant feature transform (SIFT) features with application to face recognition with weak supervision,Real-time object tracking on mobile phones,Scene classification using adaptive integration of reconstruction errors,Pixel-Pair Features Selection for Vehicle Tracking,Building a Robust Appearance Model for Object Tracking,CS-LoFT: Color and scale adaptive tracking using max-pooling with bhattacharyya distance,Online sequential-extreme learning machine based detector on training-learning-detection framework,A Random Field Model for Improved Feature Extraction and Tracking,An Active Head Tracking System for Distance Education and Videoconferencing Applications,Learning Feature Extraction and Classification for Tracking Multiple Objects: A Unified Framework,Online Multi-person Tracking by Tracker Hierarchy,Robust discriminative tracking via query-by-bagging,Spatial pyramid context-aware moving vehicle detection and tracking in urban aerial imagery,Planar clustering algorithm based on RGB-D data fusion,Intelligent video surveillance system in factory based on TLD algorithm,Adaptive online learning for human tracking,On-line feature enhancement for adaptive object tracking,Visual object tracking based on incremental kernel PCA,Object orientation algorithm for sequence images based on adaboost classification
Local grayvalue invariants for image retrieval,"C. Schmid, R. Mohr, ",1997,678,Generic object recognition with boosting,Sparse representation for coarse and fine object recognition,Active Shape Models with Invariant Optimal Features: Application to Facial Analysis,Flexible Spatial Configuration of Local Image Features,Surface Dependent Representations for Illumination Insensitive Image Comparison,Stacked Euler Vector (SERVE): A Gray-Tone Image Feature Based on Bit-Plane Augmentation,Segmenting Modeling and Matching Video Clips Containing Multiple Moving Objects,Efficient Visual Search of Videos Cast as Text Retrieval,Self-Similarity and Points of Interest,Spectral Symmetry Analysis,Fast Keypoint Recognition Using Random Ferns,Context-Dependent Kernels for Object Classification,Linear Scale and Rotation Invariant Matching,Discriminative Learning of Local Image Descriptors,A Tensor-Based Algorithm for High-Order Graph Matching,Trainable COSFIRE Filters for Keypoint Detection and Pattern Recognition,USAC: A Universal Framework for Random Sample Consensus,Learning Image Similarity from Flickr Groups Using Fast Kernel Machines,Object Matching Using a Locally Affine Invariant and Linear Programming Techniques,Feature Matching with Affine-Function Transformation Models,Visual Place Recognition with Repetitive Structures,Exploring Local and Overall Ordinal Information for Robust Feature Description,Euler vector for search and retrieval of gray-tone images,Coarse-to-fine vision-based localization by indexing scale-Invariant features,Spatiotemporal salient points for visual recognition of human actions,Bottom-Up Gaze Shifts and Fixations Learning by Imitation,Robust and Effective Component-Based Banknote Recognition for the Blind,Image watermarking based on invariant regions of scale-space representation,Feature extraction for object recognition using PCA-KNN with application to medical image analysis,Geodesic Distance-weighted Shape Vector Image Diffusion
Improving Wireless Physical Layer Security via Cooperating Relays,"Lun Dong, Zhu Han, Athina P. Petropulu, H. Vincent Poor, ",2010,675,Relay selection for secure backscatter wireless communications,Symbol separation and beamforming to improve secure transmission in multi-untrusted relay networks,Physical layer security with dynamic behaviour cooperator based on coalitional game,Secure multiple-input single-output communication - Part I: secrecy rates and switched power allocation,Cooperative jamming and power allocation with untrusty two-way relay nodes,Signal leakage neutralisation in instantaneous non-regenerative relaying networks under channel uncertainty,Relay selection based on coalitional game for secure wireless networks,Robust secrecy rate optimisations for multiuser multiple-input-single-output channel with device-to-device communications,Eavesdropping mitigation for wireless communications over single-input–single-output channels,Radio resource allocation to provide physical layer security in relay-assisted cognitive radio networks,Secrecy performance analysis with relay selection methods under impact of co-channel interference,Joint beamforming and power allocation for secure communication in cognitive radio networks,Destination-based cooperative jamming in untrusted amplify-and-forward relay networks: resource allocation and performance study,Cooperative communication with energy-harvesting relays under physical layer security,Achievable secrecy rate of wiretap channels incorporating multi-input–multi-output amplify and forward relaying,Beamforming strategies for multi-antenna relay-assisted networks,Secure communication design for multi-user peer-to-peer wireless relay networks,Secure robust relay beamforming: a convex conic approximation approach,Optimal power allocation to improve secrecy performance of non-regenerative cooperative systems using an untrusted relay,Secrecy performance of dual-hop decode-and-forward relay system with diversity combining at the eavesdropper,Associating MIMO beamforming with security codes to achieve unconditional communication security,Improving physical layer security in untrusted relay networks: cooperative jamming and power allocation,SRT analysis of relay selection in the presence of multiple co-channel interferers,Secure transmission in multiuser peer-to-peer relay network with finite alphabet input,Maximising the degrees of freedom of the physical-layer secured relay networks with artificial jamming,Secured primary system with the assistance of secondary system in spectrum-sharing environment,Joint optimal power allocation and relay selection to establish secure transmission in uplink transmission of untrusted relays network,Secure communication in cooperative network with wireless information and power transfer,Cooperative security communications design with imperfect channel state information in wireless sensor networks,Security and Reliability Performance Analysis for Cloud Radio Access Networks With Channel Estimation Errors
A Fast and Accurate Online Sequential Learning Algorithm for Feedforward Networks,"Nan-ying Liang, Guang-bin Huang, P. Saratchandran, N. Sundararajan, ",2006,674,A new neural network-based approach for self-tuning control of nonlinear multi-input multi-output dynamic systems,Incremental echo state network for a water-jet propulsion USV: Theoretical and experimental research,Big Data Deep Learning: Challenges and Perspectives,High-Performance Extreme Learning Machines: A Complete Toolbox for Big Data Applications,Predicting of Job Failure in Compute Cloud Based on Online Extreme Learning Machine: A Comparative Study,Hybrid Structure-Adaptive RBF-ELM Network Classifier,Incremental and Decremental Extreme Learning Machine Based on Generalized Inverse,Application of EOS-ELM With Binary Jaya-Based Feature Selection to Real-Time Transient Stability Assessment Using PMU Data,Pedestrian Dead-Reckoning Indoor Localization Based on OS-ELM,Representative Skyline Queries With Total and Partial Order Domains Using US-ELM,OS-λ1-ELM: Online sequential λ1-regularized-ELM based on ADMM,Power system transient stability assessment based on online sequential extreme learning machine,Wavelet network based online sequential extreme learning machine for dynamic system modeling,Online sequential extreme learning machine algorithm based human activity recognition using inertial data,Online sequential-extreme learning machine based detector on training-learning-detection framework,Online Sequential Learning Based on Extreme Learning Machines for Particulate Matter Forecasting,Brunnstrom stage automatic evaluation for stroke patients using extreme learning machine,A neuromorphic categorization system with Online Sequential Extreme Learning,Progressive learning strategies for multi-class classification,Robust blind watermarking technique for color images using Online Sequential Extreme Learning Machine,A partial least squares regression method for growing radial basis function networks,An Enhanced Online Sequential Extreme Learning Machine algorithm,A novel reformulated radial basis function neural network,Multi-step ahead fault prediction method based on PCA and EMD,ELM based LF temperature prediction model and its online sequential learning,An improved on-line extreme learning machine algorithm for sunspot number prediction,Review and performance analysis of single hidden layer sequential learning algorithms of feed-forward neural networks,Hypoglycemia prediction using extreme learning machine (ELM) and regularized ELM,ELM weighted hybrid modeling and its online modification,Improved multiple kernel extreme learning machine based on AdaBoost.RT
Sparse Reconstruction by Separable Approximation,"Stephen J. Wright, Robert D. Nowak, M&Aacute;rio A. T. Figueiredo, ",2009,636,LRR-TTK DL for face recognition,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Adaptive vectorial total variation models for multi-channel synthetic aperture radar images despeckling with fast algorithms,Sparsity-based space-time adaptive processing using complex-valued Homotopy technique for airborne radar,Obstacle mapping in wireless sensor networks via minimum number of measurements,A distributed scheme for fair EV charging under transmission constraints,On new characterizations of social influence in social networks,Localized LQR control with actuator regularization,A Survey of Sparse Representation: Algorithms and Applications,Low-Complexity DCD-Based Sparse Recovery Algorithms,Sparse Reconstruction Based on the ADMM and Lasso-LSQR for Bearings Vibration Signals,Compressive sensing under matrix uncertainties: An Approximate Message Passing approach,Sensor calibration errors in compressive distributed-aperture radar sensing,Flexible selective parallel algorithms for big data optimization,A fast proximal gradient algorithm for reconstructing nonnegative signals with sparse transform coefficients,Joint sparsity pattern recovery with 1-bit compressive sensing in sensor networks,Multiuser detection in asynchronous on-off random access channels using lasso,Contrast-enhanced microwave imaging of breast tumors using sparsity regularization,Evaluation of compressive sensing encoding on AR drone,Compressed sensing reconstruction of MR phase-varied images using multi-scale complex sparsifying transform,A new multilayer LSTM method of reconstruction for compressed sensing in acquiring human pressure data,Choir codes: Coding for full duplex interference management,Atomic norm denoising with applications to line spectral estimation,Compressed sensing of streaming data,Implementation of Imaging Compressive Sensing Algorithms on Mobile Handset Devices,Underdetermined blind source separation for LFM radar signal based on compressive sensing,A comparison of typical sparse optimization for 1D signal recovery,A second order primal-dual algorithm for nonsmooth convex composite optimization,Energy-efficient hybrid precoding for millimeter wave MIMO systems
A Learning Algorithm for Continually Running Fully Recurrent Neural Networks,"Ronald J. Williams, David Zipser, ",1989,635,Application of decision feedback recurrent neural network with real-time recurrent algorithm,A TSK-type recurrent fuzzy network for dynamic systems processing by neural network and genetic algorithms,Training trajectories by continuous recurrent multilayer networks,A recurrent fuzzy-neural model for dynamic system identification,Recurrent neural network for time series prediction,Initial state training procedure improves dynamic recurrent networks with time-dependent weights,An algorithmic approach to adaptive state filtering using recurrent neural networks,A method to induce fuzzy automata using neural networks,A comparison between recurrent neural architectures for real-time nonlinear prediction of speech signals,Open-loop training of recurrent neural networks for nonlinear dynamical system identification,A study of grammar transfer in a second order recurrent network,A complex EKF-RTRL neural network,Forward perturbation algorithm for a general class of recurrent network,Logical computation on a fractal neural substrate,Bi-directionalization of neural computing architecture for time series prediction. III. Application to laser intensity time record Data Set A,Meta-learning with backpropagation,Financial volatility trading using recurrent neural networks,Learning to trade via direct reinforcement,Mixed time scale recursive algorithms,A new control method of nonlinear systems based on impulse responses of universal learning networks,Indirect inverse adaptive control based on neural networks using dynamic back propagation for nonlinear dynamic systems,Noisy speech processing by recurrently adaptive fuzzy filters,Recurrent neural networks for identification of nonlinear systems,Gesture recognition via pose classification,Global asymptotic stability for RNNs with a bipolar activation function,Two constructive algorithms for improved time series processing with recurrent neural networks,Intelligent call admission control for differentiated QoS provisioning in wideband CDMA cellular systems,Fault detection and diagnosis system for air-conditioning units using recurrent type neural network,On-line learning of dynamical systems in the presence of model mismatch and disturbances,A novel adaptive filtering technique for the processing of abdominal fetal electrocardiogram using neural network
"Power System Static-State Estimation, Part I: Exact Model","Fred C. Schweppe, J. Wildes, ",1970,634,Recent advances on state estimation for power grids with unconventional measurements,Convexification of bad data and topology error detection and identification problems in AC electric power systems,Multi-agent-based dynamic state estimator for multi-area power system,Distributed multi-area WLS state estimation integrating measurements weight update,Electric power system state estimation,A line-current measurement based state estimator,A distributed state estimator for electric power systems,Fast linear programming state estimation using the dual formulation,A decomposed state estimation technique suitable for parallel processor implementation,Integration of remote measurement calibration with state estimation-a feasibility study,A tool for the evaluation and selection of state estimator measurement schemes,Weighted Least Absolute Value state estimation using interior point methods,Power system state estimation using three-phase models,A meter placement method for state estimation,On convergence analysis and convergence enhancement of power system least-squares state estimators,State estimation for power distribution system and measurement impacts,Multiphase power flow and state estimation for power distribution systems,Distribution circuit state estimation using a probabilistic approach,Fast super decoupled state estimator for power systems,A decoupled solution of hydro-thermal optimal power flow problem by means of interior point method and network programming,A fast method for topological observability analysis using a minimum spanning tree technique,A robust estimation method for topology error identification,Power system parameter estimation: a survey,Power network observability: the assessment of the measurement system strength,State estimation for electric power distribution systems in quasi real-time conditions,Power system harmonic state estimation,Supervisory control of timed discrete-event systems under partial observation,A new distributed state estimation technique for power networks,Smart power grid synchronization with Fault Tolerant nonlinear estimation,False Data Injection Attacks on Contingency Analysis: Attack Strategies and Impact Assessment
Optimal Linear Cooperation for Spectrum Sensing in Cognitive Radio Networks,"Zhi Quan, Shuguang Cui, Ali H. Sayed, ",2008,632,Robust collaborative spectrum sensing in the presence of deleterious users,Optimisation of multi-channel cooperative sensing in cognitive radio networks,Analysis of collaborative spectrum sensing without dedicated sensing period,Relay-assisted spectrum sensing,Reliability-based decision fusion scheme for cooperative spectrum sensing,Bio-inspired collaborative spectrum sensing and allocation for cognitive radios,Double threshold-based cooperative spectrum sensing for a cognitive radio network with improved energy detectors,Sensing-throughput optimisation for multichannel cooperative spectrum sensing with imperfect reporting channels,Optimal primary pilot power allocation and secondary channel sensing in cognitive radios,Intelligent resource allocation scheme for the cognitive radio network in the presence of primary user emulation attack,Using Stackelberg game to enhance cognitive radio sensor networks security,Optimisation of cooperative spectrum sensing via optimal power allocation in cognitive radio networks,The Achievable Rate of Interweave Cognitive Radio in the Face of Sensing Errors,Soft Combination for Cooperative Spectrum Sensing in Fading Channels,Multi-Modal Cooperative Spectrum Sensing Based on Dempster-Shafer Fusion in 5G-Based Cognitive Radio,A Multichannel Cognitive Radio System Design and Its Performance Optimization,Robust interference control techniques for multiuser cognitive radios using worst-case performance optimization,Subspace-based cooperative spectrum sensing for cognitive radio,GLRT based cooperative spectrum sensing with location information,The optimal fusion rule for cooperative spectrum sensing from a diversity perspective,Linear decision fusion based cooperative spectrum sensing in cognitive radio networks,Distributed algorithm for collaborative detection in cognitive radio networks,Reliability-resources tradeoffs in cluster-based cooperative spectrum sensing,Cooperative spectrum sensing via 2-SPRT Based multiple-model hypothesis testing,Effect of sensing errors on wideband cognitive OFDM radio networks,An energy-efficient cooperative spectrum sensing,Primary user detection in cognitive radio networks through quickest detection,On low complexity cooperative spectrum sensing for cognitive networks,Optimization of probability of error in collaborative spectrum sensing of time-limited cognitive radio networks,Performance analysis for spectrum sensing over fading reporting channels
