Particle swarm optimization,"J. Kennedy, R. Eberhart, ",1995,14195,Ultra wideband antenna design using discrete Green's functions in conjunction with binary particle swarm optimisation,Multi-static radar power allocation for multi-stage stochastic task of missile interception,Control of IPM Synchronous Generator for Maximum Wind Power Generation Considering Magnetic Saturation,Real Time Implementation of an Artificial Immune System Based Controller for a DSTATCOM in an Electric Ship Power System,Hardware Implementation of an AIS-Based Optimal Excitation Controller for an Electric Ship,Particle swarm optimization - mass-spring system analogon,Use of intelligent-particle swarm optimization in electromagnetics,A novel ecological-biological-behavior praticle swarm optimization for Ackley's function,Improved Particle Swarm Optimization approach of PID controller design for machine tool positioning,A proposal for improved Particle Swarm Optimization,A novel building cooling load prediction based on SVR and SAPSO,Real-Time Face Reconstruction from a Single Depth Image,Learning to Navigate the Energy Landscape,Convergence of Vectors in Paired Comparison-based Interactive Differential Evolution for Creating Scent,Generation of Appropriate User Chord Development Based on Interactive Genetic Algorithm,Parallel Swarm Intelligence for VANETs Optimization,Improving Particle Swarm Optimization Algorithm for Distributed Sensing and Search,The particle swarm - explosion stability and convergence in a multidimensional complex space,A particle swarm optimization for reactive power and voltage control considering voltage security assessment,A modified DE: Population or generation based levy flight differential evolution (PGLFDE),Development of a Grey Wolf Optimizer Toolkit in LabVIEW<sup>™</sup>,Optimization of PID controller with first order noise filter,Training feedforward neural networks using hybrid flower pollination-gravitational search algorithm,Test case selection and prioritization using cuckoos search algorithm,Modeling identification of power plant thermal process based on PSO algorithm,Hammerstein and Wiener nonlinear models identification using a multimodal particle swarm optimizer,A particle swarm optimization approach for automatic diagnosis of PMSM stator fault,Modified particle swarm optimization algorithm for steelmaking charge plan with unknown charge number,A novel training algorithm in ANFIS structure,Adaptive Particle Swarm Optimization Algorithm for Power System Reactive Power Optimization
Extreme Learning Machine for Regression and Multiclass Classification,"Guang-Bin Huang, Hongming Zhou, Xiaojian Ding, Rui Zhang, ",2012,1333,Fuzzy extreme learning machine for classification,Facial age estimation based on advanced ordinal ranking,SAR image segmentation based on analysing similarity with clutter spatial patterns,Automated detection of heart ailments from 12-lead ECG using complex wavelet sub-band bi-spectrum features,Neural class-specific regression for face verification,Indirect measurement and extreme learning machine based modelling for flux linkage of doubly salient electromagnetic machine,Wavelet-based extreme learning machine for distribution grid fault location,Chinese vehicle license plate recognition using kernel-based extreme learning machine with deep convolutional features,Selective harmonic eliminated V/f speed control of single-phase induction motor,Multiclass power quality events classification using variational mode decomposition with fast reduced kernel extreme learning machine-based feature selection,Efficient human motion capture data annotation via multi-view spatiotemporal feature fusion,High-Performance Extreme Learning Machines: A Complete Toolbox for Big Data Applications,Regularized Weighted Circular Complex-Valued Extreme Learning Machine for Imbalanced Learning,An Efficient and Effective Automatic Recognition System for Online Recognition of Foreign Fibers in Cotton,Healthcare Big Data Voice Pathology Assessment Framework,Recognizing Emotions From Whispered Speech Based on Acoustic Feature Transfer Learning,A Jacobian Matrix-Based Learning Machine and Its Applications in Medical Diagnosis,Predicting of Job Failure in Compute Cloud Based on Online Extreme Learning Machine: A Comparative Study,A New Hybrid Intelligent Framework for Predicting Parkinson’s Disease,Incremental and Decremental Extreme Learning Machine Based on Generalized Inverse,Data-Driven Inter-Turn Short Circuit Fault Detection in Induction Machines,Experimental Study on Extreme Learning Machine Applications for Speech Enhancement,Multi-Traffic Scene Perception Based on Supervised Learning,Pedestrian Dead-Reckoning Indoor Localization Based on OS-ELM,Representative Skyline Queries With Total and Partial Order Domains Using US-ELM,Action recognition using completed local binary patterns and multiple-class boosting classifier,Hyperspectral image classification using Gradient Local Auto-Correlations,Power system transient stability assessment based on online sequential extreme learning machine,Relative entropy normalized Gaussian supervector for speech emotion recognition using kernel extreme learning machine,Online sequential-extreme learning machine based detector on training-learning-detection framework
Self-similarity in World Wide Web traffic: evidence and possible causes,"M. E. Crovella, A. Bestavros, ",1997,1325,Critical path analysis of TCP transactions,Deriving traffic demands for operational IP networks: methodology and experience,Difficulties in simulating the Internet,Modeling heterogeneous network traffic in wavelet domain,Performance issues in WWW servers,Loss performance analysis for heterogeneous on-off sources with application to connection admission control,Traffic management and QoS provisioning in future wireless IP networks,On the predictability of data network traffic,Understanding the Traffic Nature of Mobile Instantaneous Messaging in Cellular Networks: A Revisiting to  $alpha $ -Stable Models,Anomaly Detection Based on LRD Behavior Analysis of Decomposed Control and Data Planes Network Traffic Using SOSS and FARIMA Models,Dynamic Flow Scheduling With Uncertain Flow Duration in Optical Data Centers,A Survey on Content Placement Algorithms for Cloud-Based Content Delivery Networks,Interactive Temporal Recurrent Convolution Network for Traffic Prediction in Data Centers,Rate adaptation for bursty data transmission in CDMA networks,Multiscale connection-level analysis of network traffic,An interarrival delay jitter model using multistructure network delay characteristics for packet networks,Performance Evaluation of Cloud Computing Offerings,An adjusted ARIMA model for internet traffic,Overflow buffering in an all-optical switched cross-connect,A framework for hosting web services in cloud computing environment with high availability,Real-Time Traffic Analyzer for Measurement-Based Admission Control,An Empirical Study of Self-Similarity in the Per-User-Connection Arrival Process,Time Scaling Analysis of Jitter Propagation Property,Packet Scheduling for the Proportional Differentiation Model based on Measurement Windows,Analytical Modelling of Hybrid PQ-GPS Scheduling Systems under Long-Range Dependent Traffic,Analysis of Queueing Property for Self-Similar Traffic,Modeling Web Request and Session Level Arrivals,Self-Similar Property for TCP Traffic under the Bottleneck Restrainment,Stability of networks under general file size distribution with alpha fair rate allocation,Spatial birth-death wireless networks
Network reconfiguration in distribution systems for loss reduction and load balancing,"M. E. Baran, F. F. Wu, ",1989,1320,Value based pricing of distribution generations active power in distribution networks,Interval radial power flow using extended DistFlow formulation and Krawczyk iteration method with sparse approximate inverse preconditioner,Multi-criteria optimisation approach to increase the delivered power in radial distribution networks,Optimum tie switches allocation and DG placement based on maximisation of system loadability using discrete artificial bee colony algorithm,Optimal DG allocation and sizing in presence of storage systems considering network configuration effects in distribution systems,Active distribution network expansion planning integrating dispersed energy storage systems,Distribution network reconfiguration validation with uncertain loads – network configuration determination and application,Risk-based reconfiguration of active electric distribution networks,Optimal place size and operation of combined heat and power in multi carrier energy networks considering network reliability power loss and voltage profile,Mixed-integer second-order cone programing model for VAR optimisation and network reconfiguration in active distribution networks,Optimisation-based switch allocation to improve energy losses and service restoration in radial electrical distribution systems,Short-circuit level control through a multi-objective feeder reconfiguration using fault current limiters in the presence of distributed generations,Optimal placement and sizing of DGs in RDS using chaos embedded SOS algorithm,Capacitor placement in distribution systems for power loss reduction and voltage improvement: a new methodology,Robust reactive power optimisation and voltage control method for active distribution networks via dual time-scale coordination,Total supply capability considering distribution network reconfiguration under N − k transformer contingency and the decomposition method,Short-term scheduling problem in smart grid considering reliability improvement in bad weather conditions,Two-stage heuristic methodology for optimal reconfiguration and Volt/VAr control in the operation of electrical distribution systems,Multi-objective Taguchi approach for optimal DG integration in distribution systems,Reconfiguration for loadability limit enhancement of distribution systems,Stochastic assessment of distributed generation hosting capacity and energy efficiency in active distribution networks,Optimal allocation of BESS and MT in a microgrid,Current decomposition method for loss allocation in distribution systems,Dynamic reconfiguration of distribution networks considering the real-time topology variation,Planning the coordination of overcurrent relays for distribution systems considering network reconfiguration and load restoration,Minimum loss operation of distribution networks with photovoltaic generation,Optimum distribution network operation considering distributed generation mode of operations and safety margin,Active distribution power system with multi-terminal DC links,Convex probabilistic allocation of wind generation in smart distribution networks,Improved UFLS with consideration of power deficit during shedding process and flexible load selection
Breaking Spectrum Gridlock With Cognitive Radios: An Information Theoretic Perspective,"Andrea Goldsmith, Syed Ali Jafar, Ivana Maric, Sudhir Srinivasa, ",2009,1318,Relay selection in cognitive radio networks with interference constraints,Outage probability analysis for a cognitive amplify-and-forward relay network with single and multi-relay selection,Efficient swarm intelligent algorithm for power control game in cognitive radio networks,Cooperative communication between cognitive and primary users,Exact outage analysis of underlay cooperative cognitive networks over Nakagami-mfading channels,Exact bit-error-rate analysis of underlay decode-andforward multi-hop cognitive networks with estimation errors,Outage probability analysis of cognitive relay network with four relay selection and end-to-end performance with modified quasi-orthogonal space–time coding,Null-space cognitive precoding for heterogeneous networks,Robust beamforming and power allocation in cognitive radio relay networks with imperfect channel state information,Improving spectrum access using a beam-forming relay scheme for cognitive radio transmissions,Capacity maximisation of the secondary link in cognitive radio networks with hybrid spectrum access strategy,Physical layer-optimal and cross-layer channel access policies for hybrid overlay-underlay cognitive radio networks,Efficient transceiver beamforming in multiple-input-multiple-output cognitive radio network,Joint sensing and power allocation for hybrid spectrum sharing in fading channels,Underlay cognitive relay networks with imperfect channel state information and multiple primary receivers,Way to design an orthogonal frequency-division multiple access-base station receiver disturbed by a narrowband interfering cognitive radio signal,Energy efficient relay selection and power allocation for cooperative cognitive radio networks,Filter-and-forward transceiver design for cognitive two-way relay networks,Efficient spectrum sensing and power allocation for cognitive two-way relay network,Blind continuous hidden Markov model-based spectrum sensing and recognition for primary user with multiple power levels,Achievable rates and outage probability of cognitive radio with dynamic frequency hopping under imperfect spectrum sensing,Outage performance of cognitive cooperative networks with relay selection over double-Rayleigh fading channels,Cognitive two-way relaying using orthogonal channelisation: spectrum partition subchannel permutation and power allocation,Cooperative spectrum sharing in two-way multi-user multi-relay networks,Optimal sensing interval in cognitive radio networks with imperfect spectrum sensing,Performance of switching-based partial relay selection scheme for amplify-and-forward cognitive relay networks,Performance study of opportunistic scheduling in dual-hop multi-user underlay cognitive network,Joint versus separate spectrum sensing and resource allocation in OFDMA-based cognitive radio networks,Performance analysis of cognitive relay sharing systems with bidirectional primary transmissions under Nakagami-m fading<sup>†</sup>,Performance of selective cooperation for underlay cognitive radio with multiple primary transmitters and receivers
Information consensus in multivehicle cooperative control,"Wei Ren, Randal W. Beard, Ella M. Atkins, ",2007,1315,Distributed stochastic consensus of multi-agent systems with noisy and delayed measurements,Distributed formation control of mobile autonomous agents using relative position measurements,Robust consensus tracking of multi-agent systems with uncertain lur'e-type non-linear dynamics,Exploiting the use of information to improve coverage performance of robotic sensor networks,Distributed impulsive consensus for second-order multi-agent systems with input delays,Optimal consensus control of linear multi-agent systems with communication time delay,Leader-following consensus of second-order non-linear multi-agent systems with directed intermittent communication,Brief paper - Distributed containment control of second-order multi-agent systems with inherent non-linear dynamics,A distributed event-triggered scheme for discrete-time multi-agent consensus with communication delays,Fault-tolerant output synchronisation control of multi-vehicle systems,Brief Paper - Distributed input and state estimation for non-linear discrete-time systems with direct feedthrough,Semi-global containment control of multi-agent systems with input saturation,Consensus tracking of linear multi-agent systems under a networked detectability condition with reduced-order protocols,Distributed consensus protocol design for general linear multi-agent systems: a consensus region approach,Finite-time consensus for second-order multi-agent systems with saturated control protocols,Distributed average consensus based on structural weight-balanceability,Cooperative control of multi-missile systems,Multi-agent containment control with input saturation on switching topologies,Finite-time cooperative guidance laws for multiple missiles with acceleration saturation constraints,Stabilisation of directed cycle formations and application to two-wheeled mobile robots,Cooperative adaptive fault-tolerant tracking control for a class of multi-agent systems with actuator failures and mismatched parameter uncertainties,Distributed model predictive control for consensus of sampled-data multi-agent systems with double-integrator dynamics,Leader–following consensus for multi-agent systems subject to actuator saturation with switching topologies and time-varying delays,Distributed adaptive consensus control of heterogeneous multi-agent chaotic systems with unknown time delays,Distributed adaptive fault-tolerant containment control for a class of multi-agent systems with non-identical matching non-linear functions,Distributed adaptive consensus protocols for multiple Lur'e systems over directed graphs,Distributed adaptive fault-tolerant consensus tracking of multi-agent systems against time-varying actuator faults,Decentralised event-triggered consensus of double integrator multi-agent systems with packet losses and communication delays,Stationary average consensus for high-order multi-agent systems,Distributed containment control of Euler–Lagrange systems over directed graphs via distributed continuous controllers
Caffe: Convolutional Architecture for Fast Feature Embedding,"Yangqing Jia, Evan Shelhamer, Jeff Donahue, Sergey Karayev, Jonathan Long, Ross Girshick, Sergio Guadarrama, Trevor Darrell, ",2014,1305
A Random Linear Network Coding Approach to Multicast,"T. Ho, M. Medard, R. Koetter, D. R. Karger, M. Effros, J. Shi, B. Leong, ",2006,1286,Efficient data uploading based on network coding in LTE-Advanced heterogeneous networks,VehiCache: Vehicle Updates via Mobile Phones,Dynamic Load Allocation for Multi-Homing via Coded Packets,Sharing the Pi: Testbed Description and Performance Evaluation of Network Coding on the Raspberry Pi,Analysis of Multi-Source Multi-Hop Cooperative Networks Employing Network Coding,Random Linear Network Coding Is Key to Data Survival in Highly Dynamic Distributed Storage,Random Network Coding Based on Adaptive Sliding Window in Wireless Multicast Networks,Codecast: a network-coding-based ad hoc multicast protocol,Rank-Based Network Coding for Content Distribution in Vehicular Networks,Efficient Network Coding for Wireless Broadcasting,Performance Evaluation of Network Coding in Middle-Sized Networks,An Eavesdrop Vulnerability Analysis of Random Network Coding over Wireless Ad-Hoc Networks,Evaluation of multicasting schemes based on joint multiple description and network coding,Improving unsegmented network coding for opportunistic routing in wireless mesh network,How to shuffle and scatter pieces of a puzzle over a metropolitan area,Practical wireless network coding and decoding methods for multiple unicast transmissions,Efficient data transmission with random linear coding in multi-channel cognitive radio networks,Cache content placement using triangular network coding,Space-time analog network coding for multiple access relay channels,Low-complexity PHY-layer network coding for two-way compute-and-forward relaying,Video dissemination protocols in urban vehicular ad hoc network: A performance evaluation study,Leaner and meaner: Network coding in SIMD enabled commercial devices,Delivery time reduction for order-constrained applications using binary network codes,IP Traceback Based Probabilistic Packet Marking and Randomized Network Coding,Error probabilities of differential frequency hopping receiver with noise-normalization combining sequence detection under partial-band jamming,Outage probability for the random network coded cooperative wireless networks,Lifetime optimization for wireless multihop networks with network coding,Network coding in wireless cooperative networks with multiple antenna relays,Communication protocol with network coding in long-chain wireless sensor network,A study of collisions in wireless network coding system
Fuzzy logic = computing with words,"L. A. Zadeh, ",1996,1278,Bringing fuzzy logic into focus,Hyperbolic optimal control and fuzzy control,Induced ordered weighted averaging operators,Fuzzy relational compression,Veristic variables,Uncertainty representation using fuzzy measures,Tuning certainty factor and local weight of fuzzy production rules by using fuzzy neural network,Granular clustering: a granular signature of data,Fuzzy-controlled Li-ion battery charge system with active state-of-charge controller,Fuzzy logic-a modern perspective,Granular neural networks for numerical-linguistic data fusion and knowledge discovery,From computing with numbers to computing with words. From manipulation of measurements to manipulation of perceptions,On the entropy of fuzzy measures,Affect analysis of text using fuzzy semantic typing,Cognitive Computing: A Brief Survey and Open Research Challenges,Multisensor industrial inspection and grading using ELSA,Adaptive Decision-Making Scheme for Cognitive Radio Networks,Fuzzy Logic-Based Event Notification in Sparse MANETs,Meta-model Design for Internet Multimedia Neurophysiology Interface,Service-centric Inference and Utilization of Confidence on Context,Simulating Human Reasoning in Mine-Like Object Inspection Assignments for a Formation of Unmanned Underwater Vehicles,Towards Situation-Aware Mobile Applications in Mental Health,Energy management optimization of integrated generation systems by fuzzy logic control,A methodology for ranking of MAS reliability measures,PubMed state lines prediction based on interval type-2 fuzzy set,Design of a software quality decision system: a computational intelligence approach,Application of fuzzy logic in CA/LGCA models as a way of dealing with imprecise and vague data,Rough set methods in power system fault classification,The Dynamic Delay Scheduling Algorithm Based on Task Classification,Iris segmentation based on Fuzzy Mathematical Morphology Neural Networks and ontologies
Performance assessment of multiobjective optimizers: an analysis and review,"E. Zitzler, L. Thiele, M. Laumanns, C. M. Fonseca, V. G. da Fonseca, ",2003,1272,Multi-objective design of survivable flexible-grid DWDM networks,High-level synthesis of approximate hardware under joint precision and voltage scaling,A Multi-objective Heuristic for the Optimization of Virtual Network Function Chain Placement,A Multiobjective Evolutionary Algorithm Based on Decision Variable Analyses for Multiobjective Optimization Problems With Large-Scale Variables,Automatic Component-Wise Design of Multiobjective Evolutionary Algorithms,Decomposition-Based Algorithms Using Pareto Adaptive Scalarizing Methods,Stochastic Ranking Algorithm for Many-Objective Optimization Based on Multiple Indicators,Necessary and Sufficient Conditions for Surrogate Functions of Pareto Frontiers and Their Synthesis Using Gaussian Processes,Investigating the Effect of Imbalance Between Convergence and Diversity in Evolutionary Multiobjective Algorithms,Localized Weighted Sum Method for Many-Objective Optimization,A Scalability Study of Many-Objective Optimization Algorithms,Expected Improvement of Penalty-Based Boundary Intersection for Expensive Multiobjective Optimization,Expected Improvement Matrix-Based Infill Criteria for Expensive Multiobjective Optimization,Genetic Training Instance Selection in Multiobjective Evolutionary Fuzzy Systems: A Coevolutionary Approach,A Review of the Application of Multiobjective Evolutionary Fuzzy Systems: Current Status and Further Directions,Fuzzy Multiobjective Modeling and Optimization for One-Shot Multiattribute Exchanges With Indivisible Demand,A Jumping-Genes Paradigm for Optimizing Factory WLAN Network,A Distributed Parallel Cooperative Coevolutionary Multiobjective Evolutionary Algorithm for Large-Scale Optimization,Multiobjective Evolutionary Algorithm Based on Nondominated Sorting and Bidirectional Local Search for Big Data,A Framework for Modeling and Optimizing Maintenance in Systems Considering Epistemic Uncertainty and Degradation Dependence Based on PDMPs,Toward a More Realistic Cost-Effective and Greener Ground Movement Through Active Routing—Part I: Optimal Speed Profile Generation,Multiobjective Neural Network Ensembles Based on Regularized Negative Correlation Learning,An Efficient Way of Assigning Paging Areas by Using Mobility Models,Selecting features for nuclear transients classification by means of genetic algorithms,Evaluation and Optimization of the Robustness of DAG Schedules in Heterogeneous Environments,On the Performance of Multiobjective Evolutionary Algorithms in Automatic Parameter Extraction of Power Diodes,A Memetic Evolutionary Multi-Objective Optimization Method for Environmental Power Unit Commitment,Multi-Objective Approaches to Optimal Testing Resource Allocation in Modular Software Systems,An Architecture-Based Multi-Objective Optimization Approach to Testing Resource Allocation,Multiobjective Optimization Based on Expensive Robotic Experiments under Heteroscedastic Noise
Range-free localization schemes for large scale sensor networks,"Tian He, Chengdu Huang, Brian M. Blum, John A. Stankovic, Tarek Abdelzaher, ",2003,884
Phoneme recognition using time-delay neural networks,"A. Waibel, T. Hanazawa, G. Hinton, K. Shikano, K. J. Lang, ",1989,882,Automatic disease diagnosis using optimised weightless neural networks for low-power wearable devices,Detection of characteristic waves of sleep EEG by neural network analysis,Timing and chunking in processing temporal order,Anticipation-based temporal pattern generation,A new macromodeling approach for nonlinear microwave circuits based on recurrent neural networks,Robustness against SEU of an artificial neural network space application,Modularity and scaling in large phonemic neural networks,A systolic neural network architecture for hidden Markov models,On the problem of local minima in backpropagation,The Meta-Pi network: building distributed knowledge representations for robust multisource pattern recognition,Isolated word recognition by neural network models with cross-correlation coefficients for speech dynamics,Large vocabulary recognition of on-line handwritten cursive words,Links between Markov models and multilayer perceptrons,Neural network-based face detection,Are multilayer perceptrons adequate for pattern recognition and verification?,Multiobject behavior recognition by event driven selective attention method,Detecting faces in images: a survey,Toward the border between neural and Markovian paradigms,Multi-associative neural networks and their applications to learning and retrieving complex spatio-temporal sequences,Identification of a two-link flexible manipulator using adaptive time delay neural networks,Constructing hysteretic memory in neural networks,A recurrent fuzzy-neural model for dynamic system identification,A CCD programmable image processor and its neural network applications,An analog neural network processor with programmable topology,A CCD programmable signal processor,Hardware requirements for neural network pattern classifiers: a case study and implementation,Artificial convolution neural network techniques and applications for lung nodule detection,Engineering applications of the self-organizing map,30 years of adaptive neural networks: perceptron Madaline and backpropagation,The self-organizing map
Five disruptive technology directions for 5G,"Federico Boccardi, Robert W. Heath, Angel Lozano, Thomas L. Marzetta, Petar Popovski, ",2014,880,Massive MIMO: An Introduction,Experimental evaluation of energy efficiency for virtual small-cell networks using smartphone test-bed,Joint optimization method for user association and time/frequency-domain scheduling to maximize system throughput in heterogeneous networks,Joint active device identification and symbol detection using sparse constraints in massive MIMO systems,Precoder design in user-centric virtual cell networks,Modeling and estimation of massive MIMO channel non-reciprocity: Sparsity-aided approach,Study of correlation and power imbalance on the MIMO distributed system,Performance comparison of exploiting different millimetre-wave bands in 5G cellular networks,Characterization of indoor massive MIMO channel at 11 GHz,Dynamic proactive caching in relay networks,Coverage analysis for millimeter wave uplink cellular networks with partial zero-forcing receivers,Optimizing the energy efficiency of short term ultra reliable communications in vehicular networks,A Survey of Non-Orthogonal Multiple Access for 5G,SCMA-Based Uplink and Downlink Resource Reuse for Clustered mMTC,Asymmetric Links Beamforming for mmWave Overlay in LTE-Based Heterogeneous Network,A General Upper Bound to Evaluate Interference-Aware Outage Performance for Multiple Cooperative Multicast Groups,A Low-Complexity Linear Precoding Scheme Based on SOR Method for Massive MIMO Systems,A Novel Antenna Selection Scheme for Spatially Correlated Massive MIMO Uplinks with Imperfect Channel Estimation,Characterisation of Channel Measurements at 70GHz in Indoor Femtocells,Performance Evaluation of SSB Transmission of DFTs-OFDM Using Multi-Level BPSK through Nonlinear HPA,Richardson Method Based Linear Precoding with Low Complexity for Massive MIMO Systems,Simple Clustering Methods for Multi-Hop Cooperative Device-to-Device Communication,Ultra-Wideband Channel Sounder for Measurements at 70 GHz,VADA: Wi-Fi Direct Based Voluntary Advertisement Dissemination Algorithm for Social Commerce Service,A Novel Stochastic Channel Modeling Approach for mmWave Systems with Beamforming,A Prefiltering C-RAN Architecture with Compressed Link Data Rate in Massive MIMO,An Efficient Data Exchange and Detection Scheme for Two-Way Relay Based D2D Communications,Energy-Efficient Hybrid Precoding for Millimeter Wave Systems in MIMO Interference Channels,Frequency Dependence of Measured Massive MIMO Channel Properties,Interference-Aware Decoupled Cell Association in Device-to-Device Based 5G Networks
Securing ad hoc networks,"Lidong Zhou, Z. J. Haas, ",1999,879,Self-Adaptable and Intrusion Tolerant Certificate Authority for Mobile Ad Hoc Networks,Trust Management in Emergency Networks,Key Management in Web of Trust for Mobile Ad Hoc Networks,Certificate Chain Discovery in Web of Trust for Ad Hoc Networks,An Efficient Online/Offline Signcryption Scheme for MANET,Towards Identifying Features of Trust in Mobile Ad Hoc Network,A distributed threshold signature algorithm on canon of probability,Secure Routing with the AODV Protocol,Defending Application DDoS with Constraint Random Request Attacks,Opportunistic node authentication in intermittently connected mobile ad hoc networks,A trust based MANET routing protocol,An Identity-Based Network Access Control Scheme for Single Authority MANETs,Towards a security architecture for vehicular ad hoc networks,WATCHMAN: An Overlay Distributed AAA Architecture for Mobile Ad hoc Networks,Double Split Based Secure Multipath Routing in Adhoc Networks,Prevention of Blackhole Attack in MANET,A principal component analysis and risk assessment framework based on Projection Pursuit in ad hoc networks,Design of fuzzy based intelligent energy efficient routing protocol for WANET,Data security in MANETs by integrating multipath routing and secret sharing,Survey on security issues in MANET: Wormhole detection and prevention,Distributed access control for consumer operated mobile ad-hoc networks,A key-distribution scheme for wireless home automation networks,Performance evaluation of a distributed OCSP protocol over MANETs,Digital Signatures for Centralized DSA Networks,An intrusion detection system against malicious attacks on the communication network of driverless cars,Secured key exchange protocol in wireless mobile ad hoc networks,A hierarchical access control scheme in ad-hoc wireless networks,Notice of Retraction<br/>A new certificateless threshold signature scheme for mobile ad hoc network,Reputation based mechanisms for distributed estimation in sensor networks,Trusted routing in ad-hoc networks using pheromone trails
Transmit power adaptation for multiuser OFDM systems,"Jiho Jang, Kwang Bok Lee, ",2003,875,Leveraging communication performance for OFDMA using novel bit loading and allocation of power,Resource allocation for OFDMA downlink with per-user MCS constraint,Cooperative Strategies and Fairness-Aware Resource Allocation in Selection-Based OFDM Networks,Power and Subcarrier Allocation for Physical-Layer Security in OFDMA Networks,Resource Allocation for Layered Multicast Streaming in Wireless OFDMA Networks,Uplink Channel-Aware Scheduling Algorithm for LTE-Advanced System,Resource Allocation Based on Linear Waterfilling Algorithm in CR Systems,Utility-Based Resource Allocation with Spatial Multiplexing for Real Time Services in Multi-User OFDM Systems,Energy-Efficient Proportional Resource Allocation in Uplink OFDMA Systems,Game Theory Based Radio Resource Allocation for Full-Duplex Systems,Joint Subcarrier and Power Allocation for Downlink Transmission in OFDMA Heterogeneous Networks,Weighted Sum Throughput Maximization in Heterogeneous OFDMA Networks,SOCP Approximation Based Resource Allocation in Shared Spectrum Access Communications,Multiuser subcarrier and bit allocation for MIMO-OFDM systems with perfect and partial channel information,Optimal time slot allocation for multiuser wireless networks,Link-adaptation-enhanced dynamic channel allocation for MIMO-OFDM wireless networks,Resource Scheduling for OFDMA/TDD Based Relay Enhanced Cellular Networks,Delay-Sensitive Cross-Layer Designs for OFDMA Systems with Outdated CSIT,Multiuser Scheduling for MIMO-OFDM Systems with Continuous-Rate Adaptive Modulation,Simple Proportional Fairness Scheduling for OFDMA Frame-Based Wireless Systems,Multi-User Water-Filling in Uplink OFDMA Systems,A Novel Framework for Dynamic Spectrum Management in MultiCell OFDMA Networks Based on Reinforcement Learning,Resource Allocation for Guaranteed Service in OFDMA Based Systems,Resource Allocation in Multiuser OFDMA System: Feasibility and Optimization Study,Multiuser Resource Allocation for OFDM Downlink with Terminal Bandwidth Limitation,Adaptive Resource Allocation in Multicast OFDMA Systems,Subcarrier Allocation in Multiuser OFDM Systems: Complexity and Approximability,A Two-Step Resource Allocation Algorithm in Multicarrier Based Cognitive Radio Systems,Adaptive Chunk-Based Allocation in Multiuser OFDM Systems,Fairness-Aware Resource Allocation for the SISO Downlink over Frequency-Selective Channels
Distortion invariant object recognition in the dynamic link architecture,"M. Lades, J. C. Vorbruggen, J. Buhmann, J. Lange, C. von der Malsburg, R. P. Wurtz, W. Konen, ",1993,874,Periocular biometrics: constraining the elastic graph matching algorithm to biologically plausible distortions,Texture features for browsing and retrieval of image data,Face recognition system using local autocorrelations and multiscale integration,Local grayvalue invariants for image retrieval,Automatic interpretation and coding of face images using flexible models,An algorithm for the learning of weights in discrimination functions using a priori constraints,Object recognition robust under translations deformations and changes in background,Face recognition by elastic bunch graph matching,A volumetric/iconic frequency domain representation for objects with application for pose invariant face recognition,An analytic-to-holistic approach for face recognition based on a single frontal view,Graph matching with a dual-step EM algorithm,How should we represent faces for automatic recognition?,Classifying facial actions,Automatic classification of single facial images,Using support vector machines to enhance the performance of elastic graph matching for frontal face authentication,A system for person-independent hand posture recognition against complex backgrounds,Shape matching and object recognition using shape contexts,Multimodal decision-level fusion for person authentication,An elastic contour matching model for tropical cyclone pattern recognition,Human and machine recognition of faces: a survey,Face recognition: eigenface elastic matching and neural nets,Gradient-based learning applied to document recognition,Frontal face authentication using discriminating grids with morphological feature vectors,Pattern recognition: neural networks in perspective,Neural-network speech processing for toys and consumer electronics,Neural information processing in real-world face-recognition applications,A Lagrangian relaxation network for graph matching,Face recognition: a convolutional neural-network approach,Face recognition/detection by probabilistic decision-based neural network,Evaluation of convolutional neural networks for visual recognition
