Standardization activities in the ITU for a QoE assessment of IPTV,"Akira Takahashi, David Hands, Vincent Barriac, ",2008,97,QoE-Enabled Big Video Streaming for Large-Scale Heterogeneous Clients and Networks in Smart Cities,QoE-Based Analysis of DASH Streaming Parameters Over Mobile Broadcast Networks,Proposed IMS Architectures for evaluation QoE of the IPTV service,Packet-layer model for quality assessment of encrypted video in IPTV services,A method for seamless codec changeover during active video calls,A supervised no-reference QOE assessment model on IPTV services,Estimations and Remedies for Quality of Experience in Multimedia Streaming,Impact of packet loss distribution on the perceived IPTV video quality,From QoS to QoE: A Tutorial on Video Quality Assessment,Measurement of Quality of Experience of Video-on-Demand Services: A Survey,Video quality in next generation mobile networks — Perception of time-varying transmission,Video quality assessment: A review of full-referenced reduced-referenced and no-referenced methods,TS flow analysis and design in IPTV performance testing instruments based on triple-play,No-reference video quality assessment with frame-level hybrid parameters for mobile video services,Evaluating the effectiveness of the use of teaching materials in video format in distance learning environments,IPTV QoS and QoE measurements in wired and wireless networks,Accurate video-quality estimation without video decoding,VQM-based QoS/QoE mapping for streaming video,Integrated management model for terminal devices in pervasive communication networks,Video quality assessment and QoE-driven adjustment scheme in wireless networks,Addressing un-interoperability issues in QoE models: Is a layered modelling effective?,A testbed for QoE-based multimedia streaming optimization in heterogeneous wireless networks,Mobile IPTV QoS/QoE monitoring system based on OMA DM protocol,User-centric Content Distribution Network architecture,Machine Learning Approach for Quality of Experience Aware Networks,IPTV 2.0 from Triple Play to social TV,Parametric packet-layer video quality model for IPTV,Content-Adaptive Packet-Layer Model for Quality Assessment of Networked Video Services,An approach to modeling and control of QoE in next generation networks [Next Generation Telco IT Architectures],Measuring Quality of Experience on a Commercial Mobile TV Platform
Improving NAND Flash Based Disk Caches,"Taeho Kgil, David Roberts, Trevor Mudge, ",2008,97
S-MIP: a seamless handoff architecture for mobile IP,"R. Hsieh, Z. G. Zhou, A. Seneviratne, ",2003,97,A Survey on Handoffs — Lessons for 60 GHz Based Wireless Systems,Movement-Aware Vertical Handoff of WLAN and Mobile WiMAX for Seamless Ubiquitous Access,An enhanced inter-access point protocol for uniform intra and intersubnet handoffs,A Cross-Layer (Layer 2 + 3) Handoff Management Protocol for Next-Generation Wireless Systems,A Novel Predictive Handover Protocol for Mobile IP in Vehicular Networks,Buffer Control to Support a Seamless Stream Handoff in a WLAN that Employs Simulcast Streaming,Performance evaluation of the flow-based fast handover method for Mobile IPv6 network,Performance comparison of mobile IPv6 and fast handovers for mobile IPv6 over wireless LANs,Using Security Context Pre-Transfer to Provide Security Handover Optimization for Vehicular Ad Hoc Networks,A Practical Mechanism for Vertical Handoff in WLAN/3G Integrated Networks,HarMoNy - HIP Mobile Networks,Application-layer mobility support for streaming real-time media,A seamless handoff approach of mobile IP based on dual-link,Evaluation of Mobile IP fast authentication protocol compared to hierarchical mobile IP,An adaptive mobility handoff scheme for Mobile Wimax Networks,Proactive Hand-Off Target Orientation Cache in Fast Handover for Mobile IPv6,A new handoff scheme for macro-mobility scenario,An Inter-domain Routing Protocol for Multi-homed Wireless Mesh Networks,Reducing handover latency in future IP-based wireless networks: proxy mobile IPv6 with simultaneous bindings,Position Aware Vertical Handoff Decision Algorithm in Heterogeneous Wireless Networks,A Smooth Handoff Algorithm with Dynamic Scan Time Interval,PROFITIS: architecture for location-based vertical handovers supporting real-time applications,A seamless handoff for dual-interfaced mobile devices in hybrid wireless access networks,A link layer assisted fast handoff scheme using the alternative path approach,Performance Evaluation of Link Layer Triggers for Fast Handovers in Mobile IPV6,An Enhanced Dynamic and Distributed Domain-Based Handoff Scheme for Mobile IPv6,Regulating user arrivals at a Mobile IP Home Agent,Handoff mechanism in Mobile IP,Seamless handover scheme for real-time multimedia services in PMIPv6,Cross-layer handover for SIP applications based on media-independent pre-authentication with redirect tunneling
Rate-distortion optimized tree-structured compression algorithms for piecewise polynomial images,"R. Shukla, P. L. Dragotti, M. N. Do, M. Vetterli, ",2005,97,Tree Partitioning Compression of Piecewise Polynomial Functions,Performance superiority of hybrid DKT-DCT wavelet compared to DKT DCT individual transforms and their wavelets in image compression,Prediction of pollutant emissions of biomass flames using digital imaging contourlet transform and Radial Basis Function network techniques,Contour adaptive image coding,∈-entropy of piecewise polynomial functions and tree partitioning compression,Quadtree structured restoration algorithms for piecewise polynomial images,Rate-distortion improvement of directional wavelets by megablocking,The SURE Approach to SAR Image Denoising Based on Multiscale Bandelet Contextual Model,Multi-view support vector machines for distributed activity recognition,Speckle noise reduction using Logarithmic Threshold Contourlet,SAR Image Denoising Based on Orthogonal Bandelet with Context-Model and GCV-Threshold,Approximation power of directionlets,Dfferent - distributed and fully flexible image encoders for camera sensor networks,Optimal Image Tilings with Application to Video Compression,Hierarchical and Polynomial Motion Modeling with Quad-Tree Leaf Merging,Motion Modeling with Geometry and Quad-tree Leaf Merging,Distributed Compression of Multi-View Images using a Geometrical Coding Approach,Optimal Pruning Quad-Tree Block-Based Binary Shape Coding,Depth-Image Compression Based on an R-D Optimized Quadtree Decomposition for the Transmission of Multiview Images,Sparse orthonormal transforms for image compression,A near optimal coder for image geometry with adaptive partitioning,Motion compensation based on implicit block segmentation,Joint motion and geometry modeling with quad-tree leaf merging,Image restoration using a sparse quadtree decomposition representation,A dynamic motion vector referencing scheme for video coding,Block merging for quadtree-based video coding,A Pixel-Level Rate Control Algorithm for the Optimal Prediction Residual,ECG compression using multiscale recurrent patterns with period normalization,A Review of Adaptive Image Representations,Shape-adaptivewavelet encoding of depth maps
Cross-Layer Design for QoS Support in Multihop Wireless Networks,"Qian Zhang, Ya-Qin Zhang, ",2008,96,QoE-Enabled Big Video Streaming for Large-Scale Heterogeneous Clients and Networks in Smart Cities,C<sup>2</sup>net: A Cross-Layer Quality of Service (QoS) Architecture for Cognitive Wireless Ad Hoc Networks,A cognitive relay approach for multi-hop wireless ad hoc communication,A Review of and a Proposal for Cross-Layer Design for Efficient Routing and Secure Data Aggregation over WSN,A Dynamic Relay Handover Technology for the Paired Slot Relay of JTIDS under Selective Attacks,A Survey on Mobile Social Networks: Applications Platforms System Architectures and Future Research Directions,Cross-Layer Aided Energy-Efficient Routing Design for Ad Hoc Networks,Cognitive Capacity Harvesting Networks: Architectural Evolution Toward Future Cognitive Radio Networks,Cross-Layer Optimization for Energy-Timeliness Tradeoff in TDMA Based Sensor Networks,Towards a cross layer framework for improving the QoS of delay sensitive heterogeneous WMSNs,A cross layer routing metric for gateway aware routing in wireless mesh network,Scalable video coding based video transmission in MRMC networks: A cross-layer design perspective,Channel assignment and routing in multi-channel multi-interface wireless mesh networks,A cross layer framework for WLANs: Joint radio propagation and MAC protocol,Cross-layer optimisation for quality of service support in wireless sensor networks,Efficient channel assignment and routing in wireless mesh network,Detection of MAC policy in heterogeneous Ad Hoc networks,Cross-layer design for video transmission in wireless multimedia sensor networks,A cross-layer oriented multi-channel MAC protocol design for QoS-centric video streaming over wireless ad hoc networks,QOS Routing Protocol to Detect Maximum Available Bandwidth in WMCs,EleSense: Elevator-assisted wireless sensor data collection for high-rise structure monitoring,Tolerating Packet Losses in Wireless Mesh Networks,Network architecture and QoS issues in the internet of things for a smart city,A Framework for a QoS Based Adaptive Topology Control System for Wireless Ad Hoc Networks with Multibeam Smart Antennas,A multi-agent reinforcement learning based routing protocol for wireless sensor networks,Innovations to improve wireless mesh network performance: A survey,Object-oriented framework for cross-layer communication,Utilizing elevator for wireless sensor data collection in high-rise structure monitoring,Distributed scheduling scheme for video streaming over multi-channel multi-radio multi-hop wireless networks,Multicast based Dual Amplify and Forward relay scheme for 2-hop networks
Time-spread echo method for digital audio watermarking,"Byeong-Seob Ko, R. Nishimura, Y. Suzuki, ",2005,96,Patchwork-based stereo audio watermarking against de-synchronization attack,A New Algorithm for Digital Audio Watermarking Based on DWT,A Novel Pseudonoise Sequence for Time-Spread Echo Based Audio Watermarking,Digital audio blind watermarking algorithm based on audio characteristic and scrambling encryption,Effective watermarking based on energy balancing in audio signals,Log-scaling watermark detection in digital audio watermarking,Robust echo hiding scheme against pitch-scaling attacks,A topography structure used in audio steganography,Robustness enhancement of quantization based audio watermarking method using adaptive safe-band,A WAV Format Audio Digital Watermarking Algorithm Based on HAS,A Robust Watermarking Algorithm Based on Multi Resolution Decomposition of Audio Signal,Analysis of a patchwork-based audio watermarking scheme,Robustness and embedding capacity enhancement in time-spread echo-based audio watermarking,An algorithm of echo steganalysis based on Bayes classifier,Sound Source Segregation Assisted by Audio Watermarking,Analysis-by-Synthesis Echo Hiding Scheme using Frequency Hopping,A Scheme of Robust Audio Watermarking Based on FRFT for Copyright Protection,Embedding data in audio signals using HSA-EMD algorithm,AUDIOWATERMARKING BASED ON ASSOCIATION ANALYSIS,A Method of Continuous Data Flow Embedded within Speech Signals,A novel bipolar time-spread echo hiding based watermarking method for stereo audio signals,Audio watermarking by spreading echo in time domain using pseudo noise gray sequence,Utilizing different types of sequences for audio watermarking based on time spread echo method,Audio Watermark Enhanced by LDPC Coding for Air Transmission,Audio Watermarking Based on Reverberation,Digital Audio Watermarking Algorithm Based on Quantizing Coefficients,A Robust Audio Fingerprinting Scheme for MP3 Copyright,Information Hiding into Interaural Phase Differences for Stereo Audio Signals,Robust Audio Data Hiding Method Based on Phase of Modulated Complex Lapped Transform,Robust Audio Information Hiding Based on Stereo Phase Difference in Time-Frequency Domain
Oversampling A-to-D and D-to-A converters with multistage noise shaping modulators,"K. Uchimura, T. Hayashi, T. Kimura, A. Iwata, ",1988,96,Design of stable high order 1-bit sigma-delta modulators,Multiplier-free decimator algorithms for superresolution oversampled converters,An oversampled sigma-delta A/D converter circuit using two-stage fourth order modulator,On the stability of interpolative sigma delta modulators,A second-order oversampled sigma-delta modulator for bandpass signals,Design issues in GaAs oversampled A/D converters,Multibit bandpass delta-sigma modulators using N-path structures,A method for the evaluation of multirate sigma-delta systems,A two stage structure for high order multi-bit /spl Sigma/-/spl Delta/ ADC with multiplier-less digital correction logic,Delta-sigma converters using frequency-modulated intermediate values,Adaptive calibration of multiple quantization oversampled A/D converters,An architecture of Delta-Sigma A-to-D converters using a voltage controlled oscillator as a multi-bit quantizer,Gain mismatch effect of cascaded sigma delta modulator reduced by serial technique,Design of multiplier free FIR filters using a LADF sigma-delta (/spl Sigma/-/spl Delta/) modulator,Bandpass sigma-delta (/spl Sigma/-/spl Delta/) architecture based efficient FM demodulator for software radio,On the Design of Error Cancellation Network for MASH ΣΔ-Frequency discriminators,Implementation of Sigma Delta Modulator for Fractional-N frequency Synthesis,High-order single-stage single-bit oversampling A/D converter stabilized with local feedback loops,A survey of oversampled /spl Sigma/-/spl Delta/ A/D and D/A converters for digital audio applications,Random number generation without multiplication,Sigma-delta ADC and DAC for digital wireless communication,FPGA implementation of Kalman low-pass filter for applications in sigma-delta (/spl Sigma/-/spl Delta/) demodulation,Rigorous analysis of delta-sigma modulators for fractional-N PLL frequency synthesis,A New Multistage Noise-Shaping Architecture,A Low-Jitter Spread Spectrum Clock Generator Using FDMP,Shallow Trench Isolation Edge Effect on Random Telegraph Signal Noise and Implications for Flash Memory,A Professional DAT System,Multiloop sigma-delta quantization,Multistage sigma-delta modulation,Sigma-delta modulation with i.i.d. Gaussian inputs
Auditory models and human performance in tasks related to speech coding and speech recognition,"O. Ghitza, ",1994,96,Recognition of noisy speech using dynamic spectral subband centroids,On the perceptual distance between speech segments,Featureless classification for active sonar systems,Speaker Independent Recognition on OLLO French Corpus by Using Different Features,Estimation of Interaural Time Differences Based on Zero-Crossings in Noisy Multisource Environments,Objective Assessment of Speech and Audio Quality&amp;#8212;Technology and Applications,Encoding Bandpass Signals Using Zero/Level Crossings: A Model-Based Approach,On the Effects of Filterbank Design and Energy Computation on Robust Speech Recognition,Auditory Model-Based Design and Optimization of Feature Vectors for Automatic Speech Recognition,A Bottom-Up Modular Search Approach to Large Vocabulary Continuous Speech Recognition,Design of a subspace tracking based speech enhancement system,Dynamical spectrograms that can be perceived as visual gestures,Monaural speech segregation based on pitch tracking and amplitude modulation,Robust auditory-based speech processing using the average localized synchrony detection,Matching pursuits sinusoidal speech coding,Suppressing acoustic echo in a spectral envelope space,Robust speech recognition in noisy environments based on subband spectral centroid histograms,Auditory motivated level-crossing approach to instantaneous frequency estimation,Design and Implementation of Subspace-Based Speech Enhancement Under In-Car Noisy Environments,Representation of adaptive tinnitus suppression mechanism in an adaptive cochlear model,Active impulsive echo discrimination in shallow water by mapping target physics-derived features to classifiers,Auditory analysis of spectro-temporal information in acoustic signals,Robust speech recognition based on joint model and feature space optimization of hidden Markov models,Speech analysis and recognition using interval statistics generated from a composite auditory model,Auditory processing of speech signals for robust speech recognition in real-world noisy environments,Perceptual speech processing and phonetic feature mapping for robust vowel recognition,The Effect of Narrow-Band Transmission on Recognition of Paralinguistic Information From Human Vocalizations,Minimum/maximum phase decomposition of signals inspired by the auditory periphery,A noise-robust speech recognition system based on ZCPA features and support vector machine,The perceptual wavelet feature for noise robust Vietnamese speech recognition
Supervised and Unsupervised Speech Enhancement Using Nonnegative Matrix Factorization,"Nasser Mohammadiha, Paris Smaragdis, Arne Leijon, ",2013,96,Unsupervised noise removal technique based on constrained NMF,Speech Enhancement Based on NMF Under Electric Vehicle Noise Condition,Improving denoising auto-encoder based speech enhancement with the speech parameter generation algorithm,Incremental approach to NMF basis estimation for audio source separation,Audio-visual speech enhancement using deep neural networks,An acoustic monitoring system and its field trials,Adversarial training for data-driven speech enhancement without parallel corpus,Cracking the cocktail party problem by multi-beam deep attractor network,Sparse representation of phonetic features for voice conversion with and without parallel data,Applications of deep learning in supervised speech separation,Research on speech enhancement based on nonnegative matrix factorization and improved genetic algorithm,Transient noise reduction using nonnegative matrix factorization,Multiple-target deep learning for LSTM-RNN based speech enhancement,Speech enhancement using improved MAP estimation and Wiener filter,Transductive nonnegative matrix factorization for semi-supervised high-performance speech separation,Coupled dictionary training for exemplar-based speech enhancement,Multi-channel linear prediction-based speech dereverberation with low-rank power spectrogram approximation,Source separation with scattering Non-Negative Matrix Factorization,Combining sparse NMF with deep neural network: A new classification-based approach for speech enhancement,On application of non-negative matrix factorization for ad hoc microphone array calibration from incomplete noisy distances,Joint acoustic and spectral modeling for speech dereverberation using non-negative representations,Basis compensation in non-negative matrix factorization model for speech enhancement,An EM algorithm for joint source separation and diarisation of multichannel convolutive speech mixtures,Deep mixture density network for statistical model-based feature enhancement,A statistical approach to semi-supervised speech enhancement with low-order non-negative matrix factorization,Single-channel enhancement of convolutive noisy speech based on a discriminative NMF algorithm,A locally linear embbeding based postfiltering approach for speech enhancement,Speech enhancement using non negative matrix factorization and enhanced NMF,Separation of singing voice from background musical noise using modified NMF and Filtering,A perceptually motivated approach via sparse and low-rank model for speech enhancement
Towards second generation watermarking schemes,"M. Kutter, S. K. Bhattacharjee, T. Ebrahimi, ",1999,96,Image authentication techniques for surveillance applications,A Feature-based Image Normalization Technique for Handling Geometric Distortions,Security Enhancement for Watermarking Technique Using Content based Image Segmentation,A novel technique for geometrically robust blind image watermarking extraction,On the limits of second generation watermarks,An improved algorithm for image registration using robust feature extraction,Capacity and quality improvement in blind second generation watermarking,Robust Image Watermarking Using Feature Points and Image Normalization,DWT-Based Feature Locating Digital Watermark Technique,A method on digital watermarking image against geometric distortion,Watermark Synchronization: Perspectives and a New Paradigm,Towards Quantization Index Modulation Strategies on Content-Based Watermarking Schemes,Digital Watermarking Algorithm Based on Template and Local Feature,Watermarking Based on Feature Points Detected in MPEG-2 Video,Color image watermarking with adaptive strength of insertion,Image content-based geometric transformation resistant watermarking approach,Copyright protection through feature-based watermarking using scale-invariant keypoints,A watermarking scheme using image object recognition,Robust Zero-Watermarking Algorithm Based on Invariant Centroid,Circular Spatial improved watermark embedding using a new Global SIFT synchronization scheme,On the digital watermarking in JPEG 2000,A watermarking technique for geometric manipulation attacks,Robust Watermarking System Using Security Enhancement on Content Based Image Segmentation,Feature-Based Image Watermarking Resisting Geometric Attacks,An Angle QIM Watermarking Algorithm Based on Watson Perceptual Model,A new video-object watermarking scheme robust to object manipulation,Geometric robust watermarking through watermark pattern shaping,Rotation and cropping resilient data hiding with Zernike moments,Towards a Robust Feature-Based Watermarking Scheme,An Industrial Watermarking Process for Plastic Card Supports
A new frequency detector for orthogonal multicarrier transmission techniques,"F. Daffara, O. Adami, ",1995,96,Adaptive multicarrier modulation: a convenient framework for time-frequency processing in wireless communications,ML estimation of time and frequency offset in OFDM systems,A difference method of the gravity center with double pilots for the MC-CDMA system,Improvement of the Decision-Directed Frequency Tracking Algorithm for OFDM Systems,A New ICI Self-Cancellation Method with Double Bandwidth Efficiency in OFDM Systems,Implementation of orthogonal frequency division multiplexing for frequency selective fading channels,A fast burst synchronization for OFDM based wireless asynchronous transfer mode systems,Cell search scheme embedded with carrier frequency synchronization in broadband OFDM-CDM systems,Overview on synchronization in OFDM systems,A new approach for symbol frame synchronization and carrier frequency estimation in OFDM communications,Blind estimation of symbol timing and carrier frequency offset in pulse shaping OFDM systems,Joint 2D-pilot-symbol-assisted-modulation and decision-directed frequency synchronization schemes for coherent OFDM,Frequency offset estimation for multi-static radar system,Effect of carrier phase noise and frequency offset on the performance of multicarrier CDMA systems,Description of a frequency and symbol synchronisation system for OFDM signals and simulation results in a multipath radio channel,A synchronization scheme for multi-carrier CDMA systems,The adaptive algorithm of symbol timing and carrier phase estimation in OFDM systems,Blind and efficient sub-space based carrier offset estimator for multi-antenna OFDM communications in correlated noise,OFDM channel estimation in the presence of frequency offset and phase noise,Frequency offset estimation by differentially coherent frequency error characterization for OFDM wireless communications,Frequency offset acquisition based on subcarrier differential detection for OFDM communications on doubly-selective fading channels,Improved maximum likelihood frequency estimation based on likelihood metric design,Frequency Offset Estimation Technique Based on Error Characterization for OFDM Communications on Time-Varying Multipath Fading Channels,Performance Evaluation Of The Frequency Detectors For Orthogonal Frequency Division Multiplexing,A New Fast Symbol Timing Recovery Algorithm For Ofdm Systems,Quadrature index modulated OFDM for vehicular communications,Frequency Controlling and Synchronization in OFDM Communication System,Improved GIB synchronization method for OFDM systems,Low-complex frame synchronization in OFDM systems,Time and frequency offset estimation in OFDM systems employing pulse shaping
Events Detection for an Audio-Based Surveillance System,"C. Clavel, T. Ehrette, G. Richard, ",2005,95,An active multimodal sensing platform for remote voice detection,Adaptive semi-supervised tree SVM for sound event recognition in home environments,Sparse coding for sound event classification,Multi frame size feature extraction for acoustic event detection,Acoustic scene change detection by spectro-temporal filtering on spectrogram using chirps,Scream and gunshot detection and localization for audio-surveillance systems,Acoustic Based Surveillance System for Intrusion Detection,Selective Background Adaptation Based Abnormal Acoustic Event Recognition for Audio Surveillance,An Ensemble of Rejecting Classifiers for Anomaly Detection of Audio Events,Audio surveillance using a bag of aural words classifier,Cascade classifiers trained on gammatonegrams for reliably detecting audio events,Time-frequency analysis for audio event detection in real scenarios,Water flow detection from a wearable device with a new feature the spectral cover,Lower SNR sound event recognition using noisy training sample,Robust sound event recognition under TV playing conditions,Individual variation of morphological and acoustic effects of the nasal tract,Sound event detection in urban soundscape using two-level classification,Comparison of feature selection algorithms for acoustic event detection system,Automatic threat classification using multiclass SVM from audio signals,Improving event detection for audio surveillance using Gabor filterbank features,Distributed acoustic slam,TUT database for acoustic scene classification and sound event detection,Special Sound Detection for emergency phones,Neural network classification for detecting abnormal events in a public transport vehicle,A System for Detecting Unusual Sounds from Sound Environment Observed by Microphone Arrays,Sound event detection in real life audio using perceptual linear predictive feature with neural network,Audio Based Event Detection for Multimedia Surveillance,Detection and Analysis of Abnormal Situations Through Fear-Type Acoustic Manifestations,Feature analysis and selection for acoustic event detection,On acoustic surveillance of hazardous situations
Real-time voice over packet-switched networks,"T. J. Kostas, M. S. Borella, I. Sidhu, G. M. Schuster, J. Grabiec, J. Mahler, ",1998,95,Communications reliability: a historical perspective,Voice service interworking for PSTN and IP networks,Performance evaluation of the architecture for end-to-end quality-of-service provisioning,Internet telephony: services technical challenges and products,Packet telephony support for the IEEE 802.11 wireless LAN,Dynamic resource management considering the real behavior of aggregate traffic,Recognizing voice over IP: a robust front-end for speech recognition on the world wide web,Delay analysis for CBR traffic under static-priority scheduling,Stream authentication scheme for the use over the IP telephony,Voice over quantum IP,Simulation of lead-time scheduling in PMP FWA networks,Distributed subframe interleaving: A new solution for packet loss resilient speech coding,A comparison of packet loss concealment and control for voice transmission over IP network services,Adaptive QoS control by toggling voice traffic between circuit and packet cellular networks,Estimating packet loss-rate by using delay information and combined with change-of-measure framework,Fast and secure universal roaming service for mobile Internet,Enhancing QoS Support in IEEE 802.11e HCCA,Demonstrating Voice over an Autonomic Network,Study on the application of an AMR speech codec to VoIP,IP telephony vs. ATM: what is there to discuss?,A framework for the analysis of adaptive voice over IP,A passive method for monitoring voice-over-IP call quality with ITU-T objective speech quality measurement methods,On the influence of best-effort network conditions on the perceived speech quality of VoIP connections,Applying objective perceptual quality assessment methods in network performance modeling,Jitter Buffer Analysis,Scalable QoS guaranteed communication services for real-time applications,Endpoint admission control: network based approach,Characteristics of QoS parameters for VoIP in the short-haul Internet,Spatially disjoint source channel coding: taking advantage of the current dial-up architecture for video over the Internet,Dynamic forward error correction algorithm over IP network services for ITU-T G.722.2 codec
Survey on Contemporary Remote Surveillance Systems for Public Safety,"Tomi D. R&auml;ty, ",2010,95,To Smart City: Public Safety Network Design for Emergency,A system for change detection and human recognition in voxel space using the Microsoft Kinect sensor,Abnormal events detection using unsupervised One-Class SVM - Application to audio surveillance and evaluation -,On building decentralized wide-area surveillance networks based on ONVIF,Extended Kalman filter based localization for a mobile robot team,Characterization of an optical collision avoidance sensor,PFBIK-tracking: Particle filter with bio-inspired keypoints tracking,Anomaly detection techniques in surveillance videos,A Real Time Surveillance System Using Wired and Wireless Sensor Networks by Multi-algorithmic Approach,Resilient and adaptive public-key infrastructure for distributed city-wide surveillance systems,Wireless Video Sensor Network Platform and Its Application for Public Safety,Cloud based Video Storage System with privacy protection,Face liveness detection using variable focusing,Metaheuristic approach for maximizing the lifetime of Heterogeneous wireless sensor networks,Design and implementation of a Wireless Sensor Network to detect forest fires,Noise Pollution Measurement System using Wireless Sensor Network and BAN sensors,A surveillance system based on social networking and localization,Correntropy-Based Adaptive Learning to Support Video Surveillance Systems,Human-Like Context Modelling for Robot Surveillance,Pedestrianly event detection using grid-based features,Modeling a prototype optical collision avoidance sensor for unmanned aerial vehicles,A Large Scale Video Surveillance System with Heterogeneous Information Fusion and Visualization for Wide Area Monitoring,Secure communication platform for distributed city-wide surveillance systems,Low complexity contrast enhancement algorithm for nighttime visual surveillance,Accurate Detection of Moving Objects in Traffic Video Streams over Limited Bandwidth Networks,Design of video surveillance in wireless router,Improved moving object detection algorithm based on adaptive background subtraction,IoT Localization for Bistatic Passive UHF RFID Systems With 3-D Radiation Pattern,Camera Control in Multi-Camera Systems for Video Quality Enhancement,Energy Conservation in Progressive Decentralized Single-Hop Wireless Sensor Networks for Pervasive Computing Environment
Automatic labeling of prosodic patterns,"C. W. Wightman, M. Ostendorf, ",1994,95,Input features' impact on fuzzy decision processes,From HMM's to segment models: a unified view of stochastic modeling for speech recognition,An RNN-based prosodic information synthesizer for Mandarin text-to-speech,A dynamical system model for generating fundamental frequency for speech synthesis,VERBMOBIL: the use of prosody in the linguistic components of a speech understanding system,Automatic Prosody Boundary Labeling of Mandarin Using Both Text and Acoustic Information,A Maximum Entropy Based Hierarchical Model for Automatic Prosodic Boundary Labeling in Mandarin,An Algorithm for Accurate Breath Detection in Speech and Song Signals,Automatic pitch accent contour transcription for Indian languages,Mandarin stress detection using syllable-based acoustic and syntactic features,Automatic prosodic modeling for speaker and task adaptation in text-to-speech,Prosodic processing and its use in VERBMOBIL,A novel syllable duration modeling approach for Mandarin speech,An RNN-based algorithm to detect prosodic phrase for Chinese TTS,Analysis of syllable duration models for Mandarin speech,Automatic prosody labeling using both text and acoustic information,An automatic prosody labeling system using ANN-based syntactic-prosodic model and GMM-based acoustic-prosodic model,An automatic prosody recognizer using a coupled multi-stream acoustic model and a syntactic-prosodic language model,Automatic syllable stress detection using prosodic features for pronunciation evaluation of language learners,A Hierarchical Approach to Automatic Stress Detection in English Sentences,Agreement Learning for Automatic Accent Annotation,Fine-grained pitch accent and boundary tone labeling with parametric F0 features,Acoustic-based pitch-accent detection in speech: Dependence on word identity and insensitivity to variations inword usage,Unsupervised prosodic phrase boundary labeling of Mandarin speech synthesis database using context-dependent HMM,Automatic prosodic labeling and broad class Phonetic Engine for Malayalam,WWW and telecommunication collaboration service for Mandarin automatic personal phone book inquire dialogue system,Pitch modeling for Chinese Speech mixed with English word spelling,A logistic regression model for detecting prominences,Using stress to disambiguate spoken Thai sentences containing syntactic ambiguity,Pitch pattern clustering of user utterances in human-machine dialogue
Speaker verification using sequence discriminant support vector machines,"V. Wan, S. Renals, ",2005,95,Channel compensation technology in differential GSV-SVM speaker verification system,Speaker verification with combined threshold identification front-end and UBM,Speaker Verification Using LR-based Composite Sequence Kernel for Improving the Characterization of the Alternative Hypothesis,Fisher Kernels on Visual Vocabularies for Image Categorization,PRISM: A statistical modeling framework for text-independent speaker verification,Support Vector Machine Re-scoring of Hidden Markov Models,Dynamic time warping based neonatal seizure detection system,Log-Likelihood Kernels Based on Adapted GMMs for Speaker Verification,SVM speaker verification based on NAP sequence kernels,Comparison of Sequence Discriminant Support Vector Machines for Acoustic Event Classification,Parameterization of Prosodic Feature Distributions for SVM Modeling in Speaker Recognition,Finding Maximum Margin Segments in Speech,Multiple kernel learning for speaker verification,A comparison between sequence kernels for SVM speaker verification,Automatic pronunciation error detection based on linguistic knowledge and pronunciation space,Improved tree model for arabic speech recognition,Support Vector Machine for Suppressing Error Method,Exploring Discriminative Learning for Text-Independent Speaker Recognition,Acoustic segment modeling for speaker recognition,Kernel-Based Audio Classification,SVM-UBM Based Automatic Language Identification Using a Vowel-guided Segmentation,Nonlinear Nuisance Attribute Projection in Combined Kernels for SVM-Based Speaker Verification,Comparison of Algorithms for Speaker Identification under Adverse Far-Field Recording Conditions with Extremely Short Utterances,Automatic Language Identification using Support Vector Machines,Principal component based classification for text-independent speaker identification,Significance of utterance partitioning in GMM-SVM based speaker verification in varying background environment,Speech coding influence on features dedicated to speaker identification,Comparison of vector normalization methods in multi-level speaker verification,Scoring methods for normalized kernels for multi-level speaker verification,Identifying the potential for failure of businesses in the technology pharmaceutical and banking sectors using kernel-based machine learning methods
