Matching pursuits with time-frequency dictionaries,"S. G. Mallat, Zhifeng Zhang, ",1993,4109
Near Shannon limit error-correcting coding and decoding: Turbo-codes. 1,"C. Berrou, A. Glavieux, P. Thitimajshima, ",1993,4041,Transmission of all-digital advanced television: state of the art and future directions,OFDM-based turbo-coded hierarchical and non-hierarchical terrestrial mobile digital video broadcasting,Satellite based turbo-coded blind-equalized 4-QAM and 16-QAM digital video broadcasting,Parallel concatenated convolutional coding for an LMDS system with multimedia services,Defining performance limits for turbo-code assisted synchronization in DVB-S systems,Ordered binary decision diagrams and minimal trellises,Optimum soft-output detection for channels with intersymbol interference,A rate-splitting approach to the Gaussian multiple-access channel,Unveiling turbo codes: some results on parallel concatenated coding schemes,Iterative decoding of binary block and convolutional codes,A distance spectrum interpretation of turbo codes,Minimal and canonical rational generator matrices for convolutional codes,On Diamond codes,On the spectrum of distances of a multilevel code decoded by a multistage decoder,Some structural properties of convolutional codes over rings,Serial concatenation of interleaved codes: performance analysis design and iterative decoding,MAP decoding of convolutional codes using reciprocal dual codes,Modulation and coding for linear Gaussian channels,Applications of error-control coding,The art of signaling: fifty years of coding theory,A comparison of known codes random codes and the best codes,Cross-entropy and iterative decoding,A simple one-sweep algorithm for optimal APP symbol decoding of linear block codes,Good error-correcting codes based on very sparse matrices,Multilevel codes: theoretical concepts and practical design rules,Design of interleavers for turbo codes: iterative interleaver growth algorithms of polynomial complexity,Which codes have cycle-free Tanner graphs?,The Golay convolutional code-some application aspects,Symbol-by-symbol APP decoding of the Golay code and iterative decoding of concatenated Golay codes,The geometry of turbo-decoding dynamics
Robust Face Recognition via Sparse Representation,"John Wright, Allen Y. Yang, Arvind Ganesh, S. Shankar Sastry, Yi Ma, ",2009,4025
Consensus and Cooperation in Networked Multi-Agent Systems,"Reza Olfati-Saber, J. Alex Fax, Richard M. Murray, ",2007,4003,Information weighted consensus-based distributed particle filter for large-scale sparse wireless sensor networks,Consensus of multi-agent systems with general linear dynamics via dynamic output feedback control,Brief paper - Consensus of fractional-order heterogeneous multi-agent systems,Distributed stochastic consensus of multi-agent systems with noisy and delayed measurements,Brief paper: distributed adaptive consensus tracking of a class of networked non-linear systems with parametric uncertainties,Distributed model reference adaptive control for cooperative tracking of uncertain dynamical multi-agent systems,Multi-agent iterative learning control with communication topologies dynamically changing in two directions,Brief paper: a decoupled controller design approach for formation control of autonomous underwater vehicles with time delays,Distributed impulsive consensus for second-order multi-agent systems with input delays,Global consensus of single-integrator agents subject to saturation constraints,Optimal consensus control of linear multi-agent systems with communication time delay,Leader-following consensus of second-order non-linear multi-agent systems with directed intermittent communication,Brief paper - r-consensus control for discrete-time high-order multi-agent systems,Brief paper - Distributed containment control of second-order multi-agent systems with inherent non-linear dynamics,Robust adaptive attitude synchronisation of rigid body networks on SO(3),Fault-tolerant output synchronisation control of multi-vehicle systems,Asynchronous consensus-based time synchronisation in wireless sensor networks using unreliable communication links,Leader-following coordination problem with an uncertain leader in a multi-agent system,Robust synchronisation of networked Lagrangian systems and its applications to multi-robot teleoperation,Brief Paper - Distributed input and state estimation for non-linear discrete-time systems with direct feedthrough,Synchronised tracking control for multiple strict-feedback non-linear systems under switching network,Consensus tracking of linear multi-agent systems under a networked detectability condition with reduced-order protocols,Consensus of nonlinear multi-agent systems with adaptive protocols,Necessary and sufficient conditions for distributed containment control of multi-agent systems without velocity measurement,Distributed consensus protocol design for general linear multi-agent systems: a consensus region approach,Distributed adaptive image-based consensus of networked robotic manipulators without visual velocity measurements,Distributed average consensus based on structural weight-balanceability,Trust-based self-organising network control,Sliding mode leader-following consensus controllers for second-order non-linear multi-agent systems,Decentralised dynamic games for large population stochastic multi-agent systems
Gradient-based learning applied to document recognition,"Y. Lecun, L. Bottou, Y. Bengio, P. Haffner, ",1998,3875,Alpha-numeric hand gesture recognition based on fusion of spatial feature modelling and temporal feature modelling,Fisher kernels match deep models,SparseConnect: regularising CNNs on fully connected layers,In-DRAM bitwise processing circuit for low-power and fast computation,Automatic ear detection and feature extraction using Geometric Morphometrics and convolutional neural networks,Deeply vulnerable: a study of the robustness of face recognition to presentation attacks,Genetic algorithm-optimised structure of convolutional neural network for face recognition applications,Driving posture recognition by convolutional neural networks,A comparison of deep multilayer networks and Markov random field matching models for face recognition in the wild,Video anomaly detection using deep incremental slow feature analysis network,Continuous action segmentation and recognition using hybrid convolutional neural network-hidden Markov model model,Deep convolutional neural networks for automatic segmentation of left ventricle cavity from cardiac magnetic resonance images,Retrieval of striated toolmarks using convolutional neural networks,Extensive exploration of comprehensive vehicle attributes using D-CNN with weighted multi-attribute strategy,Chinese vehicle license plate recognition using kernel-based extreme learning machine with deep convolutional features,Traffic light control using deep policy-gradient and value-function-based reinforcement learning,Driver drowsiness detection using facial dynamic fusion information and a DBN,Shape matching and object recognition using shape contexts,Discriminative Filters for Depth from Defocus,Innovating adaptive and neural systems instruction with interactive electronic books,Design and implementation of a biologically realistic olfactory cortex in analog VLSI,Clustering and classification in structured data domains using Fuzzy Lattice Neurocomputing (FLN),Processing directed acyclic graphs with recursive neural networks,Big Data Deep Learning: Challenges and Perspectives,Coupled Auto-Associative Neural Networks for Heterogeneous Face Recognition,StochasticNet: Forming Deep Neural Networks via Stochastic Connectivity,AG-MIC: Azure-Based Generalized Flow for Medical Image Classification,Improving the Robustness of Neural Networks Using K-Support Norm Based Adversarial Training,Multilinear Principal Component Analysis Network for Tensor Object Classification,Enhanced Efficiency 3D Convolution Based on Optimal FPGA Accelerator
Optimal decoding of linear codes for minimizing symbol error rate (Corresp.),"L. Bahl, J. Cocke, F. Jelinek, J. Raviv, ",1974,3817,On the error statistics of turbo decoding for hybrid concatenated codes design,Approaching the Shannon Limit in Digital Broadcasting,Suppression of Fiber Nonlinearities and PMD in Coded-Modulation Schemes With Coherent Detection by Using Turbo Equalization,Optical Code Division Multiple Access Network Transmission With M-ary Chip Symbols,Binary-input non-line-of-sight solar-blind UV channels: Modeling capacity and coding,Joint channel estimation interference mitigation and decoding for WDM coherent optical communications,Iterative joint detection decoding and channel estimation for dual antenna arrays in frequency selective fading,Convergence properties of iterative turbo decoding based on the number of searched states,Multiuser detection/decoding in asynchronous multitone multiple access systems,Deterministic and Monte Carlo approaches for joint iterative data detection and channel estimation,On EXIT-chart analysis of coherent and noncoherent space-time codes,MIMO spatial turbo coding with iterative equalization,UMICore — A mobile radio physical layer demonstrator,Error-prone relay networks with soft- and hard-decision re-encoding,Analysis of power optimization in a 2-hop multiple relay network,OFDM-IDM Space-Time Coding in two-hop relay-systems with error-prone relays,Time varying convolutional codes for punctured turbocodes,Improving turbocode performance by cross-entropy,Message passing methods for factor graph based MIMO detection,Iterative spatial demapping for two correlated sources over fading multiple access channel,Distributed joint source-channel coding for relay systems exploiting spatial and temporal correlations,An Efficient Adaptive Decoding for Block Turbo Codes,A Reduced-Complexity Parallel Interference Cancellation/Decoding for Convolutionally Coded CDMA Systems,Design of BICM-ID Systems with Suboptimal Log-MAP Decoding Algorithm,Space-Time Block Codes Assisted by Fast Turbo Codes,Max-Log-MAP and Log-MAP Decoding Algorithms for UST Symbol Based Turbo Code,An Adaptive Turbo Decoding Algorithm,Hybrid ARQ Scheme Based on TCM and Concatenated Codes,Modified Decoding Algorithm in CDMA System Under Fading Channel,A Novel Wireless Image Transmission Method Based Wavelet Decomposition Algorithm Over FH-OFDM System
Overview of the H.264/AVC video coding standard,"T. Wiegand, G. J. Sullivan, G. Bjontegaard, A. Luthra, ",2003,3803,Quantitative Evaluation of Human Visual Perception for Multiple Screens and Multiple Codecs,High Dynamic Range Video Production Delivery and Rendering,Video Compression and Its Role in the History of Television,Quantitative Evaluation of Human Visual Perception for Multiple Screens and Multiple CODECs,Analyzing and Optimizing Video Quality in the New H.265 (HEVC) Standard,A stochastic optimization approach for dynamic adaptive scalable video streaming over NDN,Exploiting computation skip to reduce energy consumption by approximate computing an HEVC encoder case study,Subjective and objective quality assessment of MPEG-2 H.264 and H.265 videos,Improvement of HEVC inter-coding mode using multiple transforms,Reducing computational complexity in HEVC decoder for mobile energy saving,Efficient parallel architecture for a real-time UHD scalable HEVC encoder,Heuristics for tile parallelism in HEVC,QoE based comparison of H.264/AVC and WebM/VP8 in an error-prone wireless network,Visual information exploited hybrid digital-analog scheme for wireless video multicast,DeepCoder: A deep neural network based video compression,Multi-class ranking based most probable prediction unit selection for HEVC encoding,Neural network-based arithmetic coding of intra prediction modes in HEVC,A new method for significance map decoding acceleration in the CABAD regular hardware engine,A Fast Linear-Prediction Fractional-Pixel Search Algorithm,Scalable high efficiency video coding (SHEVC) performance evaluation,SCAST: Wireless Video Multicast Scheme Based on Segmentation and Softcast,Adaptive GoP dividing video coding for wireless broadcast based on power allocation optimization,A prioritization scheme for H.264/AVC video congestion resilience with IEEE 802.11e,Adaptive rateless coding for data-partitioned video streaming over a broadband wireless channel,Decoding Path Selection for Multi-View Video System,An indoor wireless visual sensor network basing on light-fidelity communication,A hybrid no-reference video quality assessment based on region of interest,Hybrid digital-analog video multicast scheme based on H.264/AVC and SoftCast,Energy consumption evaluation of H.264 and HEVC video encoders in high-resolution live streaming,Distributed compressive video coding using Enhanced side information for WSN
An Introduction To Compressive Sampling,"Emmanuel J. Candes, Michael B. Wakin, ",2008,3789,Blind sparsity weak subspace pursuit for compressed sensing,8-channel 20 kHz to 200 MHz Nyquist and compressive sampler in 0.5 μm CMOS,Design of configurable chipping sequence generator for high-speed parallel samplers,Divide and conquer method for sparsity estimation within compressed sensing framework,Compressive sensing of images based on discrete periodic radon transform,Fast sparse reconstruction algorithm for multidimensional signals,Calibration for accuracy improvement of serial manipulators based on compressed sensing,Exploiting random convolution and random subsampling for image encryption and compression,Data compression of excitatory postsynaptic potentials,Multi-source and multi-relay cooperative system based on compressed sensing,Super-resolution radar imaging using fast continuous compressed sensing,Suboptimal aperture radar imaging by combination of pseudo-polar formatting and gridless sparse recovery method,Spatial coding in sonar imaging,Non-parametric confidence estimates for the Gini–Simpson measure of sparsity,Block sparsity-based joint compressed sensing recovery of multi-channel ECG signals,Difference sets-based compressive sensing as denoising method for narrow-band power line communications,Application of compressive sensing to limited feedback strategy in large-scale multiple-input single-output cellular networks,Energy-efficient orthogonal frequency division multiplexing scheme based on time–frequency joint channel estimation,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Packet loss recovery in audio multimedia streaming by using compressive sensing,Distributed multi-object localisation by consensus on compressive sampling received signal strength fingerprints,Compressive channel estimation for universal filtered multi-carrier system in high-speed scenarios,Critical parameters of the sparse representation-based classifier,Enhanced fast compressive tracking based on adaptive measurement matrix,Method for detecting text information leakage in electromagnetic radiation from a computer display,Fusion framework for multi-focus images based on compressed sensing,Novel multifocus image fusion and reconstruction framework based on compressed sensing,Estimation of measurements for block-based compressed video sensing: study of correlation noise in measurement domain,Supervised locally linear embedding algorithm based on orthogonal matching pursuit
Signal Recovery From Random Measurements Via Orthogonal Matching Pursuit,"Joel A. Tropp, Anna C. Gilbert, ",2007,3311,Blind sparsity weak subspace pursuit for compressed sensing,Improved bounds on restricted isometry constant for orthogonal matching pursuit,Scalable and parameterised VLSI architecture for efficient sparse approximation in FPGAs and SoCs,Optimised projections for generalised distributed compressed sensing,Approaching real-time terahertz imaging with photo-induced coded apertures and compressed sensing,Analogue-to-information conversion using multi-comparator-based integrate-and-fire sampler,Reducing micro-Doppler effect in compressed sensing ISAR imaging for aircraft using limited pulses,2D OMP algorithm for space–time parameters estimation of moving targets,Bayesian algorithm for high-resolution DOA estimation,Adaptive selective compressive sampling for sparse signal acquisition in noisy background,Fast OMP algorithm for 3D parameters super-resolution estimation in bistatic MIMO radar,Sparsity-based SFCW-GPR autofocusing imaging method under EM wave velocity uncertainty,VQ-based compressive sensing with high compression quality,InSAR imaging based on L1 regularisation joint reconstruction via complex approximated message passing,Diagnostic measure to quantify loss of clinical components in multi-lead electrocardiogram,Electrocardiograph signal denoising based on sparse decomposition,Sparse channel estimation of pulse-shaping multiple-input–multiple-output orthogonal frequency division multiplexing systems with an approximate gradient l<sub>2</sub> – Sl<sub>0</sub> reconstruction algorithm,Adaptive multi-task compressive sensing for localisation in wireless local area networks,Sparsity-aware channel order-blind pilot placement with channel estimation in orthogonal frequency division multiplexing systems,Sparse K-best detector for generalised space shift keying in large-scale multiple-input–multiple-output systems,Gradient-based compressive sensing for noise image and video reconstruction,Packet loss recovery in audio multimedia streaming by using compressive sensing,Low computational complexity design over sparse channel estimator in underwater acoustic OFDM communication system,Joint channel estimation and detection using Markov chain Monte Carlo method over sparse underwater acoustic channels,Restricted isometry constant improvement based on a singular value decomposition-weighted measurement matrix for compressed sensing,Sparse inverse fast Fourier transform-based channel estimation for millimetre-wave vector orthogonal frequency division multiplexing systems,Compressive channel estimation for universal filtered multi-carrier system in high-speed scenarios,Smart building uncertainty analysis via adaptive Lasso,Sparse control and compressed sensing in networked switched systems,Locality constrained dictionary learning for non-linear dimensionality reduction and classification
$rm K$-SVD: An Algorithm for Designing Overcomplete Dictionaries for Sparse Representation,"M. Aharon, M. Elad, A. Bruckstein, ",2006,3251,Impact of compressed sensing on clinically relevant metrics for ambulatory ECG monitoring,Structured sparse representation of residue in screen content video coding,Joint structure–texture sparse coding for quality prediction of stereoscopic images,Perceptual image hash function via associative memory-based self-correcting,Robust detection of premature ventricular contractions using sparse signal decomposition and temporal features,On robust face recognition via sparse coding: the good the bad and the ugly,LRR-TTK DL for face recognition,Combining Gabor filtering and classification dictionaries learning for fingerprint enhancement,Frequency-hopping signals sorting based on underdetermined blind source separation,Hierarchical spatial pyramid max pooling based on SIFT features and sparse coding for image classification,Log-Euclidean bag of words for human action recognition,Cross-view face recognition via structured dictionary based domain shift,Parallel algorithm implementation for multi-object tracking and surveillance,Improved hybrid method for image super-resolution,Locality constrained dictionary learning for non-linear dimensionality reduction and classification,Adaptive regularised l<sub>2</sub>-boosting on clustered sparse coefficients for single image super-resolution,Multi-instance multi-label learning of natural scene images: via sparse coding and multi-layer neural network,Action recognition from mutually incoherent pose bases in static image,Guided image filtering using signal subspace projection,Effective two-step method for face hallucination based on sparse compensation on over-complete patches,Tuned depth signal analysis on merged transform domain for view synthesis in free viewpoint systems,Simultaneous image fusion and denoising with adaptive sparse representation,Colour image steganography method based on sparse representation,Image denoising using common vector approach,Sparse representation based on vector extension of reduced quaternion matrix for multiscale image denoising,Image denoising via bidirectional low rank representation with cluster adaptive dictionary,Structured entropy of primitive: big data-based stereoscopic image quality assessment,Radar high-resolution range profiles target recognition based on stable dictionary learning,Modified coherence-based dictionary learning method for speech enhancement,Union of low-rank subspaces detector
On the use of windows for harmonic analysis with the discrete Fourier transform,"F. J. Harris, ",1978,3243,CORDIC-based Hann windowed sliding DFT architecture for real-time spectrum analysis with bounded error-accumulation,Instantaneous harmonic decomposition technique for three-phase current based on multiple reference coordinates,Measurement of power system harmonic based on adaptive Kaiser self-convolution window,Study on the maximum calculation height and the maximum propagation angle of the troposcatter wide-angle parabolic equation method,Suppressing low-frequency components of commonmode voltage through reverse injection in three-phase inverter,Wideband receiver with I/Q channels for multiple Nyquist zone coverage,High-precision estimation of target range radial velocity and azimuth in mechanical scanning LFMCW radar,Robust DFT-based generalised likelihood ratio test for underwater tone detection,Algorithm for dealing with time-varying signal within sliding-window for harmonics estimation,Hybrid framework for categorising sounds of Mysticete whales,Four harmonic analysis and energy metering algorithms based on a new cosine window function,An adaptive approach to spectral analysis of pattern-reversal visual potentials,Two-dimensional Fourier spectrum of QRST integral maps in classification of patients prone to ventricular arrhythmia,Application of prewhitening to AR spectral estimation of EEG,Estimation of the power spectral density in nonstationary cardiovascular time series: assessing the role of the time-frequency representations (TFR),Selective discrete Fourier transform algorithm for time-frequency analysis: method and application on simulated and cardiovascular signals,Time-frequency plane Wiener filtering of the high-resolution ECG: background and time-frequency representations,Wavelet analysis of click-evoked otoacoustic emissions,Automatic detection of conduction block based on time-frequency analysis of unipolar electrograms,Estimation of distortion product otoacoustic emissions,Asthmatic airways obstruction assessment based on detailed analysis of respiratory sound spectra,Modern guide to spectral analysis with SPICE,f/sup /spl alpha// noise source streamlines SPICE simulations,Measuring audio SNR on digital broadcast systems,A correction scheme for measurement accuracy improvement in multichannel CATV systems,SP-QPSK: a new modulation technique for satellite and land-mobile digital broadcasting,A senior project course in digital signal processing with the TMS320,Virtual work bench for electronic instrumentation teaching,Application of digital filtering techniques to the determination of partial discharge location in transformers,A physical optics approximation to the range profile signature of a dihedral corner reflector
"A new, fast, and efficient image codec based on set partitioning in hierarchical trees","A. Said, W. A. Pearlman, ",1996,3209,Efficient complex radial basis function model for multiuser detection in a space division multiple access/multiple-input multiple-output-orthogonal frequency division multiplexing system,Exploiting chrominance planes similarity on listless quadtree coders,Reduced memory low complexity embedded image compression algorithm using hierarchical listless discrete tchebichef transform,High-payload block-based data hiding scheme using hybrid edge detector with minimal distortion,Three-dimensional separate descendant-based SPIHT algorithm for fast compression of high-resolution medical image sequences,Hybrid WPT-BDCT transform for high-quality image compression,Low-complexity and efficient image coder/decoder with quad-tree search model for embedded computing platforms,Wavelet and wavelet packet compression of electrocardiograms,Wavelet compression of ECG signals by the set partitioning in hierarchical trees algorithm,A quality-on-demand algorithm for wavelet-based compression of electrocardiogram signals,Cascaded differential and wavelet compression of chromosome images,Quantization,Data compression and harmonic analysis,Lossy source coding,Distortion-rate bounds for fixed- and variable-rate multiresolution source codes,Statistical imaging and complexity regularization,Tiling and adaptive image compression,Error protection for progressive image transmission over memoryless and fading channels,Progressive source coding for a power constrained Gaussian channel,Structure-significant representation of structured datasets,A DCT-based embedded image coder using wavelet structure of DCT for very low bit rate video codec,Rate-distortion based optimization for zerotree entropy wavelet coding,Fault resilient and compression tolerant digital signature for image authentication,Very low bit rate color image compression by using stack-run-end coding,Image encryption for secure Internet multimedia applications,VLSI design of an efficient embedded zerotree wavelet coder with function of digital watermarking,Robust image transmission over CDMA channels,The JPEG2000 still image coding system: an overview,Robust image communication over wireless channels,SAR image compression with the Gabor transform
"The use of fast Fourier transform for the estimation of power spectra: A method based on time averaging over short, modified periodograms","P. Welch, ",1967,3147,Fuzzy logic-based risk of fall estimation using smartwatch data as a means to form an assistive feedback mechanism in everyday living activities,Efficient transient noise analysis of non-periodic mixed analogue/digital circuits,Performance evaluation of welch's periodogram-based energy detection for spectrum sensing,Digital signal processing of acoustic emission signals using power spectral density and counts statistic applied to single-point dressing operation,Automatic decomposition of selective needle-detected myoelectric signals,A time-shared ultrasound Doppler measurement and 2-D imaging system,Dynamic analysis of ventricular repolarization duration from 24-hour Holter recordings,On time delay estimation of epileptic EEG,A model of ultrasound backscatter for the assessment of myocardial tissue structure and architecture,Linear systems analysis of cutaneous Type I mechanoreceptors,Spectral analysis of a thalamus-to-cortex seizure pathway,Nonlinear Markov process amplitude EEG model for nonlinear coupling interaction of spontaneous EEG,Asthmatic airways obstruction assessment based on detailed analysis of respiratory sound spectra,Multiple-window spectrogram of peaks due to transients in the electroencephalogram,Measurements of BART magnetic fields with an automatic geomagnetic pulsation index generator,Excess low-frequency noise in PtSi on p-type Si Schottky diodes,The effects of windowing and quantization error on the amplitude of frequency-domain functions,An inference monitor with real-time FFT spectral analysis for a radio observator,A study on nonlinear averagings to perform the characterization of power spectral density estimation algorithms,Power spectral density estimation via overlapping nonlinear averaging,Speech enhancement for mobile telephony,Multidelay block frequency domain adaptive filter,Estimation of the power distribution function,Optimistic and pessimistic approximations to variance of time delay estimators,A separable cross-entropy approach to power spectral estimation,On implementation of the discrete Fourier transform-the STUSE algorithm for spectral estimation,Spectral estimation of irregularly sampled multidimensional processes by generalized prolate spheroidal sequences,Special problems in the estimation of power-law spectra as applied to topographical modeling,,Quality factor and resonant frequency measurement by ARMA process identification of randomly excited MEMS/NEMS cantilever
The self-organizing map,"T. Kohonen, ",1990,3118,Method for estimating the energy consumption of electric vehicles and plug-in hybrid electric vehicles under real-world driving conditions,Short-term wind power forecasting and uncertainty analysis using a hybrid intelligent method,Self-organizing map in recognition of topographic patterns of EEG spectra,Morphological feature extraction for the classification of digital images of cancerous tissues,A patient-adaptable ECG beat classifier using a mixture of experts approach,Unsupervised pattern recognition for the classification of EMG signals,A brain-controlled switch for asynchronous control applications,Competitive learning algorithms and neurocomputer architecture,PD pattern recognition with neural networks using the multilayer perceptron technique,Detection and classification of buried dielectric anomalies using neural networks-further results,Vector quantization for texture classification,Toward intelligent flight control,Anticipation-based temporal pattern generation,A neural network approach to photometric stereo inversion of real-world reflectance maps for extracting 3-D shapes of objects,Visualization of multidimensional shape and texture features in laser range data using complex-valued Gabor wavelets,A self-organizing switched-capacitor neural network,Hierarchical GTM: constructing localized nonlinear projection manifolds in a principled way,Automatic initial estimation of the left ventricular myocardial midwall in emission tomograms using Kohonen maps,Filtering for texture classification: a comparative study,Data compression and local metrics for nearest neighbor classification,Online and off-line handwriting recognition: a comprehensive survey,A neural network classifier based on Dempster-Shafer theory,Adaptive behavior navigation of a mobile robot,A new algorithm for Kohonen layer learning with application to power system stability analysis,Discrete vector quantization for arbitrary distance function estimation,Multiple competitive learning network fusion for object classification,A survey of fuzzy clustering algorithms for pattern recognition. I,A survey of fuzzy clustering algorithms for pattern recognition. II,Designing syntactic pattern classifiers using vector quantization and parametric string editing,Test feature classifiers: performance and applications
Cellular neural networks: theory,"L. O. Chua, L. Yang, ",1988,3027,CNN universal chips crank up the computing power,TOPS information processing on a single chip,In the blink of a silicon eye,A deterministic built-in self-test generator based on cellular automata structures,A CNN-based passive optical range finder for real-time robotic applications,A cellular neural network for packet selection in a fast packet switching fabric with input buffers,Stability of a class of nonreciprocal cellular neural networks,High-order absolutely stable neural networks,A chaotic attractor with cellular neural networks,A CNN chip for connected component detection,CNN cloning template: connected component detector,CNN cloning template: hole-filler,CNN cloning template: shadow detector,The CCD neural processor: a neural network integrated circuit with 65536 programmable analog synapses,On a class of nonsymmetrical neural networks with application to ADC,Cellular neural networks: applications,Stability of cellular neural networks with opposite-sign templates,Comments with reply on Chaos from third-order phase-locked loops with a slowly varying parameter by Y.-H. Chu et al,A simple algorithm for finding all solutions of piecewise-linear networks,An analytic method for designing simple cellular neural networks,On the analysis of neural networks with asymmetric connection weights or noninvertible transfer functions,Cellular neural network for automated detection of geological lineaments on Radarsat images,Qualitative limitations incurred in implementations of recurrent neural networks,Associative memories via artificial neural networks,Adaptive control and synchronization of uncertain unified chaotic system by cellular neural networks,Smart-pixel cellular neural networks in analog current-mode CMOS technology,Shunting neural network photodetector arrays in analog CMOS,A programmable analog cellular neural network CMOS chip for high speed image processing,Operational transconductance amplifier-based nonlinear function syntheses,Office of Naval Research contributions to neural networks and signal processing in oceanic engineering
Distributed space-time-coded protocols for exploiting cooperative diversity in wireless networks,"J. N. Laneman, G. W. Wornell, ",2003,2933,A Performance Study of Multi-Node System in Wireless Network,On Performance of Combining Methods for Three-Node Cooperative Diversity Wireless Network,SEP Analysis and Optimal Power Allocation of Multi-Node Amplify-and-Forward Cooperation Systems,Opportunistic Virtual Antenna Array with Optimal Relay Mobile Terminals Selection,Power Allocation Algorithm in Amplify-and-Forward Relay Networks,ARQ Protocols for Two-User Cooperative Diversity Systems,Application of Cooperative MIMO in the Ad Hoc Shallow Water Acoustic Sensor Network,Distributed Closed-Loop Quasi-Orthogonal Space Time Block Coding with four relay Nodes: overcoming Imperfect Synchronization,Distributed 2×2 space-time trellis code (DSTTC) with imperfect relay,Outage performance of energy harvesting relay-assisted device-to-device communication,Adaptive distributed space-time block code with linear decoding complexity,Performance of Cooperative Transmission Schemes Using Distributed Antennas,Analysis of Bifurcation Phenomena Based on Optimized Transformer in Loosely Coupled Inductive Power Transfer System,Analysis of NEMS Switch Using Changeable Space Domain,Outage-Optimal Power Allocation for Space-Time Cooperative Network Coding with Amplify-and-Forward,Novel Distributed Turbo Coding Scheme in Two-Hop Relay Networks,Achieving Space Diversity with Non-Coherent AF Relaying,Superimposed Training Based Channel Estimation for OFDM Modulated AF Relay Networks,Ant-Colony Based Near-ML Block Decoder in Asynchronous Cooperative MIMO Systems Using a Linear Dispersion Structure,Linear Dispersion Codes for Asynchronous Cooperative MIMO Systems,N Plus Normalized Threshold Opportunistic Relay Selection with Outdated Channel State Information,Cooperative Strategies and Fairness-Aware Resource Allocation in Selection-Based OFDM Networks,Achieving Spectral Efficient Cooperative Diversity with Network Interference Cancellation,A Simple Probabilistic Relay Selection Protocol for Asynchronous Multi-Relay Networks Employing Rateless Codes,Efficient Multiple Access Protocols for Coded Multi-Source Multi-Relay Networks,Power Allocation for Decode-and-Forward Cellular Relay Network with Channel Uncertainty,Near-Capacity Irregular Convolutional Coded Cooperative Differential Linear Dispersion Codes Using Multiple-Symbol Differential Decoding Aided Non-Coherent Detection,Outage Rate and Outage Duration of Decode-and-Forward Cooperative Diversity Systems,Smart Cooperation through Orthogonal Signaling and Optimal Power Allocation,Performance Bounds of Multi-Relay Decode-and-Forward Cooperative Networks over Nakagami-m Fading Channels
Embedded image coding using zerotrees of wavelet coefficients,"J. M. Shapiro, ",1993,2919
RADAR: an in-building RF-based user location and tracking system,"P. Bahl, V. N. Padmanabhan, ",2000,2913,Location systems for ubiquitous computing,Indoor geolocation science and technology,GPS-less low-cost outdoor localization for very small devices,Localization of Unknown Networked Radio Sources Using a Mobile Robot with a Directional Antenna,Transfer learning for dynamic RF environments,Energy-Efficient Indoor Localization of Smart Hand-Held Devices Using Bluetooth,Linear Theory for Self-Localization: Convexity Barycentric Coordinates and Cayley–Menger Determinants,Infectious Disease Containment Based on a Wireless Sensor System,Fingerprint and Assistant Nodes Based Wi-Fi Localization in Complex Indoor Environment,A Look at the Recent Wireless Positioning Techniques With a Focus on Algorithms for Moving Receivers,Semi-Supervised Learning for Indoor Hybrid Fingerprint Database Calibration With Low Effort,BiLoc: Bi-Modal Deep Learning for Indoor Localization With Commodity 5GHz WiFi,Robustness Security and Privacy in Location-Based Services for Future IoT: A Survey,Location-Based Augmented Reality With Pervasive Smartphone Sensors: Inside and Beyond Pokemon Go!,SparseLoc: Indoor Localization Using Sparse Representation,Path-Loss-Based Fingerprint Localization Approach for Location-Based Services in Indoor Environments,ConFi: Convolutional Neural Networks Based Indoor Wi-Fi Localization Using Channel State Information,Location Awareness in 5G Networks Using RSS Measurements for Public Safety Applications,Secure Monitoring of Patients With Wandering Behavior in Hospital Environments,Automated Construction and Maintenance of Wi-Fi Radio Maps for Crowdsourcing-Based Indoor Positioning Systems,A Narrow-Band Indoor Positioning System by Fusing Time and Received Signal Strength via Ensemble Learning,Investigation on detection accuracy of RFID tags on back-to-back queuing objects,Enabling Opportunistic Navigation in Location-Based Notification Systems,Indoor Navigation Using a Mobile Phone,A Scalable UWB Based Scheme for Localization in Wireless Networks,A low-complexity location estimation scheme for indoor wireless local area networks,Localization in wireless networks via spatial sparsity,Improving WLAN-based indoor mobile positioning using sparsity,A policy-based location-aware framework for personalized services in cloud computing systems,Indoor Wi-Fi tracking system using fingerprinting and Kalman filter
