Adaptive Fault-Tolerant Tracking Control Against Actuator Faults With Application to Flight Control,"D. Ye, G. -H. Yang, ",2006,263,Fault detection for switched linear parameter-varying systems: an average dwell-time approach,Robust adaptive fault-tolerant control for linear systems with actuator failures and mismatched parameter uncertainties,Reliability control for uncertain half-car active suspension systems with possible actuator faults,Prescribed performance fuzzy adaptive fault-tolerant control of non-linear systems with actuator faults,Robust reliable feedback controller design against actuator faults for linear parameter-varying systems in finite-frequency domain,Data-based fault-tolerant control for uncertain linear systems with actuator faults,Fault-tolerant control of non-linear systems based on adaptive virtual actuator,Fault tolerant control for unknown nonlinear systems with actuator failures: An adaptive fuzzy approach,Robust fault-tolerant control systems design with actuator failures via linear fractional transformations,Adaptive fuzzy control of unknown nonlinear systems with actuator failures for robust output tracking,Adaptive fault-tolerant H∞ compensation controller design with actuator failures,Distributed fault-tolerant control systems design against actuator faults and faulty interconnection links: An adaptive method,Adaptive robust tracking control for a class of distributed systems with faulty actuators and interconnections,Distributed robust adaptive tracking control with lossy interconnection links and bounded disturbances,Control of uncertain nonlinear systems against actuator faults using adaptive fuzzy approximation,Fault detection and identification for bimodal piecewise affine systems,Fault diagnosis and Fault Tolerant Control design for aerospace systems: A bibliographical review,Adaptive augmenting control design for a generic longitudinal missile autopilot,Case studies for prognostics-enhanced Automated Contingency Management for aircraft systems,Adaptive fuzzy fault-tolerant control for a class of nonlinear systems with actuator failures,Research and design of adaptive fault tolerant control based on actuator faults,Robust Fault-tolerant Control via Linear Fractional Transformations,An LMI-based Approach to Fault Detection for Uncertain State Feedback Control Systems,A robust fault tolerant control strategy for aircraft systems,Fault-tolerant control of uncertain nonlinear systems with nonlinearly parameterized fuzzy systems,Fault-tolerant control design with respect to actuator health degradation: An LMI approach,Actuator fault-tolerant control of the stuttgart SmartShell,Robust adaptive fault-tolerant control applied to interconnected systems,Adaptive fault tolerant control for a class of inherent nonlinear systems,Robust H∞ Guaranteed cost D-stable satisfactory fault-tolerant control against actuator failures
Minimum snap trajectory generation and control for quadrotors,"Daniel Mellinger, Vijay Kumar, ",2011,263,Feed-forward parameter identification for precise periodic quadrocopter motions,Navigation functions in topologically complex 3-D workspaces,Lyapunov-based robust adaptive control of a quadrotor UAV in the presence of modeling uncertainties,Hierarchical control via approximate simulation and feedback linearization,Visual control for trajectory tracking of Quadrotors and real-time analysis on an emulated environment,Lift of a cable-suspended load by a quadrotor: A hybrid system approach,Asymptotically reachable states and related symmetry in systems theory,Fast safe and precise landing of a quadrotor on an oscillating platform,Online learning of feasible strategies in unknown environments,Optimal control allocation of quadrotor UAVs subject to actuator constraints,Interior point method for dynamic constrained optimization in continuous time,Robust Optimal Control of Quadrotor UAVs,Reachability-based self-triggered scheduling and replanning of UAV operations,Monocular vision based autonomous navigation for a cost-effective MAV in GPS-denied environments,Designing hardware and software systems toward very compact and fully autonomous quadrotors,An exponentially stable control law for quadrotors: Simulations and experiments,RLS-based fault-tolerant tracking control of Multirotor Aerial Vehicles,Towards the realtime sampling-based kinodynamic planning for quadcopters,Image Classification Using Sum-Product Networks for Autonomous Flight of Micro Aerial Vehicles,Robust attitude control for a variable-pitch quadrotor,Autonomous lift of a cable-suspended load by an unmanned aerial robot,Optimal trajectory generation of a quadrotor based on the differential flatness,Attitude controller design for quadrotors based on the controlled Hamiltonian system,Control synthesis and verification for a perching UAV using LQR-Trees,Geometric control and differential flatness of a quadrotor UAV with a cable-suspended load,Dynamic control of autonomous quadrotor flight in an estimated wind field,Online learning of optimal strategies in unknown environments,Computing minimum-time trajectories for quadrotors via transverse coordinates,Constrained autonomous satellite docking via differential flatness and model predictive control,Y6 tricopter autonomous evacuation in an Indoor Environment using Q-learning algorithm
Distributed target classification and tracking in sensor networks,"R. R. Brooks, P. Ramanathan, A. M. Sayeed, ",2003,262,Optimal Byzantine attack strategy for distributed localisation with M-ary quantised data,The Trap Coverage Area Protocol for Scalable Vehicular Target Tracking,Distributed Secure Estimation Over Wireless Sensor Networks Against Random Multichannel Jamming Attacks,Tracking with Sleepy Sensors,Distributed Target Tracking in a Wireless Sensor Network,Target Tracking with Integrated Coverage in Wireless Sensor Networks,Tracking targets with self-organizing distributed ground sensors,An Energy Efficient Adaptive Back Forwarding Method for Spatial Range Query Processing in Sensor Networks,Monte Carlo algorithms for tracking a maneuvering target using a network of mobile sensors,Energy-efficient sensor scheduling scheme for target tracking in wireless sensor networks,Quantized measurement fusion for target tracking in wireless sensor networks,Optimal target trajectory estimation and filtering using networked sensors,A New Key Establishment Protocol for Limited Resource Wireless Sensor Networks,Maritime smuggling detection and mitigation using risk-aware hybrid robotic sensor networks,A Comprehensive Survey of Congestion Control Protocols in Wireless Sensor Networks,Energy Saving Schedule for Target Tracking Sensor Networks to Maximize the Network Lifetime,FlashTrack: A Fast In-network Tracking System for Sensor Networks,Energy utilization of HTAP under specific node placements in Wireless Sensor Networks,Design and implementation of a sensor network system for vehicle tracking and autonomous interception,Fuzzy decision fusion for single target classification in wireless sensor networks,Distributed adaptation methods for wireless sensor networks,Distributed filtering in sensor networks with hybrid communication constraints,Efficient Tracking in a Network of Sleepy Sensors,Evaluating Interpolation-Based Power Management,Spontaneous Self-Sampling Quorum Systems for Ad Hoc Networks,A cooperative single target tracking algorithm using binary sensor networks,An Operational model for Mobile Target Tracking in Wireless Sensor Networks,Intelligent transport management system using sensor networks,Weighted decision fusion vs. counting rule over wireless sensor networks: A realistic comparison,Decision fusion: Sparse network vs. dense network
Tracking people with twists and exponential maps,"C. Bregler, J. Malik, ",1998,262,Looking at people: sensing for ubiquitous and wearable computing,W/sup 4/: real-time surveillance of people and their activities,Model-based estimation of 3D human motion,Probabilistic data association methods for tracking complex visual objects,Dimensionality Reduction for Articulated Body Tracking,Model-Based Outdoor Performance Capture,Model-based tracking of complex articulated objects,Virtual metamorphosis,Extraction of Rhythmical Factors on Dance Actions Thorough Motion Analysis,Tracking a person with 3-D motion by integrating optical flow and depth,Human action tracking guided by key-frames,Multiple cues used in model-based human motion capture,A framework for modeling the appearance of 3D articulated figures,Learning and synthesizing human body motion and posture,Consistency and coupling in human model likelihoods,Gait analysis for recognition and classification,Robust full-motion recovery of head by dynamic templates and re-registration techniques,Multimodal coordination of facial action head rotation and eye motion during spontaneous smiles,Monocular reconstruction of human motion by qualitative selection,Multiple frame motion inference using belief propagation,On the sustained tracking of human motion,3D Human Tracking by Using Shared Latent Dynamical Model,Sequential Monte Carlo tracking of body parameters in a sub-space,Human body tracking with auxiliary measurements,Human upper body posture recognition and upper limbs motion parameters estimation,Human body pose estimation using silhouette shape analysis,Multi-camera positioning to optimize task observability,Multiple views based human motion tracking in surveillance videos,Towards image-based modeling for ambient sensing,Movement Tracking from Monocular Video Based on the Particle Filter
Edge Focusing,"Fredrik Bergholm, ",1987,262,Memory hierarchy considerations for cost-effective cluster computing,An efficient and provably correct algorithm for the multiscale estimation of image contours by means of polygonal lines,Edge detection by regularized cubic B-spline fitting,Development of a 3D gradient-based method for volume quantitation in SPECT,Some defects in finite-difference edge finders,Kernel designs for efficient multiresolution edge detection and orientation estimation,Multiple widths yield reliable finite differences (computer vision),Reasoning about edges in scale space,Adaptive determination of filter scales for edge detection,Hierarchical contour-based segmentation of dynamic scenes,Behavior of edges in scale space,Multiresolution analysis of ridges and valleys in grey-scale images,A syntactic approach to scale-space-based corner description,Describing 1-D intensity transitions with Gaussian derivatives at the resolutions matching the transition widths,Scale-space for discrete signals,Modeling light reflection for computer color vision,A multiresolution hierarchical approach to image segmentation based on intensity extrema,An edge detection technique using the facet model and parameterized relaxation labeling,/spl lambda//spl tau/-space representation of images and generalized edge detector,A robust visual method for assessing the relative performance of edge-detection algorithms,Residual analysis for feature detection,Local scale control for edge detection and blur estimation,Adaptive smoothing: a general tool for early vision,Adaptive-scale filtering and feature detection using range data,A three-module strategy for edge detection,Bounded diffusion for multiscale edge detection using regularized cubic B-spline fitting,Comparison of edge detection algorithms using a structure from motion task,Application of the extremum stack to neurological MRI,Edge detection in medical images using a genetic algorithm,Tissue boundary refinement in magnetic resonance images using contour-based scale space matching
Formulation and optimization of cubic polynomial joint trajectories for industrial robots,"C. Lin, P. Chang, J. Luh, ",1983,261,Input shaping via B-spline filters for 3-D trajectory planning,Online trajectory planning and filtering for robotic applications via B-spline smoothing filters,Online computing of a robotic manipulator joint trajectory with velocity and acceleration constraints,Manipulation analysis of carton-folding task by using GGPs and CCPs,Robot motion planning for time-varying obstacle avoidance using view-time concept,A systematic approach to trajectory planning applied to modular robots,A trajectory correction of an omnidirectional mobile robot,Improving the efficiency of motion planning on a polyhedron,Time-Jerk Synthetic Optimal Trajectory Planning of Robot Based on Fuzzy Genetic Algorithm,Integrated Optimization of Trajectory Planning for Robot Manipulators Based on Intensified Evolutionary Programming,A new time-efficient trajectory planning solution for humanoid robot arms,Planning tracking motion insusceptible to unknown disturbances using sensitivity measure,Time-jerk optimal trajectory planning for robotic manipulators,Foot trajectory planning of frog swimming based on propulsion mechanism,Minimization of the rate of change in torques during motion and force control under discontinuous constraints,Planning a minimum-time trajectories for robot arms,Approximate optimum paths of robot manipulators under realistic physical constraints,Efficient parallel algorithm for robot inverse dynamics computation,Online approximate Cartesian path trajectory planning for robotic manipulators,A new approach to synthesizing free motions of robotic manipulators based on a concept of unit motions,Bounded deviation joint path algorithms for piecewise cubic polynomial trajectories,Web machine coordinated motion control via electronic line-shafting,Control system design with online planning for a desired signal and its application to robot manipulators,Enhanced contour control of SCARA robot under torque saturation constraint,Trajectory prediction for moving objects using artificial neural networks,Adaptive synchronization control of a robotic manipulator operating in an intelligent workcell,Global minimum-jerk trajectory planning of robot manipulators,Minimum time trajectory planner for the discrete dynamic robot model with dynamic constraints,Curved path approaches and dynamic interpolation,Near-minimum-time task planning for fruit-picking robots
Global data association for multi-object tracking using network flows,"Li Zhang, Yuan Li, Ramakant Nevatia, ",2008,261,Multi-target Tracking and Segmentation via Discriminative Appearance Model,Automatic Extraction of Moving Objects from Image and LIDAR Sequences,Multi-target tracklet stitching through network flows,Persistence and tracking: Putting vehicles and trajectories in context,Multi-object tracking of pedestrian driven by context,Online multi-person tracking using Integral Channel Features,HoG based real-time multi-target tracking in Bayesian framework,Robust multi-object tracking with semantic color correlation,Joint tracking with event grouping and temporal constraints,Multi-Object tracking using multi-channel part appearance representation,Clustering of tracklets for on-line multi-target tracking in networked camera systems,Multi-target tracking by on-line learned discriminative appearance models,Multi-target Tracking by Lagrangian Relaxation to Min-cost Network Flow,Persistent Tracking for Wide Area Aerial Surveillance,Target Identity-aware Network Flow for online multiple target tracking,Joint vanishing point extraction and tracking,Joint tracking and segmentation of multiple targets,Groupwise Tracking of Crowded Similar-Appearance Targets from Low-Continuity Image Sequences,VirtualWorlds as Proxy for Multi-object Tracking Analysis,Deep Network Flow for Multi-object Tracking,Multiple People Tracking by Lifted Multicut and Person Re-identification,Multi-object Tracking with Quadruplet Convolutional Neural Networks,Dense spatio-temporal motion segmentation for tracking multiple self-occluding people,Traffic analysis with low frame rate camera networks,Inferring tracklets for multi-object tracking,Tracking many vehicles in wide area aerial surveillance,Joint Learning of Convolutional Neural Networks and Temporally Constrained Metrics for Tracklet Association,Learning by Tracking: Siamese CNN for Robust Target Association,Trajectory Ensemble: Multiple Persons Consensus Tracking Across Non-overlapping Multiple Cameras over Randomly Dropped Camera Networks,Strongly connected component multi-object tracking
Cooperative Robot Control and Concurrent Synchronization of Lagrangian Systems,"Soon-Jo Chung, Jean-Jacques E. Slotine, ",2009,261,Real-time synchronisation method in multi-robot system,Robust synchronisation of networked Lagrangian systems and its applications to multi-robot teleoperation,Distributed adaptive image-based consensus of networked robotic manipulators without visual velocity measurements,Distributed observer-based coordination for multiple Lagrangian systems using only position measurements,Adaptive practical synchronisation of Lagrangian networks with a directed graph via pinning control,Distributed coordinated tracking control of multiple Euler–Lagrange systems by state and output feedback,Computationally implementable sufficient conditions for the synchronisation of coupled dynamical systems with time delays in the coupling,Adaptive backstepping-based synchronization of uncertain networked Lagrangian systems,Containment control for multiple euler-lagrange systems with parametric uncertainties in directed networks,Estimation based cooperative guidance controller for 3D target tracking with multiple UAVs,Distributed finite-time cooperative tracking of networked Lagrange systems via local interactions,Rigid body attitude synchronization with communication delays,Consensus control of flexible joint robots with uncertain communication delays,Synchronization of multiple Euler-Lagrange systems with communication delays,Containment control for networked unknown Lagrangian systems with multiple dynamic leaders under a directed graph,Finite-time consensus control for multiple manipulators with unmodeled dynamics,Adaptive rigidity-based formation control of uncertain multi-robotic vehicles,An extended proportional-integral control algorithm for distributed average tracking and its applications in Euler-Lagrange systems,Flocking with a moving leader for multiple uncertain lagrange systems,Consensus of autonomous underactuated surface vessels,Cooperative tracking control of Euler-Lagrange systems with switching communication network topologies,Cross-coupling control of the HIT-DLR robotic finger,Leader-following consensus of multiple unmanned aerial vehicles with input constraints and local coordinate frames,On ultimate boundedness of delay synchronization algorithms for semi-passive systems,Distributed tracking for networked Euler-Lagrange systems using only relative position measurements,Leaderless and leader-following consensus for networked mobile manipulators with communication delays,Synchronization of networked passive systems with directed communication topologies,Coordinated motion control of networked mechanical systems,Synchronized motion of master-slave autonomous underwater vehicles via communication channel with limited capacity,Adaptive fuzzy coordinated tracking control of networked unknown Lagrange systems
A general framework for tackling the output regulation problem,"Jie Huang, Zhiyong Chen, ",2004,261,Construction of a Lyapunov Function for Nonlinear Cascaded Systems with Dynamic Uncertainties,Estimation and rejection for disturbances using composite nonlinear observer,Robust adaptive control of a class of nonlinear systems by internal model design,Optimal Tracking for linear Discrete-time Systems with Sinusoidal Disturbances,Off-policy reinforcement learning for distributed output synchronization of linear multi-agent systems,Decentralized adaptive output regulation for a class of large-scale nonlinear systems,A note on global output regulation of nonlinear systems in the output feedback form,Adaptive output tracking of inherently nonlinear systems with nonlinear parameterization,Robust and decentralised output regulation of switched non-linear systems with switched internal model,Disturbance-observer-based control &amp; ℋ<sub>∞</sub> control for non-linear Markovian jump singular systems with multiple disturbances,Composite anti-disturbance control for switched systems via mixed state-dependent and time-driven switching,Output regulation of Boolean control networks with stochastic disturbances,Tracking control of an electrostatic torsional micromirror beyond the pull-in limit with enhanced performance,Global output regulation of cascade systems by time-varying partial state feedback,Nonlinear internal model and the robust output regulation problem,Semi-global robust output regulation for a class of nonlinear systems using output feedback,Semi-global robust stabilization of a class of feedforward systems,Global robust output regulation of output feedback systems with unknown control direction,A robust servomechanism problem for uncertain nonlinear systems,Internal Model Principle for Measurement Feedback Problem,Asymptotic Rejection of a Class of Persistent Disturbances for Spacecraft Systems,Decentralized Output Regulation for Large-scale Output-feedback Nonlinear Systems with Nonlinear Exosystem,Global observability of the steady state generator in output regulation problem,Parameter convergence with an adaptive output regulation problem,Output regulation for a class of nonlinear systems using the observer based output feedback control,Global robust output regulation for a class of multivariable systems and its application to a motor drive system,Approximate output regulation for a spherical inverted pendulum,A control problem of surface-mounted PM synchronous motor with unknown exosystem,Cooperative semi-global robust output regulation of nonlinear uncertain multi-agent systems,Cooperative global robust output regulation for lower triangular nonlinear multi-agent systems under directed graph
"Online Multiperson Tracking-by-Detection from a Single, Uncalibrated Camera","Michael D. Breitenstein, Fabian Reichlin, Bastian Leibe, Esther Koller-Meier, Luc Van Gool, ",2011,260,Graph-based approach to scene text localisation and tracking in videos,People detection in surveillance: classification and evaluation,Multi-aircrafts tracking using spatial–temporal constraints-based intra-frame scale-invariant feature transform feature matching,Parallel algorithm implementation for multi-object tracking and surveillance,Video analytics revisited,Online multi-person tracking with two-stage data association and online appearance model learning,New technique for online object tracking-by-detection in video,On-road multi-vehicle tracking algorithm based on an improved particle filter,Learning Spatio-Temporal Information for Multi-Object Tracking,Online selection of discriminative features with approximated distribution fields for efficient object tracking,Concatenating multiple trajectories using Kalman filter for pedestrian tracking,Combining Neural Networks and Fuzzy Systems for Human Behavior Understanding,Online Multi-person Tracking by Tracker Hierarchy,Real-Time Pedestrian Tracking with Bacterial Foraging Optimization,Single and Multiple View Detection Tracking and Video Analysis in Crowded Environments,Online multiperson tracking with occlusion reasoning and unsupervised track motion model,A comparative view on exemplar ‘tracking-by-detection’ approaches,Online multi-person tracking using Integral Channel Features,Automatic generation of scene-specific person trackers,HoG based real-time multi-target tracking in Bayesian framework,Hyper-Optimization tools comparison for parameter tuning applications,Online pedestrian tracking with multi-stage re-identification,Robust multi-object tracking with semantic color correlation,Joint tracking with event grouping and temporal constraints,Realization of moving object detection and tracking algorithm based on frame difference method and particle filter algorithm,Online multi-camera tracking-by-detection approach with particle filter,A classification and clustering method for tracking multiple objects,State estimation of infrared target using particle filter,Efficient people re-identification based on models of human clothes,Multiple Feature Fusion in the Dempster-Shafer Framework for Multi-object Tracking
Fast Keypoint Recognition Using Random Ferns,"Mustafa Ozuysal, Michael Calonder, Vincent Lepetit, Pascal Fua, ",2010,259
"Motion tracking: no silver bullet, but a respectable arsenal","G. Welch, E. Foxlin, ",2002,246,Fall body detection algorithm based on tri-accelerometer sensors,Sourceless tracking of human posture using small inertial/magnetic sensors,A New Approach to Accelerometer-based Head Tracking for Augmented Reality &amp; Other Applications,Precise High Speed Multi-Target Multi-Sensor Local Positioning System,Tangible simulations Generalized haptic devices for human-guided computer simulations,An experimental protocol for the definition of upper limb anatomical frames on children using magneto-inertial sensors,Measurement of knee flexion/extension angle using wearable UWB radios,An Experimental Performance Evaluation of the Orientation Accuracy of Four Nine-Axis MEMS Motion Sensors,Accuracy of 3D motion tracking using a stereocamera,Spatially distributed tactile feedback for kinesthetic motion guidance,Pedestrian navigation algorithm using inertial-based walking stick,A novel drift compensating method for orientation measurement system in VR applications,Sensor-fusion based augmented-reality surgical navigation system,The design and implementation of video-based interactive motion tracking model,An ultrasonic imaging guided medical robot system for microwave ablation therapy,Inertial sensor data compression using modified ADPCM,An audio-visual database for evaluating person tracking algorithms,A study on remote control system integrated intuitive vision system for Field Robot using head tracker system,Current issues in handheld augmented reality,Need for development of dietary assessment device for free living environment-a survey,Study on adaptive Kalman filtering algorithms in human movement tracking,A functional ARM movement tracking and monitoring system using electogoniometer,Tracking of user position and orientation by stereo measurement of infrared markers and orientation sensing,Modeling a wearable full-body motion capture system,Adapting magnetic resonant coupling based relative positioning technology for wearable activitiy recogniton,Driving motion capture based driver behavior analysis,A Novel Approach to Joint Flexion/Extension Angles Measurement Based on Wearable UWB Radios,Online Decoding of Hidden Markov Models for Gait Event Detection Using Foot-Mounted Gyroscopes,Alignment-Free Self-Calibrating Elbow Angles Measurement Using Inertial Sensors,Three-Dimensional Virtual Touch Display System for Multi-User Applications
Maximum-likelihood source localization and unknown sensor location estimation for wideband signals in the near-field,"J. C. Chen, R. E. Hudson, Kung Yao, ",2002,246
"Design, Implementation, and Experimental Results of a Quaternion-Based Kalman Filter for Human Body Motion Tracking","Xiaoping Yun, Eric R. Bachmann, ",2006,246,An arm-mounted inertial controller for 6DOF input: Design and evaluation,Quaternionic Upsampling: Hyperspherical Techniques for 6 DoF Pose Tracking,Kalman Filter With Dynamical Setting of Optimal Process Noise Covariance,An Extended Kalman filtering of accelerometer and surface electromyography data for attenuation of pathological tremor,A novel low-cost 4-DOF wireless human arm motion tracker,A novel motion sensor with nine degrees of freedom,An adaptive attitude tracking method considering acceleration and magnetic field compensation,Comparison of Orientation Filter Algorithms for Realtime Wireless Inertial Posture Tracking,Minimising Loss-Induced Errors in Real Time Wireless Sensing by Avoiding Data Dependency,3D Upper Limb Motion Modeling and Estimation Using Wearable Micro-sensors,Use of Body Model Constraints to Improve Accuracy of Inertial Motion Capture,Human Back Movement Analysis Using BSN,Evaluation of Inertial Sensor Fusion Algorithms in Grasping Tasks Using Real Input Data: Comparison of Computational Costs and Root Mean Square Error,Development of a wireless low-power multi-sensor network for motion tracking applications,A series-wound EKF algorithm for attitude estimation,A simulation environment for visual-inertial sensor fusion,A Data Preprocessing Technique for Gesture Recognition Based on Extended-Kalman-Filter,Real-Time Motion Capture: An Overview,Multi-Object Tracking Based on Improved Mean-Shift Algorithm,Development of Attitude Determination System for Moving Carrier Based on MEMS Sensors,Gyroless attitude and rate estimation of small satellites using singular value decomposition and extended Kalman filter,Joint state and parameter estimation of quadrotor based on extended Kalman filter and complementary filter,A quaternion-based orientation estimation algorithm with adaptive interpolation for wearable computing,A cascaded two-step Kalman filter for estimation of human body segment orientation using MEMS-IMU,An online recursive autocalibration of triaxial accelerometer,An Experimental Performance Evaluation of the Orientation Accuracy of Four Nine-Axis MEMS Motion Sensors,Development of a MEMS based wearable motion capture system,A motion capture system for sport training and rehabilitation,A novel drift compensating method for orientation measurement system in VR applications,Sensor-fusion based augmented-reality surgical navigation system
"Pedestrian Protection Systems: Issues, Survey, and Challenges","Tarak Gandhi, Mohan Manubhai Trivedi, ",2007,245,Pedestrian walking safety system based on smartphone built-in sensors,Partially occluded pedestrian classification using histogram of oriented gradients and local weighted linear kernel support vector machine,Detection of partially occluded pedestrians by an enhanced cascade detector,Estimation of street crossing intention from a pedestrian's posture on a sidewalk using multiple image frames,2D laser based road obstacle classification for road safety improvement,Dynamic representations for autonomous driving,A joint source channel adaptive communication system design for the fire environment,A study on energy absorption panel of bumper based on impact of pedestrian's lower leg,Prospects for Context Prediction Despite the Principle of Informational Self-Determination,Computationally efficient classification of human transport mode using micro-doppler signatures,Learning appearance in virtual scenarios for pedestrian detection,Pedestrian sensing using time-of-flight range camera,Non-Overlapping Multi-camera Detection and Tracking of Vehicles in Tunnel Surveillance,Pedestrian detection system based on stereo vision for mobile robot,PV-Alert: A fog-based architecture for safeguarding vulnerable road users,Real-time infrared pedestrian detection based on multi-block LBP,Towards a Private Fall Injury Warning Service for Smartphone-Distracted Pedestrian,Near range path navigation using LGMD visual neural networks,Study on pedestrian detection and tracking with monocular vision,Cellular-based vehicle to pedestrian (V2P) adaptive communication for collision avoidance,On experimenting with pedestrian classification using neural network,Real-time pedestrian detection using SVM and AdaBoost,A simple pedestrian detection using LBP-based patterns of oriented edges,An overriding controller for vehicle lateral control system,Multi-camera vehicle identification in tunnel surveillance system,Abnormal behavior detection based on spatial-temporal features,Assessment and Optimization of Pedestrian Head Impact Safety Performance for a SUV Car,Near range pedestrian collision detection using bio-inspired visual neural networks,Estimating Driver Awareness of Crossing Pedestrians While Turning Left Based on Vehicle Behavior Using Bayesian Approach,Pedestrian detection with a resolution-aware convolutional network
Neural-network-based maximum-power-point tracking of coupled-inductor interleaved-boost-converter-supplied PV system using fuzzy controller,"M. Veerachary, T. Senjyu, K. Uezato, ",2003,245,A novel MPPT algorithm for load protection based on output sensing control,Quasi Z-source inverter for photovoltaic system connected to single phase AC grid,A robust maximum power point tracker with fully analog implementation,Application of high output voltage dc-dc converters along with using battery to extract maximum power from the solar cell,Power management of hybrid photovoltaic - fuel cell power systems,Design modeling and simulation of a green building energy system,Interleaved boost converters with built-in voltage-doubler and current auto-balance characteristic,PV energy extraction characteristic study under shading conditions for different converter configurations,Ts fuzzy based adaptive perturb algorithm for MPPT of a grid connected single stage three phase VSC interfaced PV generating system,A fuzzy controller for rate adaptation in MPEG-DASH clients,MPPT techniques for PV systems,Fuzzy maximum power control of PV system,Discrete Time Modeling and Control of DC/DC Switching Converter for Solar Energy Systems,Maximum power point tracking of photovoltaic generation based on the fuzzy control method,Maximum Power Point Tracking of Multiple Photovoltaic Arrays: A PSO Approach,Fourth-Order Buck Converter for Maximum Power Point Tracking Applications,A Study on Optimal Sizing of Superconducting Magnetic Energy Storage in Distribution Power System,An Adaptive System for Optimal Solar Energy Harvesting in Wireless Sensor Network Nodes,4-Phase Interleaved Boost Converter With IC Controller for Distributed Photovoltaic Systems,Robust Maximum Power Tracking Control of Uncertain Photovoltaic Systems: A Unified T-S Fuzzy Model-Based Approach,Comparative study of maximum power point tracking control strategies for solar PV systems,Comparison of Photovoltaic Array Maximum Power Point Tracking Techniques,A Modified MPPT Scheme for Accelerated Convergence,T-S Fuzzy Maximum Power Point Tracking Control of Solar Power Generation Systems,Diagnosis of Output Power Lowering in a PV Array by Using the Kalman-Filter Algorithm,A Solar-powered Battery Charger with Neural Network Maximum Power Point Tracking Implemented on a Low-Cost PIC-microcontroller,Nonlinear function controller: a simple alternative to fuzzy logic controller for a power electronic converter,A Method for MPPT Control While Searching for Parameters Corresponding to Weather Conditions for PV Generation Systems,A Control Method to Charge Series-Connected Ultraelectric Double-Layer Capacitors Suitable for Photovoltaic Generation Systems Combining MPPT Control Method,Application of Centered Differentiation and Steepest Descent to Maximum Power Point Tracking
FM radio based bistatic radar,"P. E. Howland, D. Maksimiuk, G. Reitsma, ",2005,244,Passive multi-static radar system detection with multiple opportunistic signals,Passive Radar Array With Low-Power Satellite Illuminators Based on Fractional Fourier Transform,The adaptive step size NLMS and FBLMS algorithms,Passive radar detection with DVB-T signals,Analysis of the effect of periodic system modulation on passive radar system performance,Satellite-based PCL for moving target detection using keystone transform and FrFT,Experimental research for target tracking in single frequency network based passive radar,Study of the ghost target phenomenon on a real DVB-T passive radar scenario,Nondesired effects in DVB-T based passive radar due to sporadic interference,Design and Validation of a Passive Radar Concept for Ship Detection Using Communication Satellite Signals,Passive Maritime Surveillance Using Satellite Communication Signals,Target Detection in Analog Terrestrial TV-Based Passive Radar Sensor: Joint Delay-Doppler Estimation,Elevation Pattern Analysis of Common Passive Bistatic Radar Illuminators of Opportunity,Modeling of the equatorial electrojet as a multilayer communication channel and investigation of its effects on FM radio signals,Receiver platform motion compensation in passive radar,Detection state refinement in FM multistatic passive radar,Multistatic passive detection in the presence of direct-path interference,Subarray processing for passive radar localization,Traffic density monitoring using passive radars,Clutter Cancellation Along the Clutter Ridge for Airborne Passive Radar,Effects of the Equatorial Electrojet on FM-Based Passive Radar Systems,Passive Cooperative Targets for Subsurface Physical and Chemical Measurements: A Systems Perspective,A Direct-Path Interference Resistant Passive Detector,The discarding points-FBLMS algorithm in PBR,Side Peak Interference Mitigation in FM-Based Passive Radar Via Detection Identification,An Electronic Implementation of Lorenz Chaotic Oscillator Synchronization for Bistatic Radar Applications,Dynamic Clutter Suppression and Multitarget Detection in a DVB-T-Based Passive Radar,Multistatic Detection for Passive Radar With Direct-Path Interference,Synchronisation of bistatic radar using chaotic AM and chaos-based FM waveforms,IDEPAR: a multichannel digital video broadcasting-terrestrial passive radar technological demonstrator in terrestrial radar scenarios
FVC2000: fingerprint verification competition,"D. Maio, D. Maltoni, R. Cappelli, J. L. Wayman, A. K. Jain, ",2002,244,Unlinkable minutiae-based fuzzy vault for multiple fingerprints,The unconstrained ear recognition challenge,Increasing security with correlation-based fingerprint matching,Assuring liveness in biometric identity authentication by real-time face tracking,A Biometric Verification System Addressing Privacy Concerns,Directional Gaussian Derivative Filter Based Palmprint Authentication,Fingerprints Matching Based on Quadrangle,Surveying the Development of Biometric User Authentication on Mobile Phones,Robust crease detection in fingerprint images,A Robust Warping Method for Fingerprint Matching,Issues in Rotational (Non-)invariance and Image Preprocessing,Learning Minutiae Neighborhoods: A New Binary Representation for Matching Fingerprints,A Minutiae-Based Fingerprint Matching Algorithm Using Phase Correlation,Robust Core-Point-ROI Based Fingerprint Identification Using a Sparse Classifier,Implementation of an automatic fingerprint identification system,Finger knuckle print recognition system using compound local binary pattern,Fingerprint classification using the stochastic approach of ridge direction information,Evaluation of multiple enrollment for fingerprint recognition,Improving recognition performance in multiple enrollment based fingerprint recognition systems,Aiding biometrie system based on fingerprint enhancement and matching,Fingerprint verification system: A non-minutiae based approach,A multi-stage fingerprints matching algorithm,Subspace adaptation for incremental face learning,Effective and efficient fingerprint image postprocessing,MCC: A baseline algorithm for fingerprint verification in FVC-onGoing,Adaptive binarization method for fingerprint images,A 3-layer coding scheme for biometry template protection based on spectral minutiae,A concatenated coding scheme for biometric template protection,FVRC2016: The 2nd Finger Vein Recognition Competition,Methodology for partial fingerprint enrollment and authentication on mobile devices
